Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,21.01,21.29,20.97,21.24,55918900,21.24
2010-11-04,20.66,21.02,20.56,20.97,66048200,20.97
2010-11-03,20.34,20.52,20.22,20.48,53044600,20.48
2010-11-02,20.64,20.70,20.29,20.34,60959100,20.18
2010-11-01,20.35,20.67,20.34,20.57,51593700,20.41
2010-10-29,20.45,20.56,20.01,20.05,60774400,19.89
2010-10-28,20.29,20.53,20.02,20.47,71144000,20.31
2010-10-27,19.93,20.20,19.81,20.19,48151900,20.03
2010-10-26,19.79,20.11,19.73,20.04,56344600,19.88
2010-10-25,19.95,20.00,19.80,19.87,45769400,19.72
2010-10-22,19.79,19.93,19.75,19.84,50129800,19.69
2010-10-21,19.75,19.86,19.57,19.76,74287500,19.61
2010-10-20,19.30,19.78,19.29,19.64,84884600,19.49
2010-10-19,19.01,19.39,18.90,19.21,85409800,19.06
2010-10-18,19.26,19.32,18.97,19.19,54985100,19.04
2010-10-15,19.44,19.47,19.20,19.32,64052800,19.17
2010-10-14,19.31,19.46,19.20,19.32,59255900,19.17
2010-10-13,19.98,20.03,19.16,19.24,173827300,19.09
2010-10-12,19.65,19.80,19.44,19.77,94743400,19.62
2010-10-11,19.59,19.75,19.53,19.56,52722400,19.41
2010-10-08,19.40,19.58,19.21,19.52,46528700,19.37
2010-10-07,19.37,19.54,19.21,19.40,51794600,19.25
2010-10-06,19.21,19.37,19.13,19.31,54990000,19.16
2010-10-05,19.08,19.29,19.03,19.15,61004600,19.00
2010-10-04,19.25,19.30,18.77,18.87,67082000,18.72
2010-10-01,19.47,20.35,18.88,19.32,41275000,19.17
2010-09-30,19.34,19.60,19.11,19.20,75382200,19.05
2010-09-29,19.48,19.62,19.12,19.24,62484300,19.09
2010-09-28,19.31,19.57,19.10,19.51,61019600,19.36
2010-09-27,19.40,19.43,19.18,19.24,51071000,19.09
2010-09-24,19.23,19.45,19.18,19.42,55749300,19.27
2010-09-23,18.85,19.31,18.75,18.98,51954700,18.83
2010-09-22,19.04,19.25,18.89,19.01,61569400,18.86
2010-09-21,18.88,19.27,18.84,19.14,69131400,18.99
2010-09-20,18.89,18.96,18.69,18.93,44935100,18.78
2010-09-17,19.03,19.08,18.67,18.81,70436600,18.66
2010-09-16,18.70,18.98,18.58,18.97,69165800,18.82
2010-09-15,18.73,18.77,18.54,18.72,56107300,18.57
2010-09-14,18.53,18.80,18.34,18.74,64479500,18.59
2010-09-13,18.22,18.56,18.20,18.56,73870900,18.42
2010-09-10,17.95,18.10,17.84,17.97,68814700,17.83
2010-09-09,18.05,18.08,17.93,18.00,65019600,17.86
2010-09-08,18.04,18.05,17.75,17.90,101747000,17.76
2010-09-07,18.36,18.41,18.05,18.12,58636500,17.98
2010-09-03,18.52,18.59,18.20,18.43,59143200,18.29
2010-09-02,18.23,18.33,18.08,18.28,53192100,18.14
2010-09-01,17.94,18.27,17.89,18.14,73611500,18.00
2010-08-31,17.88,17.92,17.60,17.67,111601400,17.53
2010-08-30,18.25,18.31,17.94,17.96,73718900,17.82
2010-08-27,18.23,18.52,17.81,18.37,135184300,18.23
2010-08-26,18.60,18.61,18.12,18.18,69586000,18.04
2010-08-25,18.26,18.59,18.18,18.48,63350600,18.34
2010-08-24,18.56,18.68,18.39,18.41,75107400,18.27
2010-08-23,18.92,18.98,18.60,18.70,71954400,18.55
2010-08-20,18.92,19.00,18.76,18.91,95174400,18.76
2010-08-19,18.97,19.13,18.81,18.90,159900400,18.75
2010-08-18,19.53,19.78,19.47,19.59,58982400,19.44
2010-08-17,19.72,19.87,19.50,19.53,60836400,19.38
2010-08-16,19.14,19.56,19.11,19.47,48721100,19.32
2010-08-13,19.33,19.49,19.15,19.15,57384800,19.00
2010-08-12,19.17,19.73,19.08,19.45,86580600,19.30
2010-08-11,19.53,19.58,19.30,19.43,99079200,19.28
2010-08-10,20.11,20.17,19.70,19.82,136352400,19.67
2010-08-09,20.79,20.79,20.41,20.65,46082800,20.49
2010-08-06,20.45,20.81,20.41,20.65,50833800,20.49
2010-08-05,20.64,20.79,20.46,20.67,44475000,20.51
2010-08-04,20.81,20.86,20.45,20.73,85639700,20.57
2010-08-03,21.01,21.03,20.71,20.87,60929200,20.55
2010-08-02,20.90,21.28,20.73,21.15,50316200,20.83
2010-07-30,20.77,20.92,20.58,20.60,67395900,20.29
2010-07-29,21.39,21.48,20.76,21.03,83811400,20.71
2010-07-28,21.64,21.69,21.29,21.33,51673900,21.00
2010-07-27,21.68,21.74,21.39,21.58,53975800,21.25
2010-07-26,21.68,21.74,21.41,21.71,50929500,21.38
2010-07-23,21.64,21.72,21.33,21.69,62115500,21.36
2010-07-22,21.35,21.98,21.34,21.78,74465500,21.45
2010-07-21,21.57,21.65,21.18,21.26,71775300,20.94
2010-07-20,21.16,21.73,21.10,21.65,72666400,21.32
2010-07-19,21.17,21.61,21.16,21.59,63430400,21.26
2010-07-16,21.43,21.48,21.00,21.02,80451500,20.70
2010-07-15,21.34,21.59,21.01,21.51,118558200,21.18
2010-07-14,22.06,22.25,21.28,21.36,199002600,21.03
2010-07-13,20.97,22.28,20.82,21.01,103191800,20.69
2010-07-12,20.31,20.65,20.30,20.57,56587900,20.26
2010-07-09,20.06,20.28,19.96,20.24,52843800,19.93
2010-07-08,20.34,20.36,19.83,20.10,65407600,19.79
