Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,10.44,10.66,10.39,10.64,8425300,10.64
2010-11-04,10.52,10.55,10.29,10.38,11619200,10.38
2010-11-03,10.47,10.56,10.13,10.38,7138700,10.38
2010-11-02,10.34,10.52,10.34,10.47,7218900,10.47
2010-11-01,10.56,10.59,10.08,10.20,7129500,10.20
2010-10-29,10.52,11.01,10.24,10.35,12462600,10.35
2010-10-28,10.61,10.64,10.22,10.42,10310200,10.42
2010-10-27,10.49,10.59,10.38,10.52,4479200,10.52
2010-10-26,10.56,10.69,10.49,10.60,4873900,10.60
2010-10-25,10.49,10.70,10.42,10.62,8998900,10.62
2010-10-22,10.60,10.66,10.36,10.43,8080400,10.43
2010-10-21,10.63,10.88,10.52,10.57,6380600,10.57
2010-10-20,10.29,10.61,10.28,10.58,6929300,10.58
2010-10-19,10.43,10.49,10.15,10.24,12261400,10.24
2010-10-18,10.71,10.71,10.48,10.62,6727900,10.62
2010-10-15,10.72,10.84,10.60,10.81,5244700,10.81
2010-10-14,10.76,10.82,10.52,10.56,6144600,10.56
2010-10-13,10.77,10.93,10.59,10.73,5628900,10.73
2010-10-12,10.60,10.90,10.40,10.65,5748100,10.65
2010-10-11,10.48,10.83,10.44,10.71,4578400,10.71
2010-10-08,10.26,10.51,10.17,10.47,5814400,10.47
2010-10-07,10.28,10.34,10.16,10.25,5316400,10.25
2010-10-06,10.49,10.50,10.17,10.25,5513300,10.25
2010-10-05,10.10,10.54,10.10,10.49,7302300,10.49
2010-10-04,10.09,10.16,9.86,9.98,5246800,9.98
2010-10-01,10.18,10.19,9.97,10.15,4234900,10.15
2010-09-30,10.12,10.24,9.96,10.03,3585700,10.03
2010-09-29,10.02,10.20,9.93,10.04,5478000,10.04
2010-09-28,10.19,10.19,9.93,10.13,5378700,10.13
2010-09-27,10.02,10.30,9.98,10.17,5286500,10.17
2010-09-24,9.82,10.11,9.72,10.07,8829100,10.07
2010-09-23,9.56,10.08,9.43,9.64,6707000,9.64
2010-09-22,9.74,9.84,9.51,9.65,4447900,9.65
2010-09-21,9.93,9.99,9.65,9.76,3809600,9.76
2010-09-20,9.67,9.96,9.60,9.89,6178400,9.89
2010-09-17,9.30,9.69,9.28,9.65,10203300,9.65
2010-09-16,9.34,9.38,9.12,9.21,6570600,9.21
2010-09-15,9.53,9.59,9.32,9.43,6760700,9.43
2010-09-14,9.60,9.77,9.56,9.57,5139300,9.57
2010-09-13,9.62,9.80,9.52,9.61,6544900,9.61
2010-09-10,9.23,9.57,9.23,9.54,6638200,9.54
2010-09-09,9.36,9.36,9.17,9.21,4550700,9.21
2010-09-08,9.09,9.24,9.02,9.18,4145000,9.18
2010-09-07,9.05,9.20,8.99,9.00,4969100,9.00
2010-09-03,9.18,9.24,9.00,9.20,4041100,9.20
2010-09-02,8.88,9.11,8.75,9.03,5642700,9.03
2010-09-01,8.68,8.89,8.58,8.81,4799700,8.81
2010-08-31,8.44,8.60,8.40,8.53,8310700,8.53
2010-08-30,8.66,8.71,8.43,8.48,8007600,8.48
2010-08-27,8.70,8.80,8.55,8.69,10252200,8.69
2010-08-26,8.56,8.65,8.42,8.60,7638600,8.60
2010-08-25,8.33,8.59,8.28,8.55,4535600,8.55
2010-08-24,8.23,8.57,8.19,8.43,7644400,8.43
2010-08-23,8.64,8.67,8.35,8.41,4311000,8.41
2010-08-20,8.44,8.66,8.37,8.57,4458900,8.57
2010-08-19,8.60,8.68,8.46,8.53,6288300,8.53
2010-08-18,8.65,8.85,8.50,8.65,4655500,8.65
2010-08-17,8.62,8.75,8.56,8.66,3949100,8.66
2010-08-16,8.54,8.67,8.49,8.57,4498600,8.57
2010-08-13,8.63,8.75,8.60,8.64,2697900,8.64
2010-08-12,8.69,8.81,8.57,8.69,6905300,8.69
2010-08-11,9.03,9.18,8.85,8.89,6187700,8.89
2010-08-10,9.46,9.55,9.30,9.32,7721600,9.32
2010-08-09,9.38,9.59,9.24,9.59,6042400,9.59
2010-08-06,9.27,9.38,9.06,9.29,9322500,9.29
2010-08-05,9.07,9.55,9.03,9.39,7728500,9.39
2010-08-04,9.02,9.19,8.99,9.16,5170000,9.16
2010-08-03,9.10,9.17,8.87,8.94,8144600,8.94
2010-08-02,9.34,9.40,9.16,9.21,8751600,9.21
2010-07-30,8.80,9.25,8.31,9.14,8017600,9.14
2010-07-29,9.10,9.14,8.54,8.98,19311700,8.98
2010-07-28,8.26,8.36,8.20,8.25,3592500,8.25
2010-07-27,8.40,8.44,8.26,8.32,5072100,8.32
2010-07-26,8.19,8.38,8.11,8.38,5173700,8.38
2010-07-23,8.00,8.25,7.98,8.18,5399200,8.18
2010-07-22,7.77,8.07,7.77,8.03,2988400,8.03
2010-07-21,7.88,7.90,7.62,7.64,5159400,7.64
2010-07-20,7.50,7.98,7.50,7.88,7684700,7.88
2010-07-19,7.35,7.56,7.33,7.54,5518500,7.54
2010-07-16,7.73,7.78,7.31,7.32,6811700,7.32
2010-07-15,7.86,7.92,7.66,7.83,3180400,7.83
2010-07-14,7.84,7.89,7.71,7.85,4401100,7.85
2010-07-13,7.78,7.90,7.65,7.90,9756000,7.90
2010-07-12,7.66,7.80,7.57,7.68,3390200,7.68
2010-07-09,7.67,7.75,7.58,7.72,3483000,7.72
2010-07-08,7.49,7.67,7.38,7.63,7724900,7.63
2010-07-07,7.14,7.35,7.06,7.31,5149000,7.31
2010-07-06,7.01,7.24,6.99,7.10,7853800,7.10
2010-07-02,7.18,7.20,6.86,6.93,4645800,6.93
2010-07-01,7.19,7.20,6.95,7.00,11000800,7.00
2010-06-30,7.27,7.39,7.10,7.13,7473000,7.13
2010-06-29,7.35,7.44,7.19,7.27,7402400,7.27
2010-06-28,7.73,7.87,7.46,7.53,9861400,7.53
2010-06-25,8.01,8.05,7.71,7.71,16574900,7.71
2010-06-24,8.19,8.29,7.95,7.96,5122400,7.96
2010-06-23,8.16,8.32,8.08,8.25,5063500,8.25
2010-06-22,8.29,8.39,8.16,8.16,5429300,8.16
2010-06-21,8.43,8.58,8.29,8.31,5894600,8.31
2010-06-18,8.27,8.40,8.24,8.32,5628800,8.32
2010-06-17,8.04,8.28,7.99,8.27,4798000,8.27
2010-06-16,8.00,8.11,7.89,8.06,6980600,8.06
2010-06-15,8.10,8.14,7.98,8.09,6538900,8.09
2010-06-14,8.08,8.17,7.95,7.97,4240200,7.97
2010-06-11,7.95,8.06,7.88,7.98,3686500,7.98
2010-06-10,7.85,8.08,7.81,8.07,5146900,8.07
2010-06-09,7.69,7.93,7.53,7.66,6019600,7.66
2010-06-08,7.55,7.66,7.34,7.64,8641900,7.64
2010-06-07,7.84,7.96,7.52,7.52,6428300,7.52
2010-06-04,8.06,8.29,7.78,7.84,6170200,7.84
2010-06-03,8.13,8.49,8.06,8.31,8005900,8.31
2010-06-02,7.99,8.30,7.95,8.12,9497300,8.12
2010-06-01,8.22,8.41,7.92,7.92,7126900,7.92
2010-05-28,8.56,8.61,8.31,8.35,8118700,8.35
2010-05-27,8.05,8.61,8.05,8.58,10759200,8.58
2010-05-26,7.83,8.27,7.82,7.92,12867800,7.92
2010-05-25,7.62,7.83,7.32,7.80,13723400,7.80
2010-05-24,8.20,8.20,7.68,7.87,11421600,7.87
2010-05-21,7.44,7.83,7.28,7.77,11009200,7.77
2010-05-20,7.65,7.88,7.53,7.58,10432800,7.58
2010-05-19,7.98,8.03,7.77,7.90,8150000,7.90
2010-05-18,8.19,8.28,7.94,8.04,7524900,8.04
2010-05-17,8.06,8.20,7.84,8.09,4850300,8.09
2010-05-14,8.29,8.34,7.92,8.05,5864700,8.05
2010-05-13,8.37,8.60,8.26,8.38,7677400,8.38
2010-05-12,8.21,8.48,8.18,8.42,6080900,8.42
2010-05-11,8.20,8.35,8.09,8.17,6541600,8.17
2010-05-10,8.14,8.51,7.84,8.36,12120200,8.36
2010-05-07,8.35,8.35,7.50,7.72,9367100,7.72
2010-05-06,8.34,12.25,7.43,8.05,11172900,8.05
2010-05-05,8.37,8.55,8.16,8.40,10946100,8.40
2010-05-04,8.88,8.89,8.25,8.45,10895000,8.45
2010-05-03,8.98,9.08,8.90,8.99,7390200,8.99
2010-04-30,9.53,9.56,8.86,8.91,11853500,8.91
2010-04-29,9.06,9.70,9.06,9.50,12983500,9.50
2010-04-28,9.52,9.62,9.17,9.27,10484900,9.27
2010-04-27,9.77,9.83,9.36,9.42,8140600,9.42
2010-04-26,9.78,9.89,9.74,9.87,6090200,9.87
2010-04-23,9.86,9.89,9.66,9.73,6346700,9.73
2010-04-22,9.60,9.86,9.50,9.85,6213100,9.85
2010-04-21,9.77,9.80,9.48,9.64,9949000,9.64
2010-04-20,9.44,9.93,9.43,9.74,16509800,9.74
2010-04-19,8.93,9.09,8.72,9.06,5215300,9.06
2010-04-16,9.17,9.24,8.90,8.96,4968200,8.96
2010-04-15,9.05,9.30,8.96,9.22,5203700,9.22
2010-04-14,8.64,9.29,8.64,9.05,11565100,9.05
2010-04-13,8.77,8.84,8.62,8.64,2656200,8.64
2010-04-12,8.77,8.82,8.65,8.77,4748000,8.77
2010-04-09,8.49,8.82,8.41,8.72,6470200,8.72
2010-04-08,8.51,8.52,8.34,8.47,3943700,8.47
2010-04-07,8.53,8.62,8.48,8.54,3771000,8.54
2010-04-06,8.62,8.67,8.52,8.52,4502700,8.52
2010-04-05,8.50,8.67,8.45,8.67,3438300,8.67
2010-04-01,8.40,8.50,8.30,8.49,4105700,8.49
2010-03-31,8.49,8.59,8.31,8.32,4942700,8.32
2010-03-30,8.49,8.58,8.34,8.50,4349200,8.50
2010-03-29,8.38,8.55,8.30,8.49,5037000,8.49
2010-03-26,8.40,8.57,8.33,8.33,5181500,8.33
2010-03-25,8.65,8.65,8.36,8.39,4007800,8.39
2010-03-24,8.73,8.73,8.39,8.53,9068700,8.53
2010-03-23,8.74,8.87,8.46,8.79,5494600,8.79
2010-03-22,8.53,8.79,8.43,8.73,5040800,8.73
2010-03-19,8.68,8.75,8.53,8.61,5120300,8.61
2010-03-18,8.51,8.69,8.48,8.64,6078400,8.64
2010-03-17,8.45,8.58,8.42,8.54,5708600,8.54
2010-03-16,8.36,8.43,8.29,8.43,2755800,8.43
2010-03-15,8.44,8.50,8.22,8.34,6364200,8.34
2010-03-12,8.49,8.56,8.33,8.42,8964700,8.42
2010-03-11,8.56,8.60,8.18,8.53,3331300,8.53
2010-03-10,8.47,8.65,8.35,8.58,3646900,8.58
2010-03-09,8.41,8.56,8.37,8.52,5570100,8.52
2010-03-08,8.45,8.66,8.37,8.51,7680800,8.51
2010-03-05,8.33,8.56,8.32,8.45,10231300,8.45
2010-03-04,8.22,8.33,8.12,8.29,6049600,8.29
2010-03-03,8.20,8.39,8.10,8.18,8881400,8.18
2010-03-02,8.18,8.37,8.10,8.17,10363400,8.17
2010-03-01,7.52,8.39,7.52,8.26,25938400,8.26
2010-02-26,6.89,7.71,6.77,7.50,32287700,7.50
2010-02-25,6.68,6.77,6.59,6.75,13394300,6.75
2010-02-24,6.86,6.96,6.76,6.82,8647700,6.82
2010-02-23,7.07,7.07,6.76,6.85,6859700,6.85
2010-02-22,7.15,7.18,6.96,7.06,3209600,7.06
2010-02-19,7.05,7.19,7.02,7.11,3164100,7.11
2010-02-18,6.98,7.12,6.92,7.09,4649300,7.09
2010-02-17,6.84,7.02,6.84,6.98,5921900,6.98
2010-02-16,6.82,6.90,6.77,6.87,4281600,6.87
2010-02-12,6.70,6.74,6.60,6.72,5480200,6.72
2010-02-11,6.49,6.76,6.40,6.73,6257700,6.73
2010-02-10,6.36,6.66,6.33,6.50,7902000,6.50
2010-02-09,6.44,6.50,6.31,6.40,8394300,6.40
2010-02-08,6.44,6.51,6.29,6.35,7221600,6.35
2010-02-05,6.57,6.57,6.21,6.39,10450500,6.39
2010-02-04,6.63,6.67,6.37,6.41,6372200,6.41
2010-02-03,6.73,6.88,6.59,6.69,5255000,6.69
2010-02-02,6.63,6.76,6.52,6.72,6027600,6.72
2010-02-01,6.52,6.65,6.47,6.60,7124600,6.60
2010-01-29,6.56,6.61,6.41,6.46,6768800,6.46
2010-01-28,6.50,6.67,6.46,6.52,5829200,6.52
2010-01-27,6.61,6.63,6.38,6.47,9869000,6.47
2010-01-26,6.73,6.82,6.63,6.66,4701300,6.66
