Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.77,48.73,47.75,48.68,2341400,48.68
2010-11-04,47.47,47.82,47.46,47.79,1107800,47.79
2010-11-03,47.13,47.45,46.58,46.97,1200400,46.97
2010-11-02,47.21,47.46,46.86,47.06,851500,47.06
2010-11-01,47.67,47.86,46.32,46.64,1243300,46.64
2010-10-29,48.94,48.94,46.55,47.19,2292300,47.19
2010-10-28,47.80,49.00,47.65,48.21,1803800,48.21
2010-10-27,47.55,47.68,47.07,47.60,1005000,47.60
2010-10-26,47.73,48.29,47.73,47.99,918900,47.99
2010-10-25,48.70,48.93,48.12,48.15,1128700,48.15
2010-10-22,48.75,48.79,48.31,48.51,538600,48.51
2010-10-21,48.43,49.00,48.29,48.75,1043800,48.75
2010-10-20,47.35,48.47,47.35,48.33,1196400,48.33
2010-10-19,47.44,47.53,46.80,47.21,1369100,47.21
2010-10-18,47.76,48.16,47.61,48.07,639400,48.07
2010-10-15,47.90,48.00,47.24,47.81,1207300,47.81
2010-10-14,47.86,48.10,47.40,47.72,861900,47.72
2010-10-13,47.60,48.09,47.22,47.89,1406400,47.89
2010-10-12,47.14,47.45,46.62,47.24,1377000,47.24
2010-10-11,47.90,47.90,47.37,47.43,631600,47.43
2010-10-08,47.92,48.00,47.31,47.91,932500,47.91
2010-10-07,48.02,48.02,47.63,47.82,701900,47.82
2010-10-06,47.56,48.00,47.52,47.93,1008400,47.93
2010-10-05,47.13,47.93,46.90,47.71,955200,47.71
2010-10-04,46.95,47.21,46.23,46.46,870500,46.46
2010-10-01,47.36,47.36,46.54,47.02,1320600,47.02
2010-09-30,47.15,47.81,46.74,46.83,1522400,46.83
2010-09-29,46.76,47.03,46.37,46.92,1349100,46.92
2010-09-28,46.94,46.97,46.23,46.90,1219200,46.90
2010-09-27,47.31,47.33,46.75,46.78,949300,46.78
2010-09-24,46.39,47.25,46.28,47.12,981600,47.12
2010-09-23,46.19,46.57,45.87,45.96,730400,45.96
2010-09-22,46.74,47.12,46.25,46.75,1254800,46.75
2010-09-21,47.20,47.51,46.79,46.92,1660700,46.92
2010-09-20,46.08,47.00,45.82,46.94,1553900,46.94
2010-09-17,45.65,45.99,45.29,45.71,1891600,45.71
2010-09-16,45.60,45.95,45.50,45.58,1308400,45.58
2010-09-15,45.73,45.91,45.35,45.77,1086000,45.77
2010-09-14,46.04,46.26,45.31,46.01,1270300,46.01
2010-09-13,46.23,46.52,46.08,46.30,1301500,46.30
2010-09-10,45.51,45.79,45.40,45.60,1262400,45.60
2010-09-09,46.08,46.18,45.21,45.50,1005900,45.50
2010-09-08,45.67,45.86,45.42,45.49,1421200,45.49
2010-09-07,45.74,45.85,45.52,45.66,1213200,45.66
2010-09-03,45.95,46.28,45.39,46.05,1349000,46.05
2010-09-02,44.33,45.38,44.33,45.38,978400,45.38
2010-09-01,43.15,44.50,42.96,44.50,1676500,44.50
2010-08-31,43.16,43.16,42.23,42.50,2925100,42.50
2010-08-30,43.66,43.81,43.16,43.25,1551700,43.25
2010-08-27,43.43,43.89,42.78,43.87,1866700,43.87
2010-08-26,43.17,43.41,42.71,43.01,2534100,43.01
2010-08-25,42.60,43.19,42.05,43.07,2265400,43.07
2010-08-24,43.34,43.37,42.63,43.02,1522100,42.77
2010-08-23,44.43,44.68,43.72,43.92,2028300,43.66
2010-08-20,43.65,44.22,43.57,44.17,1382200,43.91
2010-08-19,44.24,44.77,43.61,43.94,1121300,43.68
2010-08-18,44.74,45.22,44.46,44.97,725500,44.71
2010-08-17,44.78,45.50,44.54,44.87,1529600,44.61
2010-08-16,44.22,44.52,43.98,44.26,965700,44.00
2010-08-13,44.20,45.01,44.03,44.51,1524600,44.25
2010-08-12,43.24,44.36,43.13,44.29,1951000,44.03
2010-08-11,45.00,45.00,43.65,43.98,1689300,43.72
2010-08-10,46.29,46.44,45.06,45.53,2481200,45.27
2010-08-09,46.13,46.83,46.10,46.82,1078100,46.55
2010-08-06,46.02,46.27,45.22,46.03,1655300,45.76
2010-08-05,46.29,46.63,46.10,46.60,1620300,46.33
2010-08-04,46.49,46.62,46.23,46.50,2147900,46.23
2010-08-03,46.67,47.01,46.24,46.42,2277400,46.15
2010-08-02,47.67,47.97,46.90,46.91,2816300,46.64
2010-07-30,46.49,47.49,46.29,47.12,4402300,46.85
2010-07-29,50.23,50.32,48.96,49.92,1471400,49.63
2010-07-28,49.73,50.29,49.56,49.85,1350000,49.56
2010-07-27,50.78,50.79,49.73,49.88,1402900,49.59
2010-07-26,49.44,50.42,49.34,50.42,1038900,50.13
2010-07-23,48.73,49.52,48.57,49.51,959300,49.22
2010-07-22,47.33,48.94,47.28,48.76,1906100,48.48
2010-07-21,47.18,47.68,46.51,46.77,1066700,46.50
2010-07-20,45.54,47.00,45.44,46.91,991700,46.64
2010-07-19,45.75,46.17,45.49,46.06,647000,45.79
2010-07-16,46.54,46.84,45.50,45.58,851000,45.32
2010-07-15,47.28,47.40,46.50,47.09,796800,46.82
2010-07-14,47.14,47.56,46.73,47.23,785500,46.96
2010-07-13,46.84,47.35,46.39,47.20,1545400,46.93
2010-07-12,46.85,47.05,46.21,46.28,1094300,46.01
2010-07-09,47.03,47.23,46.56,46.95,900700,46.68
2010-07-08,46.41,47.21,46.33,47.09,1727700,46.82
2010-07-07,44.77,46.14,44.69,46.06,1508000,45.79
2010-07-06,45.30,45.44,44.14,44.59,1071800,44.33
