Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,48.00,48.56,47.66,48.36,3602300,48.36
2010-11-04,46.85,48.00,46.82,47.89,3797700,47.89
2010-11-03,46.67,46.70,45.64,46.31,3206800,46.31
2010-11-02,46.69,46.71,46.35,46.49,3448800,46.49
2010-11-01,46.06,46.59,45.93,46.23,3528400,46.23
2010-10-29,45.74,46.11,45.57,45.68,3139700,45.68
2010-10-28,46.52,46.62,45.69,45.92,3064400,45.92
2010-10-27,45.75,46.31,45.57,46.25,2884100,46.25
2010-10-26,46.61,46.64,46.12,46.15,5117100,46.15
2010-10-25,47.05,47.76,46.80,46.94,3199800,46.94
2010-10-22,47.12,47.20,46.10,46.69,4823800,46.69
2010-10-21,46.82,47.22,46.44,47.04,4030300,47.04
2010-10-20,46.45,47.14,46.08,46.56,5693300,46.56
2010-10-19,46.25,47.50,45.57,46.48,10465000,46.48
2010-10-18,49.04,49.54,48.90,49.18,4380500,49.18
2010-10-15,49.41,49.50,48.66,48.96,6595900,48.96
2010-10-14,48.77,49.14,48.56,48.99,2871800,48.99
2010-10-13,48.42,49.08,48.42,48.76,3759800,48.76
2010-10-12,48.13,48.49,47.41,48.27,2398800,48.27
2010-10-11,48.52,48.58,48.04,48.29,1390700,48.29
2010-10-08,48.24,48.59,48.04,48.43,2223500,48.43
2010-10-07,48.60,48.70,48.14,48.29,3393800,48.29
2010-10-06,48.09,48.34,47.92,48.30,2543900,48.30
2010-10-05,47.39,48.19,47.18,48.10,3276600,48.10
2010-10-04,47.22,47.45,46.41,46.80,2567900,46.80
2010-10-01,47.23,47.76,47.08,47.26,4603900,47.26
2010-09-30,46.98,47.63,46.56,47.02,3379300,47.02
2010-09-29,46.94,47.10,46.62,46.81,2939700,46.81
2010-09-28,46.67,47.21,46.13,47.08,2550300,47.08
2010-09-27,47.24,47.43,46.87,46.94,2904700,46.60
2010-09-24,46.52,47.31,46.41,47.08,4243500,46.74
2010-09-23,46.19,46.35,45.52,45.59,3007400,45.26
2010-09-22,47.09,47.33,46.19,46.53,4205900,46.19
2010-09-21,47.12,47.67,46.97,47.25,4126400,46.91
2010-09-20,46.49,47.23,46.26,47.09,5613100,46.75
2010-09-17,46.90,47.23,46.19,46.24,21470600,45.91
2010-09-16,46.90,47.00,46.51,46.88,4145200,46.54
2010-09-15,46.93,47.07,46.40,47.07,4234700,46.73
2010-09-14,46.58,47.02,46.18,46.77,4216100,46.43
2010-09-13,46.10,46.72,46.09,46.59,3693700,46.25
2010-09-10,45.20,45.82,45.08,45.73,3084000,45.40
2010-09-09,45.63,45.99,44.88,45.16,3077600,44.83
2010-09-08,44.92,45.73,44.92,45.28,4263200,44.95
2010-09-07,44.86,45.14,44.66,45.00,3421400,44.67
2010-09-03,44.76,45.11,44.50,45.00,4251400,44.67
2010-09-02,42.97,44.34,42.87,44.26,7148600,43.94
2010-09-01,41.93,42.88,41.82,42.78,3418400,42.47
2010-08-31,40.94,41.71,40.80,41.26,4565300,40.96
2010-08-30,41.65,41.96,41.17,41.17,2438300,40.87
2010-08-27,41.12,41.95,40.56,41.85,3749400,41.55
2010-08-26,41.40,41.49,40.75,40.77,4266900,40.47
2010-08-25,40.93,41.29,40.33,41.14,7023600,40.84
2010-08-24,41.37,41.42,40.86,41.22,4866900,40.92
2010-08-23,42.37,42.55,41.78,41.84,3470700,41.54
2010-08-20,41.78,42.19,41.58,42.10,3473100,41.80
2010-08-19,42.47,42.62,41.94,42.04,5082900,41.74
2010-08-18,42.89,43.02,42.55,42.62,6070600,42.31
2010-08-17,42.86,44.10,42.86,43.57,4340100,43.25
2010-08-16,42.69,42.99,42.27,42.63,3813300,42.32
2010-08-13,42.96,43.41,42.86,43.02,2455700,42.71
2010-08-12,42.83,43.42,42.80,43.19,4140700,42.88
2010-08-11,44.44,44.49,43.35,43.60,3885800,43.28
2010-08-10,45.21,45.40,44.83,45.22,3904100,44.89
2010-08-09,45.73,45.96,45.26,45.70,2346800,45.37
2010-08-06,45.20,45.81,45.02,45.61,3821200,45.28
2010-08-05,45.33,45.99,45.16,45.64,3301100,45.31
2010-08-04,45.29,45.70,44.99,45.54,3698200,45.21
2010-08-03,44.69,45.13,44.55,44.96,4377700,44.63
2010-08-02,44.27,44.98,43.99,44.77,4041200,44.45
2010-07-30,42.92,43.74,42.54,43.50,3664800,43.18
2010-07-29,43.68,43.91,43.09,43.33,4201700,43.02
2010-07-28,43.56,43.76,43.11,43.34,3136800,43.03
2010-07-27,43.85,44.06,43.40,43.58,4697400,43.26
2010-07-26,43.51,43.64,42.96,43.52,4302700,43.20
2010-07-23,42.30,43.36,42.12,43.31,6339400,43.00
2010-07-22,42.94,42.94,41.66,42.19,9462800,41.88
2010-07-21,43.09,43.37,41.95,42.06,6070100,41.76
2010-07-20,42.21,42.88,41.38,42.75,7394500,42.44
2010-07-19,42.85,43.08,42.28,42.85,3712400,42.54
2010-07-16,43.58,43.81,42.60,42.70,3130200,42.39
2010-07-15,44.04,44.05,43.18,43.97,3489800,43.65
2010-07-14,43.94,44.48,43.62,44.15,4071900,43.83
2010-07-13,44.21,44.58,43.78,44.18,5383200,43.86
2010-07-12,43.28,43.37,42.69,42.86,2795800,42.55
2010-07-09,43.08,43.41,42.92,43.33,2491700,43.02
2010-07-08,42.78,43.17,42.53,43.04,3688500,42.73
2010-07-07,41.21,42.51,41.13,42.49,3431600,42.18
2010-07-06,41.62,42.00,40.79,41.21,3337000,40.91
2010-07-02,41.70,41.96,40.96,41.13,4395400,40.83
2010-07-01,41.21,41.72,40.73,41.57,5913000,41.27
2010-06-30,41.28,42.25,41.11,41.28,4533300,40.98
2010-06-29,42.48,42.53,41.05,41.37,7171800,41.07
2010-06-28,43.97,43.99,43.17,43.19,3307600,42.88
