Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,23.98,24.38,23.85,24.24,4094600,24.24
2010-11-04,23.61,24.00,23.42,24.00,5069600,24.00
2010-11-03,23.43,23.58,22.74,23.38,3702100,23.38
2010-11-02,23.18,23.45,23.14,23.43,2936800,23.43
2010-11-01,23.18,23.21,22.62,22.87,2947500,22.87
2010-10-29,22.38,23.00,22.23,23.00,4525900,23.00
2010-10-28,22.78,22.78,22.36,22.47,2786100,22.47
2010-10-27,22.21,22.54,22.05,22.52,2488900,22.52
2010-10-26,21.98,22.41,21.85,22.36,3041800,22.36
2010-10-25,22.72,22.79,22.05,22.11,4418400,22.11
2010-10-22,22.38,22.62,22.21,22.32,3177200,22.32
2010-10-21,22.79,23.22,22.25,22.29,5744400,22.29
2010-10-20,22.51,23.00,22.50,22.66,3469100,22.66
2010-10-19,22.65,22.86,22.20,22.43,4721600,22.43
2010-10-18,22.60,23.01,21.75,22.99,3006200,22.99
2010-10-15,23.14,23.16,22.59,22.86,4566800,22.86
2010-10-14,22.83,23.10,22.76,22.94,5190700,22.94
2010-10-13,22.59,23.37,22.59,22.87,6746000,22.87
2010-10-12,22.46,22.72,22.22,22.44,5497900,22.44
2010-10-11,22.48,22.64,22.34,22.50,2669400,22.50
2010-10-08,22.32,22.63,22.01,22.41,4449100,22.41
2010-10-07,22.09,22.28,21.92,22.19,5772300,22.19
2010-10-06,21.72,21.96,21.61,21.93,4221300,21.93
2010-10-05,21.37,21.91,21.08,21.81,6108300,21.81
2010-10-04,21.29,21.55,20.87,21.06,2445800,21.06
2010-10-01,21.49,21.56,21.06,21.37,4435600,21.37
2010-09-30,21.63,22.03,21.22,21.23,4912700,21.23
2010-09-29,21.50,21.61,21.21,21.31,2731600,21.31
2010-09-28,21.76,21.84,21.34,21.67,2911700,21.67
2010-09-27,21.84,21.94,21.60,21.63,3137100,21.63
2010-09-24,21.09,21.92,21.09,21.90,4312600,21.90
2010-09-23,21.27,21.45,20.75,20.75,7650200,20.75
2010-09-22,21.59,21.91,21.44,21.54,5576200,21.54
2010-09-21,21.69,21.83,21.41,21.54,3379600,21.54
2010-09-20,21.09,21.65,21.08,21.60,3199900,21.60
2010-09-17,21.16,21.16,20.61,20.98,4225500,20.98
2010-09-16,20.78,21.05,20.75,21.01,2376000,21.01
2010-09-15,20.35,21.07,20.26,20.86,3783500,20.86
2010-09-14,20.52,20.75,20.39,20.56,2577900,20.56
2010-09-13,20.49,20.64,20.25,20.63,3150800,20.63
2010-09-10,20.06,20.14,19.91,20.09,1683700,20.09
2010-09-09,20.25,20.26,19.80,20.09,2408200,20.09
2010-09-08,19.61,20.03,19.56,19.86,2820500,19.86
2010-09-07,19.51,19.63,19.28,19.51,2860400,19.51
2010-09-03,19.57,19.84,19.28,19.75,3532000,19.75
2010-09-02,19.11,19.29,18.93,19.28,2539200,19.28
2010-09-01,18.46,19.03,18.32,19.00,4780600,19.00
2010-08-31,18.15,18.38,17.87,18.14,4538900,18.14
2010-08-30,18.26,18.44,18.07,18.17,3382900,18.17
2010-08-27,18.06,18.36,17.63,18.36,3134900,18.36
2010-08-26,17.75,18.26,17.68,17.92,3325200,17.92
2010-08-25,17.41,17.70,17.21,17.62,3010700,17.62
2010-08-24,17.91,18.03,17.55,17.58,3569700,17.58
2010-08-23,18.66,18.77,18.18,18.21,1822500,18.21
2010-08-20,18.15,18.58,18.12,18.50,2123700,18.50
2010-08-19,18.77,18.92,18.25,18.35,2578400,18.35
2010-08-18,18.91,19.15,18.71,19.01,2464000,18.90
2010-08-17,18.74,19.05,18.73,18.88,2499400,18.77
2010-08-16,18.39,18.69,18.28,18.55,1711500,18.44
2010-08-13,18.44,18.74,18.39,18.51,1580100,18.40
2010-08-12,18.26,18.63,18.23,18.46,2762900,18.35
2010-08-11,19.44,19.45,18.64,18.65,4457600,18.54
2010-08-10,19.52,19.98,19.39,19.82,2764600,19.71
2010-08-09,19.39,19.98,19.39,19.82,2187700,19.71
2010-08-06,19.32,19.67,19.01,19.32,2942000,19.21
2010-08-05,19.61,19.63,19.39,19.61,1466300,19.50
2010-08-04,19.47,19.87,19.38,19.71,2226000,19.60
2010-08-03,20.04,20.11,19.59,19.68,2531500,19.57
2010-08-02,19.96,20.15,19.49,20.12,4187600,20.00
2010-07-30,19.35,19.69,19.18,19.54,2484600,19.43
2010-07-29,19.59,19.98,19.24,19.64,2763000,19.53
2010-07-28,19.40,19.70,19.26,19.34,2431600,19.23
2010-07-27,19.91,20.01,19.25,19.46,3593400,19.35
2010-07-26,19.57,20.10,19.37,19.83,3589900,19.72
2010-07-23,19.19,19.87,18.96,19.45,5797000,19.34
2010-07-22,18.59,19.49,18.59,19.26,4362900,19.15
2010-07-21,19.03,19.03,18.25,18.30,3571700,18.19
2010-07-20,17.84,18.75,17.71,18.70,3181200,18.59
