Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,15.34,15.72,15.22,15.63,2077400,15.63
2010-11-04,15.00,15.41,14.99,15.30,3634400,15.30
2010-11-03,15.01,15.07,14.53,14.76,4354800,14.76
2010-11-02,15.09,15.22,14.95,15.00,2159000,15.00
2010-11-01,15.52,15.58,14.78,14.91,2889400,14.91
2010-10-29,14.89,15.37,14.74,15.34,5211000,15.34
2010-10-28,14.52,15.04,14.33,14.92,4714700,14.92
2010-10-27,14.19,14.33,13.97,14.31,2561000,14.31
2010-10-26,14.30,14.54,14.15,14.31,2226200,14.31
2010-10-25,14.31,14.58,14.21,14.45,3521600,14.45
2010-10-22,14.22,14.27,14.09,14.18,2786800,14.18
2010-10-21,14.46,14.49,14.00,14.20,4146600,14.20
2010-10-20,14.13,14.54,14.13,14.31,4031400,14.31
2010-10-19,14.56,14.59,13.91,14.09,5136800,14.09
2010-10-18,14.75,14.93,14.72,14.84,1882700,14.84
2010-10-15,14.94,15.04,14.53,14.75,2968200,14.75
2010-10-14,14.92,14.97,14.65,14.72,2902900,14.72
2010-10-13,14.79,15.06,14.63,15.02,4991900,15.02
2010-10-12,14.49,14.76,14.30,14.69,4324700,14.69
2010-10-11,14.77,14.86,14.48,14.57,2739600,14.57
2010-10-08,14.52,14.79,14.50,14.71,3706200,14.71
2010-10-07,14.86,14.95,14.42,14.55,5255300,14.55
2010-10-06,15.05,15.05,14.61,14.75,4264600,14.75
2010-10-05,14.74,15.15,14.65,15.14,5134200,15.14
2010-10-04,14.23,14.55,14.23,14.55,4573200,14.55
2010-10-01,14.63,14.66,14.25,14.30,5007600,14.30
2010-09-30,14.50,14.74,14.22,14.41,6368200,14.41
2010-09-29,13.96,14.65,13.94,14.34,9711700,14.34
2010-09-28,13.22,13.84,13.17,13.76,11139100,13.76
2010-09-27,13.96,14.04,13.65,13.89,9548100,13.89
2010-09-24,12.89,13.60,12.85,13.57,5310100,13.57
2010-09-23,12.55,12.92,12.50,12.68,3431600,12.68
2010-09-22,12.87,12.87,12.57,12.70,4071500,12.70
2010-09-21,13.21,13.24,12.81,12.97,4122500,12.97
2010-09-20,12.81,13.19,12.67,13.12,3057000,13.12
2010-09-17,12.69,12.84,12.51,12.79,6799200,12.79
2010-09-16,12.59,12.66,12.27,12.33,3367200,12.33
2010-09-15,12.34,12.64,12.26,12.61,3114900,12.61
2010-09-14,12.59,12.60,12.27,12.50,5375900,12.50
2010-09-13,12.40,12.69,12.40,12.61,5206500,12.61
2010-09-10,12.16,12.43,12.11,12.22,4087700,12.22
2010-09-09,12.04,12.33,11.97,12.16,4618300,12.16
2010-09-08,11.69,11.90,11.61,11.86,7227700,11.86
2010-09-07,11.60,11.73,11.25,11.50,4225700,11.50
2010-09-03,11.49,11.81,11.47,11.73,3912800,11.73
2010-09-02,11.06,11.45,10.90,11.40,4696000,11.40
2010-09-01,10.43,11.00,10.39,10.93,4727600,10.93
2010-08-31,10.56,10.63,10.17,10.25,3865500,10.25
2010-08-30,10.88,10.98,10.60,10.61,1411300,10.61
2010-08-27,10.95,10.95,10.50,10.82,4560000,10.82
2010-08-26,10.93,11.06,10.70,10.73,3989800,10.73
2010-08-25,10.55,10.91,10.35,10.81,3927800,10.81
2010-08-24,10.95,10.97,10.68,10.78,2795000,10.78
2010-08-23,11.28,11.44,11.11,11.12,2357300,11.12
2010-08-20,11.55,11.55,11.13,11.17,3938900,11.17
2010-08-19,11.93,12.06,11.52,11.56,3895900,11.56
2010-08-18,11.84,12.16,11.66,12.04,4505300,12.04
2010-08-17,11.61,11.88,11.47,11.76,3192500,11.76
2010-08-16,11.50,11.76,11.31,11.46,3017600,11.46
2010-08-13,11.71,11.93,11.55,11.55,2532800,11.55
2010-08-12,11.96,12.00,11.63,11.71,5880900,11.71
2010-08-11,12.63,12.79,12.26,12.38,4384400,12.31
2010-08-10,13.49,13.49,12.70,12.95,5754200,12.88
2010-08-09,13.43,13.70,13.27,13.63,4480500,13.55
