Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,36.63,36.88,36.36,36.80,3475400,36.80
2010-11-04,36.31,36.54,35.87,36.50,4072900,36.50
2010-11-03,35.24,36.00,35.19,35.94,4162600,35.94
2010-11-02,35.31,35.42,35.00,35.17,5122400,35.17
2010-11-01,35.42,35.77,34.85,35.02,4200900,35.02
2010-10-29,34.82,35.34,34.74,35.12,4266600,35.12
2010-10-28,35.27,35.32,34.62,34.95,4061000,34.95
2010-10-27,34.73,35.16,34.41,35.00,7142700,35.00
2010-10-26,34.22,34.59,33.96,34.49,8151600,34.49
2010-10-25,34.50,34.90,34.43,34.74,6402500,34.74
2010-10-22,34.06,34.24,33.76,34.18,5565600,34.18
2010-10-21,33.64,34.00,33.56,33.93,5494700,33.93
2010-10-20,32.70,33.82,32.59,33.55,5019000,33.55
2010-10-19,32.29,32.90,31.69,32.51,5801100,32.51
2010-10-18,32.82,32.82,32.42,32.76,4889800,32.76
2010-10-15,32.82,33.22,32.44,32.74,7550900,32.74
2010-10-14,32.44,32.76,32.38,32.60,7322400,32.60
2010-10-13,31.99,32.79,31.87,32.29,11176900,32.29
2010-10-12,31.79,31.86,31.28,31.54,7595100,31.54
2010-10-11,31.94,31.95,31.53,31.64,3069800,31.64
2010-10-08,31.54,32.00,31.27,31.80,5477400,31.80
2010-10-07,31.50,31.72,31.14,31.40,3820700,31.40
2010-10-06,31.65,31.87,31.14,31.29,4366400,31.29
2010-10-05,30.65,32.00,30.65,31.76,6403500,31.76
2010-10-04,30.51,30.56,29.95,30.32,2785400,30.32
2010-10-01,30.91,30.91,30.21,30.54,3696300,30.54
2010-09-30,30.79,31.14,30.28,30.50,3713700,30.50
2010-09-29,30.49,30.80,30.40,30.62,4542700,30.62
2010-09-28,30.06,30.74,29.62,30.63,6049400,30.63
2010-09-27,29.90,30.24,29.81,29.97,4272100,29.97
2010-09-24,29.34,29.90,29.24,29.88,3085900,29.88
2010-09-23,29.01,29.57,28.70,28.89,2898600,28.89
2010-09-22,29.49,29.76,29.14,29.33,3444100,29.33
2010-09-21,29.52,29.82,29.22,29.59,4219400,29.59
2010-09-20,29.07,29.54,28.91,29.42,3381300,29.42
2010-09-17,29.26,29.38,28.72,28.92,4382500,28.92
2010-09-16,28.26,29.13,28.20,29.05,3441000,29.05
2010-09-15,28.67,28.80,28.31,28.71,3598000,28.71
2010-09-14,29.15,29.19,28.84,28.85,2910100,28.85
2010-09-13,28.79,29.41,28.79,29.15,3654800,29.15
2010-09-10,28.45,28.68,28.24,28.43,2988600,28.43
2010-09-09,28.33,28.85,28.32,28.38,4611800,28.38
2010-09-08,28.11,28.17,27.77,27.92,4111200,27.92
2010-09-07,29.00,29.00,28.24,28.29,2721800,28.16
2010-09-03,28.70,29.21,28.67,29.17,4241200,29.04
2010-09-02,27.79,28.37,27.70,28.30,3643600,28.17
2010-09-01,26.95,27.90,26.95,27.81,4530700,27.68
2010-08-31,26.66,26.98,26.34,26.53,4333300,26.41
2010-08-30,27.19,27.33,26.78,26.78,2891500,26.66
2010-08-27,26.94,27.26,26.46,27.24,3419000,27.11
2010-08-26,27.06,27.39,26.66,26.72,3834100,26.60
2010-08-25,26.61,27.03,26.10,26.88,5974500,26.76
2010-08-24,27.44,27.45,26.75,26.87,5424700,26.75
2010-08-23,28.25,28.43,27.84,27.92,4130200,27.79
2010-08-20,28.12,28.28,27.53,28.03,4373600,27.90
2010-08-19,29.02,29.14,28.28,28.39,4031000,28.26
2010-08-18,28.81,29.28,28.66,29.14,3418500,29.01
2010-08-17,28.39,29.11,28.20,28.75,5260000,28.62
2010-08-16,27.62,28.46,27.27,28.01,6661800,27.88
2010-08-13,27.75,28.06,27.35,27.37,5306400,27.24
2010-08-12,28.19,28.27,27.82,27.91,4416800,27.78
2010-08-11,28.87,28.88,28.27,28.51,4503700,28.38
2010-08-10,29.91,29.91,29.20,29.45,4234900,29.31
2010-08-09,29.78,30.28,29.57,30.22,3906400,30.08
2010-08-06,29.20,29.69,29.00,29.55,4489500,29.41
2010-08-05,29.16,29.73,28.80,29.60,4431000,29.46
2010-08-04,29.13,29.47,28.96,29.21,4598700,29.08
2010-08-03,29.20,29.36,28.88,29.05,3283400,28.92
2010-08-02,29.42,29.56,29.00,29.26,5269400,29.13
2010-07-30,28.28,28.86,27.86,28.81,7199900,28.68
2010-07-29,29.30,29.39,28.08,28.62,5710900,28.49
2010-07-28,28.40,29.58,28.27,29.00,7962700,28.87
2010-07-27,28.93,28.97,27.95,28.12,7563300,27.99
2010-07-26,29.33,29.41,28.50,28.87,9672600,28.74
2010-07-23,28.50,29.55,28.01,29.11,14240900,28.98
2010-07-22,29.00,30.67,29.00,30.48,8195700,30.34
2010-07-21,29.27,29.42,28.21,28.51,5857800,28.38
2010-07-20,28.13,29.14,28.00,29.07,3876300,28.94
2010-07-19,28.58,28.74,28.05,28.63,2639600,28.50
2010-07-16,29.51,29.55,28.38,28.51,5149600,28.38
2010-07-15,29.70,29.76,28.94,29.70,3755500,29.56
2010-07-14,29.50,29.80,29.13,29.66,4257000,29.52
2010-07-13,28.87,29.78,28.78,29.62,5859800,29.48
2010-07-12,28.50,28.72,28.11,28.33,5129100,28.20
2010-07-09,28.59,28.79,28.35,28.62,5018200,28.49
2010-07-08,28.20,28.55,27.97,28.49,4789900,28.36
2010-07-07,26.86,27.94,26.76,27.91,8450600,27.78
2010-07-06,27.12,27.55,26.61,26.86,5530500,26.74
2010-07-02,27.15,27.30,26.68,26.88,3899100,26.76
2010-07-01,26.73,27.18,26.07,26.95,7667600,26.83
2010-06-30,26.85,27.55,26.73,26.87,7204100,26.75
2010-06-29,27.18,27.25,26.49,26.85,8532400,26.73
2010-06-28,27.94,28.11,27.53,27.75,3311300,27.62
2010-06-25,27.67,27.76,27.23,27.76,11601100,27.63
2010-06-24,28.11,28.26,27.58,27.71,8302900,27.58
2010-06-23,28.14,28.54,27.80,28.33,5552800,28.20
2010-06-22,28.80,29.18,28.12,28.15,4396300,28.02
2010-06-21,29.57,29.73,28.72,28.89,3959600,28.76
2010-06-18,28.95,29.04,28.71,28.87,3804300,28.74
2010-06-17,29.25,29.26,28.34,28.90,6389700,28.77
2010-06-16,29.53,29.59,28.88,29.01,6347600,28.88
2010-06-15,28.99,29.55,28.71,29.53,7522000,29.39
2010-06-14,27.95,28.51,27.71,27.98,7613800,27.85
2010-06-11,26.89,27.58,26.70,27.56,5452400,27.43
2010-06-10,26.43,27.02,26.15,27.01,12268400,26.89
2010-06-09,26.31,26.35,25.71,25.90,13972000,25.78
2010-06-08,26.71,26.89,25.56,26.13,10387100,25.88
2010-06-07,27.55,27.71,26.54,26.60,5810000,26.35
2010-06-04,28.14,28.49,27.34,27.53,5615800,27.27
2010-06-03,29.25,29.49,28.70,29.16,4341400,28.88
2010-06-02,28.11,28.91,27.91,28.91,4334800,28.63
2010-06-01,28.01,28.67,27.96,27.96,5634300,27.69
2010-05-28,29.15,29.36,28.25,28.53,4221100,28.26
2010-05-27,28.65,29.29,28.55,29.29,5911900,29.01
2010-05-26,27.85,28.60,27.69,27.98,10593200,27.71
2010-05-25,26.68,27.57,26.26,27.54,8564900,27.28
2010-05-24,28.18,28.35,27.65,27.68,5152000,27.42
2010-05-21,27.07,28.82,26.90,28.19,11615100,27.92
2010-05-20,28.01,28.33,27.24,27.68,13546600,27.42
2010-05-19,29.26,29.31,28.44,28.71,12618500,28.44
