Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,32.66,32.83,32.40,32.59,3635300,32.59
2010-11-04,31.61,32.65,31.41,32.32,4895000,32.32
2010-11-03,31.54,31.57,30.68,31.24,3735900,31.24
2010-11-02,31.36,31.81,30.52,31.45,3814600,31.45
2010-11-01,31.79,31.97,30.80,31.13,4528200,31.13
2010-10-29,31.52,31.79,31.17,31.18,5637600,31.18
2010-10-28,32.37,32.56,31.40,31.69,5816200,31.69
2010-10-27,32.51,32.56,31.47,32.26,6474300,32.26
2010-10-26,32.41,33.00,32.07,32.77,3945800,32.77
2010-10-25,32.77,33.44,32.60,32.70,4757700,32.70
2010-10-22,32.61,32.90,32.40,32.55,3858000,32.55
2010-10-21,33.15,33.49,32.15,32.42,4930100,32.42
2010-10-20,32.80,33.23,32.73,32.96,3205200,32.96
2010-10-19,32.85,33.61,32.23,32.73,8190400,32.73
2010-10-18,33.47,33.60,32.47,33.30,8189000,33.30
2010-10-15,32.99,33.92,32.59,33.87,7054000,33.87
2010-10-14,33.49,33.88,32.91,33.10,5604300,33.10
2010-10-13,33.68,34.50,32.81,33.46,12896200,33.46
2010-10-12,32.97,33.95,32.76,33.81,7551000,33.81
2010-10-11,32.85,33.62,32.56,33.12,14343300,33.12
2010-10-08,32.24,33.88,32.14,32.49,39839900,32.49
2010-10-07,28.10,31.77,27.50,31.64,30731200,31.64
2010-10-06,28.44,29.23,28.42,29.00,13828900,29.00
2010-10-05,27.81,29.15,27.81,29.02,22022100,28.82
2010-10-04,27.01,27.63,26.79,27.57,15759000,27.38
2010-10-01,27.31,27.62,27.19,27.44,10039400,27.25
2010-09-30,27.22,27.30,26.55,27.18,11868300,26.99
2010-09-29,26.00,27.03,25.97,27.00,10842100,26.81
2010-09-28,25.81,26.15,25.32,26.11,6842000,25.93
2010-09-27,25.34,25.84,25.11,25.68,8068400,25.50
2010-09-24,24.90,25.66,24.87,25.55,4883100,25.37
2010-09-23,24.17,24.92,23.90,24.60,6482400,24.43
2010-09-22,24.62,24.71,24.15,24.59,8305500,24.42
2010-09-21,24.73,24.96,24.20,24.85,8546500,24.68
2010-09-20,24.35,24.94,24.26,24.85,9220900,24.68
2010-09-17,24.49,24.50,23.99,24.40,9261600,24.23
2010-09-16,24.21,24.45,23.81,24.41,7037500,24.24
2010-09-15,23.93,24.44,23.57,24.40,7588200,24.23
2010-09-14,23.06,24.24,22.98,23.99,16582100,23.82
2010-09-13,21.47,22.44,21.27,22.33,11673800,22.18
2010-09-10,20.79,21.23,20.61,21.15,3970700,21.00
2010-09-09,21.27,21.30,20.59,20.73,3150600,20.59
2010-09-08,20.81,21.21,20.81,20.97,2977500,20.83
2010-09-07,21.44,21.48,20.75,20.76,4240300,20.62
2010-09-03,21.59,21.96,21.47,21.59,5552100,21.44
2010-09-02,21.21,21.55,21.04,21.41,5487800,21.26
2010-09-01,20.31,20.76,20.20,20.75,5116700,20.61
2010-08-31,19.42,20.28,19.42,19.98,6382900,19.84
2010-08-30,20.18,20.18,19.50,19.50,5399400,19.37
2010-08-27,20.55,20.56,19.90,20.19,7147600,20.05
2010-08-26,21.17,21.21,20.31,20.32,4611300,20.18
2010-08-25,20.45,21.22,20.34,21.11,9881100,20.96
2010-08-24,20.59,20.76,20.19,20.57,8425600,20.43
2010-08-23,21.35,21.40,20.93,20.98,5770000,20.84
2010-08-20,20.48,21.26,20.44,21.18,7006100,21.03
