Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,64.75,64.84,64.10,64.65,9256100,64.65
2010-11-04,64.32,64.92,64.24,64.76,11337400,64.76
2010-11-03,63.99,64.20,63.55,64.19,9285800,64.19
2010-11-02,63.94,64.20,63.72,63.88,8632100,63.88
2010-11-01,63.88,64.09,63.31,63.69,9356000,63.69
2010-10-29,63.64,63.84,63.32,63.74,9298200,63.74
2010-10-28,63.94,64.11,63.51,63.56,10116000,63.56
2010-10-27,63.58,63.69,63.28,63.57,11889300,63.57
2010-10-26,63.85,63.95,63.61,63.84,7110900,63.84
2010-10-25,64.04,64.23,63.85,63.98,7794700,63.98
2010-10-22,64.08,64.12,63.64,63.81,6774800,63.81
2010-10-21,63.86,64.22,63.52,63.99,11052000,63.99
2010-10-20,63.32,64.03,63.06,63.60,10182200,63.60
2010-10-19,62.89,63.67,62.50,63.29,17235400,63.29
2010-10-18,63.69,63.98,63.25,63.86,10814100,63.86
2010-10-15,63.98,64.00,63.14,63.57,13241800,63.57
2010-10-14,63.79,63.80,63.39,63.74,8632700,63.74
2010-10-13,63.43,63.79,63.29,63.58,10074900,63.58
2010-10-12,63.13,63.44,62.97,63.29,8696300,63.29
2010-10-11,63.26,63.31,63.04,63.30,6172100,63.30
2010-10-08,63.38,63.39,63.03,63.23,7354800,63.23
2010-10-07,63.29,63.50,63.00,63.22,9826600,63.22
2010-10-06,62.89,63.26,62.50,63.21,11296800,63.21
2010-10-05,62.08,62.94,62.01,62.80,12335000,62.80
2010-10-04,61.54,61.98,61.30,61.67,8703600,61.67
2010-10-01,62.09,62.25,61.57,61.75,9755000,61.75
2010-09-30,62.49,62.70,61.55,61.96,12805800,61.96
2010-09-29,62.31,62.55,62.13,62.31,9590000,62.31
2010-09-28,61.96,62.60,61.69,62.43,12132800,62.43
2010-09-27,62.22,62.32,61.93,62.03,7687600,62.03
2010-09-24,61.98,62.40,61.83,62.14,12619100,62.14
2010-09-23,61.63,62.00,61.57,61.81,8393800,61.81
2010-09-22,61.98,62.50,61.90,61.97,9353300,61.97
2010-09-21,61.86,62.23,61.80,61.94,9414000,61.94
2010-09-20,61.65,62.23,61.51,62.09,10991500,62.09
2010-09-17,61.59,61.72,61.13,61.57,12229600,61.57
2010-09-16,60.82,61.39,60.76,61.29,10459300,61.29
2010-09-15,60.67,61.15,60.50,61.05,9111500,61.05
2010-09-14,60.43,60.97,60.25,60.58,9898900,60.58
2010-09-13,60.06,60.38,59.92,60.32,10685200,60.32
2010-09-10,59.94,60.00,59.77,59.98,8358800,59.98
2010-09-09,59.39,60.03,59.26,59.82,14077700,59.82
2010-09-08,58.42,59.03,58.42,58.85,8308300,58.85
2010-09-07,58.80,58.97,58.63,58.70,5625100,58.70
2010-09-03,58.85,59.00,58.50,58.93,7516700,58.93
2010-09-02,58.52,58.79,58.30,58.61,8079700,58.61
2010-09-01,57.67,58.36,57.44,58.29,11543600,58.29
2010-08-31,57.25,57.44,57.00,57.02,14563100,57.02
2010-08-30,57.60,57.80,57.26,57.30,9240100,57.30
2010-08-27,57.45,57.88,56.99,57.60,11674800,57.60
2010-08-26,58.20,58.22,57.78,57.80,12834100,57.26
2010-08-25,58.00,58.20,57.84,57.98,11675000,57.44
2010-08-24,58.50,58.69,57.86,58.01,14930400,57.47
2010-08-23,58.98,59.35,58.81,58.87,8842900,58.32
2010-08-20,58.70,58.91,58.49,58.74,11286200,58.19
2010-08-19,59.17,59.18,58.40,58.72,11949700,58.17
2010-08-18,59.46,59.82,59.03,59.35,10534900,58.80
2010-08-17,58.93,59.48,58.50,59.22,13479100,58.67
2010-08-16,57.99,58.11,57.47,58.01,8751200,57.47
2010-08-13,58.49,58.49,58.06,58.15,8546700,57.61
2010-08-12,58.15,58.71,58.10,58.52,8240500,57.97
2010-08-11,58.92,58.95,58.30,58.50,11470100,57.95
2010-08-10,59.41,59.81,58.90,59.43,13550800,58.87
2010-08-09,60.00,60.25,59.79,60.05,6674700,59.49
2010-08-06,59.52,60.00,59.25,59.96,8524100,59.40
2010-08-05,59.53,59.89,59.51,59.76,9796700,59.20
2010-08-04,59.37,59.93,59.23,59.74,10508800,59.18
2010-08-03,58.75,59.60,58.71,59.35,10855100,58.80
