Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,39.89,41.34,39.78,40.94,75603300,40.94
2010-11-04,38.14,39.85,37.86,39.80,77539600,39.80
2010-11-03,36.98,37.83,36.96,37.72,35255500,37.72
2010-11-02,37.53,37.57,36.83,36.96,39870800,36.96
2010-11-01,37.61,38.00,37.10,37.42,36917100,37.42
2010-10-29,37.45,37.74,37.32,37.63,19733300,37.63
2010-10-28,37.70,37.96,37.33,37.51,30594900,37.51
2010-10-27,37.06,37.63,37.00,37.54,30701600,37.54
2010-10-26,36.98,37.26,36.78,37.20,39188100,37.20
2010-10-25,37.97,38.07,37.00,37.07,37893500,37.07
2010-10-22,37.50,37.79,37.32,37.70,24876900,37.70
2010-10-21,38.19,38.40,36.21,37.70,38250300,37.70
2010-10-20,38.00,38.30,37.46,38.10,43497200,38.10
2010-10-19,37.90,38.65,37.50,37.69,70595100,37.69
2010-10-18,37.15,38.26,37.01,38.20,55058700,38.20
2010-10-15,38.87,38.94,36.54,37.15,142280400,37.15
2010-10-14,39.25,39.38,38.10,38.72,76504900,38.72
2010-10-13,40.66,40.72,39.58,39.84,69607700,39.84
2010-10-12,39.47,40.49,39.47,40.40,38798100,40.40
2010-10-11,39.52,39.91,39.40,39.73,24601000,39.73
2010-10-08,39.67,39.78,39.13,39.31,28178500,39.31
2010-10-07,40.11,40.32,39.20,39.52,26923900,39.52
2010-10-06,39.56,40.07,39.42,39.90,31559900,39.90
2010-10-05,39.36,39.82,39.07,39.64,42379500,39.64
2010-10-04,38.98,39.54,38.71,38.95,38886100,38.95
2010-10-01,38.34,39.09,38.29,38.81,38973800,38.76
2010-09-30,38.49,38.95,37.96,38.06,54885200,38.01
2010-09-29,38.79,38.88,38.06,38.41,40207000,38.36
2010-09-28,39.36,39.40,38.61,38.95,31442600,38.90
2010-09-27,39.54,39.67,39.01,39.08,25684900,39.03
2010-09-24,39.51,39.80,39.30,39.75,28855100,39.70
2010-09-23,39.63,39.70,38.99,39.10,33471100,39.05
2010-09-22,40.43,40.84,39.75,39.94,34546000,39.89
2010-09-21,41.31,41.50,40.47,40.59,33548900,40.54
2010-09-20,40.24,41.31,40.03,41.19,33337500,41.14
2010-09-17,41.03,41.08,39.99,40.06,45938300,40.01
2010-09-16,40.72,41.10,40.55,40.99,25207500,40.94
2010-09-15,40.51,41.14,40.34,40.98,25399500,40.93
2010-09-14,40.97,41.23,40.46,40.72,42754100,40.67
2010-09-13,40.64,41.47,40.64,41.12,41643200,41.07
2010-09-10,39.92,40.25,39.67,39.76,21928600,39.71
2010-09-09,39.93,40.32,39.12,40.10,33438800,40.05
2010-09-08,38.34,39.43,38.34,39.12,30781000,39.07
2010-09-07,38.73,38.84,38.22,38.28,31885500,38.23
2010-09-03,38.47,39.17,38.47,39.17,34135600,39.12
2010-09-02,37.84,38.20,37.49,38.16,31282900,38.11
2010-09-01,36.74,37.80,36.66,37.74,36770500,37.69
2010-08-31,35.94,36.64,35.73,36.36,34784400,36.31
2010-08-30,36.40,36.60,35.83,35.85,27306500,35.80
2010-08-27,35.87,36.69,35.55,36.60,38448800,36.55
2010-08-26,36.36,36.62,35.62,35.63,31873200,35.58
2010-08-25,35.95,36.44,35.67,36.23,36058000,36.18
2010-08-24,36.59,36.70,35.92,36.21,48709200,36.16
2010-08-23,37.21,37.41,36.84,36.88,29282800,36.83
2010-08-20,37.11,37.36,36.81,37.14,30862000,37.09
2010-08-19,37.66,37.97,37.00,37.07,35384700,37.02
2010-08-18,37.39,38.19,37.39,37.89,27041700,37.84
2010-08-17,37.97,38.07,37.40,37.48,33883800,37.43
2010-08-16,37.32,37.82,37.28,37.69,28334100,37.64
2010-08-13,37.80,38.04,37.50,37.50,24564100,37.45
2010-08-12,37.36,37.99,37.22,37.81,35387300,37.76
2010-08-11,38.65,38.78,37.75,37.77,46201600,37.72
2010-08-10,39.67,39.73,39.16,39.17,34166500,39.12
2010-08-09,40.55,40.56,39.66,39.82,37790900,39.77
2010-08-06,40.74,40.95,39.97,40.44,34906600,40.39
2010-08-05,40.97,41.43,40.94,41.27,19830500,41.22
2010-08-04,41.22,41.40,40.86,41.29,23078100,41.24
2010-08-03,41.50,41.65,40.87,41.08,29967900,41.03
2010-08-02,40.98,41.70,40.73,41.64,35566700,41.59
2010-07-30,39.72,40.69,39.72,40.28,26406500,40.23
2010-07-29,40.71,40.83,39.91,40.21,28994300,40.16
2010-07-28,40.44,40.90,40.15,40.32,23945400,40.27
2010-07-27,40.74,41.24,40.61,40.69,44872200,40.64
2010-07-26,39.80,40.36,39.50,40.33,27209400,40.28
2010-07-23,39.17,39.96,38.97,39.83,28241000,39.78
2010-07-22,38.96,39.60,38.73,39.35,35494400,39.30
2010-07-21,40.25,40.25,38.34,38.42,41115600,38.37
2010-07-20,38.32,39.64,38.28,39.63,43538200,39.58
2010-07-19,39.03,39.36,38.12,39.04,35404900,38.99
2010-07-16,40.28,40.35,38.86,39.00,58507400,38.95
2010-07-15,40.72,40.84,39.31,40.46,81876200,40.41
2010-07-14,40.15,40.38,39.84,40.35,37320600,40.30
2010-07-13,39.81,40.69,39.74,40.48,48564800,40.43
2010-07-12,38.86,39.34,38.60,39.19,24998900,39.14
2010-07-09,37.75,38.89,37.68,38.85,30422300,38.80
2010-07-08,38.78,38.82,37.15,38.16,41498200,38.11
2010-07-07,36.64,38.24,36.41,38.15,44602900,38.10
2010-07-06,36.69,36.88,35.86,36.33,35953600,36.28
2010-07-02,36.31,36.69,35.34,35.83,36796000,35.78
2010-07-01,36.54,36.69,35.16,36.08,56642900,36.03
2010-06-30,37.02,37.49,36.51,36.61,35332500,36.51
2010-06-29,37.91,37.91,36.88,37.06,56694200,36.96
2010-06-28,39.55,39.64,38.47,38.54,39962900,38.44
2010-06-25,38.78,39.60,38.28,39.44,70734200,39.34
2010-06-24,38.55,38.70,37.42,38.03,73843400,37.93
2010-06-23,38.29,39.11,38.02,38.89,45046000,38.79
2010-06-22,38.93,39.58,38.22,38.33,42245700,38.23
2010-06-21,39.55,39.78,38.66,38.87,33665100,38.77
2010-06-18,38.60,39.27,38.38,39.18,37270800,39.08
2010-06-17,38.60,38.90,37.92,38.44,34755100,38.34
2010-06-16,38.02,38.88,37.99,38.52,37217100,38.42
2010-06-15,37.55,38.28,37.26,38.25,45355600,38.15
2010-06-14,37.97,38.27,37.23,37.33,48662200,37.23
2010-06-11,37.79,38.17,37.52,38.09,31147600,37.99
2010-06-10,37.68,38.37,37.41,38.29,44302600,38.19
2010-06-09,38.15,38.16,37.01,37.12,42586000,37.02
2010-06-08,36.86,37.80,36.55,37.78,51017900,37.68
2010-06-07,37.79,38.13,36.66,36.72,44528300,36.62
2010-06-04,38.49,38.70,37.50,37.62,52868900,37.52
2010-06-03,39.86,39.94,38.62,39.10,30950400,39.00
2010-06-02,39.17,39.62,38.67,39.55,39618500,39.45
2010-06-01,39.32,39.96,38.50,38.54,37848600,38.44
2010-05-28,40.33,40.35,39.36,39.58,41252400,39.48
2010-05-27,39.58,40.49,39.40,40.42,44843000,40.31
2010-05-26,39.19,39.50,38.47,38.78,50719600,38.68
2010-05-25,37.67,39.01,37.35,38.94,66813700,38.84
2010-05-24,40.16,40.25,38.50,38.62,49141600,38.52
2010-05-21,37.02,40.16,37.02,40.05,89588800,39.94
2010-05-20,38.55,39.25,37.31,37.83,76564100,37.73
2010-05-19,38.54,39.66,38.52,39.38,64600500,39.28
