Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,49.40,49.48,49.05,49.32,4955500,49.32
2010-11-04,49.60,49.74,49.16,49.31,4757700,49.31
2010-11-03,49.65,49.96,49.21,49.57,3356300,49.57
2010-11-02,50.50,50.50,49.36,49.69,7224000,49.69
2010-11-01,50.37,50.80,50.10,50.75,4941900,50.75
2010-10-29,49.27,50.29,49.27,50.26,4072600,50.26
2010-10-28,49.14,49.82,49.05,49.38,3031900,49.38
2010-10-27,48.98,49.30,48.72,49.08,3152900,49.08
2010-10-26,49.51,49.59,49.13,49.26,2585200,49.26
2010-10-25,49.76,49.89,49.45,49.57,2369600,49.57
2010-10-22,49.55,49.70,49.17,49.55,4288100,49.55
2010-10-21,49.05,50.54,48.81,49.75,7321900,49.75
2010-10-20,49.96,50.37,49.94,50.02,1683500,50.02
2010-10-19,49.84,50.31,49.59,49.90,2183400,49.90
2010-10-18,50.16,50.16,49.93,50.10,2210600,50.10
2010-10-15,50.70,50.75,49.94,50.08,3004700,50.08
2010-10-14,50.85,51.10,50.26,50.37,2460600,50.37
2010-10-13,50.22,50.92,50.22,50.81,2739300,50.81
2010-10-12,49.76,50.16,49.53,50.03,1903700,50.03
2010-10-11,49.91,50.02,49.70,49.82,1471600,49.82
2010-10-08,50.17,50.30,49.65,49.97,2447700,49.97
2010-10-07,50.73,50.77,50.02,50.20,1517600,50.20
2010-10-06,50.63,50.91,50.38,50.49,2520300,50.49
2010-10-05,50.80,51.00,50.59,50.64,3559600,50.64
2010-10-04,50.59,50.97,50.34,50.58,1986800,50.58
2010-10-01,50.54,51.00,50.52,50.91,2041900,50.91
2010-09-30,50.69,50.99,50.13,50.51,2165100,50.51
2010-09-29,50.53,50.82,50.35,50.62,1164800,50.62
2010-09-28,50.71,50.88,50.21,50.66,1707200,50.66
2010-09-27,50.94,51.00,50.60,50.61,1480800,50.61
2010-09-24,50.83,51.05,50.79,51.00,2180800,51.00
2010-09-23,50.30,50.80,50.25,50.56,1641400,50.56
2010-09-22,50.47,51.00,50.47,50.77,2035100,50.77
2010-09-21,50.60,50.83,50.03,50.36,2846500,50.36
2010-09-20,50.75,50.88,50.59,50.82,1999400,50.82
2010-09-17,51.00,51.11,50.57,50.58,2214100,50.58
2010-09-16,51.00,51.07,50.61,50.98,1531400,50.98
2010-09-15,50.74,51.03,50.40,51.00,1999800,51.00
2010-09-14,51.06,51.06,50.62,50.71,1806500,50.71
2010-09-13,51.45,51.52,50.97,51.31,1356000,51.31
2010-09-10,50.61,51.32,50.61,51.27,1955100,51.27
2010-09-09,50.98,50.98,50.67,50.89,1216000,50.89
2010-09-08,50.05,50.75,50.05,50.56,1584500,50.56
2010-09-07,50.23,50.53,50.03,50.07,1180300,50.07
