Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,8.54,8.76,8.30,8.40,34332100,8.40
2010-11-04,8.54,8.69,8.42,8.61,21008800,8.61
2010-11-03,8.41,8.52,8.33,8.50,12385800,8.50
2010-11-02,8.32,8.40,8.24,8.39,11050200,8.39
2010-11-01,8.24,8.29,8.05,8.23,11184200,8.23
2010-10-29,8.20,8.26,8.17,8.20,9139700,8.20
2010-10-28,8.25,8.27,8.11,8.21,6368100,8.21
2010-10-27,7.99,8.22,7.96,8.18,9978400,8.18
2010-10-26,8.03,8.15,8.00,8.05,9368000,8.05
2010-10-25,8.40,8.42,8.03,8.08,13397400,8.08
2010-10-22,8.71,8.73,8.18,8.30,32991900,8.30
2010-10-21,8.15,8.35,8.10,8.34,24579900,8.34
2010-10-20,8.23,8.24,7.98,8.08,18559200,8.08
2010-10-19,8.16,8.46,8.16,8.30,15546000,8.30
2010-10-18,8.01,8.41,7.97,8.30,12405400,8.30
2010-10-15,8.20,8.23,7.93,8.03,9722200,8.03
2010-10-14,8.27,8.27,7.98,8.18,13226700,8.18
2010-10-13,8.47,8.51,8.26,8.29,10350700,8.29
2010-10-12,8.45,8.55,8.38,8.50,13446100,8.50
2010-10-11,8.44,8.50,8.35,8.48,6761800,8.48
2010-10-08,8.47,8.53,8.35,8.40,8889100,8.40
2010-10-07,8.45,8.54,8.26,8.48,11069900,8.48
2010-10-06,8.45,8.54,8.27,8.33,14261000,8.33
2010-10-05,8.16,8.51,8.06,8.46,18295000,8.46
2010-10-04,8.10,8.25,8.05,8.07,12287400,8.07
2010-10-01,8.15,8.25,8.07,8.11,17373200,8.11
2010-09-30,7.97,8.20,7.94,7.96,12230900,7.96
2010-09-29,7.86,8.07,7.80,7.95,11133500,7.95
2010-09-28,7.87,7.94,7.77,7.91,12568200,7.91
2010-09-27,7.87,8.03,7.83,7.84,11022200,7.84
2010-09-24,7.83,8.00,7.73,7.90,13200600,7.90
2010-09-23,7.80,8.00,7.62,7.65,15417800,7.65
2010-09-22,8.15,8.23,7.86,7.88,12612000,7.88
2010-09-21,8.38,8.49,8.14,8.16,11143700,8.16
