Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,17.66,18.22,17.61,18.08,4443900,18.08
2010-11-04,18.22,18.40,16.90,17.61,10965600,17.61
2010-11-03,17.14,17.28,16.85,16.93,4148700,16.93
2010-11-02,17.36,17.46,16.98,17.06,5191000,17.06
2010-11-01,17.31,17.50,17.07,17.20,3246900,17.20
2010-10-29,17.13,17.38,17.13,17.21,3375000,17.21
2010-10-28,17.13,17.28,16.88,17.23,2420800,17.23
2010-10-27,16.97,17.11,16.90,17.04,3486900,17.04
2010-10-26,17.18,17.21,16.99,17.07,2930000,17.07
2010-10-25,17.50,17.50,17.22,17.27,3384900,17.27
2010-10-22,17.39,17.49,17.29,17.33,2840800,17.33
2010-10-21,17.37,17.48,17.27,17.38,5929200,17.38
2010-10-20,16.82,17.42,16.80,17.30,4728600,17.30
2010-10-19,16.83,17.10,16.72,16.80,4086300,16.80
2010-10-18,17.01,17.14,16.95,17.11,4258400,17.11
2010-10-15,16.94,17.11,16.82,17.03,7364800,17.03
2010-10-14,16.89,17.01,16.58,16.74,3715600,16.74
2010-10-13,17.00,17.16,16.87,16.96,3542000,16.96
2010-10-12,16.77,16.95,16.67,16.90,3630000,16.90
2010-10-11,16.81,16.96,16.74,16.78,3145100,16.78
2010-10-08,16.86,16.93,16.71,16.82,4267700,16.82
2010-10-07,16.91,17.00,16.76,16.80,6049400,16.80
2010-10-06,16.62,16.83,16.54,16.81,7091000,16.81
2010-10-05,16.48,16.76,16.22,16.66,6469500,16.66
2010-10-04,15.76,16.30,15.75,16.27,7027000,16.27
2010-10-01,15.75,15.89,15.64,15.79,6037600,15.79
2010-09-30,15.92,16.10,15.59,15.74,7041400,15.58
2010-09-29,16.06,16.13,15.67,15.75,5776800,15.59
2010-09-28,16.26,16.28,15.92,16.19,6502000,16.03
2010-09-27,16.64,16.64,16.16,16.20,3619200,16.04
2010-09-24,16.35,16.70,16.35,16.65,4306200,16.48
2010-09-23,16.49,16.69,16.08,16.10,9112600,15.94
2010-09-22,16.69,16.93,16.53,16.67,10993700,16.50
2010-09-21,16.83,17.05,16.69,16.79,14539900,16.62
2010-09-20,16.10,16.84,16.10,16.80,5765400,16.63
2010-09-17,15.97,16.16,15.82,16.14,5242700,15.98
2010-09-16,15.97,16.02,15.84,15.91,3396700,15.75
2010-09-15,15.80,16.00,15.74,16.00,2715300,15.84
2010-09-14,15.78,16.00,15.69,15.88,2859400,15.72
2010-09-13,15.82,15.89,15.62,15.86,2312300,15.70
2010-09-10,15.43,15.69,15.32,15.55,2136100,15.39
2010-09-09,15.77,15.83,15.30,15.43,2383400,15.27
2010-09-08,15.63,15.73,15.43,15.52,2763500,15.36
2010-09-07,15.66,15.77,15.52,15.54,2792300,15.38
2010-09-03,15.76,15.88,15.61,15.85,2472800,15.69
2010-09-02,15.26,15.64,15.14,15.59,3914000,15.43
2010-09-01,15.17,15.32,15.05,15.30,6501300,15.14
2010-08-31,14.80,14.99,14.67,14.91,4288600,14.76
2010-08-30,14.88,15.06,14.81,14.81,4118300,14.66
2010-08-27,14.76,14.97,14.35,14.95,4109700,14.80
2010-08-26,14.68,14.85,14.52,14.67,5014800,14.52
2010-08-25,14.08,14.69,14.08,14.61,4182000,14.46
2010-08-24,14.11,14.42,14.00,14.23,3681400,14.09
2010-08-23,14.51,14.56,14.34,14.38,2593500,14.23
2010-08-20,14.36,14.48,14.25,14.38,2946200,14.23
2010-08-19,15.03,15.08,14.44,14.49,4550700,14.34
2010-08-18,15.09,15.25,15.01,15.13,4018300,14.98
2010-08-17,14.85,15.21,14.66,15.11,4897700,14.96
2010-08-16,14.48,14.75,14.29,14.68,3896900,14.53
2010-08-13,14.53,14.83,14.50,14.58,4833300,14.43
2010-08-12,14.44,14.66,14.41,14.55,6740300,14.40
2010-08-11,14.61,14.93,14.55,14.65,5714300,14.50
2010-08-10,15.06,15.16,14.81,15.00,4135400,14.85
2010-08-09,15.22,15.27,15.01,15.25,3101300,15.09
2010-08-06,15.15,15.29,14.85,15.06,5035900,14.91
2010-08-05,15.07,15.47,15.04,15.32,4649700,15.16
2010-08-04,15.14,15.28,14.98,15.20,4673300,15.05
2010-08-03,15.35,15.36,14.99,15.11,5404000,14.96
2010-08-02,15.36,15.62,15.27,15.48,5688800,15.32
2010-07-30,14.88,15.19,14.80,15.07,5743300,14.92
