Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,37.81,38.14,37.37,37.57,2130000,37.57
2010-11-04,36.66,37.81,36.47,37.81,3004300,37.81
2010-11-03,35.72,36.11,35.52,36.08,2691200,36.08
2010-11-02,35.76,35.91,35.15,35.86,2867600,35.86
2010-11-01,35.77,35.99,35.27,35.56,3417300,35.56
2010-10-29,35.44,35.86,35.12,35.72,4311400,35.72
2010-10-28,35.78,36.19,35.41,35.48,6284500,35.48
2010-10-27,35.69,36.58,35.56,36.56,3198900,36.56
2010-10-26,36.63,36.68,35.78,35.99,3504800,35.99
2010-10-25,36.22,37.06,36.16,36.81,3094600,36.81
2010-10-22,36.00,36.20,35.74,35.99,3563300,35.99
2010-10-21,35.74,36.08,35.52,35.90,3301200,35.90
2010-10-20,35.32,35.80,35.02,35.59,2323600,35.59
2010-10-19,35.20,36.21,34.81,35.16,3790300,35.16
2010-10-18,35.73,35.75,35.14,35.65,2304100,35.65
2010-10-15,35.24,35.71,34.70,35.67,3900700,35.67
2010-10-14,34.81,35.29,34.67,34.96,2248600,34.96
2010-10-13,34.85,35.15,34.56,34.96,2621200,34.96
2010-10-12,34.30,34.91,34.15,34.69,3945500,34.69
2010-10-11,34.41,35.13,34.20,34.52,2758300,34.52
2010-10-08,34.10,34.55,33.01,34.45,6376900,34.45
2010-10-07,34.80,35.18,34.32,35.00,2684400,35.00
2010-10-06,35.16,35.18,34.23,34.70,3576800,34.70
2010-10-05,34.68,35.27,34.58,35.16,3729400,35.16
2010-10-04,34.85,35.00,34.00,34.24,4113400,34.24
2010-10-01,35.46,35.74,34.67,35.01,3800100,35.01
2010-09-30,35.28,35.70,34.68,35.23,4902800,35.23
2010-09-29,34.78,35.32,34.66,35.12,4376700,35.12
2010-09-28,34.05,34.99,33.60,34.90,4594600,34.90
2010-09-27,33.43,34.06,33.20,33.81,2845300,33.81
2010-09-24,33.09,33.69,33.04,33.45,5274100,33.45
2010-09-23,31.63,33.38,31.44,32.81,5512800,32.81
2010-09-22,32.02,32.46,31.60,32.01,5305300,32.01
2010-09-21,31.49,32.33,31.32,32.29,5989400,32.29
2010-09-20,31.14,31.62,30.83,31.55,3607700,31.55
2010-09-17,31.19,31.35,30.77,31.05,4184800,31.05
2010-09-16,29.82,31.21,29.82,31.08,7658300,31.08
2010-09-15,29.59,30.09,29.34,30.01,1628200,30.01
2010-09-14,29.14,30.17,28.90,29.81,2444400,29.81
2010-09-13,28.83,29.50,28.83,29.29,2426400,29.29
2010-09-10,29.02,29.08,27.94,28.43,2918800,28.43
2010-09-09,29.19,29.23,28.59,28.91,2763500,28.91
2010-09-08,28.84,29.10,28.27,28.76,3455000,28.76
2010-09-07,29.64,29.85,28.49,28.66,4148700,28.66
2010-09-03,30.27,30.46,29.62,30.35,2186600,30.35
2010-09-02,28.97,29.80,28.88,29.77,3144200,29.77
2010-09-01,28.59,29.32,28.43,28.99,3183500,28.99
2010-08-31,28.19,28.60,27.75,28.01,3687900,28.01
2010-08-30,28.92,29.24,28.41,28.41,1888600,28.41
2010-08-27,28.83,29.22,27.85,29.13,3793800,29.13
2010-08-26,29.22,29.31,28.42,28.60,2563300,28.60
2010-08-25,28.40,29.11,27.91,29.04,3592500,29.04
