Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,63.00,63.09,62.50,63.03,2646600,63.03
2010-11-04,63.21,63.25,62.85,62.98,2840300,62.98
2010-11-03,62.98,63.00,62.47,62.97,2330400,62.97
2010-11-02,62.51,63.06,62.14,62.95,3664200,62.95
2010-11-01,63.34,63.37,62.00,62.17,4234300,62.17
2010-10-29,62.45,63.37,62.41,63.34,3671900,63.34
2010-10-28,62.67,62.83,62.30,62.54,3855600,62.54
2010-10-27,62.80,63.07,62.10,62.35,5288300,62.35
2010-10-26,64.89,64.90,62.41,62.61,10718300,62.61
2010-10-25,66.86,66.98,66.37,66.47,2717500,66.47
2010-10-22,66.56,66.92,66.31,66.56,1855600,66.56
2010-10-21,66.83,67.07,66.58,66.86,1523700,66.86
2010-10-20,66.20,66.97,66.17,66.58,1792100,66.58
2010-10-19,66.48,66.49,65.40,66.07,4041300,66.07
2010-10-18,66.47,66.86,66.41,66.81,3153500,66.81
2010-10-15,66.58,66.72,66.27,66.38,2407900,66.38
2010-10-14,66.64,66.87,66.06,66.44,2612000,66.44
2010-10-13,66.83,67.23,66.65,66.82,1867100,66.82
2010-10-12,66.50,66.90,66.18,66.69,1654000,66.69
2010-10-11,66.23,66.74,66.12,66.33,1282900,66.33
2010-10-08,66.22,66.61,66.08,66.45,1679500,66.45
2010-10-07,66.34,66.34,65.84,66.08,1657800,66.08
2010-10-06,65.47,66.21,65.45,66.04,2520300,66.04
2010-10-05,65.59,65.77,65.19,65.51,2207800,65.51
2010-10-04,65.07,65.56,64.99,65.18,1833100,65.18
2010-10-01,65.07,65.53,64.86,65.03,2124400,65.03
2010-09-30,65.30,65.40,64.78,65.05,2940300,65.05
2010-09-29,64.72,65.17,64.41,65.06,3066700,65.06
2010-09-28,65.45,65.45,64.71,64.72,3981900,64.72
2010-09-27,66.01,66.08,65.29,65.32,3393500,65.32
2010-09-24,66.42,66.60,66.01,66.05,3486000,66.05
2010-09-23,66.46,66.81,66.10,66.48,1413800,66.48
2010-09-22,66.54,67.05,66.51,66.76,2964800,66.76
2010-09-21,66.88,66.88,66.21,66.51,3650600,66.51
2010-09-20,66.71,67.24,66.70,66.91,3045400,66.91
2010-09-17,66.66,66.93,66.35,66.37,3214100,66.37
2010-09-16,66.30,66.72,66.26,66.59,2782700,66.59
2010-09-15,66.48,66.68,66.26,66.61,2166800,66.61
2010-09-14,66.38,66.67,66.32,66.46,1782100,66.46
2010-09-13,66.64,66.86,66.32,66.49,1466500,66.49
2010-09-10,66.17,66.39,66.00,66.26,1391900,66.26
2010-09-09,66.34,66.41,65.92,66.12,1804700,66.12
2010-09-08,65.69,66.51,65.51,66.08,2743800,66.08
2010-09-07,65.95,66.60,65.95,66.35,2788400,65.69
2010-09-03,66.11,66.18,65.55,66.18,2167700,65.52
2010-09-02,65.40,65.96,65.40,65.89,2331700,65.23
2010-09-01,64.73,65.50,64.55,65.39,3200800,64.74
2010-08-31,64.09,64.59,63.90,64.40,2902900,63.76
2010-08-30,64.43,64.61,64.00,64.16,2041700,63.52
2010-08-27,64.22,64.49,63.75,64.46,1986500,63.82
2010-08-26,64.52,64.64,63.95,64.09,2401900,63.45
2010-08-25,64.59,64.89,64.22,64.48,2799900,63.84
2010-08-24,64.39,65.16,64.39,64.72,3082700,64.08
2010-08-23,65.04,65.36,64.94,64.96,2491000,64.31
2010-08-20,64.38,64.85,64.38,64.71,1985500,64.07
2010-08-19,65.02,65.26,64.45,64.79,2352300,64.15
2010-08-18,65.03,65.47,64.80,65.28,3384900,64.63
2010-08-17,65.16,65.49,64.80,64.92,3136300,64.27
2010-08-16,64.65,65.11,64.29,65.11,2584300,64.46
2010-08-13,65.07,65.18,64.73,64.81,2243900,64.17
2010-08-12,64.69,65.32,64.54,65.23,3358200,64.58
2010-08-11,65.32,65.71,65.08,65.12,2796400,64.47
2010-08-10,65.59,66.25,65.52,66.02,2824700,65.36
2010-08-09,65.37,65.96,65.28,65.87,2328800,65.21
2010-08-06,65.02,65.29,64.50,65.29,2023900,64.64
2010-08-05,65.12,65.42,65.01,65.31,2173000,64.66
2010-08-04,64.97,65.50,64.83,65.34,2238200,64.69
2010-08-03,64.81,65.05,64.60,64.80,2599800,64.16
2010-08-02,64.55,65.15,64.35,65.13,2892800,64.48
2010-07-30,63.65,64.33,63.59,64.12,2878100,63.48
2010-07-29,64.54,64.73,63.21,63.94,2433400,63.30
2010-07-28,64.95,65.00,63.60,64.41,2288700,63.77
2010-07-27,64.23,65.01,63.87,64.91,3192800,64.26
2010-07-26,63.86,64.19,63.42,64.13,1975800,63.49
2010-07-23,62.75,64.16,62.68,63.64,2999600,63.01
2010-07-22,62.78,63.42,62.68,62.96,2704100,62.33
2010-07-21,63.67,63.67,62.06,62.36,2871100,61.74
2010-07-20,62.22,63.47,62.13,63.45,3173300,62.82
2010-07-19,62.40,62.66,62.24,62.62,2712000,62.00
2010-07-16,62.27,62.55,61.81,62.06,2747600,61.44
2010-07-15,62.41,62.63,62.03,62.53,2144600,61.91
2010-07-14,62.15,62.46,62.03,62.33,2104400,61.71
2010-07-13,62.44,62.60,62.10,62.37,1799100,61.75
2010-07-12,61.68,61.98,61.51,61.93,2006600,61.31
2010-07-09,61.76,61.99,61.38,61.70,2070500,61.09
2010-07-08,61.60,61.91,61.49,61.91,2519000,61.29
2010-07-07,60.32,61.39,60.00,61.29,3059900,60.68
2010-07-06,60.99,61.15,59.62,60.19,3868900,59.59
2010-07-02,60.91,61.01,60.45,60.49,2097600,59.89
2010-07-01,60.58,60.72,59.90,60.64,3589600,60.04
2010-06-30,61.02,61.49,60.47,60.63,3237500,60.03
2010-06-29,61.13,61.68,60.74,60.97,3828800,60.36
2010-06-28,61.82,62.02,61.17,61.76,2340000,61.15
2010-06-25,62.06,62.14,61.40,61.47,4379700,60.86
2010-06-24,62.11,62.39,61.76,61.89,3360500,61.27
2010-06-23,62.31,62.53,61.97,62.33,2352600,61.71
2010-06-22,62.69,63.15,62.31,62.37,2512000,61.75
2010-06-21,63.33,63.49,62.47,62.69,2110500,62.07
2010-06-18,63.30,63.39,62.73,62.78,2553900,62.16
2010-06-17,63.17,63.24,62.51,63.13,2392400,62.50
2010-06-16,62.77,63.18,62.70,62.83,2605000,62.21
2010-06-15,62.74,63.06,62.63,63.03,2421300,62.40
2010-06-14,62.51,62.86,62.42,62.45,2536500,61.83
2010-06-11,61.96,62.20,61.41,62.15,2294900,61.53
2010-06-10,62.33,62.64,62.07,62.22,2885100,61.60
2010-06-09,61.79,62.16,61.43,61.77,2956000,61.16
2010-06-08,60.88,61.73,60.74,61.66,3759700,61.05
2010-06-07,60.19,61.25,60.19,60.88,4194600,60.27
2010-06-04,60.73,60.83,59.98,60.18,6271200,59.58
2010-06-03,61.24,61.45,60.92,61.28,2505000,60.67
2010-06-02,60.64,61.10,60.01,61.10,3102100,60.49
2010-06-01,60.42,61.88,60.11,61.12,4701200,59.86
2010-05-28,61.36,61.37,60.60,60.70,3015200,59.45
2010-05-27,60.88,61.19,60.53,61.18,2341800,59.92
2010-05-26,60.85,61.18,60.21,60.25,3116400,59.01
2010-05-25,60.24,60.69,59.57,60.55,4467800,59.30
2010-05-24,61.39,61.65,60.94,60.98,2717400,59.72
2010-05-21,60.51,61.65,60.02,61.62,4582800,60.35
2010-05-20,61.01,62.12,60.94,61.23,5906000,59.97
2010-05-19,61.80,62.41,61.29,62.00,4221000,60.72
2010-05-18,62.65,62.84,61.85,62.00,3571300,60.72
2010-05-17,61.81,62.45,61.45,62.29,2974200,61.00
2010-05-14,61.96,62.20,61.39,61.61,2750700,60.34
2010-05-13,62.85,62.91,62.14,62.18,2338300,60.90
2010-05-12,62.99,63.10,62.29,62.80,3518100,61.50
2010-05-11,62.63,63.24,62.48,62.79,3222500,61.49
2010-05-10,62.42,63.14,62.31,62.93,6533800,61.63
2010-05-07,60.91,61.26,60.16,61.00,8649400,59.74
2010-05-06,61.36,61.82,59.78,61.09,6548300,59.83
2010-05-05,61.13,62.02,61.13,61.52,3273300,60.25
2010-05-04,60.78,61.42,60.54,61.19,4255700,59.93
2010-05-03,61.34,61.48,60.94,61.15,2483100,59.89
2010-04-30,61.43,62.04,61.25,61.26,2975900,60.00
2010-04-29,61.31,61.62,60.84,61.28,2413200,60.02
2010-04-28,61.03,61.41,60.53,61.02,2818000,59.76
2010-04-27,60.87,61.47,60.69,60.72,3805200,59.47
2010-04-26,61.55,61.55,60.65,60.94,3846900,59.68
2010-04-23,62.28,62.28,60.51,60.93,4286600,59.67
2010-04-22,62.68,62.75,61.60,62.12,3411300,60.84
2010-04-21,62.69,63.04,62.50,62.95,2797100,61.65
2010-04-20,62.42,62.57,61.97,62.53,3139800,61.24
2010-04-19,61.68,62.19,61.68,62.15,3304600,60.87
2010-04-16,61.31,62.23,61.31,61.82,2748100,60.54
2010-04-15,61.10,61.90,60.97,61.59,2455100,60.32
2010-04-14,61.12,61.34,60.78,61.24,2618900,59.98
2010-04-13,61.37,61.42,60.90,61.06,2436400,59.80
2010-04-12,61.94,62.00,61.18,61.39,2420500,60.12
2010-04-09,61.32,61.68,61.10,61.68,1870000,60.41
2010-04-08,61.37,61.62,61.18,61.33,2358600,60.06
2010-04-07,61.85,61.98,61.39,61.54,2845100,60.27
2010-04-06,62.25,62.44,61.65,62.20,2370100,60.92
2010-04-05,62.85,62.88,62.09,62.26,2332700,60.98
2010-04-01,63.18,63.18,61.98,62.50,3240500,61.21
2010-03-31,62.92,63.13,62.51,62.88,2035500,61.58
2010-03-30,63.33,63.44,62.95,63.14,1604300,61.84
2010-03-29,62.88,63.42,62.71,63.22,2052100,61.92
2010-03-26,63.07,63.30,62.50,62.81,2598200,61.51
2010-03-25,63.11,63.35,62.58,63.04,3214400,61.74
2010-03-24,63.49,63.49,62.70,62.89,1952400,61.59
2010-03-23,63.28,63.60,62.85,63.51,3225200,62.20
2010-03-22,61.46,63.06,61.46,63.00,4773400,61.70
2010-03-19,61.39,61.59,61.08,61.43,3711000,60.16
2010-03-18,61.02,61.34,60.82,61.29,2946600,60.03
2010-03-17,60.61,61.02,60.25,60.93,2897100,59.67
2010-03-16,59.78,60.54,59.75,60.53,4344300,59.28
2010-03-15,60.15,60.35,59.86,60.35,2505100,59.10
2010-03-12,59.81,60.22,59.58,60.08,3690000,58.84
2010-03-11,59.62,59.75,59.23,59.71,3012600,58.48
2010-03-10,60.10,60.10,59.25,59.48,3764000,58.25
2010-03-09,60.01,60.32,59.99,60.01,2145400,58.77
2010-03-08,60.21,60.26,59.70,60.12,2692300,58.88
2010-03-05,60.24,60.46,59.78,60.11,2982400,58.87
2010-03-04,60.30,60.45,59.61,60.04,3115600,58.80
2010-03-03,59.95,60.39,59.90,60.02,2595900,58.78
2010-03-02,59.94,60.60,59.18,60.34,6422800,58.45
2010-03-01,61.44,61.44,60.54,60.75,3103900,58.85
2010-02-26,60.64,61.05,60.33,60.74,2662600,58.84
2010-02-25,60.02,60.44,59.57,60.40,2574200,58.51
2010-02-24,60.58,60.63,60.10,60.30,2964900,58.41
2010-02-23,59.80,60.62,59.60,60.38,3110400,58.49
2010-02-22,60.38,60.63,59.80,59.90,2405700,58.02
2010-02-19,60.35,60.59,59.90,60.25,2128600,58.36
2010-02-18,59.30,60.54,59.25,60.40,2238700,58.51
2010-02-17,59.41,59.64,59.25,59.35,2582600,57.49
2010-02-16,59.00,59.26,58.70,59.26,2782100,57.40
2010-02-12,58.95,59.15,58.54,58.86,2622600,57.01
2010-02-11,59.10,59.40,58.72,59.19,2252700,57.33
2010-02-10,59.47,59.61,58.66,58.93,2516900,57.08
2010-02-09,59.46,59.94,59.06,59.62,2277900,57.75
2010-02-08,59.16,59.58,58.58,58.95,2727200,57.10
2010-02-05,59.22,59.53,58.25,58.96,3078200,57.11
2010-02-04,60.01,60.25,59.18,59.23,2515200,57.37
2010-02-03,60.59,60.59,59.77,60.39,3336100,58.50
2010-02-02,59.67,60.87,59.27,60.68,3177900,58.78
2010-02-01,59.93,59.93,59.01,59.51,3274500,57.64
2010-01-29,59.48,60.18,59.08,59.39,3658900,57.53
2010-01-28,59.82,60.08,59.07,59.11,4226800,57.26
2010-01-27,60.12,60.45,59.19,59.50,3795800,57.63
2010-01-26,60.75,60.75,59.78,60.11,3995900,58.23
2010-01-25,60.75,60.80,59.75,60.45,2948400,58.55
2010-01-22,59.90,61.48,59.58,60.23,4188900,58.34
2010-01-21,62.23,62.52,61.00,61.11,3384500,59.19
2010-01-20,62.61,62.61,61.22,62.09,2669100,60.14
2010-01-19,62.38,63.25,62.31,62.80,3209200,60.83
2010-01-15,62.84,62.96,62.13,62.22,3538200,60.27
2010-01-14,63.68,63.68,62.91,63.02,1936100,61.04
2010-01-13,63.27,63.70,63.00,63.62,1825700,61.63
2010-01-12,62.53,63.41,62.40,63.02,2451600,61.04
