Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,23.24,23.25,22.85,23.11,4767800,23.11
2010-11-04,23.06,23.47,23.00,23.21,7246000,23.21
2010-11-03,22.61,22.82,22.48,22.75,5275400,22.75
2010-11-02,22.21,22.64,22.07,22.54,6585000,22.54
2010-11-01,22.05,22.26,21.85,22.01,3229100,22.01
2010-10-29,22.15,22.18,21.96,22.00,5482600,22.00
2010-10-28,22.21,22.25,21.94,22.17,6037100,22.17
2010-10-27,21.87,22.22,21.73,22.20,5797900,22.20
2010-10-26,21.74,22.19,21.67,22.07,6363400,22.07
2010-10-25,21.83,21.97,21.75,21.76,3748300,21.76
2010-10-22,21.73,21.92,21.65,21.80,4002900,21.80
2010-10-21,21.77,21.86,21.56,21.75,4350700,21.75
2010-10-20,21.47,21.87,21.41,21.76,4978800,21.76
2010-10-19,21.88,21.94,21.37,21.42,9315700,21.42
2010-10-18,22.01,22.31,21.93,22.19,6167800,22.19
2010-10-15,22.21,22.30,22.00,22.01,6407100,22.01
2010-10-14,21.96,22.37,21.88,22.15,8731300,22.15
2010-10-13,21.74,22.11,21.70,22.01,6906000,22.01
2010-10-12,21.54,21.71,21.43,21.69,4792100,21.69
2010-10-11,21.25,21.64,21.21,21.59,5556600,21.59
2010-10-08,21.30,21.40,21.10,21.29,6926300,21.29
2010-10-07,21.30,21.37,21.18,21.32,8200200,21.32
2010-10-06,21.35,21.46,21.22,21.22,6904200,21.22
2010-10-05,21.44,21.77,21.36,21.37,9615000,21.37
2010-10-04,21.72,21.72,21.30,21.36,5903500,21.36
2010-10-01,21.86,21.86,21.53,21.72,5480100,21.72
2010-09-30,21.80,21.93,21.52,21.66,5991400,21.66
2010-09-29,21.83,21.84,21.53,21.63,5780700,21.63
2010-09-28,21.98,22.00,21.59,21.88,6402100,21.88
2010-09-27,22.01,22.07,21.89,21.92,5140000,21.92
2010-09-24,22.01,22.29,21.95,22.09,4362000,22.09
2010-09-23,21.44,22.00,21.42,21.87,6015200,21.87
2010-09-22,21.61,21.75,21.45,21.62,5077200,21.62
2010-09-21,21.87,21.87,21.54,21.60,4640200,21.60
2010-09-20,21.79,21.90,21.49,21.88,6698600,21.88
2010-09-17,22.00,22.14,21.61,21.79,8346000,21.79
2010-09-16,21.48,21.97,21.42,21.88,8321800,21.88
2010-09-15,21.19,21.57,21.17,21.49,4793100,21.49
2010-09-14,21.62,21.93,21.26,21.26,10155700,21.26
2010-09-13,21.40,21.40,20.93,21.04,5994700,21.04
2010-09-10,21.00,21.38,21.00,21.25,7121700,21.25
2010-09-09,20.96,21.15,20.85,21.01,5822200,21.01
2010-09-08,20.69,20.87,20.57,20.70,5662100,20.70
2010-09-07,20.68,20.84,20.60,20.70,5023400,20.70
2010-09-03,20.44,20.69,20.30,20.69,4433800,20.69
2010-09-02,20.07,20.40,20.06,20.38,3610700,20.38
2010-09-01,19.91,20.24,19.84,20.06,5554200,20.06
2010-08-31,20.00,20.00,19.67,19.73,5162500,19.73
2010-08-30,20.30,20.35,19.92,19.92,4867100,19.92
2010-08-27,20.47,20.49,20.18,20.33,5362800,20.33
2010-08-26,20.70,20.75,20.33,20.36,4150200,20.36
2010-08-25,20.45,20.77,20.37,20.69,3473400,20.69
2010-08-24,20.71,20.85,20.47,20.54,5390500,20.54
2010-08-23,21.28,21.39,20.91,20.91,6012600,20.91
2010-08-20,20.92,21.18,20.91,21.13,3941200,21.13
2010-08-19,21.34,21.37,20.98,21.09,6519900,21.09
