Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,52.00,53.35,51.30,53.30,6575500,53.30
2010-11-04,50.97,52.18,48.99,51.92,24136800,51.92
2010-11-03,51.37,51.48,50.09,50.76,6549600,50.76
2010-11-02,51.74,51.90,50.98,51.23,6139200,51.23
2010-11-01,51.45,52.03,51.02,51.64,4544800,51.64
2010-10-29,51.80,51.92,51.00,51.22,4634000,51.22
2010-10-28,52.17,52.42,51.40,51.99,2621000,51.99
2010-10-27,52.10,52.19,51.26,51.91,3831900,51.91
2010-10-26,52.62,53.11,51.93,52.48,3817400,52.48
2010-10-25,53.11,53.99,52.74,52.85,3594700,52.85
2010-10-22,52.72,53.17,52.18,52.89,2704700,52.89
2010-10-21,52.11,53.25,52.00,52.73,5514900,52.73
2010-10-20,52.11,52.28,51.76,51.94,3232400,51.94
2010-10-19,52.38,52.62,51.64,51.99,3716300,51.99
2010-10-18,53.32,53.45,52.45,52.93,3514400,52.93
2010-10-15,52.81,53.24,51.97,53.17,4613400,53.17
2010-10-14,53.03,53.58,51.87,52.33,5694400,52.33
2010-10-13,53.73,53.83,52.94,53.01,3001500,53.01
2010-10-12,53.60,53.71,52.96,53.46,2589000,53.46
2010-10-11,53.86,54.12,53.32,53.56,2392500,53.56
2010-10-08,53.00,54.22,52.77,53.76,3856100,53.76
2010-10-07,53.10,53.10,51.91,52.78,5220600,52.78
2010-10-06,52.61,53.07,52.26,53.07,4586900,53.07
2010-10-05,52.75,52.87,52.13,52.60,4728900,52.60
2010-10-04,52.29,52.90,51.92,52.39,3540000,52.39
2010-10-01,53.22,53.51,52.50,52.64,2812500,52.64
2010-09-30,53.33,53.44,52.26,52.68,2864700,52.68
2010-09-29,52.95,53.16,52.73,52.96,2379300,52.96
2010-09-28,52.14,53.19,51.49,52.98,3192000,52.98
2010-09-27,52.17,52.57,52.12,52.14,3353100,52.14
2010-09-24,51.72,52.63,51.33,52.31,4241700,52.31
2010-09-23,50.77,51.74,50.50,50.91,2119800,50.91
2010-09-22,51.34,51.75,51.01,51.12,3479200,51.12
2010-09-21,51.83,51.99,51.13,51.50,2620300,51.50
2010-09-20,51.10,51.92,50.75,51.79,3037300,51.79
2010-09-17,50.73,50.96,49.76,50.90,5703800,50.90
2010-09-16,50.06,50.64,49.88,50.64,3250000,50.64
2010-09-15,49.95,50.18,49.28,50.14,5014900,50.14
2010-09-14,48.81,50.80,48.81,50.13,5781800,50.13
2010-09-13,49.13,49.38,48.29,48.49,4658000,48.49
2010-09-10,48.53,48.99,48.42,48.66,2370700,48.66
2010-09-09,49.38,49.64,48.28,48.45,2569300,48.45
2010-09-08,49.14,49.53,48.35,48.90,3944500,48.90
2010-09-07,49.33,49.90,48.93,49.06,3647800,49.06
2010-09-03,49.94,50.25,49.37,49.56,4110000,49.56
