Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,40.04,40.27,39.85,40.08,2615500,40.08
2010-11-04,40.13,40.34,39.85,40.07,3390800,40.07
2010-11-03,39.90,40.13,39.31,39.77,1745400,39.77
2010-11-02,39.94,40.10,39.71,39.88,1564100,39.88
2010-11-01,39.76,40.07,39.25,39.52,1282000,39.52
2010-10-29,39.26,39.62,39.20,39.49,1500700,39.49
2010-10-28,39.69,39.74,39.27,39.47,1730900,39.47
2010-10-27,39.43,39.67,39.09,39.43,1266900,39.43
2010-10-26,39.51,39.86,39.51,39.77,1093900,39.77
2010-10-25,39.97,40.15,39.60,39.65,1288100,39.65
2010-10-22,39.78,39.90,39.51,39.70,814400,39.70
2010-10-21,39.94,40.24,39.54,39.77,1607200,39.77
2010-10-20,39.48,39.82,39.34,39.74,1770300,39.74
2010-10-19,39.32,39.97,39.14,39.29,2223600,39.29
2010-10-18,39.73,39.88,39.48,39.83,1674500,39.83
2010-10-15,40.22,40.22,39.59,39.66,2343700,39.66
2010-10-14,39.90,40.30,39.60,39.80,1617500,39.80
2010-10-13,39.68,40.16,39.60,39.87,1790100,39.87
2010-10-12,38.81,39.53,38.60,39.48,1913400,39.48
2010-10-11,38.89,39.04,38.74,38.83,751100,38.83
2010-10-08,38.56,38.98,38.32,38.91,1236500,38.91
2010-10-07,38.80,38.86,38.31,38.57,1767400,38.57
2010-10-06,38.49,38.76,38.33,38.76,1557000,38.76
2010-10-05,38.04,38.54,37.65,38.48,1976200,38.48
2010-10-04,37.85,38.01,37.37,37.66,1793700,37.66
2010-10-01,38.19,38.23,37.68,38.02,1874800,38.02
2010-09-30,38.12,38.42,37.70,37.90,2624200,37.90
2010-09-29,37.61,38.10,37.53,37.96,2081600,37.96
2010-09-28,37.53,37.77,37.06,37.73,1645300,37.73
2010-09-27,37.55,37.64,37.25,37.32,1966200,37.32
2010-09-24,37.33,37.62,37.08,37.62,1897900,37.62
2010-09-23,37.17,37.35,36.87,36.87,1506400,36.87
2010-09-22,37.76,37.98,37.39,37.49,1650400,37.49
2010-09-21,37.88,38.06,37.61,37.82,2629000,37.82
2010-09-20,37.28,37.97,37.13,37.87,1643700,37.87
2010-09-17,37.11,37.30,36.88,37.23,6986100,37.23
2010-09-16,36.84,37.04,36.63,37.02,1760000,37.02
2010-09-15,36.58,36.92,36.35,36.87,1796400,36.87
2010-09-14,36.72,36.84,36.52,36.63,2026400,36.63
2010-09-13,36.97,36.97,36.70,36.86,2191400,36.86
2010-09-10,36.44,36.64,36.23,36.51,2330100,36.51
2010-09-09,36.91,36.94,36.14,36.35,1984500,36.35
2010-09-08,36.46,36.72,36.23,36.39,2025400,36.39
2010-09-07,36.67,36.77,36.31,36.42,2117100,36.42
2010-09-03,36.53,36.93,36.37,36.90,1921600,36.90
2010-09-02,36.16,36.25,35.47,36.25,3161200,36.25
2010-09-01,35.50,36.21,35.45,36.19,2268800,36.19
2010-08-31,34.89,35.39,34.77,35.14,2526400,35.14
2010-08-30,35.80,35.89,35.14,35.15,2154500,35.15
2010-08-27,35.10,35.96,34.87,35.96,2777800,35.90
2010-08-26,35.33,35.40,34.80,34.93,2975200,34.87
2010-08-25,35.28,35.35,34.86,35.25,3185000,35.19
2010-08-24,35.44,35.66,35.32,35.35,3166300,35.29
2010-08-23,36.36,36.51,35.86,35.86,2036400,35.80
2010-08-20,36.27,36.44,36.05,36.29,2088200,36.23
2010-08-19,36.90,36.90,36.48,36.54,2610900,36.48
2010-08-18,37.43,37.44,37.06,37.09,1932400,37.03
2010-08-17,37.27,37.83,37.14,37.49,1930700,37.42
2010-08-16,36.83,36.94,36.68,36.88,1657300,36.82
2010-08-13,36.84,37.36,36.84,37.05,1616500,36.99
2010-08-12,36.58,37.15,36.40,36.90,2100400,36.84
2010-08-11,37.40,37.58,36.99,37.00,2548500,36.94
2010-08-10,38.13,38.30,37.72,37.95,3011000,37.88
2010-08-09,38.19,38.55,37.99,38.55,1566400,38.48
2010-08-06,37.76,38.12,37.45,37.98,2224600,37.91
2010-08-05,37.79,38.37,37.61,38.20,1961500,38.13
2010-08-04,37.53,38.19,37.53,38.05,2564700,37.98
2010-08-03,37.33,37.87,37.19,37.53,2389300,37.46
2010-08-02,37.71,37.94,37.15,37.58,3563100,37.51
2010-07-30,36.76,37.39,36.59,37.15,2451500,37.08
2010-07-29,37.27,37.41,36.76,37.19,2919600,37.12
2010-07-28,36.99,37.18,36.76,36.98,2201900,36.92
2010-07-27,37.42,37.53,36.98,37.17,2522900,37.10
2010-07-26,37.28,37.38,36.91,37.13,2604700,37.06
2010-07-23,36.86,37.21,36.58,37.17,2263100,37.10
2010-07-22,36.47,36.92,36.28,36.88,3199300,36.82
2010-07-21,36.79,36.83,35.83,35.99,3430200,35.93
2010-07-20,35.10,36.36,35.10,36.34,2933300,36.28
2010-07-19,35.71,35.78,35.14,35.63,2376800,35.57
2010-07-16,36.09,36.35,35.40,35.56,3775400,35.50
2010-07-15,36.20,36.52,35.65,36.44,2687200,36.38
2010-07-14,35.88,36.29,35.72,36.18,2368400,36.12
2010-07-13,35.80,36.21,35.66,36.07,2573200,36.01
2010-07-12,35.55,35.61,35.10,35.53,3259800,35.47
2010-07-09,35.61,35.78,35.42,35.70,2054200,35.64
2010-07-08,35.44,35.49,34.90,35.46,2555200,35.40
2010-07-07,33.96,35.01,33.85,34.98,4355100,34.92
2010-07-06,33.91,34.15,33.53,33.86,4911200,33.80
2010-07-02,33.82,33.98,33.21,33.57,4788600,33.51
2010-07-01,33.37,33.68,32.95,33.65,6612100,33.59
2010-06-30,33.18,33.59,33.14,33.31,5297300,33.25
2010-06-29,33.29,33.33,32.92,33.26,6489500,33.20
2010-06-28,34.01,34.03,33.59,33.69,2656700,33.63
2010-06-25,33.54,33.93,33.20,33.88,4325000,33.82
2010-06-24,33.45,33.69,33.27,33.35,3823600,33.29
