Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,15.77,15.95,15.63,15.85,14402500,15.85
2010-11-04,15.12,16.00,15.10,15.81,12249600,15.81
2010-11-03,15.68,15.68,15.03,15.45,5957500,15.45
2010-11-02,14.67,15.74,14.58,15.63,11600500,15.63
2010-11-01,14.61,14.82,14.41,14.56,3351800,14.56
2010-10-29,14.57,14.69,14.43,14.51,2344100,14.51
2010-10-28,14.82,14.88,14.44,14.59,2698400,14.59
2010-10-27,14.81,14.99,14.51,14.68,4007200,14.68
2010-10-26,14.81,15.00,14.72,14.90,3121800,14.90
2010-10-25,15.02,15.19,14.80,14.90,4490700,14.90
2010-10-22,14.73,14.98,14.73,14.82,3564600,14.82
2010-10-21,14.53,14.93,14.50,14.74,4978000,14.74
2010-10-20,14.79,14.87,14.11,14.39,6314400,14.39
2010-10-19,15.00,15.42,14.63,14.78,6333400,14.78
2010-10-18,15.35,15.43,14.82,15.14,6319100,15.14
2010-10-15,16.16,16.16,15.25,15.32,6906000,15.32
2010-10-14,15.82,16.48,15.68,16.00,9251100,16.00
2010-10-13,16.18,16.26,15.82,15.85,4451500,15.85
2010-10-12,16.18,16.20,15.80,15.90,4636900,15.90
2010-10-11,16.10,16.61,16.02,16.29,6588600,16.25
2010-10-08,15.38,16.18,15.33,16.12,7293700,16.08
2010-10-07,15.55,15.58,15.18,15.37,2738400,15.33
2010-10-06,15.50,15.77,15.36,15.41,3056600,15.37
2010-10-05,15.48,15.60,15.28,15.47,2996500,15.43
2010-10-04,15.69,15.70,15.27,15.36,2731700,15.32
2010-10-01,15.66,15.88,15.52,15.67,5090700,15.63
2010-09-30,15.37,15.55,15.18,15.38,2899200,15.34
2010-09-29,15.39,15.53,15.17,15.24,2998500,15.20
2010-09-28,15.50,15.64,15.15,15.61,3584700,15.57
2010-09-27,15.25,15.48,15.08,15.40,3278000,15.36
2010-09-24,14.98,15.38,14.92,15.23,2944600,15.19
2010-09-23,14.64,15.06,14.61,14.69,4683000,14.65
2010-09-22,15.08,15.31,14.77,14.82,5526800,14.78
2010-09-21,15.40,15.50,15.04,15.21,7207000,15.17
2010-09-20,14.78,15.30,14.50,15.14,12767200,15.10
2010-09-17,14.17,14.33,13.94,13.99,6112600,13.96
2010-09-16,14.41,14.44,13.85,14.09,7127700,14.06
2010-09-15,14.61,14.73,14.47,14.49,3843900,14.45
2010-09-14,14.93,14.95,14.60,14.74,3792400,14.70
2010-09-13,14.74,15.00,14.52,14.94,3691600,14.90
2010-09-10,14.60,14.81,14.46,14.53,3259900,14.49
2010-09-09,14.57,14.72,14.37,14.55,2947700,14.51
2010-09-08,14.17,14.53,14.12,14.44,3175200,14.40
2010-09-07,14.37,14.39,14.09,14.14,3413800,14.11
2010-09-03,14.24,14.53,13.99,14.45,3885300,14.41
2010-09-02,13.84,14.12,13.64,13.98,3138700,13.95
2010-09-01,13.43,13.80,13.42,13.74,3912800,13.71
2010-08-31,13.11,13.42,13.00,13.15,3444000,13.12
2010-08-30,13.46,13.59,13.11,13.13,3015100,13.10
2010-08-27,13.23,13.52,13.01,13.47,3845600,13.44
2010-08-26,13.37,13.54,12.95,13.07,4233100,13.04
2010-08-25,12.93,13.41,12.68,13.35,5860900,13.32
2010-08-24,12.48,13.06,11.93,12.90,11633300,12.87
2010-08-23,12.81,12.89,12.63,12.72,4391300,12.69
2010-08-20,12.80,12.82,12.51,12.77,4754600,12.74
2010-08-19,13.38,13.41,12.87,12.89,4226400,12.86
2010-08-18,13.26,13.58,13.09,13.48,3294400,13.45
2010-08-17,13.31,13.55,13.11,13.28,3918200,13.25
2010-08-16,13.20,13.32,13.01,13.14,3202700,13.11
2010-08-13,13.44,13.57,13.25,13.33,2814300,13.30
2010-08-12,13.50,13.71,13.25,13.41,6917100,13.38
2010-08-11,13.70,13.79,13.47,13.63,4545800,13.60
2010-08-10,14.59,14.63,13.99,14.02,6935200,13.99
2010-08-09,14.53,14.89,14.45,14.80,2958700,14.76
2010-08-06,14.28,14.50,14.11,14.39,3875200,14.35
2010-08-05,14.32,14.68,14.21,14.51,2586500,14.47
2010-08-04,14.65,14.85,14.41,14.45,4130100,14.41
2010-08-03,15.07,15.13,14.60,14.62,3328600,14.58
2010-08-02,15.04,15.26,14.66,15.18,3559200,15.14
2010-07-30,14.51,14.98,14.37,14.77,3116500,14.73
2010-07-29,14.60,14.95,14.33,14.71,3923700,14.67
2010-07-28,14.97,15.06,14.32,14.51,3964100,14.47
2010-07-27,15.66,15.75,14.99,15.02,3723300,14.98
2010-07-26,15.05,15.56,14.86,15.42,6615200,15.38
2010-07-23,14.69,15.06,14.47,14.93,5469600,14.89
2010-07-22,14.58,15.10,14.46,14.76,5972000,14.72
2010-07-21,14.79,14.84,14.19,14.31,4286200,14.27
2010-07-20,13.60,14.71,13.46,14.69,5685800,14.65
2010-07-19,14.07,14.17,13.68,13.82,4010000,13.79
2010-07-16,14.87,14.92,13.99,14.05,4021400,13.98
2010-07-15,14.55,14.92,14.05,14.88,5835600,14.80
2010-07-14,15.09,15.09,14.37,14.59,6531800,14.51
2010-07-13,14.94,15.36,14.70,15.24,5101700,15.16
2010-07-12,14.57,14.88,14.34,14.75,5564200,14.67
2010-07-09,14.24,14.62,14.09,14.57,5034600,14.49
2010-07-08,14.56,14.79,13.87,14.18,7503700,14.10
2010-07-07,13.55,14.30,13.55,14.27,4744200,14.19
2010-07-06,13.98,14.24,13.43,13.59,4493700,13.52
2010-07-02,14.16,14.21,13.47,13.65,4180700,13.58
2010-07-01,13.90,14.15,13.30,14.09,8576800,14.02
2010-06-30,14.01,14.34,13.86,13.91,5049100,13.84
2010-06-29,14.37,14.43,13.81,13.97,7274700,13.90
2010-06-28,14.72,14.83,14.32,14.37,5484300,14.29
2010-06-25,14.58,14.71,14.00,14.68,9964100,14.60
2010-06-24,14.89,15.20,14.33,14.57,15577000,14.49
2010-06-23,14.27,15.01,13.95,14.74,10397800,14.66
2010-06-22,14.55,14.85,14.13,14.20,6092000,14.12
2010-06-21,15.05,15.22,14.49,14.57,6331500,14.49
2010-06-18,15.35,15.35,14.66,14.74,4679700,14.66
2010-06-17,15.54,15.54,14.94,15.30,4817600,15.22
2010-06-16,15.48,15.94,15.30,15.55,5259300,15.47
2010-06-15,15.47,15.79,15.26,15.76,5046300,15.68
2010-06-14,15.75,15.89,15.18,15.25,4843200,15.17
2010-06-11,15.32,15.77,15.18,15.55,5175700,15.47
2010-06-10,14.70,15.67,14.51,15.58,11686900,15.50
2010-06-09,14.94,15.22,14.32,14.43,4651100,14.35
2010-06-08,14.80,15.00,14.23,14.75,6803000,14.67
2010-06-07,15.47,15.66,14.69,14.76,5501600,14.68
2010-06-04,15.94,16.14,15.35,15.47,7376100,15.39
2010-06-03,16.78,16.79,16.00,16.28,5759100,16.19
2010-06-02,16.42,16.72,16.40,16.55,6428300,16.46
2010-06-01,17.02,17.16,16.31,16.33,7112400,16.24
2010-05-28,17.48,17.80,17.21,17.30,3753800,17.21
2010-05-27,17.87,17.88,17.15,17.57,5812900,17.48
2010-05-26,17.43,18.19,17.16,17.25,6342200,17.16
2010-05-25,16.78,17.20,16.53,17.16,7838100,17.07
2010-05-24,17.48,17.87,17.27,17.30,5353800,17.21
2010-05-21,16.97,17.66,16.87,17.47,7347000,17.38
2010-05-20,17.56,18.06,17.37,17.44,10079200,17.35
2010-05-19,17.86,18.66,17.74,18.15,11190200,18.05
2010-05-18,18.69,19.20,18.11,18.16,9614800,18.06
2010-05-17,18.49,18.49,17.31,18.42,9528600,18.32
2010-05-14,18.75,18.75,17.95,18.41,5359200,18.31
2010-05-13,19.51,19.56,18.62,18.75,7072000,18.65
2010-05-12,19.70,20.05,19.06,19.46,7418100,19.36
2010-05-11,19.47,20.10,19.26,19.46,6677200,19.36
2010-05-10,18.74,19.80,18.40,19.76,9576500,19.66
2010-05-07,18.33,18.70,17.17,17.49,9385400,17.40
2010-05-06,19.10,19.64,16.79,18.45,7461400,18.35
2010-05-05,19.65,20.12,19.15,19.31,5204600,19.21
2010-05-04,20.34,20.50,19.40,20.02,8381500,19.91
2010-05-03,20.11,20.96,19.97,20.71,4943200,20.60
2010-04-30,20.60,21.17,19.88,19.92,6798900,19.77
2010-04-29,19.44,20.92,19.43,20.52,8539100,20.37
2010-04-28,19.15,19.70,19.07,19.35,6753700,19.21
2010-04-27,19.80,19.99,18.84,18.94,13589300,18.80
2010-04-26,20.17,21.03,20.10,20.10,12702400,19.95
2010-04-23,20.23,21.79,20.09,20.53,17097900,20.38
2010-04-22,18.38,19.84,18.07,19.74,9474200,19.60
2010-04-21,18.03,18.63,17.90,18.52,6282200,18.38
2010-04-20,17.45,18.00,17.33,17.97,5306300,17.84
2010-04-19,17.00,17.57,16.97,17.24,5623300,17.11
2010-04-16,17.67,17.69,16.98,17.15,6937000,17.02
2010-04-15,18.20,18.23,17.65,17.79,5529600,17.66
2010-04-14,17.40,18.43,17.28,18.28,13565000,18.15
2010-04-13,17.22,17.55,17.13,17.28,4779400,17.15
2010-04-12,17.58,17.71,17.03,17.17,6172800,17.04
2010-04-09,17.38,17.60,17.27,17.52,4020200,17.39
2010-04-08,16.88,17.35,16.81,17.26,5395200,17.13
2010-04-07,17.31,17.52,16.78,16.95,6215000,16.83
2010-04-06,17.46,17.48,17.05,17.29,4803600,17.16
2010-04-05,17.36,17.73,17.18,17.56,5323100,17.43
2010-04-01,17.32,17.60,17.01,17.13,5827400,17.01
2010-03-31,17.92,18.04,17.17,17.21,7739900,17.08
2010-03-30,17.87,18.49,17.87,18.05,6332600,17.92
2010-03-29,18.47,18.56,17.80,18.24,6459100,18.11
2010-03-26,18.22,18.93,18.17,18.30,10286400,18.17
2010-03-25,17.98,18.58,17.81,18.05,9200100,17.92
2010-03-24,18.09,18.33,17.53,17.69,15414300,17.56
2010-03-23,16.38,17.13,16.17,17.06,9601800,16.94
2010-03-22,15.89,16.41,15.89,16.30,4565400,16.18
2010-03-19,16.48,16.73,16.10,16.11,5455000,15.99
2010-03-18,16.56,16.74,16.41,16.54,2575400,16.42
2010-03-17,16.76,17.01,16.58,16.64,4327700,16.52
2010-03-16,16.26,16.84,16.10,16.74,7307700,16.62
2010-03-15,16.50,16.50,15.86,16.09,6229200,15.97
2010-03-12,16.74,16.82,16.22,16.33,4350800,16.21
2010-03-11,16.81,16.88,16.43,16.64,5835900,16.52
2010-03-10,17.29,17.41,16.80,16.93,5407600,16.81
2010-03-09,17.27,17.47,17.00,17.29,4009900,17.16
2010-03-08,17.10,17.31,16.98,17.20,4498000,17.07
2010-03-05,16.71,17.04,16.61,17.01,4041200,16.89
2010-03-04,16.68,16.93,16.34,16.55,4160000,16.43
2010-03-03,16.64,16.97,16.56,16.79,3879600,16.67
2010-03-02,16.80,16.95,16.50,16.60,3402500,16.48
2010-03-01,16.48,16.70,16.41,16.64,3895600,16.52
2010-02-26,16.21,16.47,15.79,16.41,5790500,16.29
2010-02-25,15.91,16.32,15.59,16.27,7172400,16.15
2010-02-24,16.45,16.56,15.26,16.27,13125200,16.15
2010-02-23,17.08,17.25,16.09,16.28,8340900,16.16
2010-02-22,17.43,17.54,16.97,17.17,5789200,17.04
2010-02-19,16.92,17.44,16.92,17.31,6151400,17.18
2010-02-18,17.23,17.29,16.75,17.04,5282700,16.92
2010-02-17,17.52,17.88,17.09,17.34,5748800,17.21
2010-02-16,17.18,17.37,17.15,17.34,5448000,17.21
2010-02-12,16.78,17.19,16.55,16.96,10487100,16.84
2010-02-11,15.96,17.00,15.80,16.99,12714000,16.87
2010-02-10,15.67,15.70,15.18,15.61,4027300,15.50
2010-02-09,15.40,15.67,15.03,15.60,5324900,15.49
2010-02-08,14.75,15.85,14.52,15.39,8990900,15.28
2010-02-05,15.30,15.45,14.22,14.71,8638800,14.60
2010-02-04,15.89,15.99,15.24,15.34,5813800,15.23
2010-02-03,16.37,16.52,15.91,16.26,4311800,16.14
2010-02-02,15.64,16.63,15.64,16.55,10419500,16.43
2010-02-01,15.47,15.49,15.06,15.32,4641100,15.21
2010-01-29,15.49,15.96,15.27,15.36,7065000,15.25
2010-01-28,15.33,15.87,15.02,15.39,8280300,15.28
2010-01-27,14.55,15.16,14.30,15.11,6272300,15.00
2010-01-26,14.62,14.95,14.51,14.56,4113100,14.45
2010-01-25,15.05,15.10,14.42,14.70,4982400,14.59
2010-01-22,15.31,15.57,14.71,14.78,6357500,14.67
2010-01-21,15.77,15.88,15.28,15.31,4560800,15.16
2010-01-20,16.06,16.14,15.71,15.74,5534700,15.58
2010-01-19,15.76,16.34,15.76,16.21,4798900,16.05
2010-01-15,16.27,16.38,15.85,15.96,5635700,15.80
2010-01-14,16.52,16.84,16.28,16.35,4990800,16.19
2010-01-13,16.29,16.44,15.85,16.25,5182600,16.09
2010-01-12,16.15,16.53,15.95,16.13,7382500,15.97
2010-01-11,16.07,16.35,15.98,16.26,6404600,16.10
2010-01-08,15.40,16.07,15.19,15.95,8641500,15.79
2010-01-07,14.93,16.00,14.62,15.46,28709400,15.31
2010-01-06,13.51,13.75,13.25,13.70,6363000,13.56
2010-01-05,12.95,13.60,12.72,13.55,6205100,13.42
2010-01-04,12.81,13.02,12.65,13.01,4493800,12.88
2009-12-31,12.93,12.94,12.74,12.77,1600700,12.64
2009-12-30,12.79,13.09,12.67,12.91,1987100,12.78
2009-12-29,13.02,13.08,12.65,12.84,2425200,12.71
2009-12-28,13.46,13.49,12.86,12.95,2711800,12.82
