Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,33.00,33.24,32.74,32.94,3418700,32.94
2010-11-04,32.44,33.14,32.36,33.11,3041200,33.11
2010-11-03,32.00,32.24,31.67,32.20,3577200,32.20
2010-11-02,32.04,32.12,31.86,32.00,2643600,32.00
2010-11-01,32.24,32.34,31.80,31.90,3578900,31.90
2010-10-29,31.60,32.38,31.50,32.25,3582300,32.25
2010-10-28,31.67,31.78,31.29,31.75,3459500,31.75
2010-10-27,30.94,31.84,30.88,31.81,3704000,31.81
2010-10-26,31.00,31.28,30.66,31.16,3460700,31.16
2010-10-25,31.01,31.41,30.94,31.16,2363500,31.16
2010-10-22,30.40,30.98,30.21,30.91,1826700,30.91
2010-10-21,30.69,30.80,30.15,30.40,4804800,30.40
2010-10-20,30.39,30.78,30.16,30.61,2801400,30.61
2010-10-19,30.30,30.70,29.90,30.30,4120000,30.30
2010-10-18,30.83,30.84,30.37,30.58,3304700,30.58
2010-10-15,30.63,30.90,30.26,30.74,4921900,30.74
2010-10-14,30.47,31.01,30.28,30.43,5382800,30.43
2010-10-13,30.52,30.90,29.85,30.80,12850300,30.80
2010-10-12,31.33,31.82,31.11,31.56,6426500,31.56
2010-10-11,31.09,31.67,30.80,31.24,3528300,31.24
2010-10-08,30.85,31.04,30.27,30.96,3786700,30.96
2010-10-07,30.66,30.88,30.31,30.83,3667800,30.83
2010-10-06,30.76,30.83,30.22,30.49,3075000,30.49
2010-10-05,30.26,30.81,30.14,30.72,4562800,30.72
2010-10-04,29.92,30.25,29.57,29.92,4202000,29.92
2010-10-01,30.91,31.08,29.72,30.04,6714200,30.04
2010-09-30,31.12,31.44,30.45,30.73,4056600,30.73
2010-09-29,31.01,31.35,30.69,31.04,3323300,31.04
2010-09-28,30.65,31.19,30.02,30.99,6678500,30.99
2010-09-27,31.26,31.50,30.44,30.49,4946600,30.49
2010-09-24,30.61,31.60,30.59,31.41,4238300,31.41
2010-09-23,29.75,30.77,29.55,30.38,5691400,30.38
2010-09-22,30.64,30.77,29.88,29.99,6936100,29.99
2010-09-21,31.70,31.70,30.46,30.56,6447500,30.56
2010-09-20,31.67,31.80,31.17,31.71,3482200,31.71
2010-09-17,31.71,31.80,31.31,31.53,3519500,31.53
2010-09-16,31.31,31.71,31.09,31.64,2748000,31.64
2010-09-15,30.97,31.40,30.54,31.30,2770600,31.30
2010-09-14,30.56,31.21,30.23,31.15,4505700,31.15
2010-09-13,30.32,31.13,30.30,30.57,4223200,30.57
2010-09-10,30.44,30.46,29.51,29.98,4081200,29.98
2010-09-09,31.02,31.09,30.51,30.67,2996600,30.67
2010-09-08,30.40,30.70,30.01,30.62,4081800,30.62
2010-09-07,30.65,30.71,30.12,30.27,2107000,30.27
2010-09-03,30.68,30.86,30.12,30.79,3672400,30.79
2010-09-02,29.57,30.23,29.55,30.22,2516800,30.22
2010-09-01,29.12,29.95,28.86,29.62,3889100,29.62
2010-08-31,28.85,29.22,28.45,28.62,3925000,28.62
2010-08-30,29.48,29.62,28.96,28.96,2388000,28.96
2010-08-27,29.32,29.81,28.66,29.68,3839600,29.68
2010-08-26,29.53,29.65,29.04,29.21,3445800,29.21
2010-08-25,29.16,29.57,28.86,29.46,3700000,29.46
2010-08-24,29.30,29.72,29.01,29.32,3310300,29.32
2010-08-23,30.28,30.33,29.51,29.64,2649000,29.64
2010-08-20,29.73,30.33,29.62,30.10,4369200,30.10
2010-08-19,30.12,30.37,29.60,29.73,4056600,29.73
2010-08-18,29.48,30.46,29.42,30.36,5162500,30.36
2010-08-17,29.62,29.85,29.37,29.54,3747900,29.54
2010-08-16,29.15,29.68,28.92,29.45,2788700,29.45
2010-08-13,29.49,29.88,29.23,29.25,2728400,29.25
2010-08-12,29.70,30.25,29.38,29.59,4327700,29.59
2010-08-11,30.96,30.96,29.98,30.26,4327600,30.26
2010-08-10,31.61,31.79,31.21,31.60,4694300,31.37
2010-08-09,31.74,32.08,31.45,32.00,3657400,31.77
2010-08-06,31.22,31.80,31.22,31.74,4860200,31.51
2010-08-05,31.60,32.05,31.49,31.56,2728600,31.33
2010-08-04,31.53,31.81,31.25,31.76,4296600,31.53
2010-08-03,31.83,31.87,31.46,31.57,3726200,31.34
2010-08-02,31.61,31.97,31.22,31.83,4210100,31.60
2010-07-30,31.66,32.02,31.18,31.88,4282500,31.65
2010-07-29,32.48,32.61,31.48,31.91,3934200,31.68
2010-07-28,32.35,33.06,32.16,32.30,5114800,32.06
2010-07-27,32.81,32.91,32.37,32.58,3561200,32.34
2010-07-26,32.21,32.83,31.95,32.80,4065400,32.56
2010-07-23,31.54,32.43,31.51,32.24,5412000,32.01
2010-07-22,30.68,31.96,30.65,31.86,6940600,31.63
2010-07-21,31.70,31.77,30.07,30.36,7507800,30.14
2010-07-20,30.42,31.48,30.06,31.40,6736500,31.17
2010-07-19,30.49,31.25,30.49,31.22,3322400,30.99
2010-07-16,31.06,31.11,30.28,30.33,3706800,30.11
2010-07-15,30.88,31.17,30.53,31.11,4043500,30.88
2010-07-14,31.09,31.49,30.78,30.97,4556800,30.74
2010-07-13,30.93,31.28,30.75,31.00,4722900,30.77
2010-07-12,30.32,30.79,30.24,30.61,3535900,30.39
2010-07-09,29.79,30.34,29.78,30.31,4365600,30.09
2010-07-08,29.79,29.79,29.06,29.66,4359500,29.44
2010-07-07,28.29,29.71,28.29,29.70,6369800,29.48
2010-07-06,28.46,28.82,28.01,28.30,5374400,28.09
2010-07-02,27.90,28.03,27.03,27.84,5781500,27.64
2010-07-01,27.71,28.15,27.12,27.87,5158400,27.67
2010-06-30,27.94,28.25,27.76,27.81,4853300,27.61
2010-06-29,28.70,28.70,27.80,27.99,5403000,27.79
2010-06-28,28.94,29.27,28.61,29.05,2909800,28.84
2010-06-25,28.94,28.98,28.36,28.92,3543100,28.71
2010-06-24,29.17,29.32,28.58,28.82,4507500,28.61
2010-06-23,28.70,29.41,28.59,29.12,4962200,28.91
2010-06-22,29.25,29.40,28.44,28.56,3655800,28.35
2010-06-21,29.73,29.97,28.96,29.13,3029800,28.92
2010-06-18,29.62,29.82,29.33,29.49,2797900,29.28
2010-06-17,29.49,29.61,29.10,29.57,3306900,29.35
2010-06-16,28.95,29.63,28.79,29.43,4401800,29.22
2010-06-15,27.89,29.24,27.68,29.16,6152500,28.95
2010-06-14,27.95,28.22,27.58,27.60,3272000,27.40
2010-06-11,27.31,27.87,27.05,27.80,3510800,27.60
2010-06-10,27.05,27.52,26.87,27.45,3195600,27.25
2010-06-09,26.70,27.42,26.53,26.64,5033100,26.45
2010-06-08,26.98,27.07,26.25,26.61,10174500,26.42
2010-06-07,27.67,28.04,26.88,26.92,3973300,26.72
2010-06-04,28.19,28.69,27.50,27.61,3505800,27.41
2010-06-03,28.44,28.86,28.24,28.83,4127400,28.62
2010-06-02,27.65,28.32,27.46,28.30,3045300,28.09
2010-06-01,27.83,28.27,27.49,27.53,3410200,27.33
2010-05-28,28.42,28.52,27.59,27.96,4926200,27.76
2010-05-27,28.05,28.52,27.89,28.50,4121900,28.29
2010-05-26,27.48,27.97,27.33,27.38,5921100,27.18
2010-05-25,26.74,27.41,26.45,27.39,4496400,27.19
2010-05-24,27.54,27.81,27.25,27.35,3525800,27.15
2010-05-21,26.86,28.04,26.61,27.64,6860300,27.44
2010-05-20,27.40,27.76,26.89,27.25,6555500,27.05
2010-05-19,27.90,28.21,27.33,28.01,5257500,27.81
2010-05-18,28.98,28.98,27.68,27.76,4562200,27.56
2010-05-17,28.28,28.78,27.90,28.75,4605100,28.54
2010-05-14,28.72,28.86,27.83,28.18,4979600,27.97
2010-05-13,29.46,29.72,28.80,28.94,4235000,28.73
2010-05-12,29.37,29.70,29.16,29.64,3985500,29.42
2010-05-11,29.05,29.82,28.70,29.41,4855100,28.97
2010-05-10,29.53,29.62,28.91,29.49,5623700,29.05
2010-05-07,28.23,28.89,27.33,28.23,9836200,27.81
2010-05-06,28.82,29.34,26.76,28.50,8290800,28.07
2010-05-05,29.46,29.72,28.76,29.06,5808000,28.62
2010-05-04,30.25,30.29,29.07,29.37,5906500,28.93
2010-05-03,30.19,30.71,30.05,30.56,2591100,30.10
2010-04-30,30.81,30.81,29.86,30.04,4803700,29.59
2010-04-29,30.50,30.94,30.40,30.89,3089000,30.43
2010-04-28,30.58,30.78,30.22,30.43,4931700,29.97
2010-04-27,31.11,31.33,30.34,30.36,5039000,29.90
2010-04-26,31.07,31.40,30.98,31.23,3380500,30.76
2010-04-23,30.87,31.06,30.47,31.04,3777200,30.57
2010-04-22,30.40,31.00,29.83,30.96,4678600,30.49
2010-04-21,31.48,31.48,30.50,30.77,6048300,30.31
2010-04-20,31.17,31.45,30.97,31.37,3668000,30.90
2010-04-19,31.18,31.29,30.58,31.12,5488200,30.65
2010-04-16,31.18,31.34,30.65,31.28,8329100,30.81
2010-04-15,31.23,31.84,31.06,31.33,7267400,30.86
2010-04-14,30.89,31.27,30.37,31.21,10987300,30.74
2010-04-13,29.40,29.77,29.29,29.65,5044000,29.20
2010-04-12,29.24,29.60,29.04,29.34,3587700,28.90
2010-04-09,28.65,29.13,28.57,29.11,3346300,28.67
2010-04-08,28.82,28.85,28.35,28.56,3766900,28.13
2010-04-07,28.82,29.08,28.56,29.03,3807200,28.59
2010-04-06,28.95,28.98,28.73,28.78,2618800,28.35
2010-04-05,28.53,29.05,28.39,28.99,2468500,28.55
2010-04-01,28.31,28.93,28.18,28.41,3029400,27.98
2010-03-31,28.57,28.77,28.21,28.25,3918300,27.83
2010-03-30,28.39,28.67,28.21,28.60,2939300,28.17
2010-03-29,28.01,28.49,27.99,28.42,3622800,27.99
2010-03-26,28.16,28.27,27.75,27.96,4086700,27.54
2010-03-25,28.27,28.47,27.88,27.91,5128900,27.49
2010-03-24,28.84,28.93,28.24,28.24,4124900,27.82
2010-03-23,28.75,28.99,28.65,28.98,3930800,28.54
2010-03-22,28.32,28.90,28.27,28.84,2767400,28.41
2010-03-19,28.87,28.91,28.20,28.36,3964400,27.93
2010-03-18,28.92,28.97,28.46,28.71,2436900,28.28
2010-03-17,28.58,29.13,28.47,28.80,5578100,28.37
2010-03-16,27.51,28.54,27.41,28.49,5918200,28.06
2010-03-15,27.60,27.64,27.25,27.39,2488700,26.98
2010-03-12,27.69,27.79,27.44,27.60,2944000,27.18
2010-03-11,27.90,28.08,27.44,27.68,3926500,27.26
2010-03-10,27.23,28.09,27.18,28.03,6173500,27.61
2010-03-09,27.07,27.31,26.95,27.27,3810400,26.86
2010-03-08,27.50,27.62,27.22,27.24,2330900,26.83
2010-03-05,27.09,27.56,26.86,27.51,3701700,27.10
2010-03-04,27.25,27.25,26.77,27.02,4617900,26.61
2010-03-03,27.62,27.76,27.06,27.18,3605300,26.77
2010-03-02,27.68,27.95,27.42,27.48,2576100,27.07
2010-03-01,27.21,27.69,27.12,27.63,4154600,27.21
2010-02-26,27.35,27.44,26.92,27.17,2850500,26.76
2010-02-25,27.28,27.43,26.74,27.40,4663200,26.99
2010-02-24,27.22,27.74,27.18,27.61,2994300,27.19
2010-02-23,27.41,27.70,26.84,27.02,5262100,26.61
2010-02-22,27.81,27.89,27.40,27.58,2631700,27.17
2010-02-19,27.71,27.98,27.51,27.75,3790200,27.33
2010-02-18,27.77,27.80,27.40,27.74,4212100,27.32
2010-02-17,27.92,28.00,27.35,27.69,3921500,27.27
2010-02-16,27.35,27.55,27.08,27.48,4232200,27.07
2010-02-12,26.95,27.61,26.61,27.25,4989900,26.84
2010-02-11,26.51,27.26,26.30,27.15,4395500,26.74
2010-02-10,26.56,26.81,26.23,26.59,3305800,26.19
2010-02-09,26.84,27.00,26.46,26.67,4184300,26.04
2010-02-08,26.41,26.81,26.16,26.43,4050200,25.81
2010-02-05,26.10,26.73,25.94,26.60,5701500,25.97
2010-02-04,26.73,26.84,25.94,26.11,4933700,25.50
2010-02-03,26.91,27.15,26.77,27.01,2942300,26.37
2010-02-02,26.97,27.19,26.77,27.06,5176100,26.42
2010-02-01,26.04,27.05,26.04,27.04,5502600,26.40
2010-01-29,26.88,27.21,25.87,26.10,7939100,25.49
2010-01-28,27.40,27.40,26.27,26.72,6438500,26.09
2010-01-27,27.28,27.58,26.82,27.37,5240300,26.73
2010-01-26,27.54,27.80,27.27,27.30,3653200,26.66
2010-01-25,27.44,27.80,27.38,27.68,3719300,27.03
2010-01-22,28.36,28.55,27.31,27.37,6432700,26.73
2010-01-21,28.75,29.05,28.42,28.58,4826800,27.91
2010-01-20,28.73,28.88,28.28,28.71,5042000,28.03
2010-01-19,28.76,29.20,28.73,29.00,4129600,28.32
2010-01-15,29.84,29.84,28.57,28.72,7894700,28.04
2010-01-14,29.85,30.04,29.24,29.71,4976500,29.01
2010-01-13,30.48,30.52,29.23,29.87,9883700,29.17
2010-01-12,30.47,30.47,29.91,30.23,5654800,29.52
2010-01-11,30.95,31.13,30.50,30.64,4499400,29.92
2010-01-08,30.48,31.01,30.23,30.89,3149000,30.16
2010-01-07,30.35,30.58,30.05,30.50,2967600,29.78
2010-01-06,30.81,31.21,30.34,30.48,4056300,29.76
2010-01-05,31.01,31.12,30.70,30.96,3449300,30.23
2010-01-04,31.06,31.17,30.83,30.94,2887600,30.21
2009-12-31,30.73,31.07,30.54,30.56,2071200,29.84
2009-12-30,30.58,31.01,30.50,30.94,1388300,30.21
