Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,35.82,35.93,35.51,35.72,19177000,35.72
2010-11-04,35.78,35.83,35.46,35.76,19563700,35.76
2010-11-03,35.42,35.58,35.16,35.57,4714800,35.57
2010-11-02,35.24,35.40,35.07,35.38,5843000,35.38
2010-11-01,35.26,35.36,34.88,35.04,6940900,35.04
2010-10-29,35.13,35.20,34.86,35.20,6326300,35.20
2010-10-28,34.98,35.26,34.86,35.15,6306900,35.15
2010-10-27,34.72,34.98,34.68,34.94,7163400,34.94
2010-10-26,35.04,35.19,34.82,34.90,7667800,34.90
2010-10-25,35.48,35.61,35.06,35.13,8500300,35.13
2010-10-22,35.55,35.73,35.25,35.40,6708900,35.40
2010-10-21,35.86,35.93,35.23,35.50,10752900,35.50
2010-10-20,35.53,36.15,35.45,36.01,18242000,36.01
2010-10-19,37.68,37.84,37.22,37.45,6696200,37.45
2010-10-18,37.91,38.08,37.67,38.06,10374700,38.06
2010-10-15,37.67,37.90,37.49,37.76,6742200,37.76
2010-10-14,37.40,37.58,37.31,37.42,4715900,37.42
2010-10-13,37.50,37.50,37.26,37.40,5772600,37.40
2010-10-12,37.13,37.50,37.00,37.36,3733900,37.36
2010-10-11,37.15,37.33,37.09,37.22,3152400,37.22
2010-10-08,37.13,37.24,36.91,37.07,4539400,37.07
2010-10-07,37.28,37.40,36.94,37.08,3782400,37.08
2010-10-06,36.82,37.17,36.71,37.17,4981700,37.17
2010-10-05,36.59,37.00,36.44,36.89,5468200,36.89
2010-10-04,36.54,36.56,36.13,36.30,4680800,36.30
2010-10-01,36.68,36.77,36.42,36.54,5212600,36.54
2010-09-30,36.59,36.90,36.33,36.53,6022100,36.53
2010-09-29,36.31,36.72,36.10,36.53,6778900,36.53
2010-09-28,36.05,36.39,35.90,36.39,5453300,36.39
2010-09-27,36.15,36.18,35.94,35.94,4638800,35.94
2010-09-24,36.21,36.28,36.01,36.10,6132600,36.10
2010-09-23,35.93,36.01,35.75,35.86,4437700,35.86
2010-09-22,36.22,36.71,35.99,36.05,6931300,36.05
2010-09-21,36.38,36.49,36.08,36.33,4736600,36.33
2010-09-20,35.92,36.39,35.81,36.35,5525700,36.35
2010-09-17,35.84,35.97,35.58,35.79,4899300,35.79
2010-09-16,35.58,35.76,35.38,35.67,4461200,35.67
2010-09-15,35.64,35.84,35.51,35.70,4535900,35.70
2010-09-14,35.57,35.85,35.45,35.65,6042800,35.65
2010-09-13,35.73,35.74,35.32,35.53,3943200,35.53
2010-09-10,35.45,35.52,35.20,35.43,4600900,35.43
2010-09-09,34.90,35.44,34.77,35.17,5616000,35.17
2010-09-08,34.81,34.90,34.59,34.81,3587400,34.81
2010-09-07,34.71,34.78,34.43,34.54,4009800,34.54
2010-09-03,34.30,34.71,34.28,34.66,4450600,34.66
2010-09-02,34.16,34.42,34.12,34.31,4316400,34.31
2010-09-01,34.11,34.33,33.83,34.20,8004300,34.20
2010-08-31,33.95,34.04,33.54,33.59,9329300,33.59
2010-08-30,34.23,34.28,33.95,33.97,4576400,33.97
2010-08-27,34.11,34.25,33.72,34.20,5809800,34.20
