Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,71.89,73.70,71.86,73.27,3674100,73.27
2010-11-04,71.49,72.12,70.60,71.96,2782600,71.96
2010-11-03,71.77,71.94,70.39,70.93,3339700,70.93
2010-11-02,72.00,72.45,70.90,71.64,2471000,71.64
2010-11-01,71.71,72.20,70.95,71.47,1575200,71.47
2010-10-29,70.81,71.52,70.75,71.29,1560700,71.29
2010-10-28,71.35,71.67,70.32,71.02,1847500,71.02
2010-10-27,71.30,71.55,70.46,70.89,2856600,70.89
2010-10-26,71.06,72.13,71.06,71.80,2236800,71.80
2010-10-25,72.28,72.69,71.28,71.41,2488700,71.41
2010-10-22,71.77,71.84,71.15,71.78,2166400,71.78
2010-10-21,69.83,71.89,69.83,71.84,3983600,71.84
2010-10-20,69.44,69.97,69.33,69.83,2924900,69.83
2010-10-19,68.49,69.70,67.87,69.47,6314400,69.47
2010-10-18,69.90,70.19,69.50,70.04,2649200,70.04
2010-10-15,70.70,70.89,69.65,70.02,2776800,70.02
2010-10-14,71.15,71.43,70.07,70.20,2459800,70.20
2010-10-13,70.96,71.26,70.73,71.12,2303600,71.12
2010-10-12,70.68,70.77,69.57,70.55,2087500,70.55
2010-10-11,70.18,70.61,69.55,70.48,2211300,70.48
2010-10-08,70.86,70.87,69.97,70.10,2951700,70.10
2010-10-07,70.99,71.16,70.25,70.63,1797300,70.63
2010-10-06,70.38,71.50,70.38,70.90,3682500,70.90
2010-10-05,69.96,70.87,69.35,70.60,2748800,70.60
2010-10-04,69.63,70.54,69.25,69.35,3407800,69.35
2010-10-01,71.53,71.55,69.00,69.61,7529800,69.61
2010-09-30,72.33,72.49,71.10,71.28,3425200,71.28
2010-09-29,72.16,72.40,71.33,71.89,3270300,71.89
2010-09-28,72.51,72.60,71.82,72.47,1722900,72.47
2010-09-27,73.24,73.45,72.36,72.38,2355800,72.38
2010-09-24,71.71,73.19,71.31,73.13,2708000,73.13
2010-09-23,71.39,72.16,71.20,71.67,2329400,71.67
2010-09-22,71.35,72.30,71.21,71.80,2687000,71.80
2010-09-21,70.58,72.06,70.51,71.65,3115300,71.65
2010-09-20,70.00,70.92,69.52,70.71,2863400,70.71
2010-09-17,68.81,70.13,68.77,69.75,3766700,69.75
2010-09-16,68.38,68.84,68.26,68.51,1673700,68.51
2010-09-15,68.41,68.77,68.19,68.48,2186700,68.48
2010-09-14,69.45,69.58,68.41,68.48,2993500,68.48
2010-09-13,71.07,71.18,69.07,69.45,2685600,69.45
2010-09-10,69.39,70.56,69.19,70.38,2240300,70.38
2010-09-09,69.70,69.93,69.15,69.37,1887900,69.37
2010-09-08,68.85,69.61,68.62,68.86,3570900,68.86
2010-09-07,70.66,70.70,69.49,69.59,2059700,69.59
2010-09-03,70.78,70.93,70.38,70.72,2039200,70.72
2010-09-02,69.78,70.32,69.65,70.32,2828500,70.32
2010-09-01,70.09,70.64,69.78,69.93,3227300,69.93
2010-08-31,69.93,70.20,69.36,69.52,2714200,69.52
2010-08-30,70.65,71.14,70.14,70.22,1867000,70.22
2010-08-27,71.93,72.30,71.18,72.27,1738900,71.64
2010-08-26,71.74,72.32,71.33,71.54,1332900,70.92
2010-08-25,70.79,72.08,70.00,71.67,2501000,71.05
2010-08-24,71.94,72.09,71.13,71.25,2416100,70.63
2010-08-23,73.68,73.72,72.41,72.48,2499400,71.85
2010-08-20,72.48,73.35,72.48,73.20,2467900,72.56
2010-08-19,73.33,73.72,72.66,73.08,3112800,72.44
2010-08-18,72.50,73.91,72.29,73.66,2956300,73.02
2010-08-17,72.40,73.37,71.96,72.42,3620000,71.79
2010-08-16,72.42,72.42,71.51,71.94,3378200,71.31
2010-08-13,72.24,73.52,72.22,72.72,2095300,72.09
2010-08-12,72.37,72.93,72.00,72.48,2164700,71.85
2010-08-11,74.10,74.20,72.75,73.12,2661100,72.48
2010-08-10,75.24,75.25,73.62,75.05,2133800,74.40
2010-08-09,75.18,75.74,75.14,75.60,979400,74.94
2010-08-06,74.40,75.07,74.20,75.07,1323600,74.42
2010-08-05,74.50,75.68,74.25,75.03,2706200,74.38
2010-08-04,75.59,75.59,74.91,75.02,2626700,74.37
2010-08-03,75.81,75.81,75.27,75.43,1829100,74.77
2010-08-02,75.84,76.00,74.98,75.90,1776000,75.24
2010-07-30,74.26,75.44,74.26,75.15,2686900,74.49
2010-07-29,75.71,75.71,74.13,74.95,1919000,74.30
2010-07-28,75.07,75.67,74.25,75.24,1762700,74.58
2010-07-27,75.30,76.34,74.78,74.87,3358000,74.22
2010-07-26,73.85,75.27,73.85,74.88,3181300,74.23
2010-07-23,74.38,74.83,73.90,73.95,2886600,73.31
2010-07-22,74.41,74.81,73.78,74.25,3105000,73.60
2010-07-21,74.28,74.59,73.14,73.66,3112900,73.02
2010-07-20,73.15,73.98,72.35,73.90,2911300,73.26
2010-07-19,74.34,74.74,73.73,74.05,1370100,73.40
2010-07-16,75.61,76.09,73.83,73.93,1960300,73.29
2010-07-15,75.58,76.15,75.01,75.95,2153300,75.29
