Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,24.98,25.57,24.84,25.43,4597000,25.43
2010-11-04,24.87,25.15,24.64,24.90,5356300,24.90
2010-11-03,23.81,24.75,23.41,24.30,8704800,24.30
2010-11-02,24.62,25.00,24.51,24.97,4160000,24.97
2010-11-01,24.71,24.90,24.10,24.27,3773600,24.27
2010-10-29,24.87,24.98,24.44,24.48,4017300,24.48
2010-10-28,25.39,25.61,24.46,25.01,4730000,25.01
2010-10-27,25.04,25.30,24.70,25.13,4760200,25.13
2010-10-26,25.64,25.84,25.19,25.37,5727500,25.37
2010-10-25,25.77,26.31,25.47,25.82,4259800,25.82
2010-10-22,26.19,26.27,25.90,26.01,2827000,26.01
2010-10-21,26.02,26.45,25.86,26.13,3482400,26.13
2010-10-20,25.42,26.10,25.33,25.91,4220200,25.91
2010-10-19,25.73,26.02,25.10,25.36,3961800,25.36
2010-10-18,25.16,26.01,25.08,25.99,5734000,25.99
2010-10-15,25.56,25.65,24.79,25.09,3817400,25.09
2010-10-14,25.31,25.85,24.97,25.27,3428300,25.27
2010-10-13,25.41,25.81,25.22,25.43,3218300,25.43
2010-10-12,25.24,25.30,24.90,25.15,2869500,25.15
2010-10-11,25.08,25.50,24.88,25.45,3631700,25.45
2010-10-08,24.44,25.07,24.25,24.94,3945300,24.94
2010-10-07,24.82,24.94,24.30,24.41,2528000,24.41
2010-10-06,24.78,24.95,24.45,24.73,4068300,24.73
2010-10-05,24.17,24.89,23.86,24.70,5433200,24.69
2010-10-04,23.92,24.28,23.73,23.90,2985200,23.89
2010-10-01,24.19,24.38,23.74,23.97,2936300,23.96
2010-09-30,24.27,24.50,23.86,23.92,3325500,23.91
2010-09-29,23.82,24.20,23.74,23.94,2668500,23.93
2010-09-28,23.75,24.05,23.23,23.99,4115600,23.98
2010-09-27,24.03,24.03,23.62,23.68,2969300,23.67
2010-09-24,23.73,24.24,23.66,24.10,3467400,24.09
2010-09-23,23.62,23.84,23.19,23.25,5371600,23.24
2010-09-22,24.94,25.03,23.93,23.94,6739800,23.93
2010-09-21,25.41,25.59,24.95,25.04,4698700,25.03
2010-09-20,24.70,25.37,24.53,25.29,6052000,25.28
2010-09-17,25.00,25.02,24.53,24.56,10671100,24.55
2010-09-16,25.19,25.20,24.54,24.72,9592800,24.71
2010-09-15,25.44,25.50,24.88,25.36,4910900,25.35
2010-09-14,25.75,26.14,25.36,25.74,3144400,25.73
2010-09-13,25.90,26.00,25.66,25.95,3364800,25.94
2010-09-10,25.49,25.68,25.21,25.50,3089700,25.49
2010-09-09,25.54,25.71,24.95,25.46,3637300,25.45
2010-09-08,24.95,25.62,24.86,24.95,4548700,24.94
2010-09-07,25.20,25.49,24.41,24.91,6883700,24.90
2010-09-03,25.26,26.10,25.04,26.09,6533800,26.08
2010-09-02,24.76,25.09,24.43,25.00,4434500,24.99
2010-09-01,24.06,24.78,23.76,24.72,5382800,24.71
2010-08-31,22.67,23.60,22.44,23.37,5575500,23.36
2010-08-30,23.75,23.77,22.74,22.90,7723800,22.89
2010-08-27,21.75,23.80,21.17,23.73,13990900,23.72
2010-08-26,21.82,22.12,21.39,21.52,6083100,21.51
2010-08-25,20.74,21.79,20.65,21.70,9472900,21.69
2010-08-24,20.80,21.09,20.65,20.97,5695900,20.96
2010-08-23,21.29,21.65,21.05,21.29,4315300,21.28
2010-08-20,21.28,21.47,21.01,21.33,3502200,21.32
2010-08-19,22.18,22.25,21.40,21.58,4713200,21.57
2010-08-18,22.49,22.64,22.19,22.34,5077000,22.33
2010-08-17,22.62,22.94,22.45,22.46,4668400,22.45
2010-08-16,22.51,22.75,22.07,22.25,3730700,22.24
2010-08-13,22.78,23.17,22.57,22.69,3416900,22.68
2010-08-12,22.52,23.19,22.50,22.83,4620400,22.82
2010-08-11,24.02,24.07,22.93,22.95,7635200,22.94
2010-08-10,24.85,25.04,24.45,24.63,4369100,24.62
2010-08-09,24.89,25.25,24.67,25.17,3191300,25.16
2010-08-06,24.64,24.80,24.06,24.69,4265700,24.68
2010-08-05,25.01,25.13,24.70,24.98,4096500,24.97
2010-08-04,25.76,25.77,25.06,25.32,3888600,25.31
2010-08-03,26.25,26.25,25.37,25.48,5369100,25.47
2010-08-02,26.63,26.83,26.23,26.46,5223400,26.45
2010-07-30,25.26,26.27,25.08,26.04,6544600,26.03
2010-07-29,25.16,25.95,24.48,25.76,9639400,25.75
2010-07-28,24.38,24.63,24.01,24.09,5324300,24.08
2010-07-27,25.04,25.31,24.49,24.56,3860100,24.55
2010-07-26,24.55,24.90,24.19,24.77,5594800,24.76
2010-07-23,23.93,24.68,23.73,24.61,5105800,24.60
2010-07-22,23.52,24.28,23.35,24.13,5669400,24.12
2010-07-21,23.31,23.91,22.99,23.05,7037400,23.04
2010-07-20,22.47,23.09,21.95,23.06,5448800,23.05
2010-07-19,22.85,23.23,22.55,22.88,6879900,22.87
2010-07-16,23.47,23.65,22.57,22.62,6468500,22.61
2010-07-15,23.99,24.20,23.37,23.87,6686400,23.86
2010-07-14,24.85,24.85,23.77,24.04,8410700,24.03
2010-07-13,25.59,25.88,25.32,25.49,4521900,25.48
2010-07-12,25.38,25.46,24.81,25.07,2715000,25.06
2010-07-09,24.89,25.63,24.81,25.58,2524700,25.57
2010-07-08,24.95,25.19,24.42,24.93,3082800,24.92
2010-07-07,23.57,24.64,23.49,24.58,3805300,24.57
2010-07-06,24.03,24.62,23.23,23.56,4293600,23.54
2010-07-02,23.84,24.05,23.06,23.38,4135700,23.36
2010-07-01,24.10,24.45,22.99,23.67,6432500,23.65
2010-06-30,24.70,25.00,24.20,24.29,5058000,24.27
2010-06-29,25.63,25.79,24.42,24.63,6396900,24.61
2010-06-28,27.12,27.19,26.30,26.37,4706500,26.35
2010-06-25,26.88,27.26,26.17,27.07,5690300,27.05
2010-06-24,26.73,26.99,26.40,26.51,5334300,26.49
2010-06-23,27.42,27.42,26.63,27.05,5851600,27.03
2010-06-22,27.62,27.90,27.27,27.41,6593200,27.39
2010-06-21,28.25,28.68,27.40,27.64,4042600,27.62
2010-06-18,27.77,27.93,27.46,27.81,2820600,27.79
2010-06-17,28.05,28.05,27.30,27.72,3671400,27.70
2010-06-16,27.60,28.21,27.52,27.74,5149900,27.72
2010-06-15,27.61,28.10,27.33,27.88,17985400,27.86
2010-06-14,26.89,28.13,26.88,27.41,8746300,27.39
2010-06-11,25.73,26.42,25.47,26.36,2751300,26.34
2010-06-10,25.56,26.26,25.43,26.25,4014800,26.23
2010-06-09,25.21,25.86,24.77,24.91,3750600,24.89
2010-06-08,24.82,25.22,23.92,24.96,5547900,24.94
2010-06-07,25.66,25.86,24.59,24.62,4133500,24.60
2010-06-04,26.34,26.55,25.19,25.31,5410800,25.29
2010-06-03,27.21,27.65,26.72,27.28,3980300,27.26
2010-06-02,26.00,26.93,25.67,26.92,4781200,26.90
2010-06-01,26.03,26.42,25.60,25.64,5675600,25.62
2010-05-28,27.40,27.52,26.21,26.46,3619900,26.44
2010-05-27,26.62,27.47,25.96,27.41,3820800,27.39
2010-05-26,26.20,26.48,25.48,25.68,4966500,25.66
2010-05-25,24.42,25.75,23.86,25.67,7657700,25.65
2010-05-24,25.56,26.21,24.94,24.98,7293700,24.96
2010-05-21,24.78,26.05,24.78,25.51,12167800,25.49
2010-05-20,26.70,27.07,25.57,25.58,7414900,25.56
2010-05-19,27.68,28.81,27.15,27.74,8407700,27.72
2010-05-18,28.54,29.17,27.80,28.06,7142900,28.04
2010-05-17,27.97,28.46,27.03,28.00,3614100,27.98
2010-05-14,29.03,29.05,27.72,28.02,4105600,28.00
2010-05-13,29.51,30.06,29.20,29.41,3361200,29.39
2010-05-12,29.79,30.05,29.46,29.71,2989000,29.69
2010-05-11,28.68,30.14,28.56,29.51,4485900,29.49
2010-05-10,28.34,29.44,28.01,29.34,5198800,29.32
2010-05-07,27.35,28.05,25.94,26.64,7473100,26.62
2010-05-06,28.57,29.45,25.63,27.47,7213500,27.45
2010-05-05,29.11,29.72,28.26,28.74,7058600,28.72
2010-05-04,30.62,30.71,29.49,29.70,4753300,29.68
2010-05-03,30.62,31.33,30.59,31.20,3528000,31.17
2010-04-30,31.26,31.61,30.50,30.59,3426000,30.56
2010-04-29,30.80,31.96,29.72,31.52,6105700,31.49
2010-04-28,31.08,31.84,30.63,30.90,4259800,30.87
2010-04-27,32.56,32.57,30.45,30.65,4695400,30.62
2010-04-26,32.78,33.55,32.68,32.90,3880300,32.87
2010-04-23,32.24,32.89,32.05,32.79,4247000,32.76
2010-04-22,31.97,32.24,31.48,32.22,4008400,32.19
2010-04-21,32.60,32.75,31.94,32.45,2642300,32.42
2010-04-20,32.51,32.72,32.08,32.72,2942500,32.69
2010-04-19,30.90,32.12,30.88,32.12,5151200,32.09
2010-04-16,31.98,32.26,30.62,31.31,5608800,31.28
2010-04-15,32.43,32.61,31.91,32.26,2853000,32.23
2010-04-14,31.92,32.76,31.86,32.65,3619100,32.62
2010-04-13,31.64,31.82,31.14,31.80,2692600,31.77
2010-04-12,31.79,31.90,31.41,31.75,3139100,31.72
2010-04-09,31.95,31.99,31.25,31.66,2765400,31.63
2010-04-08,31.16,32.04,30.68,31.90,3514300,31.87
2010-04-07,32.01,32.14,31.13,31.36,4767300,31.33
2010-04-06,32.10,32.54,32.03,32.22,3097700,32.18
2010-04-05,31.72,32.30,31.46,32.29,4093400,32.25
2010-04-01,31.08,31.73,30.98,31.51,3555500,31.47
2010-03-31,29.90,30.70,29.86,30.70,3901500,30.67
2010-03-30,30.23,30.34,29.82,30.08,2137900,30.05
2010-03-29,30.07,30.27,29.89,30.22,3721900,30.19
2010-03-26,29.12,30.32,29.12,29.75,4706600,29.72
2010-03-25,29.44,29.94,28.94,28.99,4615300,28.96
2010-03-24,28.72,29.51,28.72,29.09,3061500,29.06
2010-03-23,28.84,29.05,28.41,28.96,2709400,28.93
2010-03-22,28.34,28.88,27.83,28.82,3557600,28.79
2010-03-19,29.33,29.49,28.74,28.76,3821800,28.73
2010-03-18,29.53,29.81,29.08,29.24,4511500,29.21
2010-03-17,29.10,30.74,29.07,29.73,9950800,29.70
2010-03-16,28.30,28.53,27.75,28.48,3756300,28.45
2010-03-15,27.12,28.32,27.12,28.20,5472500,28.17
2010-03-12,27.55,27.75,27.18,27.36,2696000,27.33
2010-03-11,27.06,27.34,26.84,27.33,1861000,27.30
2010-03-10,27.38,27.66,27.04,27.21,3229300,27.18
2010-03-09,26.90,27.40,26.56,27.18,2365800,27.15
2010-03-08,27.06,27.43,26.87,26.94,2779200,26.91
2010-03-05,26.66,27.10,26.53,26.98,3131800,26.95
2010-03-04,26.22,26.68,26.12,26.58,3089800,26.55
2010-03-03,26.15,26.35,25.94,26.27,3396100,26.24
2010-03-02,25.72,26.55,25.69,26.11,5537300,26.08
2010-03-01,25.27,25.69,25.19,25.62,2629700,25.59
2010-02-26,25.22,25.27,24.81,25.18,3086600,25.15
2010-02-25,24.80,25.30,24.51,25.27,5087200,25.24
2010-02-24,24.77,25.36,24.64,25.34,3345300,25.31
2010-02-23,25.61,25.61,24.42,24.65,5113400,24.62
2010-02-22,25.60,25.89,25.46,25.78,3442300,25.75
2010-02-19,25.43,25.71,24.76,25.48,4873700,25.45
2010-02-18,24.88,25.76,24.88,25.72,4458600,25.69
2010-02-17,25.19,25.40,24.91,25.15,3309500,25.12
2010-02-16,24.57,24.95,24.11,24.93,3897000,24.90
2010-02-12,24.46,24.80,23.96,24.70,3857400,24.67
2010-02-11,24.44,24.88,23.71,24.82,3891200,24.79
2010-02-10,24.50,24.88,24.05,24.46,3340200,24.43
2010-02-09,24.50,25.20,23.84,24.50,10533700,24.47
2010-02-08,23.82,24.52,23.37,23.50,5032400,23.47
2010-02-05,23.81,24.28,22.52,23.72,7099800,23.69
2010-02-04,25.19,25.19,23.75,23.77,7142100,23.74
