Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,89.04,89.31,88.53,88.92,586500,88.92
2010-11-04,88.74,88.98,88.11,88.94,1118100,88.94
2010-11-03,87.91,88.26,87.27,88.26,1090000,88.26
2010-11-02,86.13,87.72,86.07,87.71,1065900,87.71
2010-11-01,85.49,86.17,85.10,85.50,771900,85.50
2010-10-29,86.23,86.33,85.00,85.34,1071900,85.34
2010-10-28,85.66,86.41,85.52,86.33,611700,86.33
2010-10-27,85.79,85.79,84.13,85.13,1253400,85.13
2010-10-26,85.05,86.58,85.03,86.57,953000,86.57
2010-10-25,86.51,87.47,85.02,85.14,1374700,85.14
2010-10-22,83.41,84.10,83.06,84.05,820600,84.05
2010-10-21,83.56,83.84,83.10,83.20,788000,83.20
2010-10-20,83.19,84.10,83.13,83.20,653800,83.20
2010-10-19,82.91,83.73,82.54,82.91,997300,82.91
2010-10-18,83.10,83.56,83.03,83.46,510700,83.46
2010-10-15,82.61,83.59,82.61,82.97,1404300,82.97
2010-10-14,82.03,83.02,81.60,81.90,783200,81.90
2010-10-13,81.55,82.27,81.50,82.05,1043900,82.05
2010-10-12,80.09,81.66,80.09,81.45,1512600,81.45
2010-10-11,79.64,80.18,79.29,79.99,869800,79.99
2010-10-08,79.29,80.09,79.10,79.97,1107700,79.97
2010-10-07,79.42,79.80,78.99,78.99,894300,78.99
2010-10-06,79.49,80.32,78.93,79.04,1383000,79.04
2010-10-05,79.07,79.87,79.01,79.52,1090900,79.52
2010-10-04,80.04,80.46,78.54,78.70,1476200,78.70
2010-10-01,80.82,80.93,79.76,80.03,997900,80.03
2010-09-30,80.89,81.71,80.23,80.31,1266700,80.31
2010-09-29,80.42,81.19,80.17,80.70,901700,80.70
2010-09-28,81.35,81.35,80.32,80.79,1028600,80.79
2010-09-27,81.34,81.71,81.14,81.19,695500,81.19
2010-09-24,80.78,81.45,79.63,81.40,1080600,81.40
2010-09-23,80.98,81.24,80.06,80.12,684800,80.12
2010-09-22,82.65,82.85,81.77,81.92,1317800,81.92
2010-09-21,82.07,83.03,81.70,82.89,1258400,82.89
2010-09-20,81.05,82.01,80.77,81.98,881500,81.98
2010-09-17,80.69,81.49,80.64,80.70,917800,80.70
2010-09-16,81.15,81.25,79.97,80.69,1076400,80.69
2010-09-15,81.31,81.43,80.72,81.12,1446200,81.12
2010-09-14,81.43,81.48,80.59,81.25,893000,81.25
2010-09-13,82.19,82.24,81.00,81.36,1040100,81.36
2010-09-10,80.31,81.91,80.31,81.76,1065500,81.76
2010-09-09,81.36,81.36,80.07,80.07,1269300,80.07
2010-09-08,80.78,81.17,80.46,80.68,1524700,80.68
2010-09-07,80.53,80.88,80.32,80.59,1003200,80.59
2010-09-03,80.11,80.70,79.36,80.70,2871400,80.70
2010-09-02,78.17,79.91,77.10,79.90,1752500,79.90
2010-09-01,76.71,78.21,76.57,78.20,2147900,78.20
2010-08-31,75.75,76.45,75.34,76.01,2396800,76.01
2010-08-30,76.34,76.34,75.61,76.16,1809000,76.16
2010-08-27,78.10,78.13,76.72,77.20,1716300,76.07
2010-08-26,78.35,78.85,76.96,77.93,2086000,76.79
2010-08-25,75.26,78.16,75.22,78.04,2594000,76.90
2010-08-24,74.07,75.73,74.03,75.34,2256000,74.24
2010-08-23,75.09,75.66,74.36,74.65,1477400,73.56
2010-08-20,74.64,75.35,74.45,74.74,1350100,73.65
2010-08-19,75.96,76.09,74.54,75.28,877500,74.18
2010-08-18,75.80,76.38,75.31,76.22,964600,75.11
2010-08-17,74.98,75.98,74.50,75.86,1162100,74.75
2010-08-16,75.02,75.13,74.25,74.46,1045900,73.37
2010-08-13,75.44,75.86,75.15,75.30,1037700,74.20
2010-08-12,75.02,75.60,74.39,75.30,2162000,74.20
2010-08-11,75.41,75.76,75.09,75.71,1177700,74.61
2010-08-10,75.79,76.66,75.63,76.18,1348100,75.07
2010-08-09,76.46,76.61,76.09,76.11,1615600,75.00
2010-08-06,75.40,76.39,75.32,76.32,1197500,75.21
2010-08-05,74.70,75.89,74.46,75.89,1251500,74.78
2010-08-04,76.00,76.19,74.58,74.80,1663200,73.71
2010-08-03,76.38,76.65,75.72,75.79,1158800,74.69
2010-08-02,76.67,77.00,75.90,76.36,1004200,75.25
2010-07-30,75.29,76.34,74.96,76.24,1289400,75.13
2010-07-29,76.84,77.31,75.72,75.80,764300,74.70
2010-07-28,77.21,77.67,76.59,76.68,930000,75.56
2010-07-27,77.59,77.69,77.07,77.42,729900,76.29
2010-07-26,76.88,77.72,76.61,77.25,888700,76.12
2010-07-23,75.76,76.48,75.74,76.30,918500,75.19
2010-07-22,74.95,75.92,74.65,75.91,1720000,74.80
2010-07-21,75.01,75.42,73.98,74.45,1397500,73.37
2010-07-20,73.33,75.16,73.33,75.00,1003400,73.91
2010-07-19,73.87,74.11,73.32,74.03,1270100,72.95
2010-07-16,74.50,75.00,73.49,73.53,1407300,72.46
2010-07-15,74.58,75.62,74.15,74.76,2893200,73.67
2010-07-14,74.44,74.78,74.08,74.72,1279700,73.63
2010-07-13,75.05,75.16,73.36,74.65,2875100,73.56
2010-07-12,74.76,75.27,74.39,74.67,1197200,73.58
2010-07-09,74.26,74.45,73.79,74.42,1910000,73.34
2010-07-08,72.67,74.21,72.66,74.19,1692200,73.11
2010-07-07,72.54,72.95,71.53,72.51,2219400,71.45
2010-07-06,72.62,73.11,71.96,72.65,1013500,71.59
2010-07-02,72.10,72.31,71.38,71.91,1340300,70.86
2010-07-01,72.13,72.18,70.87,71.95,1306300,70.90
2010-06-30,72.37,73.05,71.93,71.98,1771300,70.93
2010-06-29,72.98,73.51,72.22,72.54,1534300,71.48
2010-06-28,71.93,74.16,71.77,73.54,1989400,72.47
2010-06-25,73.02,73.02,71.62,71.77,4662700,70.72
2010-06-24,73.90,74.08,72.71,72.88,1922300,71.82
2010-06-23,73.94,74.58,73.55,74.09,1024800,73.01
2010-06-22,75.51,75.82,73.96,74.23,1636700,73.15
2010-06-21,75.74,75.93,75.01,75.42,1096000,74.32
2010-06-18,74.62,75.15,74.62,74.99,1039000,73.90
2010-06-17,75.23,75.35,74.27,74.61,816100,73.52
2010-06-16,74.13,75.13,73.98,75.03,823600,73.94
2010-06-15,73.86,74.71,73.69,74.59,1306300,73.50
2010-06-14,74.09,74.28,73.34,73.62,1662200,72.55
2010-06-11,73.54,73.82,72.32,73.71,1509300,72.64
2010-06-10,73.07,73.98,73.07,73.94,1361400,72.86
2010-06-09,72.10,73.46,71.59,72.30,1940000,71.25
2010-06-08,70.91,72.05,70.80,72.02,1418700,70.97
2010-06-07,71.58,72.26,71.02,71.12,2198400,70.08
2010-06-04,71.82,72.73,71.29,71.59,1222400,70.55
2010-06-03,72.63,73.38,72.42,73.07,1435000,72.01
2010-06-02,71.81,72.85,71.81,72.58,2112400,71.52
2010-06-01,71.30,72.61,70.24,71.38,1484000,70.34
2010-05-28,72.90,73.00,71.48,71.49,1468500,70.45
2010-05-27,72.67,73.00,72.16,73.00,1992800,71.94
2010-05-26,73.52,74.33,72.96,73.01,2200900,70.96
2010-05-25,72.76,73.25,72.21,73.12,1854800,71.07
2010-05-24,74.59,74.66,73.84,73.88,2276000,71.81
2010-05-21,74.75,74.75,73.61,74.69,2715800,72.59
2010-05-20,77.94,77.94,75.44,75.44,1605800,73.32
2010-05-19,79.17,79.68,78.20,78.60,2397700,76.39
2010-05-18,80.52,80.69,79.11,79.56,1565000,77.33
2010-05-17,79.15,80.50,78.75,80.09,2497600,77.84
2010-05-14,79.45,79.73,78.42,78.83,2175100,76.62
2010-05-13,80.08,80.73,79.56,79.65,860800,77.41
2010-05-12,80.80,80.91,79.62,80.20,1166400,77.95
2010-05-11,79.07,81.30,78.99,80.66,1997300,78.40
2010-05-10,78.18,79.78,78.05,79.56,1996700,77.33
2010-05-07,76.21,76.89,75.07,76.21,3191500,74.07
2010-05-06,77.19,77.48,73.00,76.21,2369800,74.07
2010-05-05,77.00,77.85,76.34,77.38,1599100,75.21
2010-05-04,77.62,78.27,77.18,77.25,1667100,75.08
2010-05-03,78.88,78.89,77.69,78.03,1246000,75.84
2010-04-30,78.66,79.41,78.33,78.37,903000,76.17
2010-04-29,78.09,78.95,78.09,78.57,1162100,76.36
2010-04-28,77.75,78.25,77.03,77.83,1560600,75.65
2010-04-27,78.71,79.16,77.36,77.55,1527900,75.37
2010-04-26,82.26,82.26,78.69,78.87,4812300,76.66
2010-04-23,79.44,79.67,78.43,79.57,883300,77.34
2010-04-22,79.20,79.57,78.32,79.29,650900,77.06
2010-04-21,79.04,80.00,79.00,79.63,1080500,77.39
2010-04-20,78.25,79.21,77.97,79.16,828200,76.94
2010-04-19,77.46,78.11,77.27,78.06,910100,75.87
2010-04-16,77.82,77.99,77.02,77.35,1408600,75.18
2010-04-15,77.72,78.05,77.30,77.82,1017700,75.64
2010-04-14,77.25,77.80,76.31,77.72,1307300,75.54
2010-04-13,77.32,77.42,76.44,77.29,710000,75.12
2010-04-12,77.05,77.94,77.05,77.50,750100,75.32
2010-04-09,76.59,77.04,76.15,77.01,904300,74.85
2010-04-08,77.03,77.30,76.54,76.68,1043100,74.53
2010-04-07,77.86,77.86,77.03,77.32,1050300,75.15
2010-04-06,76.52,78.15,76.50,77.90,2407500,75.71
2010-04-05,76.00,77.03,75.75,76.90,1482600,74.74
2010-04-01,75.54,75.99,75.51,75.78,1286300,73.65
2010-03-31,74.96,75.42,74.62,75.24,2302000,73.13
2010-03-30,74.95,75.37,74.62,74.96,1145100,72.86
2010-03-29,75.28,75.85,74.80,74.88,2355400,72.78
2010-03-26,76.61,76.75,75.81,76.00,1124400,73.87
2010-03-25,77.60,77.60,76.34,76.37,1013200,74.23
2010-03-24,77.30,77.71,77.21,77.31,934000,75.14
2010-03-23,77.45,77.71,77.05,77.55,874000,75.37
2010-03-22,76.85,77.54,76.31,77.49,1618200,75.31
2010-03-19,76.90,77.44,76.54,77.08,2139300,74.92
2010-03-18,77.09,77.23,76.78,76.83,807100,74.67
2010-03-17,77.32,77.35,76.42,76.95,1623900,74.79
2010-03-16,76.41,77.30,76.39,76.94,1619000,74.78
2010-03-15,75.83,76.49,75.42,76.43,1195700,74.28
2010-03-12,76.16,76.19,75.57,75.98,1016500,73.85
2010-03-11,75.49,76.15,74.86,76.07,1909900,73.93
2010-03-10,75.33,76.03,75.02,75.65,1133800,73.53
2010-03-09,75.60,76.25,74.93,75.20,1752700,73.09
2010-03-08,75.14,75.96,75.10,75.84,1782100,73.71
2010-03-05,74.82,75.60,74.48,75.50,2981900,73.38
2010-03-04,74.55,75.01,74.31,74.74,1652700,72.64
2010-03-03,74.10,74.57,74.09,74.26,1192700,72.18
2010-03-02,72.79,74.44,72.79,74.03,1782100,71.95
2010-03-01,73.06,73.06,72.07,72.76,2951900,70.72
2010-02-26,74.34,74.39,72.84,73.04,2579400,70.99
2010-02-25,74.48,74.76,73.90,74.54,2417400,72.45
2010-02-24,76.14,76.45,75.55,75.74,1043200,72.64
2010-02-23,76.78,77.12,76.03,76.05,1103900,72.94
2010-02-22,76.68,77.04,76.10,76.72,1352100,73.58
2010-02-19,75.86,76.83,75.83,76.51,1050800,73.38
2010-02-18,75.60,76.20,75.21,76.14,783800,73.03
2010-02-17,75.94,75.94,75.00,75.60,2272400,72.51
2010-02-16,75.67,76.13,75.26,75.60,991700,72.51
2010-02-12,75.51,75.86,74.71,75.35,1314800,72.27
2010-02-11,74.13,76.14,73.89,75.90,1444800,72.80
2010-02-10,75.01,75.01,73.89,74.34,673600,71.30
2010-02-09,74.66,75.12,73.97,74.91,2164700,71.85
2010-02-08,74.42,75.55,73.70,74.22,1757800,71.18
2010-02-05,73.96,74.92,73.55,74.50,1809300,71.45
2010-02-04,75.56,75.56,74.20,74.24,1502800,71.20
2010-02-03,77.58,77.58,75.79,76.05,1201400,72.94
2010-02-02,77.06,77.91,76.43,77.74,1938600,74.56
2010-02-01,76.16,77.00,75.87,76.73,559200,73.59
2010-01-29,76.72,76.90,75.65,75.70,614900,72.60
2010-01-28,76.63,76.88,75.55,76.57,814900,73.44
2010-01-27,76.80,77.16,75.65,76.26,848600,73.14
2010-01-26,76.91,77.36,76.08,76.80,1837700,73.66
2010-01-25,74.47,77.39,74.47,76.99,2861700,73.84
2010-01-22,75.66,75.76,74.27,74.42,1680000,71.38
2010-01-21,76.05,76.60,75.26,75.73,2066400,72.63
2010-01-20,76.64,76.64,75.31,76.09,2026400,72.98
2010-01-19,76.62,77.55,76.25,77.15,1326100,73.99
2010-01-15,77.11,78.17,77.01,77.54,1415200,74.37
2010-01-14,77.50,77.82,77.01,77.46,1542300,74.29
2010-01-13,77.99,78.60,77.65,77.70,1038700,74.52
2010-01-12,78.32,78.43,77.08,77.72,2115200,74.54
2010-01-11,78.35,78.72,77.99,78.44,693800,75.23
2010-01-08,77.93,77.96,76.87,77.95,1479400,74.76
2010-01-07,78.62,78.76,77.43,77.91,2098800,74.72
2010-01-06,79.17,79.84,78.53,78.92,1600600,75.69
2010-01-05,81.74,81.74,79.33,79.34,1838400,76.09
2010-01-04,80.58,81.57,80.07,81.52,1015200,78.19
2009-12-31,80.65,81.12,80.23,80.23,1001200,76.95
2009-12-30,80.35,80.81,80.18,80.63,647200,77.33
2009-12-29,79.98,80.65,79.50,80.61,785100,77.31
2009-12-28,79.00,79.56,79.00,79.52,553300,76.27
2009-12-24,78.84,79.16,78.64,78.91,452700,75.68
2009-12-23,78.62,79.31,78.49,78.57,1748600,75.36
2009-12-22,78.41,79.21,78.41,78.65,1069700,75.43
2009-12-21,77.77,78.59,77.48,78.42,1286700,75.21
2009-12-18,78.70,78.70,76.59,77.48,2613600,74.31
2009-12-17,79.49,79.52,78.39,78.48,1714300,75.27
2009-12-16,79.23,80.59,78.87,79.55,2036400,76.30
2009-12-15,78.73,79.68,78.36,79.58,1511500,76.33
2009-12-14,79.09,79.18,78.43,78.70,1375500,75.48
2009-12-11,79.06,79.17,78.19,78.57,1204500,75.36
2009-12-10,79.09,79.81,78.99,79.11,859500,75.87
2009-12-09,78.11,78.79,77.82,78.60,1562500,75.39
2009-12-08,78.69,78.84,77.45,77.82,1286100,74.64
2009-12-07,78.74,79.17,78.35,79.05,1938000,75.82
2009-12-04,78.31,79.49,78.31,78.48,2405300,75.27
2009-12-03,78.60,78.76,78.00,78.16,1229200,74.96
2009-12-02,78.34,78.87,78.00,78.70,1000900,75.48
2009-12-01,77.91,78.65,77.91,78.34,1321300,75.14
2009-11-30,79.04,79.30,77.83,77.91,1487700,74.72
2009-11-27,78.43,79.57,77.50,78.91,648900,75.68
2009-11-25,80.24,80.76,79.82,80.47,1234000,76.22
2009-11-24,80.43,80.61,79.57,80.25,1813400,76.01
2009-11-23,80.00,80.97,79.98,80.52,3065400,76.27
2009-11-20,79.05,79.79,78.83,79.48,1540100,75.28
2009-11-19,79.15,79.44,78.37,79.07,3286500,74.89
2009-11-18,79.44,79.51,78.95,79.19,1049800,75.01
2009-11-17,79.75,79.82,79.15,79.38,3029500,75.19
2009-11-16,79.32,80.80,79.25,79.77,2099200,75.56
2009-11-13,79.68,79.90,79.06,79.28,1497000,75.09
2009-11-12,79.38,79.95,79.13,79.38,901700,75.19
2009-11-11,80.29,80.29,79.16,79.50,975500,75.30
2009-11-10,78.59,80.14,78.39,79.65,962900,75.44
2009-11-09,78.14,79.10,77.69,78.85,3661600,74.69
2009-11-06,78.37,78.37,77.34,77.65,1953400,73.55
2009-11-05,77.93,79.22,77.93,78.48,1286400,74.33
2009-11-04,78.73,78.84,77.73,77.93,1552200,73.81
2009-11-03,77.66,78.55,77.24,78.49,2576100,74.34
2009-11-02,77.39,78.10,77.03,78.03,2717800,73.91
2009-10-30,77.73,78.83,77.43,77.72,1820000,73.61
2009-10-29,77.82,78.66,76.91,78.13,1880500,74.00
2009-10-28,78.65,79.16,77.64,77.80,1847100,73.69
2009-10-27,75.01,78.90,74.81,78.64,5579600,74.49
2009-10-26,76.82,77.67,74.04,74.22,5103000,70.30
2009-10-23,80.56,80.78,78.99,79.82,2516500,75.60
2009-10-22,81.10,81.17,79.74,80.74,1949800,76.48
2009-10-21,81.03,81.76,80.95,81.10,1996600,76.82
2009-10-20,80.75,81.59,80.57,81.41,3243900,77.11
2009-10-19,80.70,81.53,80.37,80.77,1189000,76.50
2009-10-16,79.80,80.75,79.57,80.52,2645500,76.27
2009-10-15,79.39,80.74,79.24,80.08,1907200,75.85
2009-10-14,78.55,79.75,77.58,79.55,1502100,75.35
2009-10-13,78.01,78.70,77.57,78.24,2970100,74.11
2009-10-12,78.08,79.02,77.46,77.99,930100,73.87
2009-10-09,77.03,77.89,76.66,77.79,978200,73.68
2009-10-08,76.94,77.00,76.33,76.85,1125900,72.79
2009-10-07,76.85,76.99,76.10,76.25,1739400,72.22
2009-10-06,75.02,77.55,74.71,77.03,4722800,72.96
2009-10-05,74.52,75.24,73.82,75.00,1740800,71.04
2009-10-02,74.23,75.00,73.64,74.61,1699400,70.67
2009-10-01,74.55,74.65,73.61,74.33,1053800,70.40
2009-09-30,75.49,75.75,73.27,74.30,1070400,70.38
2009-09-29,73.92,74.81,73.47,74.74,957400,70.79
2009-09-28,73.13,73.86,72.92,73.78,553400,69.88
2009-09-25,73.16,73.81,72.70,72.81,959200,68.96
2009-09-24,74.18,74.33,73.03,73.25,955200,69.38
2009-09-23,73.98,75.02,73.98,74.15,1839600,70.23
2009-09-22,75.24,75.36,73.63,73.75,1208800,69.85
2009-09-21,74.66,74.85,73.70,74.47,2568200,70.54
2009-09-18,73.47,75.22,72.99,75.22,3799500,71.25
2009-09-17,72.77,73.51,72.66,73.25,1427900,69.38
2009-09-16,73.12,73.12,72.40,72.73,2664200,68.89
2009-09-15,74.18,74.90,72.72,73.11,4164700,69.25
2009-09-14,74.34,75.00,74.21,74.55,1340700,70.61
2009-09-11,74.29,75.25,74.06,74.80,1952900,70.85
2009-09-10,73.50,74.59,73.01,74.59,1303900,70.65
2009-09-09,73.83,73.83,73.35,73.65,1680100,69.76
2009-09-08,74.18,74.75,73.44,73.99,1757300,70.08
2009-09-04,72.95,74.37,72.95,74.18,909600,70.26
2009-09-03,73.63,73.63,72.53,73.38,1851900,69.50
2009-09-02,72.49,73.24,71.91,73.12,1350800,69.26
2009-09-01,73.22,73.22,72.39,72.56,1685600,68.73
2009-08-31,71.94,72.91,70.91,72.77,2692200,68.93
2009-08-28,74.01,74.09,71.89,72.13,1984300,68.32
2009-08-27,75.91,76.72,74.30,74.69,1613100,69.80
2009-08-26,77.24,77.65,76.14,76.28,1242400,71.28
2009-08-25,78.24,78.57,76.88,77.18,1527700,72.12
2009-08-24,75.25,78.16,74.92,78.04,2586000,72.93
2009-08-21,74.51,75.10,73.28,74.87,1159700,69.97
2009-08-20,73.39,73.82,72.68,73.59,1034500,68.77
2009-08-19,72.99,73.80,72.85,73.16,1268700,68.37
2009-08-18,72.46,73.62,71.52,73.28,1019900,68.48
2009-08-17,72.17,73.09,71.66,72.58,1591900,67.83
2009-08-14,72.34,73.12,71.80,72.38,786400,67.64
2009-08-13,73.58,73.88,71.92,72.50,2522700,67.75
2009-08-12,73.85,74.71,73.18,73.32,1158100,68.52
2009-08-11,74.03,75.05,73.85,73.97,1061500,69.12
2009-08-10,72.75,73.67,72.39,73.49,2541100,68.68
2009-08-07,72.76,73.10,72.64,72.81,863500,68.04
2009-08-06,71.80,72.97,71.76,72.87,1373100,68.10
2009-08-05,73.09,73.09,71.32,71.79,1665300,67.09
2009-08-04,72.92,73.73,72.45,73.08,1199800,68.29
2009-08-03,74.24,74.33,72.94,73.45,1394600,68.64
2009-07-31,73.24,74.32,73.15,73.72,1199200,68.89
2009-07-30,73.07,74.25,72.96,73.08,1066100,68.29
2009-07-29,72.15,72.89,71.78,72.80,2157700,68.03
2009-07-28,72.63,72.71,71.74,72.00,1341100,67.28
2009-07-27,74.11,75.50,70.85,72.33,3654500,67.59
2009-07-24,72.24,72.36,71.30,71.90,1246200,67.19
2009-07-23,70.51,72.20,70.31,72.11,1329800,67.39
2009-07-22,70.00,71.00,69.80,69.97,1280500,65.39
2009-07-21,69.61,70.00,69.34,69.93,872300,65.35
2009-07-20,70.00,70.00,68.52,69.11,1135700,64.58
2009-07-17,68.44,70.06,68.11,69.98,1656900,65.40
2009-07-16,67.79,68.69,67.73,68.43,1412100,63.95
2009-07-15,68.46,68.55,67.66,67.79,1702400,63.35
2009-07-14,67.42,68.16,67.32,67.81,900000,63.37
2009-07-13,67.04,67.74,66.86,67.49,1139500,63.07
2009-07-10,66.66,67.45,66.47,67.05,763200,62.66
2009-07-09,67.79,67.89,66.46,66.76,1325200,62.39
2009-07-08,68.55,68.65,67.27,67.43,1735400,63.01
2009-07-07,69.37,69.37,68.15,68.23,858600,63.76
2009-07-06,67.83,70.05,67.81,69.68,3774800,65.12
2009-07-02,68.83,69.24,67.95,67.95,780300,63.50
2009-07-01,68.20,69.83,67.98,69.34,1013100,64.80
2009-06-30,68.33,68.33,67.50,67.77,1066300,63.33
2009-06-29,67.73,68.53,67.42,68.44,1187000,63.96
2009-06-26,67.91,68.06,67.54,67.76,2623700,63.32
2009-06-25,67.63,68.08,67.45,67.93,1666200,63.48
2009-06-24,68.54,68.54,67.36,67.69,988400,63.26
2009-06-23,68.78,69.35,67.64,68.09,2218400,63.63
