Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,22.27,22.47,22.12,22.29,8690800,22.29
2010-11-04,22.17,22.32,22.04,22.30,8339500,22.30
2010-11-03,22.07,22.09,21.61,21.92,8872900,21.92
2010-11-02,21.40,22.04,21.34,21.92,11238800,21.92
2010-11-01,21.31,21.60,21.09,21.19,9258300,21.19
2010-10-29,21.36,21.41,21.22,21.34,7759100,21.34
2010-10-28,21.55,21.60,21.24,21.38,6832200,21.38
2010-10-27,21.53,21.54,21.18,21.46,14100200,21.46
2010-10-26,21.72,21.98,21.59,21.72,6384000,21.72
2010-10-25,22.07,22.18,21.83,21.86,7775000,21.86
2010-10-22,22.08,22.08,21.83,22.00,7189900,22.00
2010-10-21,21.77,22.37,21.71,22.05,21866000,22.05
2010-10-20,21.09,21.69,21.00,21.65,15242800,21.65
2010-10-19,20.83,21.41,20.80,21.05,18267300,21.05
2010-10-18,21.34,21.37,20.88,21.05,23215100,21.05
2010-10-15,21.80,21.89,21.28,21.56,20615200,21.45
2010-10-14,21.97,22.00,21.50,21.68,12710300,21.57
2010-10-13,22.18,22.20,21.76,21.89,15558800,21.78
2010-10-12,22.45,22.50,22.01,22.04,21676600,21.93
2010-10-11,22.69,22.83,22.50,22.59,5210300,22.47
2010-10-08,22.74,22.84,22.58,22.70,13676500,22.58
2010-10-07,22.71,22.91,22.44,22.63,11956400,22.51
2010-10-06,22.69,22.74,22.46,22.67,9561900,22.55
2010-10-05,22.40,22.79,22.30,22.67,11410900,22.55
2010-10-04,22.26,22.51,21.97,22.24,12470300,22.13
2010-10-01,22.38,22.70,22.19,22.35,10985400,22.24
2010-09-30,22.29,22.57,22.12,22.29,11853300,22.18
2010-09-29,22.31,22.60,22.10,22.19,12385400,22.08
2010-09-28,22.20,22.48,21.90,22.41,11880500,22.30
2010-09-27,22.42,22.47,22.24,22.27,7121700,22.16
2010-09-24,21.83,22.53,21.74,22.48,12670400,22.37
2010-09-23,21.57,21.90,21.45,21.52,8182200,21.41
2010-09-22,21.64,21.88,21.56,21.76,10494000,21.65
2010-09-21,21.56,22.00,21.40,21.69,13061200,21.58
2010-09-20,21.14,21.55,21.08,21.46,11164800,21.35
2010-09-17,21.40,21.47,20.96,21.02,14891700,20.91
2010-09-16,21.34,21.47,21.13,21.31,8565100,21.20
2010-09-15,21.42,21.54,21.19,21.48,8163900,21.37
2010-09-14,21.68,21.78,21.44,21.53,9771800,21.42
2010-09-13,21.68,21.97,21.58,21.71,6542500,21.60
2010-09-10,21.57,21.81,21.50,21.52,6703000,21.41
2010-09-09,21.72,21.84,21.50,21.57,7083500,21.46
2010-09-08,21.48,21.70,21.44,21.54,8348400,21.43
2010-09-07,21.81,21.85,21.47,21.53,8348200,21.42
2010-09-03,22.31,22.50,21.74,21.96,11768700,21.85
2010-09-02,21.33,22.10,21.28,21.94,18434900,21.83
2010-09-01,20.48,21.29,20.47,21.24,13041400,21.13
2010-08-31,20.35,20.74,20.25,20.28,16637800,20.18
2010-08-30,21.04,21.05,20.45,20.46,13174400,20.36
2010-08-27,20.77,21.15,20.52,21.10,17964900,20.99
2010-08-26,20.90,20.98,20.64,20.65,15372200,20.54
2010-08-25,20.06,20.83,20.05,20.71,19268100,20.60
2010-08-24,19.98,20.43,19.78,20.22,22442200,20.12
2010-08-23,20.94,21.00,20.23,20.23,20860700,20.13
2010-08-20,20.27,20.72,20.18,20.64,12040200,20.53
2010-08-19,20.62,20.85,20.13,20.40,17823900,20.30
2010-08-18,20.04,20.81,20.02,20.79,19607100,20.68
2010-08-17,20.02,20.34,19.78,19.99,18203600,19.89
2010-08-16,20.08,20.37,19.58,19.70,25994300,19.60
2010-08-13,19.62,20.06,19.55,19.59,13805000,19.49
2010-08-12,19.62,19.83,19.45,19.74,9941000,19.64
2010-08-11,19.73,19.92,19.35,19.81,19107200,19.71
2010-08-10,20.16,20.19,19.82,19.92,13426500,19.82
2010-08-09,20.39,20.46,20.29,20.31,10990000,20.21
2010-08-06,20.52,20.62,20.20,20.28,15673200,20.18
2010-08-05,20.72,20.94,20.47,20.74,10953600,20.63
2010-08-04,20.92,21.13,20.81,20.81,11262100,20.70
2010-08-03,21.22,21.28,20.65,20.74,11929000,20.63
2010-08-02,21.07,21.40,20.81,21.33,9355800,21.22
2010-07-30,20.31,20.81,20.19,20.74,11694200,20.63
2010-07-29,20.98,21.01,20.13,20.48,14500600,20.38
2010-07-28,21.08,21.31,20.57,20.70,11207700,20.59
2010-07-27,21.95,21.99,21.04,21.15,14993100,21.04
2010-07-26,21.23,21.82,21.08,21.80,12603400,21.69
2010-07-23,20.76,21.14,20.59,21.11,12254300,21.00
2010-07-22,20.20,20.93,20.17,20.83,13812300,20.72
2010-07-21,20.40,20.41,19.86,19.98,10141500,19.88
2010-07-20,19.71,20.42,19.64,20.33,11511000,20.23
2010-07-19,20.03,20.06,19.75,19.93,8218900,19.83
2010-07-16,20.79,20.79,19.99,20.04,14778100,19.83
2010-07-15,20.89,20.95,20.50,20.88,9586200,20.66
2010-07-14,21.09,21.09,20.64,20.87,11120400,20.65
2010-07-13,20.55,21.31,20.47,21.16,17774900,20.94
2010-07-12,20.36,20.50,20.11,20.36,17236900,20.14
2010-07-09,20.22,20.44,20.02,20.43,19708600,20.21
2010-07-08,20.54,20.64,20.04,20.23,14387500,20.02
2010-07-07,20.04,20.42,19.64,20.39,18584100,20.17
2010-07-06,20.44,20.64,19.74,19.96,16062300,19.75
2010-07-02,20.53,20.54,20.01,20.27,11921600,20.06
2010-07-01,20.55,20.76,20.02,20.41,22597500,20.19
2010-06-30,20.58,20.86,20.36,20.42,11343100,20.20
2010-06-29,20.94,20.98,20.50,20.60,16668000,20.38
2010-06-28,21.38,21.49,21.17,21.23,8009500,21.01
2010-06-25,21.21,21.60,21.12,21.33,21273000,21.10
2010-06-24,21.35,21.63,21.06,21.24,15902100,21.02
2010-06-23,21.71,22.12,21.42,21.85,13977400,21.62
2010-06-22,22.67,22.73,21.73,21.76,20283600,21.53
2010-06-21,22.81,22.98,22.44,22.51,13461300,22.27
2010-06-18,22.70,22.97,22.53,22.62,30122400,22.38
2010-06-17,23.24,23.26,22.36,22.68,22320700,22.44
2010-06-16,23.67,23.73,22.95,23.20,18229500,22.95
2010-06-15,23.65,23.93,23.20,23.93,9964600,23.68
2010-06-14,23.68,23.91,23.39,23.45,10096900,23.20
2010-06-11,23.59,23.83,23.23,23.48,10495800,23.23
2010-06-10,23.57,23.86,23.40,23.84,12304600,23.59
2010-06-09,23.53,23.76,23.16,23.28,11686700,23.03
2010-06-08,23.46,23.50,22.99,23.37,16035200,23.12
2010-06-07,23.61,23.74,23.32,23.39,16814800,23.14
2010-06-04,24.05,24.09,23.40,23.52,16140300,23.27
2010-06-03,24.45,24.70,24.08,24.44,12868800,24.18
2010-06-02,24.35,24.44,24.06,24.43,16284300,24.17
2010-06-01,24.58,24.89,24.29,24.29,10536700,24.03
2010-05-28,25.39,25.39,24.58,24.75,11274000,24.49
2010-05-27,24.68,25.15,24.46,25.12,13537400,24.85
2010-05-26,24.76,24.95,24.25,24.34,20492300,24.08
2010-05-25,23.59,24.43,23.53,24.42,18928700,24.16
2010-05-24,24.17,24.55,23.98,24.18,14303800,23.92
2010-05-21,23.37,24.31,23.09,24.20,22426500,23.94
2010-05-20,24.32,24.38,23.61,23.70,25295300,23.45
2010-05-19,24.53,24.99,24.35,24.82,19058900,24.56
2010-05-18,25.17,25.25,24.30,24.70,26834500,24.44
2010-05-17,25.77,25.90,24.58,25.26,40981500,24.99
2010-05-14,26.06,26.33,25.78,26.07,16935900,25.79
2010-05-13,27.08,27.11,26.16,26.25,15105500,25.97
2010-05-12,27.22,27.41,26.74,27.06,16967500,26.77
2010-05-11,26.57,27.26,26.43,27.10,18227400,26.81
2010-05-10,26.64,26.93,26.34,26.70,17308800,26.42
2010-05-07,25.53,25.96,24.78,25.31,22869200,25.04
2010-05-06,26.49,26.76,24.14,25.52,19162800,25.25
2010-05-05,26.74,27.17,25.75,26.65,19311300,26.37
2010-05-04,27.50,27.63,26.90,26.97,17534400,26.69
2010-05-03,27.29,27.93,27.10,27.74,10810800,27.45
2010-04-30,27.46,27.74,27.10,27.12,17271200,26.83
2010-04-29,27.24,27.59,27.20,27.40,12925500,27.11
2010-04-28,27.28,27.55,26.75,27.03,14724000,26.74
2010-04-27,28.08,28.08,26.92,27.00,23812600,26.71
2010-04-26,28.14,28.54,28.12,28.16,18536500,27.86
2010-04-23,27.56,28.25,27.31,28.22,18839200,27.92
2010-04-22,26.61,27.70,26.45,27.53,16084500,27.24
2010-04-21,26.70,26.79,26.43,26.66,9195900,26.38
2010-04-20,26.54,26.98,26.54,26.62,13457700,26.34
2010-04-19,26.20,26.46,25.92,26.45,10543800,26.17
2010-04-16,26.56,26.72,26.12,26.29,13036500,25.92
2010-04-15,26.54,26.80,26.46,26.66,12021600,26.29
2010-04-14,26.36,26.63,26.13,26.59,18419100,26.22
2010-04-13,25.43,26.31,25.43,26.22,17079500,25.85
2010-04-12,25.59,25.60,25.37,25.60,7762400,25.24
2010-04-09,25.63,25.67,25.28,25.63,8599600,25.27
2010-04-08,25.18,25.69,25.13,25.59,13680000,25.23
2010-04-07,24.93,25.41,24.87,25.25,15400800,24.90
2010-04-06,24.88,25.06,24.73,24.98,9998200,24.63
2010-04-05,24.60,24.87,24.53,24.87,7051800,24.52
2010-04-01,24.37,24.62,24.35,24.54,10097500,24.20
2010-03-31,24.26,24.34,24.16,24.24,9008600,23.90
2010-03-30,24.39,24.55,24.31,24.34,6960400,24.00
2010-03-29,24.51,24.62,24.26,24.31,7946500,23.97
2010-03-26,24.44,24.59,24.31,24.48,12185400,24.14
2010-03-25,24.51,24.62,24.34,24.34,12777600,24.00
2010-03-24,24.75,24.75,24.35,24.38,9807300,24.04
2010-03-23,24.75,24.83,24.46,24.83,12291600,24.48
2010-03-22,24.65,25.03,24.63,24.91,12325400,24.56
2010-03-19,24.97,25.01,24.65,24.78,16328700,24.43
2010-03-18,25.20,25.27,24.82,24.90,10390100,24.55
2010-03-17,25.14,25.31,25.05,25.16,12615600,24.81
2010-03-16,25.03,25.25,24.86,25.05,12994700,24.70
2010-03-15,25.00,25.08,24.77,25.04,8989200,24.69
2010-03-12,24.77,25.00,24.62,24.95,16217100,24.60
2010-03-11,24.25,24.62,24.15,24.59,8535900,24.25
2010-03-10,23.98,24.33,23.92,24.29,9675300,23.95
2010-03-09,23.89,24.23,23.85,24.01,11145800,23.68
2010-03-08,24.08,24.13,23.92,23.95,9528200,23.62
2010-03-05,23.87,24.15,23.84,24.05,10758900,23.71
2010-03-04,23.53,23.82,23.53,23.79,10692700,23.46
2010-03-03,23.69,23.98,23.53,23.62,9627100,23.29
2010-03-02,23.98,24.00,23.61,23.69,9887000,23.36
2010-03-01,23.79,24.00,23.60,23.98,9701600,23.65
2010-02-26,23.81,23.97,23.70,23.71,13102300,23.38
2010-02-25,23.11,23.87,23.11,23.82,16795100,23.49
2010-02-24,22.83,23.65,22.83,23.64,16583800,23.31
2010-02-23,23.09,23.20,22.70,22.81,16679500,22.49
2010-02-22,23.43,23.47,22.88,23.07,25810200,22.75
2010-02-19,23.08,23.22,22.79,23.13,18888700,22.81
