Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,31.27,31.99,31.27,31.81,3932700,31.81
2010-11-04,30.32,31.46,30.32,31.43,5945600,31.43
2010-11-03,29.90,30.10,29.29,29.84,5415100,29.84
2010-11-02,29.39,29.88,29.01,29.83,3361500,29.83
2010-11-01,29.65,29.75,28.85,29.06,3302300,29.06
2010-10-29,29.12,29.51,29.02,29.39,3205100,29.39
2010-10-28,29.34,29.44,28.64,29.28,3390200,29.28
2010-10-27,29.11,29.38,28.65,29.20,2488600,29.20
2010-10-26,29.12,29.49,28.79,29.40,2060400,29.40
2010-10-25,29.41,29.70,29.10,29.16,1682900,29.16
2010-10-22,28.93,29.24,28.74,29.06,2211800,29.06
2010-10-21,29.20,29.52,28.60,28.80,2683000,28.80
2010-10-20,28.58,29.28,28.17,29.05,4661400,29.05
2010-10-19,28.96,29.08,28.38,28.63,3200900,28.63
2010-10-18,29.33,29.47,28.98,29.35,2093500,29.35
2010-10-15,29.53,29.60,29.01,29.26,3253900,29.26
2010-10-14,29.28,29.41,28.84,29.18,3243600,29.18
2010-10-13,29.90,29.95,29.26,29.35,4336800,29.35
2010-10-12,29.30,29.85,29.02,29.71,4924100,29.71
2010-10-11,28.78,29.48,28.78,29.31,3630100,29.31
2010-10-08,28.69,29.20,28.58,28.81,4491300,28.81
2010-10-07,28.25,28.96,28.07,28.64,6811900,28.64
2010-10-06,27.63,27.75,27.32,27.59,3039300,27.59
2010-10-05,26.86,27.97,26.86,27.81,5391100,27.81
2010-10-04,26.63,27.05,26.34,26.62,3009000,26.62
2010-10-01,25.99,27.10,25.99,26.82,5458300,26.82
2010-09-30,27.74,27.75,26.47,26.78,6356200,26.78
2010-09-29,27.22,27.69,27.05,27.59,3504000,27.59
2010-09-28,27.07,27.38,26.65,27.26,3247400,27.26
2010-09-27,27.10,27.24,26.84,26.98,1619100,26.98
2010-09-24,26.78,27.25,26.56,27.18,2700500,27.18
2010-09-23,25.87,26.60,25.83,26.22,2339600,26.22
2010-09-22,26.39,26.73,25.96,26.18,2414500,26.18
2010-09-21,27.40,27.43,26.38,26.48,4623500,26.48
2010-09-20,26.89,27.50,26.74,27.40,3667300,27.40
2010-09-17,26.62,26.83,26.26,26.77,3953100,26.77
2010-09-16,26.25,26.58,25.94,26.45,2674100,26.45
2010-09-15,26.32,26.58,26.13,26.43,3642600,26.43
2010-09-14,25.77,26.69,25.75,26.51,4066800,26.51
2010-09-13,25.74,26.02,25.64,25.74,3797000,25.74
2010-09-10,25.28,25.55,25.20,25.38,2761000,25.38
2010-09-09,25.52,25.60,25.07,25.23,3339800,25.23
2010-09-08,25.53,25.56,24.91,25.12,8096400,25.12
2010-09-07,26.16,26.16,25.73,25.89,3402600,25.89
2010-09-03,25.91,26.47,25.78,26.21,3877600,26.21
2010-09-02,24.92,25.83,24.64,25.75,5800100,25.75
2010-09-01,23.91,24.51,23.83,24.27,5412100,24.27
2010-08-31,23.89,24.43,23.57,23.60,6815600,23.60
2010-08-30,24.89,24.89,24.13,24.14,3159600,24.14
2010-08-27,24.52,25.03,23.85,24.96,4192700,24.96
2010-08-26,24.59,24.92,24.27,24.32,3866400,24.32
2010-08-25,24.07,24.69,23.98,24.52,5459600,24.52
2010-08-24,24.52,24.84,24.22,24.46,3936200,24.31
2010-08-23,25.75,25.95,24.83,24.84,4061000,24.69
2010-08-20,25.70,25.90,24.86,25.56,3621200,25.40
2010-08-19,25.85,26.58,25.63,25.86,6937100,25.70
2010-08-18,25.59,25.95,25.19,25.78,4799200,25.62
2010-08-17,25.22,25.83,25.09,25.56,4653800,25.40
2010-08-16,24.72,25.06,24.50,24.88,4163400,24.73
2010-08-13,25.20,25.23,24.63,24.89,4454700,24.74
2010-08-12,24.84,25.38,24.58,25.29,3337900,25.13
2010-08-11,25.29,25.42,24.98,25.12,4016700,24.97
2010-08-10,26.51,26.54,25.59,25.78,5697000,25.62
2010-08-09,26.26,26.93,26.26,26.79,3777600,26.63
2010-08-06,25.89,26.33,25.73,26.13,2940300,25.97
2010-08-05,26.23,26.38,25.36,26.33,4197600,26.17
2010-08-04,25.70,26.18,25.68,26.04,4635800,25.88
2010-08-03,26.20,26.31,25.33,25.52,5181200,25.36
2010-08-02,26.28,26.44,25.66,26.23,5231700,26.07
2010-07-30,25.11,25.71,24.73,25.64,4657900,25.48
2010-07-29,25.62,26.00,24.79,25.48,5533500,25.32
2010-07-28,25.41,25.90,25.22,25.36,2968200,25.20
2010-07-27,26.48,26.54,25.29,25.43,4323800,25.27
2010-07-26,25.75,26.25,25.29,26.25,3343500,26.09
2010-07-23,25.19,25.65,24.98,25.62,5625700,25.46
2010-07-22,24.63,25.34,24.57,25.22,3765500,25.07
2010-07-21,24.60,24.79,24.14,24.27,4184700,24.12
2010-07-20,23.59,24.46,23.38,24.42,4741500,24.27
2010-07-19,23.73,23.87,23.29,23.70,3673300,23.55
2010-07-16,24.84,24.85,23.42,23.50,5913200,23.36
2010-07-15,24.79,25.12,24.47,25.05,4143000,24.90
2010-07-14,24.65,24.86,24.22,24.83,4034700,24.68
2010-07-13,24.14,24.72,24.05,24.59,7487000,24.44
2010-07-12,24.28,24.40,23.81,23.93,4972900,23.78
2010-07-09,24.28,24.42,23.95,24.42,3178500,24.27
2010-07-08,24.21,24.32,23.41,24.21,9021500,24.06
2010-07-07,22.54,23.74,22.54,23.68,6072600,23.53
2010-07-06,22.87,23.43,22.40,22.61,4971100,22.47
