Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,14.24,14.32,14.11,14.19,3496000,14.19
2010-11-04,14.17,14.31,14.08,14.24,5599500,14.24
2010-11-03,14.11,14.20,13.82,14.11,6327500,14.11
2010-11-02,13.96,14.11,13.84,14.08,5864000,14.08
2010-11-01,13.86,14.00,13.76,13.87,5446100,13.87
2010-10-29,13.75,13.82,13.61,13.76,3840800,13.76
2010-10-28,13.90,13.95,13.56,13.76,3956600,13.76
2010-10-27,13.45,13.77,13.41,13.76,6587000,13.76
2010-10-26,13.51,13.60,13.43,13.57,4767500,13.57
2010-10-25,13.45,13.58,13.45,13.54,5981100,13.54
2010-10-22,13.67,13.68,13.30,13.47,6259600,13.47
2010-10-21,13.54,13.83,13.39,13.62,15871200,13.62
2010-10-20,12.90,13.26,12.84,13.16,8486300,13.16
2010-10-19,12.88,12.93,12.59,12.69,6427900,12.69
2010-10-18,13.03,13.06,12.88,13.02,3302300,13.02
2010-10-15,12.98,13.05,12.82,12.95,4368800,12.95
2010-10-14,12.97,13.02,12.76,12.86,3538400,12.86
2010-10-13,13.04,13.07,12.92,12.97,5574400,12.97
2010-10-12,12.79,13.05,12.77,12.99,5375000,12.99
2010-10-11,13.02,13.07,12.79,12.86,4010500,12.86
2010-10-08,12.92,13.08,12.88,13.04,4427000,13.04
2010-10-07,12.98,13.03,12.85,12.88,3413900,12.88
2010-10-06,12.96,13.10,12.72,12.94,7457000,12.94
2010-10-05,12.97,13.16,12.94,13.02,8060000,13.02
2010-10-04,12.92,13.09,12.62,12.82,6537700,12.82
2010-10-01,13.23,13.24,12.92,12.94,5722500,12.94
2010-09-30,13.23,13.50,13.00,13.07,9007300,13.07
2010-09-29,13.21,13.27,13.07,13.19,7323100,13.19
2010-09-28,13.51,13.57,13.04,13.24,14835200,13.24
2010-09-27,12.33,14.16,12.32,13.35,36283400,13.35
2010-09-24,12.03,12.32,11.98,12.28,4590500,12.28
2010-09-23,12.00,12.13,11.82,11.87,4304200,11.87
2010-09-22,12.12,12.20,12.03,12.08,5396900,12.08
2010-09-21,12.18,12.28,11.97,12.16,5660700,12.16
2010-09-20,11.87,12.19,11.87,12.17,4508900,12.17
2010-09-17,11.97,12.02,11.77,11.83,4070600,11.83
2010-09-16,11.75,11.96,11.67,11.95,5741800,11.95
2010-09-15,11.44,11.85,11.44,11.80,6740500,11.80
2010-09-14,11.41,11.62,11.29,11.50,5042000,11.50
2010-09-13,11.65,11.68,11.35,11.48,4598200,11.48
2010-09-10,11.52,11.59,11.42,11.52,2812900,11.52
2010-09-09,11.63,11.64,11.44,11.48,3626000,11.48
2010-09-08,11.44,11.68,11.39,11.51,3855000,11.51
2010-09-07,11.49,11.52,11.30,11.44,3654500,11.44
2010-09-03,11.66,11.70,11.48,11.57,3955200,11.57
2010-09-02,11.54,11.65,11.35,11.53,5153000,11.53
2010-09-01,11.20,11.54,11.17,11.50,6164000,11.50
2010-08-31,10.97,11.17,10.87,11.05,5100900,11.05
2010-08-30,11.12,11.24,10.88,10.99,5557100,10.99
2010-08-27,10.88,11.15,10.77,11.13,5395300,11.13
2010-08-26,10.97,11.11,10.76,10.82,6700100,10.82
2010-08-25,10.90,11.01,10.78,10.94,7676100,10.94
2010-08-24,10.90,11.13,10.78,11.01,6790600,11.01
2010-08-23,11.30,11.46,11.04,11.05,4878500,11.04
2010-08-20,11.10,11.28,11.02,11.27,4780800,11.26
2010-08-19,11.46,11.55,11.06,11.20,6323800,11.19
2010-08-18,11.49,11.63,11.40,11.54,3981100,11.53
2010-08-17,11.46,11.57,11.38,11.50,2548300,11.49
2010-08-16,11.32,11.46,11.23,11.34,3330300,11.33
2010-08-13,11.38,11.49,11.29,11.40,2976900,11.39
2010-08-12,11.21,11.60,11.12,11.43,5090000,11.42
2010-08-11,11.70,11.70,11.42,11.43,4565500,11.42
2010-08-10,12.00,12.04,11.68,11.90,6103600,11.89
2010-08-09,11.98,12.15,11.95,12.14,4438700,12.13
2010-08-06,11.93,12.11,11.80,11.95,4141900,11.94
2010-08-05,12.05,12.25,12.00,12.06,3050400,12.05
2010-08-04,12.12,12.28,12.05,12.15,5607900,12.14
2010-08-03,12.25,12.28,11.97,12.07,5026200,12.06
2010-08-02,12.14,12.32,12.06,12.31,4916500,12.30
2010-07-30,11.79,12.12,11.72,12.05,4833600,12.04
2010-07-29,12.35,12.39,11.82,12.01,5862900,12.00
2010-07-28,12.00,12.14,11.91,12.01,4587300,12.00
2010-07-27,12.14,12.20,11.94,12.00,6161200,11.99
2010-07-26,11.92,12.11,11.79,12.07,9002000,12.06
2010-07-23,11.68,11.89,11.59,11.82,7791900,11.81
2010-07-22,11.56,11.82,11.51,11.69,6251500,11.68
2010-07-21,11.57,11.65,11.30,11.37,6480200,11.36
2010-07-20,11.33,11.48,11.22,11.47,9922500,11.46
2010-07-19,11.80,11.80,11.20,11.50,11930700,11.49
2010-07-16,11.92,12.01,11.73,11.76,6927300,11.75
2010-07-15,12.02,12.03,11.78,12.03,7701100,12.02
2010-07-14,12.00,12.23,11.79,12.06,7487200,12.05
2010-07-13,12.00,12.16,11.93,12.10,7928000,12.09
2010-07-12,11.50,11.92,11.50,11.86,9074300,11.85
2010-07-09,11.42,11.70,11.42,11.59,6138700,11.58
2010-07-08,11.32,11.52,11.32,11.43,8956400,11.42
2010-07-07,10.58,11.30,10.42,11.29,9879100,11.28
2010-07-06,11.01,11.01,10.55,10.63,8779200,10.63
2010-07-02,11.03,11.05,10.59,10.75,5719600,10.75
2010-07-01,11.05,11.33,10.71,10.99,8917700,10.99
2010-06-30,11.11,11.33,11.06,11.11,7743800,11.10
2010-06-29,11.47,11.47,11.06,11.11,7296800,11.10
2010-06-28,11.58,11.75,11.51,11.61,6263900,11.60
2010-06-25,11.70,11.74,11.48,11.64,7782600,11.63
2010-06-24,11.79,11.95,11.65,11.68,6276900,11.67
2010-06-23,11.87,11.98,11.65,11.84,5360100,11.83
2010-06-22,12.19,12.32,11.85,11.87,6035200,11.86
2010-06-21,12.37,12.45,12.11,12.20,6845600,12.19
2010-06-18,12.36,12.40,12.13,12.26,7188100,12.25
2010-06-17,12.10,12.38,11.97,12.37,9015800,12.36
2010-06-16,12.27,12.34,12.03,12.09,5783000,12.08
2010-06-15,12.11,12.36,12.08,12.35,9283700,12.34
2010-06-14,12.25,12.39,12.01,12.04,7904000,12.03
2010-06-11,11.91,12.12,11.84,12.07,7337100,12.06
2010-06-10,12.07,12.19,11.97,12.05,8294000,12.04
2010-06-09,11.93,12.21,11.78,11.84,9334800,11.83
2010-06-08,11.74,11.92,11.59,11.89,8015000,11.88
2010-06-07,12.03,12.03,11.61,11.66,10398000,11.65
2010-06-04,12.34,12.38,11.98,12.02,8929200,12.01
2010-06-03,12.70,12.77,12.41,12.61,8917700,12.60
2010-06-02,12.40,12.62,12.34,12.62,7003800,12.61
2010-06-01,12.30,12.47,12.19,12.20,8680400,12.19
2010-05-28,12.64,12.64,12.31,12.44,8796100,12.43
2010-05-27,12.56,12.64,12.39,12.64,6323300,12.63
2010-05-26,12.19,12.55,12.11,12.30,13468100,12.29
2010-05-25,11.54,12.16,11.45,12.16,14016400,12.15
2010-05-24,11.87,12.04,11.81,11.85,6802100,11.84
2010-05-21,11.50,11.96,11.36,11.91,10371800,11.90
2010-05-20,12.04,12.10,11.67,11.67,11533400,11.66
2010-05-19,12.58,12.62,12.14,12.28,13401800,12.27
