Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,25.73,26.03,25.50,25.57,7505300,25.57
2010-11-04,24.67,25.85,24.60,25.56,11477800,25.56
2010-11-03,24.03,24.11,23.56,23.97,6687500,23.97
2010-11-02,24.18,24.37,23.69,24.02,8271100,24.02
2010-11-01,23.87,24.26,23.73,23.97,8165600,23.97
2010-10-29,23.23,23.93,23.09,23.67,8934900,23.67
2010-10-28,23.52,23.67,22.83,23.29,10461300,23.29
2010-10-27,22.80,23.21,22.51,23.04,10439100,23.04
2010-10-26,22.37,23.14,22.19,22.96,8774900,22.96
2010-10-25,22.34,22.95,22.32,22.47,8319700,22.47
2010-10-22,22.33,22.40,21.99,22.18,7419900,22.18
2010-10-21,22.55,22.62,21.90,22.25,9316700,22.25
2010-10-20,22.79,22.98,22.36,22.43,13418600,22.43
2010-10-19,23.64,23.80,22.46,22.64,18821700,22.64
2010-10-18,24.24,24.60,23.94,24.00,8374300,24.00
2010-10-15,24.31,24.38,23.88,24.18,6672800,24.18
2010-10-14,24.38,24.71,23.79,24.04,9213600,24.04
2010-10-13,25.10,25.18,24.28,24.34,9205700,24.34
2010-10-12,24.72,25.07,24.56,24.96,7008200,24.96
2010-10-11,24.41,25.26,24.38,24.85,11765500,24.85
2010-10-08,23.93,24.50,23.83,24.36,8880900,24.36
2010-10-07,23.44,23.98,23.25,23.85,9369000,23.85
2010-10-06,23.47,23.73,23.09,23.70,9845700,23.70
2010-10-05,23.27,23.70,23.08,23.52,10866900,23.52
2010-10-04,22.71,22.77,22.01,22.76,11539400,22.76
2010-10-01,23.32,23.40,23.04,23.15,8074800,23.15
2010-09-30,23.29,23.40,22.70,23.08,6948400,23.08
2010-09-29,22.84,23.23,22.77,23.17,5817600,23.17
2010-09-28,22.76,23.04,22.36,22.97,8458400,22.97
2010-09-27,22.86,22.97,22.61,22.73,5085200,22.73
2010-09-24,22.69,23.00,22.51,22.75,7311600,22.75
2010-09-23,21.82,22.71,21.64,22.28,13304600,22.28
2010-09-22,21.75,22.10,21.45,22.00,11510000,22.00
2010-09-21,22.09,22.23,21.63,21.99,7599800,21.99
2010-09-20,21.78,22.23,21.55,22.13,7309400,22.13
2010-09-17,21.86,21.89,21.38,21.75,7221100,21.75
2010-09-16,21.40,21.74,21.27,21.69,5548400,21.69
2010-09-15,21.46,21.64,21.35,21.50,5424300,21.50
2010-09-14,21.31,22.12,21.07,21.65,10214300,21.65
2010-09-13,21.06,21.26,20.94,21.05,5501800,21.05
2010-09-10,20.60,20.95,20.41,20.80,4726700,20.75
2010-09-09,20.82,20.89,20.40,20.63,5104100,20.58
2010-09-08,20.35,20.87,20.22,20.42,8989000,20.37
2010-09-07,20.76,21.00,20.42,20.48,5834700,20.43
2010-09-03,21.07,21.32,20.76,20.87,7505400,20.82
2010-09-02,20.41,20.77,20.16,20.71,7839700,20.66
2010-09-01,19.70,20.26,19.66,20.19,6942700,20.14
2010-08-31,19.08,19.74,19.00,19.41,8314900,19.36
2010-08-30,19.54,19.73,19.12,19.19,6421000,19.14
2010-08-27,19.37,19.78,19.05,19.60,9657500,19.55
