Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,256.49,256.89,253.66,256.29,1019500,256.29
2010-11-04,252.50,254.98,251.30,254.89,1175100,254.89
2010-11-03,246.70,252.00,246.50,251.83,1572100,251.83
2010-11-02,247.50,248.29,243.18,245.98,1849000,245.98
2010-11-01,242.61,242.95,238.23,238.99,871300,238.99
2010-10-29,239.95,243.49,239.30,240.06,806500,240.06
2010-10-28,244.91,244.91,237.42,239.52,1310500,239.52
2010-10-27,242.59,246.22,242.59,245.76,903400,245.76
2010-10-26,245.00,245.95,242.68,243.52,905400,243.52
2010-10-25,244.10,248.50,243.28,245.15,993300,245.15
2010-10-22,244.00,245.23,241.10,242.64,618200,242.64
2010-10-21,240.44,246.25,240.44,243.19,1144900,243.19
2010-10-20,237.14,241.60,234.84,240.52,921700,240.52
2010-10-19,233.61,240.56,232.50,237.05,1593600,237.05
2010-10-18,234.90,236.84,234.22,235.45,812800,235.45
2010-10-15,233.68,235.64,231.03,233.70,1099600,233.70
2010-10-14,230.82,234.35,229.26,232.66,1947500,232.66
2010-10-13,223.00,231.41,222.82,230.89,1880000,230.89
2010-10-12,221.64,222.66,220.00,222.13,698200,222.13
2010-10-11,222.31,224.23,221.10,222.86,456000,222.86
2010-10-08,221.11,223.05,219.30,222.59,861800,222.59
2010-10-07,224.67,225.00,220.76,220.86,598200,220.86
2010-10-06,225.95,225.95,221.74,223.30,805500,223.15
2010-10-05,226.02,227.99,224.27,225.90,1225100,225.75
2010-10-04,225.58,227.16,219.00,222.64,1460000,222.49
2010-10-01,225.00,226.00,222.70,224.78,957200,224.63
2010-09-30,223.81,226.30,222.76,224.00,1206200,223.85
2010-09-29,222.36,224.12,221.55,222.63,1157800,222.48
2010-09-28,222.62,223.40,220.35,223.00,999000,222.85
2010-09-27,221.00,224.50,220.81,222.37,913100,222.22
2010-09-24,221.30,223.00,219.60,221.57,1194700,221.42
2010-09-23,217.12,223.18,217.12,219.43,1831400,219.28
2010-09-22,216.25,219.89,214.12,219.03,1308500,218.88
2010-09-21,218.37,219.44,214.69,216.99,1786400,216.84
2010-09-20,214.00,218.71,211.52,218.71,1723200,218.56
2010-09-17,211.50,214.35,209.96,213.67,1803300,213.53
2010-09-16,210.70,213.38,208.25,210.29,2178200,210.15
2010-09-15,204.16,213.03,204.14,210.18,4571200,210.04
2010-09-14,193.36,201.25,193.24,199.75,2222300,199.62
2010-09-13,196.67,196.70,191.00,193.03,3915700,192.90
2010-09-10,192.73,198.28,192.46,198.14,1493000,198.01
2010-09-09,197.01,197.08,191.20,191.98,2120700,191.85
2010-09-08,199.52,201.70,194.32,194.40,2138300,194.27
2010-09-07,204.65,205.93,200.01,200.52,1081500,200.39
2010-09-03,206.50,207.49,205.47,206.98,698800,206.84
2010-09-02,202.64,204.73,201.12,204.73,823100,204.59
2010-09-01,200.99,202.96,199.50,201.08,1320900,200.94
2010-08-31,202.00,202.42,197.06,198.36,1818400,198.23
2010-08-30,207.65,207.65,202.32,202.70,497300,202.56
2010-08-27,204.21,206.62,201.50,206.62,544700,206.48
2010-08-26,207.00,208.18,202.87,203.17,680100,203.03
2010-08-25,201.42,207.66,201.06,206.11,805800,205.97
2010-08-24,203.66,205.27,202.19,202.51,1515100,202.37
2010-08-23,208.33,208.54,204.68,205.19,629300,205.05
2010-08-20,208.27,210.39,204.81,206.37,789900,206.23
2010-08-19,212.74,213.96,208.60,208.89,856700,208.75
2010-08-18,215.00,215.14,212.19,212.86,557400,212.72
2010-08-17,211.25,214.99,210.62,214.03,761300,213.89
2010-08-16,209.19,212.34,208.02,210.44,600600,210.30
2010-08-13,212.84,213.00,210.39,210.64,824600,210.50
2010-08-12,208.20,213.33,207.00,211.83,1146200,211.69
2010-08-11,212.52,214.66,209.66,209.66,1661000,209.52
2010-08-10,213.75,217.41,211.70,216.35,1662200,216.20
2010-08-09,209.60,215.07,208.16,214.89,1963200,214.75
2010-08-06,200.00,208.00,200.00,207.42,1845500,207.28
2010-08-05,203.94,205.39,201.07,201.63,1869200,201.49
2010-08-04,202.59,205.39,200.01,205.30,1786800,205.16
2010-08-03,198.57,204.60,198.00,200.91,3165000,200.78
2010-08-02,207.48,208.12,201.18,202.52,2918100,202.38
2010-07-30,205.51,210.41,205.51,210.04,786300,209.90
2010-07-29,210.12,211.74,204.50,208.37,1464900,208.23
2010-07-28,212.73,214.90,210.09,210.09,881800,209.95
2010-07-27,214.55,215.56,212.39,214.23,751400,214.09
2010-07-26,213.65,217.05,211.40,212.83,982100,212.69
2010-07-23,208.20,213.27,207.69,212.94,982100,212.80
2010-07-22,204.94,209.30,203.50,208.40,964300,208.26
2010-07-21,206.98,207.87,201.29,201.50,1165600,201.36
2010-07-20,193.00,205.38,193.00,205.30,1740300,205.16
2010-07-19,197.66,199.48,194.07,195.83,2319600,195.70
2010-07-16,206.44,206.82,197.22,197.22,2887800,197.09
2010-07-15,214.06,214.06,208.63,211.81,816700,211.67
2010-07-14,215.00,215.99,212.14,213.17,818000,213.03
2010-07-13,216.40,216.88,210.80,214.63,1683000,214.49
2010-07-12,213.03,215.85,211.30,213.67,716200,213.53
2010-07-09,210.78,215.52,208.55,215.52,1186700,215.38
2010-07-08,208.18,210.00,206.67,209.67,949100,209.53
2010-07-07,200.57,207.57,200.57,207.57,1267500,207.43
2010-07-06,203.99,206.00,198.06,200.03,1634600,199.90
2010-07-02,204.86,204.89,200.70,202.77,844400,202.63
2010-07-01,199.55,204.47,194.71,202.70,1702900,202.56
2010-06-30,203.32,205.66,199.43,199.53,2703700,199.25
2010-06-29,210.00,210.00,201.15,202.99,1798400,202.70
2010-06-28,218.00,219.08,211.13,211.52,1242500,211.22
2010-06-25,214.67,218.39,211.18,218.39,1849800,218.08
2010-06-24,217.75,221.00,213.36,214.89,1228300,214.58
2010-06-23,221.76,222.26,215.46,219.85,1379500,219.54
2010-06-22,223.34,226.98,220.58,220.94,2219700,220.63
