Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,39.18,40.00,38.95,39.55,5360000,39.55
2010-11-04,38.12,39.55,38.12,39.15,5730000,39.15
2010-11-03,38.03,38.10,37.42,38.02,3570900,38.02
2010-11-02,37.76,37.95,37.34,37.94,3317400,37.94
2010-11-01,37.36,37.76,37.15,37.43,4245600,37.43
2010-10-29,37.31,37.70,36.60,37.05,7193800,37.05
2010-10-28,38.05,38.06,36.96,37.52,3836400,37.52
2010-10-27,37.44,37.75,37.26,37.71,3662700,37.71
2010-10-26,37.92,38.24,37.70,37.77,3775800,37.77
2010-10-25,37.53,38.06,37.41,37.57,2790300,37.57
2010-10-22,36.54,37.61,36.30,37.29,3605500,37.29
2010-10-21,36.14,36.60,35.84,36.23,4571000,36.23
2010-10-20,35.13,36.50,35.08,36.03,4092800,36.03
2010-10-19,35.12,35.68,34.80,35.03,3796600,35.03
2010-10-18,35.59,35.71,35.27,35.49,3172600,35.49
2010-10-15,36.23,36.25,35.45,35.60,5530700,35.60
2010-10-14,35.86,36.22,35.63,35.93,5192000,35.93
2010-10-13,36.13,36.21,35.68,36.00,5659600,36.00
2010-10-12,35.43,35.94,35.12,35.76,3352300,35.76
2010-10-11,36.14,36.21,35.40,35.67,3244500,35.67
2010-10-08,35.70,36.40,35.62,36.17,5386400,36.17
2010-10-07,36.14,37.02,35.13,35.67,12500500,35.67
2010-10-06,37.90,37.91,37.22,37.86,6151200,37.86
2010-10-05,36.93,37.87,36.81,37.81,5751100,37.81
2010-10-04,36.12,36.70,35.98,36.70,4400200,36.70
2010-10-01,36.15,36.33,35.71,36.28,3074700,36.28
2010-09-30,36.09,36.66,35.50,35.83,2760000,35.83
2010-09-29,36.13,36.31,35.69,35.87,2170900,35.87
2010-09-28,35.98,36.41,35.11,36.31,3628000,36.31
2010-09-27,36.29,36.29,35.84,35.92,2930900,35.92
2010-09-24,35.28,36.41,35.23,36.22,4078000,36.22
2010-09-23,34.88,35.34,34.51,34.58,3164400,34.58
2010-09-22,36.00,36.29,35.20,35.25,4822100,35.25
2010-09-21,36.40,36.54,35.90,36.06,3793200,36.06
2010-09-20,35.80,36.72,35.70,36.40,3611800,36.40
2010-09-17,35.43,36.01,35.21,35.62,7707700,35.62
2010-09-16,35.76,35.96,35.26,35.30,3939300,35.30
2010-09-15,35.97,36.07,35.58,35.94,3222500,35.94
2010-09-14,36.06,36.69,35.77,36.20,3969900,36.20
2010-09-13,35.93,36.25,35.78,36.18,2759700,36.18
2010-09-10,35.59,35.99,35.36,35.51,2377200,35.51
2010-09-09,35.75,36.02,35.36,35.51,2970800,35.51
2010-09-08,34.74,35.41,34.74,35.27,2949100,35.27
2010-09-07,35.07,35.15,34.65,34.78,2962100,34.78
2010-09-03,35.12,35.58,34.83,35.35,3269000,35.35
2010-09-02,33.49,34.76,33.49,34.71,3879400,34.71
2010-09-01,32.51,33.65,32.39,33.60,3694200,33.60
2010-08-31,31.53,32.31,31.33,31.98,3919000,31.98
2010-08-30,32.65,32.65,31.66,31.66,2449600,31.66
2010-08-27,32.11,32.94,31.25,32.70,4720200,32.70
2010-08-26,32.26,33.00,31.79,31.92,3665700,31.92
2010-08-25,31.84,32.28,31.46,32.16,4259800,32.16
2010-08-24,32.53,32.62,31.64,32.01,4512000,32.01
2010-08-23,33.84,33.88,33.08,33.14,1984600,33.14
2010-08-20,33.28,33.65,32.78,33.57,3145300,33.57
2010-08-19,34.48,34.64,33.19,33.57,3680100,33.57
2010-08-18,34.60,35.07,34.21,34.70,2515300,34.70
2010-08-17,34.17,35.19,33.96,34.68,3362400,34.68
2010-08-16,33.16,33.90,33.05,33.79,2285600,33.75
2010-08-13,33.40,33.93,33.28,33.48,2623700,33.44
2010-08-12,32.90,33.93,32.79,33.61,3807000,33.57
2010-08-11,34.10,34.13,33.35,33.56,3311200,33.52
2010-08-10,35.00,35.18,34.45,34.83,3060000,34.79
2010-08-09,35.39,35.70,35.25,35.64,1800400,35.60
2010-08-06,34.94,35.19,34.39,35.18,3140600,35.14
2010-08-05,35.26,35.70,35.13,35.35,2732400,35.31
2010-08-04,35.12,35.72,34.87,35.64,3008400,35.60
2010-08-03,35.27,35.46,34.48,34.95,4832000,34.91
2010-08-02,34.54,35.41,34.33,35.32,4656500,35.28
2010-07-30,33.26,34.03,33.06,33.91,4306000,33.87
2010-07-29,33.86,34.20,33.35,33.76,3903800,33.72
2010-07-28,33.61,34.13,33.35,33.67,3928800,33.63
2010-07-27,34.00,34.00,33.24,33.58,4075100,33.54
2010-07-26,33.20,34.06,32.91,33.87,4250200,33.83
2010-07-23,32.03,33.15,31.72,33.14,4705900,33.10
2010-07-22,31.22,32.27,31.22,32.04,3759500,32.00
2010-07-21,31.77,31.77,30.52,30.76,3744300,30.72
2010-07-20,30.31,31.62,30.31,31.55,4076500,31.51
2010-07-19,30.43,30.96,30.05,30.94,4773700,30.90
2010-07-16,31.40,31.60,30.22,30.31,5568500,30.27
2010-07-15,32.03,32.19,31.08,31.66,7146400,31.62
2010-07-14,31.79,32.42,31.58,32.16,6579800,32.12
2010-07-13,31.34,32.22,31.31,31.87,4599200,31.83
2010-07-12,30.56,31.34,30.56,30.97,4794700,30.93
2010-07-09,30.75,31.30,30.68,31.14,2644300,31.10
2010-07-08,31.09,31.14,30.19,30.68,4516000,30.64
2010-07-07,29.28,30.77,29.28,30.75,4344300,30.71
2010-07-06,29.97,30.34,28.94,29.25,4693800,29.22
2010-07-02,30.33,30.54,29.33,29.55,4101900,29.52
2010-07-01,29.91,30.35,29.10,30.12,6560200,30.08
2010-06-30,30.64,31.23,29.88,29.94,4728000,29.90
2010-06-29,31.51,31.74,30.43,30.64,5303400,30.60
2010-06-28,32.91,33.15,32.18,32.22,3078700,32.18
2010-06-25,32.68,32.86,31.86,32.71,10441600,32.67
2010-06-24,33.61,33.91,32.54,32.66,5308600,32.62
2010-06-23,34.11,34.34,33.28,33.72,4610300,33.68
2010-06-22,35.13,35.38,33.92,34.07,5077600,34.03
2010-06-21,35.89,36.39,34.95,35.25,4289200,35.21
2010-06-18,35.38,35.83,35.09,35.30,5054600,35.26
2010-06-17,35.32,35.46,34.73,35.24,4827500,35.20
2010-06-16,34.88,35.62,34.88,35.32,5008800,35.28
2010-06-15,34.39,35.20,34.21,35.15,4266800,35.11
2010-06-14,33.59,34.52,33.51,33.97,5762500,33.93
2010-06-11,32.92,33.34,32.59,33.32,2708800,33.28
2010-06-10,32.74,33.60,32.73,33.41,4502000,33.37
2010-06-09,32.34,33.67,32.28,32.51,5977200,32.47
2010-06-08,31.07,32.23,30.44,32.14,6452600,32.10
2010-06-07,32.22,32.53,31.02,31.09,5439600,31.05
2010-06-04,33.27,33.48,31.86,32.18,5041000,32.14
2010-06-03,33.57,34.46,33.53,34.37,4739000,34.33
2010-06-02,32.93,33.50,32.45,33.50,3861300,33.46
2010-06-01,32.99,33.62,32.80,32.88,3635500,32.84
2010-05-28,34.00,34.23,33.07,33.45,3302900,33.41
2010-05-27,33.01,34.04,32.84,34.02,2998000,33.98
2010-05-26,32.67,33.36,32.16,32.28,5448900,32.24
2010-05-25,31.23,32.34,30.88,32.25,9030300,32.21
2010-05-24,32.62,33.15,32.24,32.27,3243200,32.23
2010-05-21,31.60,33.04,31.28,32.94,5556100,32.90
2010-05-20,32.68,33.33,32.19,32.24,7952000,32.20
2010-05-19,34.06,34.51,32.65,33.69,5396700,33.65
2010-05-18,35.37,35.89,34.17,34.30,3802200,34.22
2010-05-17,34.68,35.31,33.93,34.93,4611400,34.85
2010-05-14,35.73,35.76,34.24,34.61,4399600,34.53
2010-05-13,36.57,37.12,35.90,36.03,3703400,35.95
2010-05-12,35.68,36.73,35.60,36.71,3442800,36.62
2010-05-11,35.06,36.14,34.64,35.60,4225900,35.52
2010-05-10,34.99,35.99,34.96,35.80,5763800,35.72
2010-05-07,34.03,34.33,32.47,33.34,6968300,33.26
2010-05-06,35.12,35.88,32.05,34.30,7057200,34.22
2010-05-05,35.66,36.29,34.95,35.26,4825700,35.18
2010-05-04,37.19,37.19,36.00,36.16,4517400,36.08
2010-05-03,37.02,37.72,36.84,37.68,2998800,37.59
2010-04-30,37.74,37.77,36.68,36.76,5093100,36.67
2010-04-29,36.36,38.15,36.30,37.67,5911200,37.58
2010-04-28,36.21,36.33,35.31,35.89,6851200,35.81
2010-04-27,37.25,37.36,36.00,36.05,9016400,35.97
2010-04-26,37.48,38.08,37.37,37.38,6470200,37.29
2010-04-23,36.99,37.59,36.61,37.57,7110700,37.48
2010-04-22,34.75,37.03,34.39,36.82,10503400,36.73
2010-04-21,34.16,34.72,34.07,34.67,5137700,34.59
2010-04-20,34.06,34.43,33.91,34.18,5209800,34.10
2010-04-19,33.66,34.04,33.20,33.88,4555100,33.80
2010-04-16,33.90,34.20,33.50,33.88,6908500,33.80
