Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,11.40,11.86,11.28,11.56,5444000,11.56
2010-11-04,10.96,11.36,10.90,11.34,4998700,11.34
2010-11-03,10.86,10.86,10.62,10.78,3110000,10.78
2010-11-02,10.86,11.00,10.74,10.81,5013200,10.81
2010-11-01,10.75,10.82,10.59,10.75,4254200,10.75
2010-10-29,10.57,10.72,10.54,10.66,3116400,10.66
2010-10-28,10.75,10.79,10.46,10.60,5617700,10.60
2010-10-27,10.75,10.85,10.49,10.67,5611500,10.67
2010-10-26,10.83,11.28,10.67,10.93,9049100,10.93
2010-10-25,11.12,11.31,10.88,10.89,6700100,10.89
2010-10-22,11.06,11.06,10.84,10.95,2162800,10.95
2010-10-21,10.88,11.18,10.82,11.05,5301000,11.05
2010-10-20,10.82,10.95,10.68,10.84,3888100,10.84
2010-10-19,10.71,11.12,10.66,10.74,7036200,10.74
2010-10-18,11.03,11.04,10.68,10.90,5508300,10.90
2010-10-15,11.53,11.53,10.92,11.01,8926700,11.01
2010-10-14,11.70,11.79,11.22,11.34,5608200,11.34
2010-10-13,11.63,11.76,11.22,11.71,6893600,11.71
2010-10-12,11.95,11.99,11.64,11.82,6967600,11.82
2010-10-11,12.04,12.16,11.94,12.08,2718400,12.08
2010-10-08,11.86,12.09,11.79,12.06,5171400,12.06
2010-10-07,11.84,11.96,11.73,11.83,7439200,11.83
2010-10-06,11.57,11.77,11.54,11.77,4510000,11.77
2010-10-05,11.30,11.63,11.25,11.63,6634200,11.55
2010-10-04,11.16,11.18,10.95,11.09,6645900,11.02
2010-10-01,11.18,11.33,11.08,11.18,3963000,11.11
2010-09-30,11.04,11.17,10.80,11.01,3208300,10.94
2010-09-29,10.90,11.07,10.86,10.89,3275400,10.82
2010-09-28,10.99,11.01,10.75,11.00,3176000,10.93
2010-09-27,10.98,11.04,10.85,10.93,2715500,10.86
2010-09-24,10.85,11.07,10.75,11.00,3061900,10.93
2010-09-23,10.86,10.95,10.58,10.61,2838000,10.54
2010-09-22,11.17,11.41,10.91,10.95,5383300,10.88
2010-09-21,11.24,11.49,11.11,11.18,5616500,11.11
2010-09-20,11.05,11.20,10.81,11.15,3807900,11.08
2010-09-17,10.98,11.04,10.73,10.94,4123600,10.87
2010-09-16,10.93,11.06,10.67,10.95,4162800,10.88
2010-09-15,11.04,11.04,10.83,11.00,2312500,10.93
2010-09-14,11.26,11.32,10.91,11.11,3471800,11.04
2010-09-13,11.13,11.32,11.08,11.27,2496900,11.20
2010-09-10,10.98,11.12,10.89,10.93,1548800,10.86
2010-09-09,11.13,11.14,10.79,10.94,2984100,10.87
2010-09-08,10.92,11.11,10.85,10.87,2809800,10.80
2010-09-07,11.34,11.34,10.77,10.88,6382600,10.81
2010-09-03,11.57,11.72,11.25,11.43,2884900,11.36
2010-09-02,11.06,11.46,11.04,11.31,2921900,11.24
2010-09-01,10.72,11.18,10.72,11.01,4537200,10.94
2010-08-31,10.32,10.65,10.31,10.49,4215200,10.42
2010-08-30,10.65,10.78,10.41,10.41,1958900,10.34
2010-08-27,10.39,10.71,10.24,10.68,3223600,10.61
2010-08-26,10.74,10.79,10.25,10.26,4696200,10.19
2010-08-25,10.27,10.72,10.15,10.68,7664300,10.61
2010-08-24,10.19,10.65,10.00,10.49,6395000,10.42
2010-08-23,10.62,10.67,10.36,10.38,2819100,10.31
2010-08-20,10.52,10.64,10.39,10.56,2563900,10.49
2010-08-19,10.76,10.89,10.56,10.66,3908800,10.59
2010-08-18,10.67,11.00,10.60,10.88,2748200,10.81
2010-08-17,10.50,10.68,10.46,10.65,4607700,10.58
2010-08-16,10.37,10.45,10.26,10.30,4706600,10.23
2010-08-13,10.50,10.59,10.39,10.48,7351400,10.41
2010-08-12,10.44,10.61,10.23,10.54,7236800,10.47
2010-08-11,10.72,10.79,10.54,10.62,5178500,10.55
2010-08-10,11.13,11.24,10.95,11.02,3980100,10.95
2010-08-09,11.01,11.36,11.01,11.34,4069100,11.27
2010-08-06,10.52,10.97,10.52,10.94,4131500,10.87
2010-08-05,10.73,10.78,10.62,10.72,3707700,10.65
2010-08-04,10.74,10.87,10.68,10.78,4129300,10.71
2010-08-03,10.56,10.74,10.43,10.71,4953600,10.64
2010-08-02,10.40,10.78,10.35,10.65,5236000,10.58
2010-07-30,10.01,10.40,9.94,10.28,8524700,10.21
2010-07-29,10.21,10.38,9.94,10.05,9082200,9.99
2010-07-28,10.47,10.60,10.09,10.11,13725500,10.04
2010-07-27,11.50,11.71,10.42,10.53,20741600,10.46
2010-07-26,11.42,12.05,11.38,11.93,9028200,11.85
2010-07-23,10.82,11.48,10.63,11.42,9769700,11.35
2010-07-22,10.43,10.86,10.39,10.80,5644100,10.73
2010-07-21,10.37,10.45,10.14,10.21,11669800,10.14
2010-07-20,10.07,10.65,10.01,10.62,7922200,10.55
2010-07-19,10.53,10.59,10.20,10.32,6149900,10.25
2010-07-16,11.12,11.18,10.38,10.47,8500800,10.40
2010-07-15,11.18,11.29,10.93,11.23,3820100,11.16
2010-07-14,11.34,11.35,11.04,11.17,3887600,11.10
2010-07-13,11.30,11.48,11.15,11.43,4766200,11.36
2010-07-12,11.47,11.53,11.06,11.12,4715900,11.05
2010-07-09,11.18,11.52,11.07,11.51,3276600,11.44
2010-07-08,11.36,11.51,10.99,11.22,4075200,11.15
2010-07-07,10.73,11.24,10.54,11.24,6262800,11.17
2010-07-06,10.97,11.04,10.62,10.71,4920400,10.57
2010-07-02,10.89,10.98,10.57,10.70,4443500,10.56
2010-07-01,10.82,10.95,10.45,10.83,6342900,10.68
2010-06-30,11.23,11.39,10.74,10.76,9957100,10.62
2010-06-29,11.51,11.65,11.08,11.26,9276900,11.11
2010-06-28,11.89,11.99,11.71,11.82,4139700,11.66
2010-06-25,11.74,11.91,11.55,11.81,5954200,11.65
2010-06-24,12.04,12.06,11.68,11.69,6706700,11.53
2010-06-23,11.96,12.17,11.59,12.10,7481600,11.94
2010-06-22,12.28,12.39,11.90,11.96,4352000,11.80
2010-06-21,12.55,12.70,12.24,12.33,4042000,12.16
2010-06-18,12.23,12.46,12.15,12.32,4751500,12.15
2010-06-17,12.73,12.80,12.11,12.22,6508600,12.06
2010-06-16,13.04,13.05,12.66,12.72,5729900,12.55
2010-06-15,12.72,13.25,12.57,13.20,5269000,13.02
2010-06-14,12.55,12.99,12.55,12.63,5614600,12.46
2010-06-11,12.17,12.49,12.10,12.36,3127100,12.19
2010-06-10,11.90,12.42,11.86,12.37,5223500,12.20
2010-06-09,11.92,12.06,11.52,11.59,4742800,11.43
2010-06-08,11.78,11.99,11.49,11.70,11537800,11.54
2010-06-07,12.40,12.53,11.84,11.87,5815900,11.71
2010-06-04,12.49,12.72,12.37,12.40,8200200,12.23
2010-06-03,12.93,13.06,12.64,12.94,6046900,12.77
2010-06-02,12.65,12.91,12.55,12.90,7524600,12.73
2010-06-01,13.10,13.15,12.50,12.51,8972600,12.34
2010-05-28,13.63,13.66,13.28,13.35,6827300,13.17
2010-05-27,13.56,13.63,13.22,13.59,6743600,13.41
2010-05-26,13.72,13.80,12.99,13.09,12025600,12.91
2010-05-25,13.07,13.54,12.90,13.53,8142000,13.35
2010-05-24,13.45,14.08,13.43,13.66,5246500,13.48
2010-05-21,13.07,13.88,13.07,13.74,6999600,13.56
2010-05-20,13.59,13.78,13.28,13.33,7715900,13.15
2010-05-19,14.25,14.45,13.70,14.07,7052600,13.88
2010-05-18,14.93,15.14,14.34,14.41,6505800,14.22
2010-05-17,14.74,14.83,14.12,14.76,5576500,14.56
2010-05-14,14.95,14.99,14.42,14.74,7244500,14.54
2010-05-13,15.49,15.53,15.15,15.18,5457100,14.98
2010-05-12,15.23,15.65,15.09,15.60,5768500,15.39
2010-05-11,14.87,15.40,14.76,15.12,5855200,14.92
2010-05-10,14.26,15.17,14.26,15.13,8694300,14.93
2010-05-07,14.55,14.70,13.54,13.66,13738100,13.48
2010-05-06,15.39,15.66,13.65,14.64,12309100,14.44
2010-05-05,15.48,15.96,14.96,15.47,9060800,15.26
2010-05-04,16.26,16.32,15.54,15.75,7186500,15.54
2010-05-03,16.34,16.70,16.28,16.63,4532000,16.41
2010-04-30,16.79,17.26,16.23,16.23,4831700,16.01
2010-04-29,16.63,16.98,16.61,16.84,5084200,16.61
2010-04-28,16.05,16.86,16.01,16.45,11701300,16.23
2010-04-27,17.17,17.20,15.46,15.62,18211200,15.41
2010-04-26,18.50,18.78,17.87,18.00,9499700,17.76
2010-04-23,18.17,18.60,17.93,18.35,8798700,18.10
2010-04-22,17.39,18.17,17.09,18.10,8534300,17.86
2010-04-21,17.46,17.65,17.36,17.58,4768400,17.34
2010-04-20,17.38,17.67,17.26,17.49,7307900,17.26
2010-04-19,16.86,17.25,16.70,17.24,5716500,17.01
2010-04-16,17.64,17.72,16.82,16.96,7231300,16.73
2010-04-15,16.81,17.40,16.68,17.00,6263000,16.77
2010-04-14,16.23,16.91,16.18,16.88,4225900,16.65
2010-04-13,16.03,16.22,16.02,16.14,2491500,15.92
2010-04-12,16.18,16.18,15.91,16.11,3208900,15.89
2010-04-09,15.90,16.12,15.81,16.10,2906900,15.88
2010-04-08,15.80,15.96,15.56,15.89,3963500,15.68
2010-04-07,16.16,16.22,15.72,15.85,4306400,15.64
2010-04-06,16.07,16.33,15.92,16.28,3503100,15.99
2010-04-05,15.91,16.22,15.71,16.15,3173700,15.86
2010-04-01,15.68,15.95,15.63,15.81,4307800,15.53
2010-03-31,15.29,15.66,15.08,15.52,5399100,15.24
2010-03-30,15.32,15.59,15.30,15.40,1703900,15.12
2010-03-29,15.28,15.45,15.13,15.32,2626500,15.04
2010-03-26,15.23,15.40,15.05,15.19,2786700,14.92
2010-03-25,15.37,15.48,15.11,15.13,3464200,14.86
2010-03-24,15.50,15.66,15.13,15.17,4039300,14.90
2010-03-23,15.23,15.52,15.04,15.48,4112200,15.20
2010-03-22,14.85,15.26,14.82,15.23,2832600,14.96
2010-03-19,15.55,15.75,15.00,15.00,5815000,14.73
2010-03-18,15.47,15.75,15.42,15.51,2321200,15.23
