Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,24.08,24.20,23.72,23.94,3764200,23.94
2010-11-04,23.98,24.23,23.72,24.13,6563300,24.13
2010-11-03,24.02,24.23,23.54,23.74,4309000,23.74
2010-11-02,23.69,24.24,23.60,24.06,4127900,24.06
2010-11-01,23.49,23.73,23.22,23.40,3072800,23.40
2010-10-29,23.28,23.41,23.12,23.33,3013400,23.33
2010-10-28,23.58,23.59,23.13,23.20,2978500,23.20
2010-10-27,23.13,23.45,23.07,23.42,2711100,23.42
2010-10-26,23.61,23.69,23.31,23.37,4053200,23.37
2010-10-25,23.45,23.78,23.32,23.62,4629600,23.62
2010-10-22,22.83,23.31,22.78,23.25,8058100,23.25
2010-10-21,22.51,23.03,22.41,22.73,14239100,22.73
2010-10-20,22.81,23.00,22.31,22.33,7331100,22.33
2010-10-19,22.60,22.96,22.40,22.68,6739600,22.68
2010-10-18,22.89,23.10,22.43,22.55,7228400,22.55
2010-10-15,22.51,22.80,22.01,22.45,18083400,22.45
2010-10-14,24.26,24.35,23.90,24.00,4236700,24.00
2010-10-13,24.07,24.44,24.01,24.29,4496800,24.29
2010-10-12,24.00,24.00,23.40,23.93,6761300,23.93
2010-10-11,23.90,24.14,23.88,23.99,2521300,23.99
2010-10-08,23.67,24.03,23.46,23.95,3711700,23.95
2010-10-07,23.67,23.82,23.48,23.66,2853700,23.66
2010-10-06,24.00,24.01,23.40,23.49,4790800,23.49
2010-10-05,23.61,24.14,23.59,24.07,9208400,24.07
2010-10-04,23.60,23.75,23.15,23.25,4528000,23.25
2010-10-01,23.68,23.80,23.47,23.61,3578800,23.61
2010-09-30,23.57,23.78,23.10,23.46,4834400,23.46
2010-09-29,23.59,23.74,23.30,23.55,3366200,23.55
2010-09-28,23.45,23.77,23.12,23.66,4605200,23.66
2010-09-27,23.55,23.84,23.25,23.30,7089400,23.30
2010-09-24,23.50,23.80,23.48,23.76,4302100,23.76
2010-09-23,22.84,23.46,22.77,23.22,4587600,23.22
2010-09-22,22.93,23.15,22.73,23.02,5157800,23.02
2010-09-21,23.06,23.21,22.73,22.95,4659900,22.95
2010-09-20,22.72,23.25,22.66,23.10,3878500,23.10
2010-09-17,22.49,23.00,22.45,22.59,6476400,22.59
