Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,67.04,67.21,66.22,66.30,2356900,66.30
2010-11-04,67.93,68.00,66.78,67.05,2264500,67.05
2010-11-03,66.85,67.63,66.80,67.39,2165900,67.39
2010-11-02,68.28,68.28,66.80,66.95,3923100,66.95
2010-11-01,66.00,68.00,65.81,67.88,6305600,67.88
2010-10-29,64.72,66.08,64.55,65.98,3278000,65.98
2010-10-28,65.51,65.83,64.70,65.03,2447600,65.03
2010-10-27,65.64,66.07,64.74,65.40,4764900,65.40
2010-10-26,61.38,62.48,60.67,61.91,3130500,61.91
2010-10-25,61.38,62.38,61.31,61.68,2087300,61.68
2010-10-22,61.46,61.85,60.97,61.08,1595300,61.08
2010-10-21,61.54,61.64,60.41,61.31,1180600,61.31
2010-10-20,61.19,61.81,60.95,61.08,1717200,61.08
2010-10-19,61.97,62.05,60.39,61.20,2900700,61.20
2010-10-18,62.23,62.89,61.99,62.61,3064500,62.61
2010-10-15,62.41,62.78,61.95,62.38,2190600,62.38
2010-10-14,62.40,62.91,61.94,61.99,2831800,61.99
2010-10-13,61.42,62.66,61.40,62.43,2400200,62.43
2010-10-12,60.62,61.48,60.60,61.26,1706000,61.26
2010-10-11,60.58,61.10,60.45,60.91,1263000,60.91
2010-10-08,60.59,61.13,60.23,60.78,1424500,60.78
2010-10-07,60.30,60.85,60.15,60.52,1162900,60.52
2010-10-06,60.93,61.07,60.06,60.32,1446500,60.32
2010-10-05,60.27,61.67,60.24,61.22,2346700,61.22
2010-10-04,60.43,60.78,59.54,59.88,2793000,59.88
2010-10-01,62.09,62.22,60.18,60.70,3140900,60.70
2010-09-30,62.30,62.77,61.52,61.78,2623800,61.78
2010-09-29,62.21,63.57,61.76,61.96,4564000,61.96
2010-09-28,61.86,62.53,61.11,62.47,2631800,62.47
2010-09-27,61.81,62.13,60.63,61.45,2229600,61.45
2010-09-24,61.18,62.41,60.37,61.91,2330000,61.91
2010-09-23,61.77,62.20,58.08,60.77,10401400,60.77
2010-09-22,62.64,62.90,62.13,62.16,2173700,62.16
2010-09-21,63.02,63.42,62.68,62.93,1750100,62.93
2010-09-20,62.38,63.15,62.24,62.99,1350200,62.99
2010-09-17,62.80,63.19,62.20,62.35,3164400,62.35
2010-09-16,62.87,62.87,61.96,62.42,1935800,62.42
2010-09-15,59.92,63.64,59.85,62.98,5097000,62.98
2010-09-14,58.61,60.07,58.41,59.74,2618500,59.74
2010-09-13,59.74,59.77,58.69,58.70,1882300,58.70
2010-09-10,59.84,59.86,59.21,59.35,1557600,59.35
2010-09-09,59.03,59.73,58.87,59.65,2432000,59.65
2010-09-08,58.99,59.41,58.43,58.50,1616200,58.50
2010-09-07,59.63,59.80,58.87,58.99,1587100,58.99
2010-09-03,59.90,60.03,59.44,59.95,1243200,59.95
2010-09-02,59.11,59.69,58.58,59.50,2448700,59.50
2010-09-01,58.67,59.55,58.46,58.79,2059500,58.79
2010-08-31,58.79,59.00,57.81,58.05,2736400,58.05
2010-08-30,60.39,60.41,59.05,59.05,1283100,59.05
2010-08-27,60.04,60.53,59.31,60.36,2276700,60.18
2010-08-26,60.50,60.98,59.68,59.77,2581000,59.59
2010-08-25,60.01,60.73,59.65,60.46,3193000,60.28
2010-08-24,61.01,61.08,60.04,60.32,2004900,60.14
2010-08-23,61.90,62.38,61.25,61.31,1987500,61.13
2010-08-20,60.94,61.88,60.94,61.67,2553500,61.49
2010-08-19,61.98,62.11,60.91,61.45,1987600,61.27
2010-08-18,61.64,62.90,61.51,62.27,2017300,62.08
2010-08-17,61.14,61.90,60.89,61.60,2251400,61.42
2010-08-16,60.67,61.49,60.02,60.85,2176900,60.67
2010-08-13,60.79,61.31,60.12,60.65,2972400,60.47
2010-08-12,59.83,61.12,59.82,60.95,2624600,60.77
2010-08-11,61.00,61.14,60.28,60.60,2720100,60.42
2010-08-10,62.00,62.19,61.49,61.61,3121400,61.43
2010-08-09,63.07,63.07,62.15,62.31,2709000,62.12
2010-08-06,62.22,63.03,61.67,62.81,3211100,62.62
2010-08-05,62.58,62.84,61.74,62.84,3170200,62.65
2010-08-04,62.36,63.02,61.59,62.97,2950000,62.78
2010-08-03,63.20,63.21,61.79,62.10,3423400,61.91
2010-08-02,63.23,63.64,62.72,63.50,2274700,63.31
2010-07-30,63.25,63.26,59.63,62.82,5733000,62.63
2010-07-29,64.50,65.06,63.31,63.88,3211800,63.69
2010-07-28,65.18,65.72,63.27,64.02,2850000,63.83
2010-07-27,66.00,66.12,63.85,65.17,7414600,64.98
2010-07-26,65.68,66.46,65.68,66.09,1963100,65.89
2010-07-23,64.70,66.70,64.55,65.63,4134200,65.43
2010-07-22,67.10,67.60,63.60,64.55,9420500,64.36
2010-07-21,67.86,67.86,66.21,66.45,2953800,66.25
2010-07-20,66.50,67.46,66.34,67.42,2014400,67.22
2010-07-19,68.24,68.24,66.95,67.08,2535200,66.88
2010-07-16,69.13,69.27,67.86,68.00,2201000,67.80
2010-07-15,68.49,69.48,68.23,69.40,2437700,69.19
2010-07-14,67.08,69.14,66.99,68.65,2213800,68.45
2010-07-13,67.46,67.91,67.06,67.21,3491900,67.01
2010-07-12,67.29,67.40,66.82,67.07,1440100,66.87
2010-07-09,68.18,68.27,67.04,67.43,1893100,67.23
2010-07-08,68.28,68.58,67.36,67.99,2082500,67.79
2010-07-07,67.59,68.15,67.00,68.08,3115700,67.88
2010-07-06,67.50,68.31,67.09,67.65,1734100,67.45
2010-07-02,67.05,67.67,66.67,67.16,1852200,66.96
2010-07-01,67.00,67.10,65.13,67.01,3838000,66.81
2010-06-30,67.24,68.50,66.96,67.16,2628100,66.96
2010-06-29,67.59,68.07,67.04,67.45,3094800,67.25
2010-06-28,68.29,68.78,67.58,68.52,1531200,68.32
2010-06-25,67.62,68.51,66.98,68.16,2770800,67.96
2010-06-24,68.13,68.42,67.20,67.71,2049200,67.51
2010-06-23,68.33,68.85,67.81,68.43,1751200,68.23
2010-06-22,69.73,70.13,68.33,68.45,2487400,68.25
2010-06-21,70.63,71.15,69.52,69.83,2829000,69.62
2010-06-18,70.93,71.05,70.00,70.09,2895200,69.88
2010-06-17,71.27,71.27,70.46,71.10,2128500,70.89
2010-06-16,70.03,70.88,69.93,70.66,2261600,70.45
2010-06-15,70.45,70.66,70.01,70.48,2366000,70.27
2010-06-14,69.79,70.43,69.45,69.81,2386900,69.60
2010-06-11,69.00,69.77,68.48,69.67,1759200,69.46
2010-06-10,69.33,69.89,68.99,69.70,2070700,69.49
2010-06-09,68.50,69.74,68.29,68.56,2127600,68.36
2010-06-08,68.94,68.94,67.50,68.23,2453700,68.03
2010-06-07,68.66,69.67,68.38,68.95,2936000,68.56
2010-06-04,69.91,70.16,68.22,68.56,2962900,68.18
2010-06-03,70.50,71.49,70.50,71.28,2663600,70.88
2010-06-02,69.16,70.25,68.83,70.25,2876300,69.86
2010-06-01,69.66,70.22,68.65,68.81,2276800,68.43
2010-05-28,69.42,70.87,69.42,70.00,2391700,69.61
2010-05-27,68.96,70.08,68.62,70.07,2195400,69.68
2010-05-26,68.09,69.47,67.73,67.88,2859800,67.50
2010-05-25,66.96,67.98,66.21,67.81,3947600,67.43
2010-05-24,67.98,69.28,67.21,68.15,3634000,67.77
2010-05-21,66.21,68.38,66.02,68.33,4063000,67.95
2010-05-20,68.02,68.98,67.64,67.64,3688400,67.26
2010-05-19,69.03,70.24,68.37,69.86,3076900,69.47
2010-05-18,69.36,71.11,69.29,69.34,5984000,68.95
2010-05-17,68.07,68.84,67.06,68.60,2734500,68.22
2010-05-14,68.75,69.69,66.69,67.72,2596800,67.34
2010-05-13,68.91,69.96,68.41,68.99,3808500,68.60
2010-05-12,67.51,69.10,66.62,69.06,4125700,68.67
2010-05-11,65.99,66.89,65.72,66.10,2123300,65.73
2010-05-10,66.23,66.94,65.36,66.49,3043600,66.12
2010-05-07,65.92,65.92,63.09,63.73,3983900,63.37
2010-05-06,67.02,67.70,62.94,66.05,4526400,65.68
2010-05-05,66.89,67.86,66.59,67.32,2837600,66.94
2010-05-04,67.89,68.18,66.25,67.54,8287800,67.16
2010-05-03,64.86,65.12,64.05,64.87,2889700,64.51
2010-04-30,66.62,66.93,64.79,64.81,2126000,64.45
2010-04-29,66.67,67.31,66.35,66.48,1804900,66.11
2010-04-28,66.18,66.62,65.72,66.25,1570900,65.88
2010-04-27,66.71,67.09,65.89,66.01,2661900,65.64
2010-04-26,68.05,68.19,66.93,67.11,2120000,66.74
2010-04-23,66.76,68.03,66.33,68.03,2524700,67.65
2010-04-22,65.47,66.92,65.33,66.76,3044700,66.39
2010-04-21,65.98,66.24,65.13,65.51,1658200,65.14
2010-04-20,64.85,66.14,64.59,65.98,1632600,65.61
2010-04-19,63.99,64.58,63.80,64.43,1724900,64.07
2010-04-16,64.62,64.87,63.77,64.19,2156700,63.83
2010-04-15,64.87,64.97,64.54,64.78,1391500,64.42
2010-04-14,65.61,65.61,64.53,64.87,2026600,64.51
2010-04-13,65.47,65.56,64.45,65.24,3073500,64.88
2010-04-12,66.55,66.56,65.28,65.47,2521300,65.10
2010-04-09,66.49,66.90,66.09,66.56,1763500,66.19
2010-04-08,66.40,66.62,65.80,66.60,2579100,66.23
2010-04-07,66.54,66.61,65.88,66.17,2138100,65.80
