Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,34.61,34.88,34.55,34.82,381500,34.82
2010-11-04,34.51,34.66,34.23,34.55,379800,34.55
2010-11-03,34.24,34.32,33.56,34.10,466600,34.10
2010-11-02,34.12,34.46,33.87,34.17,292200,34.17
2010-11-01,34.01,34.48,33.60,33.86,323900,33.86
2010-10-29,34.15,34.60,33.86,33.95,521700,33.95
2010-10-28,34.73,34.92,34.11,34.24,428200,34.24
2010-10-27,34.29,34.51,33.83,34.46,462000,34.46
2010-10-26,35.90,36.15,34.28,34.50,913400,34.50
2010-10-25,35.23,35.95,35.01,35.34,555700,35.34
2010-10-22,35.12,35.17,34.84,35.00,183800,35.00
2010-10-21,35.25,35.60,34.66,35.06,308600,35.06
2010-10-20,34.46,35.29,34.46,35.05,349800,35.05
2010-10-19,34.31,34.84,34.14,34.38,723800,34.38
2010-10-18,34.65,34.93,34.47,34.88,341400,34.88
2010-10-15,35.07,35.17,34.28,34.59,529600,34.59
2010-10-14,34.86,35.19,34.60,34.62,470100,34.62
2010-10-13,34.87,35.33,34.31,34.87,441100,34.87
2010-10-12,34.42,34.67,34.18,34.60,295600,34.60
2010-10-11,34.29,34.64,34.21,34.44,205700,34.44
2010-10-08,33.43,34.61,33.32,34.32,570800,34.32
2010-10-07,33.25,33.49,32.81,33.32,417300,33.32
2010-10-06,32.98,33.38,32.79,33.09,418600,33.09
2010-10-05,33.13,33.33,32.71,33.07,669300,33.07
2010-10-04,32.97,33.59,32.61,32.71,690800,32.71
2010-10-01,33.62,33.91,32.92,33.06,575400,33.06
2010-09-30,33.36,33.84,32.98,33.31,314100,33.31
2010-09-29,33.00,33.48,32.98,33.15,338700,33.15
2010-09-28,32.92,33.19,32.26,33.14,381000,33.14
2010-09-27,33.01,33.27,32.80,32.89,313700,32.89
2010-09-24,32.38,33.30,32.36,33.02,385200,33.02
2010-09-23,32.18,32.50,31.91,31.93,211100,31.93
2010-09-22,32.95,33.11,32.10,32.38,236700,32.38
2010-09-21,33.04,33.45,32.77,32.94,378400,32.94
2010-09-20,32.31,33.06,32.31,33.05,259900,33.05
2010-09-17,32.04,32.41,32.00,32.19,490400,32.19
2010-09-16,32.12,32.16,31.54,31.90,216800,31.90
2010-09-15,32.11,32.39,31.66,32.33,277500,32.33
2010-09-14,32.36,32.39,31.97,32.22,367500,32.22
2010-09-13,32.16,32.52,32.03,32.27,470600,32.27
2010-09-10,31.40,31.90,31.35,31.79,318800,31.79
2010-09-09,31.75,31.84,31.05,31.27,397200,31.27
2010-09-08,31.74,31.90,31.20,31.30,683000,31.30
2010-09-07,31.96,32.16,31.63,31.76,463800,31.76
2010-09-03,31.46,32.36,31.46,32.20,720500,32.20
2010-09-02,30.46,31.21,30.46,31.17,375200,31.17
2010-09-01,29.68,30.48,29.66,30.41,784100,30.41
2010-08-31,29.37,29.79,29.21,29.26,492100,29.26
2010-08-30,30.10,30.41,29.57,29.57,281800,29.57
2010-08-27,29.90,30.30,29.27,30.19,380200,30.19
2010-08-26,29.94,30.09,29.66,29.78,495400,29.55
2010-08-25,29.34,30.01,28.99,29.90,356700,29.67
2010-08-24,29.35,29.74,28.92,29.50,406300,29.27
2010-08-23,30.50,30.58,29.78,29.83,253400,29.60
2010-08-20,30.50,30.57,29.86,30.17,323100,29.94
2010-08-19,31.33,31.33,30.43,30.66,292300,30.42
2010-08-18,31.41,32.00,31.15,31.58,238000,31.34
2010-08-17,31.67,31.88,31.40,31.48,348800,31.24
2010-08-16,31.13,31.57,31.03,31.29,310200,31.05
2010-08-13,31.50,31.64,31.04,31.33,595700,31.09
2010-08-12,31.40,31.80,31.23,31.65,495200,31.41
2010-08-11,32.40,32.40,31.57,31.90,752100,31.65
2010-08-10,32.54,33.20,32.53,32.85,601000,32.60
2010-08-09,32.57,32.85,32.39,32.75,271100,32.50
2010-08-06,32.62,32.79,31.81,32.35,472000,32.10
2010-08-05,32.85,33.16,32.70,32.93,276200,32.68
2010-08-04,33.12,33.42,32.93,33.15,342300,32.89
2010-08-03,33.59,33.59,32.85,33.01,536200,32.76
2010-08-02,32.15,34.26,31.92,33.64,1519800,33.38
2010-07-30,31.29,31.87,30.93,31.75,475100,31.50
2010-07-29,31.71,33.19,31.53,31.67,1139200,31.43
2010-07-28,32.02,32.47,31.37,31.55,325800,31.31
2010-07-27,32.35,32.56,31.86,32.13,459000,31.88
2010-07-26,31.26,32.33,31.26,32.28,549200,32.03
2010-07-23,30.72,31.31,30.67,31.17,644200,30.93
2010-07-22,30.40,31.13,30.40,30.79,466200,30.55
2010-07-21,30.96,31.04,30.04,30.12,289100,29.89
2010-07-20,30.18,30.79,29.91,30.77,727400,30.53
2010-07-19,30.71,31.09,30.31,30.58,503000,30.34
2010-07-16,31.96,32.09,30.49,30.57,494800,30.33
2010-07-15,32.00,32.48,31.72,32.27,462000,32.02
2010-07-14,31.96,32.19,31.69,32.00,252800,31.75
2010-07-13,31.63,32.17,31.57,32.02,367200,31.77
2010-07-12,31.51,31.66,31.17,31.32,242500,31.08
2010-07-09,31.46,31.81,31.37,31.70,276400,31.46
2010-07-08,30.91,31.60,30.91,31.50,452400,31.26
2010-07-07,30.35,30.71,30.04,30.60,680400,30.36
2010-07-06,31.34,31.40,30.05,30.33,673300,30.10
2010-07-02,31.57,31.58,30.74,30.88,503700,30.64
2010-07-01,31.22,31.57,30.60,31.49,901900,31.25
2010-06-30,31.84,32.34,31.02,31.13,539900,30.89
2010-06-29,32.49,32.52,31.71,32.04,537400,31.79
2010-06-28,33.14,33.52,32.97,33.01,304000,32.76
2010-06-25,32.97,33.08,32.48,33.00,539300,32.75
2010-06-24,33.80,33.83,32.61,32.82,529300,32.57
2010-06-23,34.06,34.32,33.35,33.92,351100,33.66
2010-06-22,34.94,35.15,33.96,34.06,603300,33.80
2010-06-21,35.53,35.85,34.75,34.93,237100,34.66
2010-06-18,35.49,35.60,35.02,35.35,271400,35.08
2010-06-17,35.49,35.72,35.05,35.47,214600,35.20
2010-06-16,35.22,35.52,34.91,35.39,202200,35.12
2010-06-15,34.82,35.60,34.56,35.54,217300,35.27
2010-06-14,34.61,35.33,34.43,34.53,286000,34.26
2010-06-11,33.67,34.29,33.55,34.26,224300,34.00
2010-06-10,33.39,34.16,33.34,34.15,272100,33.89
2010-06-09,32.84,34.02,32.75,32.89,326300,32.64
2010-06-08,32.94,33.20,32.26,32.81,373700,32.56
2010-06-07,34.02,34.02,32.71,32.81,549900,32.56
2010-06-04,33.74,33.96,33.42,33.60,800200,33.34
2010-06-03,34.02,34.74,33.96,34.60,285200,34.33
2010-06-02,32.97,34.00,32.55,33.91,537300,33.65
2010-06-01,33.34,34.11,32.83,32.84,389300,32.59
2010-05-28,34.19,34.42,33.27,33.59,414100,33.33
2010-05-27,33.60,34.23,33.43,34.18,349000,33.92
2010-05-26,33.78,33.98,32.77,32.96,407200,32.71
2010-05-25,32.65,33.54,32.40,33.54,318100,33.05
2010-05-24,33.53,33.98,33.12,33.52,293300,33.03
2010-05-21,32.31,33.86,32.17,33.75,575300,33.26
2010-05-20,33.49,33.72,32.48,32.98,353100,32.50
2010-05-19,34.15,34.60,33.74,34.30,305800,33.80
2010-05-18,35.47,35.89,34.12,34.29,364800,33.79
2010-05-17,34.39,34.74,33.93,34.59,340300,34.09
2010-05-14,34.61,34.61,33.76,34.22,211900,33.72
2010-05-13,35.70,35.89,34.71,34.81,154200,34.30
2010-05-12,35.03,35.65,34.68,35.61,233300,35.09
2010-05-11,34.57,35.64,34.57,34.97,231900,34.46
2010-05-10,34.82,35.61,34.28,35.15,322500,34.64
2010-05-07,33.97,33.98,32.53,33.12,415900,32.64
2010-05-06,34.92,35.29,32.22,34.12,417300,33.62
2010-05-05,34.83,35.31,34.75,35.12,293700,34.61
2010-05-04,36.09,36.09,35.12,35.33,284100,34.82
2010-05-03,36.18,36.86,35.91,36.67,320600,36.14
2010-04-30,37.24,37.64,35.92,35.93,346000,35.41
2010-04-29,36.55,37.41,36.44,37.05,299800,36.51
2010-04-28,37.57,37.86,35.01,36.26,810600,35.73
2010-04-27,37.74,38.00,36.93,37.22,392900,36.68
2010-04-26,37.18,38.08,37.18,37.81,220900,37.26
2010-04-23,37.07,37.18,36.57,37.10,190400,36.56
2010-04-22,36.73,37.20,36.32,37.01,215500,36.47
2010-04-21,36.64,36.98,36.54,36.92,250100,36.38
2010-04-20,35.93,36.86,35.93,36.63,382700,36.10
2010-04-19,35.96,36.10,35.29,35.78,261100,35.26
2010-04-16,36.28,36.99,35.86,36.01,372500,35.49
2010-04-15,35.98,36.45,35.85,36.39,191900,35.86
2010-04-14,35.40,35.96,35.24,35.94,189700,35.42
2010-04-13,34.86,35.35,34.80,35.23,119500,34.72
2010-04-12,35.00,35.03,34.68,34.85,147800,34.34
2010-04-09,34.67,35.22,34.34,34.92,588600,34.41
2010-04-08,34.63,34.71,34.21,34.63,121200,34.13
2010-04-07,34.73,34.77,34.34,34.73,168100,34.23
2010-04-06,34.95,35.18,34.75,34.93,156900,34.42
2010-04-05,34.86,35.40,34.86,35.12,126500,34.61
2010-04-01,34.77,35.14,34.31,34.77,285400,34.26
2010-03-31,34.48,35.02,34.38,34.41,252300,33.91
2010-03-30,34.32,34.74,34.24,34.55,169200,34.05
2010-03-29,34.45,34.69,34.21,34.34,93500,33.84
2010-03-26,34.64,35.01,34.20,34.44,150300,33.94
2010-03-25,34.73,34.88,34.44,34.53,173100,34.03
2010-03-24,34.81,34.88,33.98,34.39,278700,33.89
2010-03-23,34.56,35.08,34.44,34.94,190800,34.43
2010-03-22,34.08,34.63,33.84,34.54,152300,34.04
2010-03-19,34.00,34.69,34.00,34.30,572900,33.80
2010-03-18,33.46,34.03,33.27,33.91,234400,33.42
2010-03-17,33.49,33.62,32.90,33.61,245200,33.12
