Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,35.57,35.70,35.25,35.35,4890200,35.35
2010-11-04,35.77,35.87,35.57,35.57,6143600,35.57
2010-11-03,35.52,35.61,35.12,35.41,5993000,35.41
2010-11-02,35.44,35.79,35.28,35.40,5768500,35.40
2010-11-01,35.60,35.76,34.92,35.16,6463400,35.16
2010-10-29,35.92,35.95,35.13,35.23,10306600,35.23
2010-10-28,36.41,36.62,35.74,36.14,5907500,36.14
2010-10-27,35.78,36.19,35.63,36.16,6647700,36.16
2010-10-26,36.15,36.31,35.83,36.17,7286200,36.17
2010-10-25,36.14,36.55,36.01,36.22,10437000,36.22
2010-10-22,35.78,36.00,35.48,35.75,13213800,35.75
2010-10-21,34.94,35.67,34.88,35.48,14573900,35.48
2010-10-20,33.50,34.74,33.35,34.70,12092500,34.70
2010-10-19,33.62,33.68,33.16,33.37,7524700,33.37
2010-10-18,33.35,34.05,33.27,34.00,6682400,34.00
2010-10-15,33.59,33.59,33.19,33.29,5510700,33.29
2010-10-14,33.60,33.65,33.06,33.27,5397500,33.27
2010-10-13,33.61,33.69,33.47,33.55,5988500,33.55
2010-10-12,33.22,33.52,33.02,33.41,6295100,33.41
2010-10-11,33.41,33.48,33.26,33.37,3425400,33.37
2010-10-08,33.48,33.60,33.25,33.45,3429200,33.45
2010-10-07,33.73,33.77,33.20,33.38,6192900,33.38
2010-10-06,33.76,33.87,33.43,33.65,5407700,33.65
2010-10-05,33.53,34.01,33.53,33.88,6183800,33.66
2010-10-04,33.64,33.75,33.05,33.21,5026800,32.99
2010-10-01,33.66,33.74,33.31,33.63,5243700,33.41
2010-09-30,33.37,33.72,33.05,33.58,7855500,33.36
2010-09-29,33.37,33.57,33.12,33.29,6727200,33.07
2010-09-28,33.59,33.70,33.19,33.47,4985200,33.25
2010-09-27,33.81,33.81,33.34,33.40,5328100,33.18
2010-09-24,33.61,34.15,33.59,33.84,7029300,33.62
2010-09-23,33.41,33.57,33.20,33.25,6720600,33.03
2010-09-22,33.46,33.73,33.30,33.57,7228000,33.35
2010-09-21,33.61,33.61,33.21,33.31,9028200,33.09
2010-09-20,33.54,33.67,33.32,33.50,7817800,33.28
2010-09-17,33.77,33.85,33.21,33.30,9389800,33.08
2010-09-16,33.48,33.67,33.35,33.61,7331300,33.39
2010-09-15,33.40,33.66,33.27,33.59,8580300,33.37
2010-09-14,33.53,33.58,33.04,33.29,11974000,33.07
2010-09-13,33.69,33.92,33.39,33.53,9401700,33.31
2010-09-10,32.79,33.47,32.63,33.34,6951400,33.12
2010-09-09,32.83,32.89,32.58,32.71,5473500,32.49
2010-09-08,32.49,32.79,32.23,32.43,6876100,32.21
2010-09-07,32.92,33.07,32.36,32.45,6090900,32.23
2010-09-03,32.56,33.10,32.56,32.98,8882100,32.76
2010-09-02,32.33,32.50,32.10,32.38,5226700,32.16
2010-09-01,31.74,32.40,31.68,32.20,6502000,31.99
2010-08-31,31.81,31.87,31.40,31.45,9943900,31.24
2010-08-30,32.46,32.46,31.94,31.95,7425500,31.74
2010-08-27,32.32,32.60,32.03,32.52,9876600,32.30
2010-08-26,32.04,32.50,31.61,32.28,12827000,32.07
2010-08-25,31.08,32.07,30.80,31.87,13215500,31.66
2010-08-24,31.97,32.41,30.85,31.21,37355400,31.00
2010-08-23,34.93,35.52,34.80,34.99,6084600,34.76
2010-08-20,35.14,35.36,34.35,34.77,9487400,34.54
2010-08-19,36.08,36.21,35.35,35.48,5218300,35.24
2010-08-18,35.88,36.77,35.83,36.42,6087300,36.18
2010-08-17,35.45,35.96,35.24,35.84,6331400,35.60
2010-08-16,35.40,35.49,35.05,35.18,5895000,34.95
2010-08-13,35.87,35.98,35.49,35.57,5545500,35.33
2010-08-12,35.97,36.19,35.86,35.99,4219700,35.75
2010-08-11,36.83,36.83,36.16,36.28,5840300,36.04
2010-08-10,37.25,37.44,36.87,37.25,4512600,37.00
2010-08-09,36.90,37.70,36.59,37.43,7204100,37.18
2010-08-06,37.68,37.92,37.20,37.81,4274800,37.56
2010-08-05,37.66,37.93,37.45,37.83,3818600,37.58
2010-08-04,37.60,38.08,37.60,37.90,3938100,37.65
2010-08-03,37.54,37.78,37.36,37.59,6714600,37.34
2010-08-02,37.49,37.73,37.30,37.53,6036200,37.28
2010-07-30,35.97,37.03,35.89,36.97,7447500,36.72
2010-07-29,36.68,36.78,36.00,36.10,6245100,35.86
2010-07-28,37.41,37.59,36.43,36.45,5507000,36.21
2010-07-27,37.17,37.45,36.84,37.39,6044000,37.14
2010-07-26,36.49,37.06,36.44,36.98,6019700,36.73
2010-07-23,36.80,37.19,36.42,36.58,6128800,36.34
2010-07-22,36.46,37.25,36.22,36.77,6360800,36.53
2010-07-21,37.55,37.55,35.92,36.22,8041400,35.98
2010-07-20,36.84,37.42,36.51,37.42,3912500,37.17
2010-07-19,37.33,37.70,36.99,37.09,3866500,36.84
2010-07-16,37.89,38.10,37.14,37.27,6464400,37.02
