Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.28,47.32,47.23,47.32,1562100,47.32
2010-11-04,47.27,47.32,47.23,47.32,947100,47.32
2010-11-03,47.28,47.30,47.03,47.29,2340400,47.29
2010-11-02,47.27,47.34,47.24,47.28,2537800,47.28
2010-11-01,47.32,47.32,47.21,47.28,2781000,47.28
2010-10-29,47.25,47.30,47.25,47.30,1804900,47.30
2010-10-28,47.33,47.34,47.21,47.33,2070600,47.33
2010-10-27,47.29,47.32,47.26,47.30,2203100,47.30
2010-10-26,47.33,47.37,47.29,47.32,3124500,47.32
2010-10-25,47.36,47.39,47.30,47.31,2307800,47.31
2010-10-22,47.37,47.40,47.31,47.35,2101800,47.35
2010-10-21,47.39,47.39,47.33,47.39,1105100,47.39
2010-10-20,47.34,47.40,47.32,47.39,1282600,47.39
2010-10-19,47.38,47.44,47.30,47.38,3353500,47.38
2010-10-18,47.33,47.40,47.31,47.40,2779100,47.40
2010-10-15,47.24,47.37,47.21,47.36,4771100,47.36
2010-10-14,47.23,47.25,47.17,47.25,3693900,47.25
2010-10-13,47.18,47.24,47.16,47.21,2623000,47.21
2010-10-12,47.16,47.22,47.08,47.14,2236300,47.14
2010-10-11,47.16,47.17,47.11,47.13,1358800,47.13
2010-10-08,47.17,47.17,47.12,47.15,2037800,47.15
2010-10-07,47.19,47.22,47.14,47.15,6162600,47.15
2010-10-06,47.20,47.22,47.14,47.22,2069000,47.22
2010-10-05,47.24,47.25,47.09,47.20,4085700,47.20
2010-10-04,47.23,47.25,47.21,47.21,2650900,47.21
2010-10-01,47.23,47.25,47.19,47.24,3851900,47.24
2010-09-30,47.25,47.28,47.20,47.26,3640600,47.26
2010-09-29,47.26,47.26,47.23,47.24,2565300,47.24
2010-09-28,47.26,47.32,47.22,47.25,4288500,47.25
2010-09-27,47.27,47.31,47.20,47.21,3683300,47.21
2010-09-24,47.28,47.32,47.23,47.32,1404500,47.32
2010-09-23,47.22,47.26,47.21,47.26,3211600,47.26
2010-09-22,47.33,47.34,47.17,47.21,5412400,47.21
2010-09-21,47.34,47.38,47.29,47.32,4520500,47.32
2010-09-20,47.28,47.35,47.28,47.34,2570800,47.34
2010-09-17,47.32,47.34,47.25,47.30,3675500,47.30
2010-09-16,47.23,47.33,47.22,47.26,3412300,47.26
2010-09-15,47.22,47.30,47.20,47.20,3120400,47.20
2010-09-14,47.24,47.25,47.20,47.22,3199200,47.22
2010-09-13,47.31,47.31,47.17,47.21,3401100,47.21
2010-09-10,47.24,47.26,47.20,47.24,1911900,47.24
2010-09-09,47.25,47.27,47.20,47.21,2858900,47.21
2010-09-08,47.19,47.27,47.15,47.25,3888800,47.25
2010-09-07,47.24,47.30,47.11,47.22,4599600,47.22
2010-09-03,47.21,47.35,47.20,47.35,4436000,47.35
2010-09-02,47.21,47.25,47.14,47.25,3640600,47.25
2010-09-01,47.17,47.23,47.11,47.16,8658300,47.16
2010-08-31,47.13,47.15,47.05,47.05,9766300,47.05
2010-08-30,47.10,47.19,47.09,47.09,7084500,47.09
2010-08-27,47.16,47.22,47.10,47.10,9347600,47.10
2010-08-26,47.06,47.24,47.06,47.13,9672800,47.13
2010-08-25,47.01,47.10,47.00,47.05,7454500,47.05
2010-08-24,47.06,47.10,47.01,47.04,10144000,47.04
2010-08-23,47.01,47.19,47.01,47.10,9098000,47.10
2010-08-20,47.02,47.05,46.90,47.03,36073200,47.03
2010-08-19,47.33,47.35,46.97,47.01,185638400,47.01
2010-08-18,29.74,30.12,29.58,29.93,1217200,29.93
2010-08-17,30.16,30.29,29.86,29.92,1413800,29.92
2010-08-16,29.71,30.12,29.53,30.00,927800,30.00
2010-08-13,29.84,30.20,29.77,29.94,1174100,29.94
2010-08-12,30.04,30.09,29.55,29.97,2582800,29.97
2010-08-11,31.01,31.01,30.29,30.43,2775700,30.43
2010-08-10,32.07,32.17,31.40,31.53,2538700,31.53
2010-08-09,32.58,32.63,32.32,32.40,2048000,32.40
2010-08-06,32.25,32.65,31.97,32.55,1703800,32.55
2010-08-05,32.88,32.88,32.33,32.51,1155000,32.51
2010-08-04,32.85,33.14,32.52,33.07,1370200,33.07
2010-08-03,33.18,33.18,32.55,32.78,1695000,32.78
2010-08-02,33.52,33.73,32.41,33.26,2830400,33.26
2010-07-30,31.00,33.30,30.36,33.10,6878500,33.10
2010-07-29,30.89,30.90,30.16,30.25,3546800,30.25
2010-07-28,31.72,31.80,30.81,31.12,2246900,31.12
2010-07-27,32.18,32.35,31.76,31.94,1601400,31.94
2010-07-26,31.84,32.12,31.67,32.12,1473800,32.12
2010-07-23,31.52,31.92,31.27,31.85,2171300,31.85
2010-07-22,30.63,31.64,30.38,31.58,4212500,31.58
2010-07-21,31.08,31.08,30.15,30.19,3907200,30.19
2010-07-20,30.02,30.79,29.75,30.77,2550100,30.77
2010-07-19,30.25,30.61,30.14,30.39,2994300,30.39
2010-07-16,30.91,31.05,30.10,30.14,3249600,30.14
2010-07-15,31.77,31.88,30.97,31.02,4856600,31.02
2010-07-14,31.80,32.56,31.38,32.38,2190000,32.38
2010-07-13,31.75,32.27,31.46,32.12,2464000,32.12
2010-07-12,31.54,32.05,31.51,31.97,825300,31.97
2010-07-09,31.60,31.89,31.51,31.73,930400,31.73
2010-07-08,31.87,31.99,31.39,31.56,2042300,31.56
2010-07-07,30.80,31.71,30.79,31.70,1210900,31.70
2010-07-06,31.15,31.38,30.53,30.78,1804000,30.78
2010-07-02,30.86,31.01,30.60,30.75,1446100,30.75
2010-07-01,30.72,30.88,30.30,30.74,2573400,30.74
2010-06-30,30.88,31.30,30.63,30.72,3244200,30.72
2010-06-29,31.17,31.20,30.71,30.91,2681500,30.91
2010-06-28,31.47,31.77,31.35,31.60,1543500,31.60
2010-06-25,31.65,31.75,31.17,31.36,2031300,31.36
2010-06-24,31.65,31.80,30.75,31.43,3027800,31.43
2010-06-23,32.07,32.20,31.67,31.83,1202600,31.83
2010-06-22,32.85,33.10,32.06,32.09,1273400,32.09
2010-06-21,33.20,33.28,32.67,32.86,1540300,32.86
2010-06-18,32.87,32.95,32.68,32.92,1675700,32.92
2010-06-17,33.27,33.44,32.67,32.81,2722200,32.81
2010-06-16,32.93,33.37,32.92,33.22,1681900,33.22
2010-06-15,32.61,33.40,32.58,33.38,1645700,33.38
2010-06-14,33.06,33.08,32.20,32.23,2025400,32.23
2010-06-11,32.53,32.75,32.31,32.72,1692900,32.72
2010-06-10,31.96,32.90,31.96,32.81,2088300,32.81
2010-06-09,32.03,32.39,31.50,31.59,2685000,31.59
2010-06-08,31.80,32.09,31.41,31.80,2253800,31.80
2010-06-07,32.38,32.62,31.73,31.73,2615800,31.73
2010-06-04,32.60,33.03,32.10,32.20,3477600,32.20
2010-06-03,32.42,33.34,32.42,33.22,3254900,33.22
2010-06-02,31.12,32.51,31.04,32.49,4039000,32.49
2010-06-01,31.34,31.85,31.01,31.03,2837800,31.03
2010-05-28,32.10,32.11,31.50,31.80,2993900,31.80
2010-05-27,32.21,32.54,31.93,32.20,2738500,32.20
2010-05-26,32.36,32.68,31.32,31.57,3798200,31.57
2010-05-25,31.45,32.24,31.01,32.24,2949300,32.24
2010-05-24,32.28,32.62,31.92,31.93,2114400,31.93
2010-05-21,31.51,32.56,31.26,32.42,2919400,32.42
2010-05-20,31.72,32.56,31.68,31.83,4352500,31.83
2010-05-19,32.93,33.25,32.34,32.45,3836700,32.45
2010-05-18,33.54,33.88,32.89,33.02,2755600,33.02
2010-05-17,33.39,33.74,32.81,33.31,4524100,33.31
2010-05-14,34.09,34.41,33.19,33.68,2492400,33.68
2010-05-13,35.07,35.24,34.25,34.37,3800700,34.37
2010-05-12,33.88,35.08,33.76,35.07,4993700,35.07
2010-05-11,32.88,34.30,32.85,33.74,3363600,33.74
2010-05-10,33.75,34.00,33.15,33.75,3922900,33.75
2010-05-07,33.34,33.34,31.73,32.62,4674600,32.62
2010-05-06,33.91,34.26,31.20,33.01,5130500,33.01
2010-05-05,33.88,34.36,33.71,33.99,4400700,33.99
2010-05-04,34.83,34.83,34.01,34.20,4441600,34.20
2010-05-03,34.99,35.20,34.10,35.05,4976500,35.05
2010-04-30,34.98,35.40,33.92,34.75,13214400,34.75
2010-04-29,40.16,40.16,39.50,39.53,3380600,39.53
2010-04-28,40.31,40.44,39.70,39.92,2337800,39.92
2010-04-27,41.13,41.50,40.02,40.09,3237500,40.09
2010-04-26,39.97,41.72,39.85,41.57,6027000,41.57
2010-04-23,40.01,40.52,39.75,40.13,1876000,40.13
2010-04-22,39.05,40.29,38.67,40.07,3364200,40.07
2010-04-21,40.65,40.79,40.22,40.34,2474000,40.34
