Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,38.84,39.45,38.71,39.31,1573000,39.31
2010-11-04,38.26,38.88,38.24,38.84,1733300,38.84
2010-11-03,37.99,38.20,37.36,37.83,1522300,37.83
2010-11-02,37.94,38.43,37.80,37.99,2004300,37.99
2010-11-01,37.92,38.79,37.28,37.59,2163300,37.59
2010-10-29,37.57,38.86,37.49,37.65,3178100,37.65
2010-10-28,37.55,38.03,37.44,37.53,1412600,37.53
2010-10-27,36.93,37.40,36.56,37.35,1401300,37.35
2010-10-26,36.17,37.93,36.00,37.32,2526100,37.32
2010-10-25,36.55,36.81,36.36,36.56,1543700,36.56
2010-10-22,36.33,36.50,36.12,36.40,1008800,36.40
2010-10-21,36.29,36.59,35.95,36.33,1833000,36.33
2010-10-20,35.12,36.21,35.07,36.03,1544900,36.03
2010-10-19,35.08,35.46,34.76,34.99,1719700,34.99
2010-10-18,35.46,35.58,35.14,35.52,979000,35.52
2010-10-15,35.69,35.83,35.38,35.54,1867100,35.54
2010-10-14,35.31,35.42,35.11,35.37,2239100,35.37
2010-10-13,34.94,35.39,34.73,35.34,1875800,35.34
2010-10-12,34.48,34.80,34.32,34.73,1629100,34.73
2010-10-11,34.29,34.59,34.10,34.55,1309700,34.55
2010-10-08,33.68,34.48,33.64,34.33,1563100,34.33
2010-10-07,33.82,33.96,33.65,33.79,1440600,33.79
2010-10-06,33.55,33.65,33.22,33.63,1274400,33.63
2010-10-05,33.31,33.77,33.24,33.64,1439700,33.64
2010-10-04,33.01,33.18,32.70,32.97,1265400,32.97
2010-10-01,33.28,33.35,32.91,32.99,1366100,32.99
2010-09-30,33.21,33.80,32.82,33.06,2224600,33.06
2010-09-29,32.90,33.33,32.80,33.11,1857300,33.11
2010-09-28,33.04,33.15,32.51,33.01,1610900,33.01
2010-09-27,33.26,33.31,32.68,32.84,862200,32.84
2010-09-24,32.48,33.22,32.39,33.18,1611100,33.18
2010-09-23,31.80,32.57,31.54,32.08,1645600,32.08
2010-09-22,31.95,32.11,31.58,32.02,2189900,32.02
2010-09-21,31.36,32.06,31.28,31.81,1774000,31.81
2010-09-20,30.69,31.42,30.66,31.35,1109700,31.35
2010-09-17,30.52,30.90,30.33,30.55,2430700,30.55
2010-09-16,30.06,30.46,29.81,30.43,1176100,30.43
2010-09-15,30.38,30.45,30.10,30.29,1477800,30.29
2010-09-14,30.48,30.63,30.25,30.46,951600,30.46
