Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,5.75,6.00,5.51,5.54,23746800,5.54
2010-11-04,5.83,5.90,5.59,5.74,20716300,5.74
2010-11-03,5.48,5.75,5.47,5.75,12022100,5.75
2010-11-02,5.73,5.76,5.36,5.45,16593800,5.45
2010-11-01,5.95,5.99,5.54,5.64,15468400,5.64
2010-10-29,5.78,6.00,5.78,5.95,12567300,5.95
2010-10-28,6.08,6.10,5.83,5.83,6717600,5.83
2010-10-27,6.02,6.15,5.92,5.98,7808100,5.98
2010-10-26,6.03,6.16,6.00,6.08,9271000,6.08
2010-10-25,6.18,6.24,6.02,6.10,10610000,6.10
2010-10-22,6.19,6.20,5.89,6.18,19099500,6.18
2010-10-21,6.33,6.44,5.99,6.16,17224100,6.16
2010-10-20,6.65,6.70,6.19,6.24,24464400,6.24
2010-10-19,7.00,7.29,6.92,6.95,9234800,6.95
2010-10-18,7.01,7.18,6.97,7.12,6063800,7.12
2010-10-15,7.31,7.31,6.85,7.03,8594400,7.03
2010-10-14,7.27,7.28,6.93,7.12,9358500,7.12
2010-10-13,7.68,7.74,7.29,7.29,8331000,7.29
2010-10-12,7.42,7.62,7.38,7.61,4672100,7.61
2010-10-11,7.44,7.53,7.34,7.50,3599600,7.50
2010-10-08,7.31,7.51,7.30,7.44,4093600,7.44
2010-10-07,7.47,7.57,7.27,7.33,5452800,7.33
2010-10-06,7.56,7.63,7.33,7.44,6113600,7.44
2010-10-05,7.19,7.74,7.19,7.53,11784600,7.53
2010-10-04,7.14,7.24,7.09,7.11,5058200,7.11
2010-10-01,7.24,7.37,7.05,7.15,6557100,7.15
2010-09-30,7.07,7.25,7.02,7.04,4518000,7.04
2010-09-29,6.99,7.13,6.92,7.00,3424200,7.00
2010-09-28,7.02,7.11,6.86,7.09,6909100,7.09
2010-09-27,7.06,7.18,6.90,6.95,4542500,6.95
2010-09-24,6.91,7.09,6.86,7.09,5411200,7.09
2010-09-23,6.80,7.10,6.74,6.78,8106800,6.78
2010-09-22,7.10,7.17,6.82,6.84,6723700,6.84
2010-09-21,7.20,7.38,7.11,7.14,5895200,7.14
2010-09-20,7.02,7.31,6.97,7.26,5514700,7.26
2010-09-17,6.99,7.06,6.87,7.00,5086300,7.00
2010-09-16,7.11,7.11,6.86,6.92,6115900,6.92
2010-09-15,6.99,7.21,6.90,7.13,6201200,7.13
2010-09-14,7.26,7.27,7.04,7.06,7097400,7.06
2010-09-13,7.25,7.45,7.18,7.27,8146500,7.27
2010-09-10,6.88,7.00,6.83,6.96,4599500,6.96
2010-09-09,7.00,7.28,6.84,6.88,11210000,6.88
2010-09-08,6.72,6.92,6.71,6.85,6203100,6.85
2010-09-07,6.98,6.98,6.69,6.70,6530700,6.70
2010-09-03,7.13,7.19,6.92,7.07,6608500,7.07
2010-09-02,6.84,7.01,6.76,6.98,10654400,6.98
2010-09-01,6.66,6.81,6.56,6.79,5379800,6.79
2010-08-31,6.34,6.60,6.31,6.55,8285900,6.55
2010-08-30,6.54,6.55,6.31,6.38,7693400,6.38
2010-08-27,6.40,6.59,6.26,6.59,6617600,6.58
2010-08-26,6.25,6.56,6.25,6.34,11923300,6.33
2010-08-25,6.19,6.28,6.02,6.27,11206900,6.26
2010-08-24,6.12,6.35,5.98,6.24,9199400,6.23
2010-08-23,6.34,6.46,6.20,6.26,8878300,6.25
2010-08-20,6.21,6.41,6.17,6.36,8300800,6.35
2010-08-19,6.43,6.52,6.17,6.27,9087000,6.26
2010-08-18,6.55,6.59,6.42,6.48,8323900,6.47
2010-08-17,6.69,6.72,6.47,6.50,8723700,6.49
2010-08-16,6.64,6.64,6.37,6.56,8259200,6.55
2010-08-13,6.68,6.87,6.62,6.70,5928600,6.69
2010-08-12,6.56,6.73,6.45,6.67,11266200,6.66
2010-08-11,6.81,6.85,6.56,6.61,7899400,6.60
2010-08-10,6.95,7.07,6.90,6.98,5774500,6.97
2010-08-09,7.27,7.27,6.92,7.07,7613100,7.06
2010-08-06,7.11,7.15,6.96,7.14,4227000,7.13
2010-08-05,7.12,7.27,7.05,7.24,5143200,7.23
2010-08-04,7.34,7.37,7.01,7.17,7849500,7.16
2010-08-03,7.44,7.48,7.29,7.33,6613200,7.32
2010-08-02,7.19,7.52,7.19,7.52,10993300,7.51
2010-07-30,6.91,7.09,6.90,7.03,5158900,7.02
2010-07-29,7.16,7.20,6.94,7.05,5031200,7.04
2010-07-28,7.14,7.18,6.97,7.06,6183100,7.05
2010-07-27,7.26,7.40,7.13,7.22,8016300,7.21
2010-07-26,7.18,7.24,6.97,7.17,11690000,7.16
2010-07-23,7.21,7.21,6.97,7.14,9792000,7.13
2010-07-22,6.69,7.33,6.68,7.27,15951600,7.26
2010-07-21,7.09,7.21,6.58,6.64,14247900,6.63
2010-07-20,7.25,7.40,6.85,7.10,20884200,7.09
2010-07-19,7.63,7.81,7.37,7.71,10379700,7.70
2010-07-16,8.06,8.09,7.57,7.62,9183500,7.61
2010-07-15,8.27,8.31,7.93,8.22,5384500,8.21
2010-07-14,8.32,8.34,8.03,8.23,7215600,8.22
2010-07-13,8.29,8.50,8.24,8.41,6924400,8.40
2010-07-12,7.94,8.20,7.84,8.15,8715900,8.14
2010-07-09,7.58,7.99,7.50,7.97,9306600,7.96
2010-07-08,7.67,7.72,7.33,7.55,11994800,7.54
2010-07-07,7.08,7.64,7.02,7.62,10894100,7.61
2010-07-06,7.02,7.14,6.90,7.02,7479500,7.01
2010-07-02,7.08,7.17,6.68,6.84,8443900,6.83
2010-07-01,7.15,7.28,6.82,7.08,11155900,7.07
2010-06-30,7.41,7.59,7.14,7.18,8025900,7.17
2010-06-29,7.86,7.87,7.41,7.45,8469200,7.44
2010-06-28,7.97,8.09,7.79,8.01,8461700,8.00
2010-06-25,7.58,8.00,7.54,7.92,9622500,7.91
2010-06-24,7.25,7.61,7.17,7.45,8901700,7.44
2010-06-23,7.39,7.51,7.26,7.28,5969100,7.27
2010-06-22,7.66,7.75,7.38,7.40,7576300,7.39
2010-06-21,8.03,8.10,7.59,7.65,7264000,7.64
2010-06-18,7.64,7.90,7.58,7.88,7716800,7.87
2010-06-17,7.92,7.94,7.46,7.63,7651800,7.62
2010-06-16,7.98,8.04,7.82,7.92,6561300,7.91
2010-06-15,7.81,8.05,7.67,8.03,6246500,8.02
2010-06-14,7.85,7.98,7.66,7.74,6385700,7.73
2010-06-11,7.62,7.83,7.53,7.75,5549800,7.74
2010-06-10,7.41,7.79,7.36,7.78,9663700,7.77
2010-06-09,7.53,7.59,7.22,7.28,14309500,7.27
2010-06-08,7.20,7.44,7.13,7.41,9860900,7.40
2010-06-07,7.47,7.54,7.11,7.12,8009300,7.11
2010-06-04,7.73,7.80,7.32,7.38,8942400,7.37
2010-06-03,8.18,8.21,7.89,7.94,5613600,7.93
2010-06-02,7.90,8.13,7.82,8.12,8047400,8.11
2010-06-01,8.03,8.22,7.84,7.84,9009000,7.83
2010-05-28,8.25,8.34,7.95,8.15,9120000,8.14
2010-05-27,8.28,8.33,8.04,8.25,8910900,8.24
2010-05-26,8.00,8.20,7.85,7.96,11017600,7.94
2010-05-25,7.22,7.79,7.13,7.77,11560800,7.75
2010-05-24,8.14,8.23,7.65,7.66,8214300,7.64
2010-05-21,7.39,8.21,7.39,8.20,14502100,8.18
2010-05-20,7.83,8.09,7.61,7.61,11317700,7.59
2010-05-19,8.16,8.54,8.04,8.27,8720500,8.25
2010-05-18,8.96,9.05,8.22,8.28,10092400,8.26
2010-05-17,8.55,8.81,8.45,8.79,12987200,8.77
2010-05-14,8.75,8.79,8.35,8.54,12189900,8.52
2010-05-13,9.00,9.13,8.88,8.89,8488500,8.87
2010-05-12,9.36,9.45,8.98,9.03,20761100,9.00
