Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,44.62,44.76,44.40,44.70,378900,44.70
2010-11-04,44.28,44.61,44.16,44.61,590000,44.61
2010-11-03,44.02,44.24,43.60,43.99,551500,43.99
2010-11-02,44.20,44.37,43.85,44.02,417800,44.02
2010-11-01,44.21,44.25,43.65,43.97,833800,43.97
2010-10-29,43.51,44.23,43.26,44.20,1037000,44.20
2010-10-28,43.16,43.50,43.06,43.49,741900,43.49
2010-10-27,43.10,43.11,42.62,42.97,496500,42.97
2010-10-26,43.15,43.35,43.04,43.33,619100,43.33
2010-10-25,43.64,43.69,43.17,43.19,655000,43.19
2010-10-22,43.17,43.40,43.03,43.40,675900,43.40
2010-10-21,42.92,43.19,42.78,43.04,518200,43.04
2010-10-20,42.65,42.93,42.64,42.80,377900,42.80
2010-10-19,42.87,43.10,42.29,42.51,810900,42.51
2010-10-18,42.92,43.21,42.66,43.20,737400,43.20
2010-10-15,42.84,42.94,42.48,42.92,858000,42.92
2010-10-14,42.52,42.79,42.43,42.57,469400,42.57
2010-10-13,42.19,42.60,42.06,42.50,616200,42.50
2010-10-12,41.99,42.08,41.78,42.04,773000,42.04
2010-10-11,41.74,42.12,41.72,42.08,769700,42.08
2010-10-08,41.74,41.78,41.52,41.69,621900,41.69
2010-10-07,41.87,42.00,41.60,41.67,668300,41.67
2010-10-06,41.53,41.97,41.53,41.70,539200,41.70
2010-10-05,41.77,41.97,41.60,41.69,918100,41.43
2010-10-04,41.68,41.96,41.45,41.56,671400,41.30
2010-10-01,42.33,42.33,41.44,41.66,1082600,41.40
2010-09-30,42.15,42.85,41.68,42.04,2047300,41.78
2010-09-29,41.07,41.28,40.93,41.10,714900,40.84
2010-09-28,41.55,41.59,40.74,41.10,1384600,40.84
2010-09-27,41.80,41.80,41.42,41.46,485500,41.20
2010-09-24,41.37,41.77,41.37,41.72,500500,41.46
2010-09-23,41.16,41.38,40.98,41.05,528600,40.79
2010-09-22,41.42,41.64,41.34,41.37,536600,41.11
2010-09-21,41.41,41.48,41.01,41.37,675900,41.11
2010-09-20,41.40,41.56,41.26,41.51,597900,41.25
2010-09-17,41.16,41.46,41.03,41.24,759500,40.98
2010-09-16,40.83,41.02,40.73,40.97,530200,40.71
2010-09-15,40.76,41.12,40.67,40.95,574900,40.69
2010-09-14,40.74,40.90,40.60,40.76,754500,40.51
2010-09-13,41.14,41.19,40.58,40.74,711200,40.49
2010-09-10,41.05,41.13,40.84,40.87,573700,40.62
2010-09-09,41.31,41.32,40.91,40.91,585100,40.65
2010-09-08,40.77,41.08,40.74,41.02,562300,40.76
2010-09-07,40.52,40.77,40.31,40.57,382900,40.32
2010-09-03,40.59,40.64,40.41,40.55,684500,40.30
2010-09-02,40.40,40.52,40.16,40.52,583600,40.27
2010-09-01,40.29,40.44,40.00,40.36,694800,40.11
2010-08-31,39.70,40.07,39.59,39.87,567000,39.62
2010-08-30,40.18,40.28,39.73,39.76,619300,39.51
2010-08-27,39.70,40.14,39.37,40.10,679100,39.85
2010-08-26,39.74,39.75,39.39,39.56,1040300,39.31
2010-08-25,39.49,39.69,39.34,39.59,953700,39.34
2010-08-24,40.41,40.42,39.48,39.63,1720700,39.38
2010-08-23,40.96,41.06,40.51,40.53,815000,40.28
2010-08-20,40.44,40.93,40.35,40.90,1281000,40.64
2010-08-19,40.43,40.68,40.15,40.56,1157800,40.31
2010-08-18,40.35,40.72,40.18,40.64,603800,40.39
2010-08-17,39.95,40.47,39.67,40.28,676200,40.03
2010-08-16,39.59,39.73,39.29,39.68,654500,39.43
2010-08-13,39.75,39.95,39.60,39.75,381600,39.50
2010-08-12,39.26,39.89,39.15,39.86,676900,39.61
2010-08-11,39.35,39.68,39.14,39.52,726300,39.27
2010-08-10,39.39,40.02,39.35,39.83,452100,39.58
2010-08-09,39.50,39.81,39.35,39.59,435100,39.34
2010-08-06,39.35,39.61,38.89,39.32,792100,39.07
2010-08-05,40.18,40.18,39.50,39.62,562400,39.37
2010-08-04,39.80,40.36,39.77,40.30,658400,40.05
2010-08-03,39.57,39.95,39.48,39.82,743400,39.57
2010-08-02,39.70,39.82,39.43,39.71,912100,39.46
2010-07-30,38.54,39.38,38.54,39.33,732000,39.08
2010-07-29,39.59,39.61,38.78,38.90,549000,38.66
2010-07-28,39.92,39.92,39.41,39.51,600800,39.26
2010-07-27,39.53,39.91,39.37,39.91,1019000,39.66
2010-07-26,39.08,39.42,39.07,39.42,629000,39.17
2010-07-23,38.88,39.05,38.75,38.98,718900,38.74
2010-07-22,38.88,39.06,38.68,38.87,984200,38.63
2010-07-21,39.00,39.14,38.58,38.68,806500,38.44
2010-07-20,38.19,38.91,38.10,38.90,565800,38.66
2010-07-19,38.42,38.63,38.30,38.41,342800,38.17
2010-07-16,38.88,38.95,38.35,38.42,673900,38.18
2010-07-15,39.03,39.21,38.70,38.99,593300,38.75
2010-07-14,38.67,39.07,38.63,39.07,881500,38.83
2010-07-13,38.79,38.94,38.62,38.69,954900,38.45
2010-07-12,38.13,38.49,38.08,38.46,840800,38.22
2010-07-09,38.23,38.39,38.11,38.29,692000,38.05
2010-07-08,38.67,38.67,38.16,38.23,1061800,37.99
2010-07-07,37.94,38.56,37.85,38.56,1182100,38.32
2010-07-06,37.87,38.13,37.66,37.93,715100,37.69
2010-07-02,37.76,37.81,37.37,37.53,1025500,37.30
2010-07-01,37.85,37.86,37.39,37.76,1382100,37.52
2010-06-30,38.44,38.50,37.95,37.96,803200,37.46
2010-06-29,38.93,39.08,38.42,38.58,868200,38.08
2010-06-28,39.10,39.39,38.85,39.27,872200,38.76
2010-06-25,39.61,39.61,38.76,38.97,2415800,38.46
2010-06-24,39.32,40.34,38.84,38.96,3382800,38.45
2010-06-23,39.64,39.72,39.11,39.17,1568800,38.66
2010-06-22,39.85,40.05,39.54,39.55,878400,39.03
2010-06-21,40.34,40.71,39.70,39.90,1078200,39.38
2010-06-18,40.64,40.73,40.40,40.54,828700,40.01
2010-06-17,40.12,40.77,40.11,40.77,915600,40.24
2010-06-16,39.97,40.34,39.83,40.22,828300,39.70
2010-06-15,39.83,40.27,39.64,40.25,887100,39.73
2010-06-14,39.80,39.97,39.57,39.61,1134900,39.09
2010-06-11,39.62,39.89,39.19,39.68,712300,39.16
2010-06-10,39.40,39.85,39.33,39.83,859900,39.31
2010-06-09,39.30,39.33,38.83,38.99,842400,38.48
2010-06-08,38.60,39.06,38.45,39.02,903300,38.51
2010-06-07,38.82,39.07,38.57,38.60,532800,38.10
2010-06-04,39.18,39.33,38.62,38.71,969900,38.21
2010-06-03,39.35,39.71,39.29,39.70,762200,39.18
2010-06-02,38.47,39.33,38.43,39.33,699000,38.82
2010-06-01,38.28,38.88,38.25,38.42,633500,37.92
2010-05-28,38.70,38.78,38.37,38.57,833300,38.07
2010-05-27,38.55,38.79,38.20,38.79,766600,38.28
2010-05-26,38.14,38.56,37.79,38.08,1479300,37.58
2010-05-25,37.88,37.92,37.18,37.90,1430500,37.41
2010-05-24,38.54,38.78,38.32,38.51,856400,38.01
2010-05-21,38.11,38.77,37.69,38.75,1290600,38.24
2010-05-20,38.60,38.82,38.34,38.50,1327300,38.00
2010-05-19,38.88,39.40,38.73,39.16,973500,38.65
2010-05-18,39.73,39.85,39.03,39.12,919000,38.61
2010-05-17,39.36,39.73,39.20,39.62,798900,39.10
2010-05-14,39.45,39.62,39.19,39.28,957400,38.77
2010-05-13,39.48,39.96,39.47,39.52,609000,39.00
2010-05-12,39.44,39.63,39.20,39.58,562400,39.06
2010-05-11,39.00,39.65,39.00,39.33,542800,38.82
2010-05-10,38.78,39.43,38.78,39.30,736800,38.79
2010-05-07,38.52,38.69,37.90,37.95,1523200,37.46
2010-05-06,39.44,39.51,37.74,38.60,1356000,38.10
2010-05-05,39.15,39.56,39.15,39.44,558000,38.93
2010-05-04,39.30,39.56,39.14,39.40,785900,38.89
2010-05-03,39.60,39.77,39.50,39.61,973300,39.09
2010-04-30,39.90,40.19,39.54,39.57,797700,39.05
2010-04-29,39.19,39.85,39.11,39.77,491400,39.25
2010-04-28,39.09,39.29,38.76,39.08,537400,38.57
2010-04-27,39.46,39.58,38.98,39.00,984300,38.49
2010-04-26,39.63,39.84,39.49,39.54,591000,39.02
2010-04-23,39.35,39.49,38.99,39.49,608600,38.97
2010-04-22,39.09,39.45,38.92,39.45,876400,38.94
2010-04-21,39.05,39.38,38.98,39.17,803100,38.66
2010-04-20,38.82,39.05,38.67,39.03,671400,38.52
2010-04-19,38.47,38.76,38.32,38.76,504400,38.25
2010-04-16,38.58,38.74,38.50,38.64,1035400,38.14
2010-04-15,38.26,38.62,37.99,38.62,734100,38.12
2010-04-14,38.43,38.47,38.15,38.26,622400,37.76
2010-04-13,38.23,38.50,38.13,38.41,401800,37.91
2010-04-12,38.49,38.56,38.29,38.37,457000,37.87
2010-04-09,38.25,38.43,38.09,38.43,379500,37.93
2010-04-08,38.00,38.25,37.88,38.15,634300,37.65
2010-04-07,38.22,38.33,38.04,38.17,622900,37.42
2010-04-06,38.00,38.38,38.00,38.37,579800,37.61
2010-04-05,38.63,38.65,38.05,38.14,575900,37.39
2010-04-01,38.53,38.67,38.40,38.58,495700,37.82
2010-03-31,38.27,38.54,38.11,38.36,733400,37.60
2010-03-30,37.97,38.29,37.97,38.29,762700,37.53
2010-03-29,37.78,37.98,37.61,37.85,850900,37.10
2010-03-26,37.99,38.37,37.55,37.63,965000,36.89
2010-03-25,39.19,39.40,37.95,38.03,2607500,37.28
2010-03-24,39.58,39.61,39.19,39.37,1038500,38.59
2010-03-23,39.37,39.71,39.20,39.71,589300,38.93
2010-03-22,39.06,39.40,38.84,39.40,800800,38.62
2010-03-19,39.09,39.19,38.81,39.11,990000,38.34
2010-03-18,38.82,39.07,38.81,38.85,487600,38.08
2010-03-17,38.69,38.89,38.53,38.89,524800,38.12
2010-03-16,38.69,38.69,38.52,38.63,857200,37.87
2010-03-15,38.32,38.73,38.32,38.66,789000,37.90
2010-03-12,38.29,38.42,38.17,38.31,480600,37.55
2010-03-11,37.96,38.30,37.93,38.30,483400,37.54
2010-03-10,37.91,38.15,37.87,38.10,812900,37.35
2010-03-09,37.62,38.00,37.61,37.97,711200,37.22
2010-03-08,37.91,38.00,37.61,37.76,564100,37.01
2010-03-05,38.00,38.00,37.65,38.00,917000,37.25
2010-03-04,37.96,37.99,37.65,37.90,775500,37.15
2010-03-03,37.81,37.96,37.62,37.82,365700,37.07
2010-03-02,37.44,37.86,37.40,37.72,648600,36.97
2010-03-01,37.25,37.35,36.98,37.33,405600,36.59
2010-02-26,37.19,37.22,36.85,37.11,515000,36.38
2010-02-25,36.92,37.11,36.70,37.10,733800,36.37
2010-02-24,37.26,37.36,36.91,37.26,561500,36.52
2010-02-23,37.47,37.64,37.10,37.15,672100,36.42
2010-02-22,37.77,37.86,37.37,37.47,507100,36.73
2010-02-19,37.56,37.87,37.43,37.76,541700,37.01
2010-02-18,37.11,37.66,37.11,37.61,500100,36.87
2010-02-17,36.60,37.29,36.60,37.12,685700,36.39
2010-02-16,36.25,36.58,35.95,36.58,613300,35.86
2010-02-12,35.80,36.19,35.71,36.08,774800,35.37
2010-02-11,35.95,35.98,35.40,35.96,681200,35.25
2010-02-10,35.90,36.00,35.62,35.92,755000,35.21
2010-02-09,35.71,35.98,35.40,35.85,706800,35.14
2010-02-08,35.74,35.96,35.46,35.56,623100,34.86
2010-02-05,35.71,35.86,35.53,35.77,1241700,35.06
2010-02-04,36.36,36.36,35.69,35.76,757200,35.05
2010-02-03,36.83,36.83,36.41,36.49,587400,35.77
2010-02-02,36.71,37.01,36.52,37.00,521700,36.27
2010-02-01,36.42,36.64,36.21,36.58,417600,35.86
2010-01-29,36.64,37.00,36.10,36.30,1118400,35.58
2010-01-28,37.75,37.75,36.29,36.45,1572300,35.73
2010-01-27,37.13,37.63,36.95,37.54,1048600,36.80
2010-01-26,37.05,37.15,36.82,37.09,628300,36.36
2010-01-25,36.92,37.24,36.72,37.22,542500,36.48
2010-01-22,37.04,37.35,36.76,36.77,445900,36.04
2010-01-21,37.37,37.74,36.92,37.04,719200,36.31
2010-01-20,37.68,37.68,37.10,37.29,437200,36.55
2010-01-19,37.58,37.79,37.43,37.74,463400,36.99
2010-01-15,37.65,37.96,37.29,37.59,840200,36.85
2010-01-14,37.46,37.69,37.41,37.66,435100,36.92
2010-01-13,37.45,37.96,37.45,37.70,779500,36.95
2010-01-12,36.86,37.37,36.82,37.36,498900,36.62
2010-01-11,36.70,37.17,36.68,37.02,509900,36.29
2010-01-08,36.61,36.72,36.22,36.72,666300,35.99
2010-01-07,36.43,36.65,36.18,36.62,699900,35.90
2010-01-06,36.18,36.38,36.01,36.34,587900,35.62
2010-01-05,36.22,36.32,36.06,36.20,548700,35.48
2010-01-04,36.41,36.41,36.06,36.30,490000,35.58
2009-12-31,36.52,36.52,36.13,36.13,394300,35.42
2009-12-30,36.34,36.53,36.32,36.43,255000,35.71
2009-12-29,36.24,36.52,36.24,36.43,393300,35.71
2009-12-28,36.34,36.50,36.34,36.44,311700,35.46
2009-12-24,36.07,36.34,36.03,36.33,99400,35.36
2009-12-23,36.05,36.06,35.84,35.96,668900,35.00
2009-12-22,35.99,36.10,35.85,35.94,770600,34.98
2009-12-21,36.08,36.33,36.01,36.02,355400,35.06
2009-12-18,35.96,36.06,35.38,35.93,711100,34.97
2009-12-17,36.05,36.14,35.69,35.78,569200,34.82
2009-12-16,36.12,36.34,36.04,36.09,404400,35.12
2009-12-15,36.07,36.24,35.90,36.08,358900,35.11
2009-12-14,36.36,36.38,36.16,36.23,467400,35.26
2009-12-11,36.20,36.50,36.15,36.19,499900,35.22
2009-12-10,36.29,36.37,36.10,36.16,418800,35.19
2009-12-09,36.16,36.24,35.89,36.10,366400,35.13
2009-12-08,36.48,36.58,36.02,36.25,360500,35.28
2009-12-07,36.57,36.80,36.44,36.68,398500,35.70
2009-12-04,36.43,36.64,36.19,36.51,425600,35.53
2009-12-03,36.42,36.56,36.13,36.18,378700,35.21
2009-12-02,36.26,36.52,36.26,36.49,410200,35.51
2009-12-01,35.84,36.38,35.84,36.22,645000,35.25
2009-11-30,35.74,35.92,35.53,35.68,615100,34.73
2009-11-27,35.82,36.01,35.51,35.78,194300,34.82
2009-11-25,36.42,36.50,36.24,36.32,362100,35.35
2009-11-24,36.46,36.61,36.26,36.42,393400,35.45
2009-11-23,36.00,36.47,35.97,36.45,574600,35.47
2009-11-20,35.89,36.15,35.83,35.96,699900,35.00
2009-11-19,35.81,36.05,35.46,35.99,378200,35.03
2009-11-18,36.02,36.10,35.88,35.96,415900,35.00
2009-11-17,36.11,36.21,35.98,36.18,549800,35.21
2009-11-16,35.95,36.25,35.85,36.25,639400,35.28
2009-11-13,35.97,35.97,35.62,35.93,316100,34.97
2009-11-12,35.71,36.00,35.63,35.80,946400,34.84
2009-11-11,35.65,35.81,35.52,35.68,257900,34.73
2009-11-10,35.49,35.80,35.38,35.70,665500,34.74
2009-11-09,35.17,35.54,35.10,35.54,562700,34.59
2009-11-06,34.87,35.11,34.75,35.06,536300,34.12
2009-11-05,34.90,35.02,34.78,35.02,750800,34.08
2009-11-04,34.89,35.05,34.62,34.81,562300,33.88
