Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,26.00,26.34,25.80,25.97,2797600,25.97
2010-11-04,25.52,26.04,25.40,26.02,2099200,26.02
2010-11-03,25.22,25.45,25.17,25.38,1738700,25.38
2010-11-02,25.26,25.36,25.18,25.24,1369100,25.24
2010-11-01,25.09,25.40,24.98,25.15,1283200,25.15
2010-10-29,25.14,25.20,24.97,24.98,2480800,24.98
2010-10-28,25.32,25.44,24.91,25.25,2259200,25.25
2010-10-27,24.76,25.31,24.73,25.30,2798000,25.30
2010-10-26,25.01,25.21,24.88,24.92,2553400,24.92
2010-10-25,25.29,25.37,25.03,25.12,2373300,25.12
2010-10-22,25.14,25.29,25.03,25.19,3355300,25.19
2010-10-21,24.83,25.19,24.69,25.15,3957400,25.15
2010-10-20,24.44,24.80,24.34,24.76,2942600,24.76
2010-10-19,24.09,24.54,24.06,24.39,4187500,24.39
2010-10-18,23.95,24.36,23.94,24.35,2424200,24.35
2010-10-15,24.18,24.24,23.84,23.92,2749000,23.92
2010-10-14,24.01,24.17,23.88,24.00,3495900,24.00
2010-10-13,24.00,24.18,23.84,24.09,2978300,24.09
2010-10-12,23.76,23.98,23.59,23.95,2404600,23.95
2010-10-11,23.77,24.00,23.70,23.87,2404700,23.87
2010-10-08,23.50,23.80,23.40,23.72,2719500,23.72
2010-10-07,23.87,23.88,23.49,23.53,2271300,23.53
2010-10-06,23.75,23.82,23.64,23.77,2118100,23.77
2010-10-05,23.84,24.07,23.50,24.01,3740300,23.80
2010-10-04,23.83,23.88,23.57,23.65,3601200,23.44
2010-10-01,24.35,24.35,23.80,23.92,2535900,23.71
2010-09-30,24.27,24.72,24.11,24.12,3701100,23.91
2010-09-29,24.18,24.34,24.01,24.23,2082600,24.02
2010-09-28,24.15,24.38,23.95,24.33,2375600,24.12
2010-09-27,24.15,24.34,23.96,24.16,2479800,23.95
2010-09-24,23.74,24.34,23.72,24.34,3214700,24.13
2010-09-23,23.65,23.84,23.48,23.48,2252800,23.27
2010-09-22,24.30,24.34,23.81,23.89,2829800,23.68
2010-09-21,24.46,24.54,24.25,24.33,2397300,24.12
2010-09-20,24.29,24.51,24.23,24.48,2495200,24.27
2010-09-17,24.13,24.47,24.13,24.27,3718600,24.06
2010-09-16,24.12,24.12,23.92,24.04,2103100,23.83
2010-09-15,23.92,24.24,23.83,24.22,2900300,24.01
