Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,87.46,87.49,86.00,86.34,3724300,86.34
2010-11-04,86.29,87.87,86.10,87.04,6606100,87.04
2010-11-03,85.15,85.58,83.30,85.30,4081700,85.30
2010-11-02,84.81,85.05,84.32,84.80,3815200,84.80
2010-11-01,84.57,85.29,83.42,83.98,4467200,83.98
2010-10-29,85.01,85.21,84.07,84.22,6085200,84.22
2010-10-28,87.82,88.00,83.80,85.07,16209400,85.07
2010-10-27,89.99,90.53,88.56,90.37,3398500,90.37
2010-10-26,90.68,90.98,90.14,90.47,2268200,90.47
2010-10-25,90.63,91.49,90.63,90.90,3192900,90.90
2010-10-22,90.45,90.63,90.02,90.44,2310800,90.44
2010-10-21,89.87,90.90,89.72,90.55,5633800,90.55
2010-10-20,88.73,89.95,88.60,89.47,2819400,89.47
2010-10-19,88.75,88.96,87.51,88.55,3888100,88.55
2010-10-18,89.09,89.92,88.69,89.66,2692000,89.66
2010-10-15,89.75,89.89,88.37,89.14,3097100,89.14
2010-10-14,89.15,89.26,88.36,89.07,2313700,89.07
2010-10-13,88.13,89.73,88.13,89.14,3179900,89.14
2010-10-12,87.92,88.54,86.78,88.15,2501400,88.15
2010-10-11,89.48,89.50,87.97,88.25,2605900,88.25
2010-10-08,89.82,89.82,88.43,89.16,2264400,89.16
2010-10-07,89.86,89.92,88.44,88.90,3321900,88.90
2010-10-06,88.66,89.90,88.66,89.89,4137400,89.89
2010-10-05,87.31,89.00,87.31,88.86,4612200,88.86
2010-10-04,87.29,87.73,86.11,86.70,2286300,86.70
2010-10-01,87.38,87.89,86.90,87.62,3200900,87.62
2010-09-30,87.78,88.00,86.21,86.71,3634700,86.71
2010-09-29,86.66,87.65,86.32,87.17,2915700,87.17
2010-09-28,86.65,87.32,85.44,87.04,2582600,87.04
2010-09-27,86.86,87.11,86.07,86.19,2494700,86.19
2010-09-24,86.41,87.47,85.79,86.96,3420400,86.96
2010-09-23,85.86,86.75,85.35,85.53,1994000,85.53
2010-09-22,86.57,87.16,86.13,86.63,2473000,86.63
2010-09-21,86.65,87.62,86.06,86.55,3680200,86.55
2010-09-20,86.26,87.63,86.06,87.41,3657900,87.41
2010-09-17,85.34,86.17,85.09,86.07,5967100,86.07
2010-09-16,84.02,85.00,83.94,84.95,2431800,84.95
2010-09-15,84.47,84.75,83.62,84.58,2175900,84.58
2010-09-14,84.68,85.00,84.02,84.63,3319500,84.63
2010-09-13,84.56,84.97,84.21,84.86,2863500,84.86
2010-09-10,82.87,84.07,82.65,83.94,2166300,83.94
2010-09-09,83.92,84.08,82.48,82.96,2471700,82.96
2010-09-08,82.21,83.71,82.21,82.75,2787000,82.75
2010-09-07,83.23,83.38,82.02,82.14,3099200,82.14
2010-09-03,82.58,83.71,82.56,83.48,2929100,83.48
2010-09-02,81.44,81.89,80.83,81.87,2477800,81.87
2010-09-01,79.51,81.10,79.29,81.01,4490800,81.01
2010-08-31,79.56,80.20,78.40,78.55,4956000,78.55
2010-08-30,80.56,80.68,79.58,79.65,2408400,79.65
2010-08-27,80.12,81.09,79.20,81.00,3445900,81.00
2010-08-26,81.26,81.33,79.50,79.78,3577000,79.78
2010-08-25,80.01,81.10,79.47,80.75,3577100,80.75
2010-08-24,80.20,81.00,79.47,80.45,4475900,80.45
2010-08-23,81.01,82.30,80.90,81.08,3243400,81.08
2010-08-20,81.00,81.44,80.11,80.66,4355400,80.66
2010-08-19,83.33,83.44,81.19,81.81,3959300,81.81
2010-08-18,83.78,84.00,82.41,83.61,3198900,83.61
2010-08-17,82.94,84.89,82.67,84.09,4374600,83.56
2010-08-16,83.33,83.96,82.33,83.43,2358400,82.91
2010-08-13,83.90,84.45,83.74,84.01,2079100,83.49
2010-08-12,83.30,84.63,83.16,84.01,3435300,83.49
2010-08-11,85.90,85.99,83.53,84.10,4505600,83.57
2010-08-10,87.41,87.78,85.85,87.11,3641400,86.57
2010-08-09,87.73,88.38,87.41,88.03,3187400,87.48
2010-08-06,86.81,87.54,86.02,87.29,2701300,86.75
2010-08-05,87.31,87.92,86.97,87.72,2523600,87.17
2010-08-04,87.30,88.07,87.23,88.00,2222600,87.45
2010-08-03,86.98,87.55,86.68,87.21,2855500,86.67
2010-08-02,86.80,87.78,86.72,87.41,3639000,86.86
2010-07-30,85.50,86.35,84.86,85.54,4744600,85.01
2010-07-29,87.05,87.48,85.72,86.34,3344200,85.80
2010-07-28,86.44,87.00,86.22,86.69,2824600,86.15
2010-07-27,87.16,87.39,86.33,86.80,4243800,86.26
2010-07-26,86.50,87.47,85.89,87.32,4834500,86.77
2010-07-23,84.70,86.27,84.35,86.17,4559100,85.63
2010-07-22,84.73,85.14,83.85,84.75,7153200,84.22
2010-07-21,82.64,83.11,81.34,82.30,4992700,81.79
2010-07-20,80.48,82.34,80.01,82.19,3050800,81.68
2010-07-19,81.48,81.55,80.08,81.22,3054200,80.71
2010-07-16,82.71,82.77,80.70,80.95,4302500,80.44
2010-07-15,83.17,83.17,81.53,83.06,4642000,82.54
2010-07-14,83.13,83.68,82.49,83.05,3114300,82.53
2010-07-13,82.84,84.57,82.84,83.55,5137400,83.03
2010-07-12,81.87,82.26,81.36,82.26,3206600,81.75
2010-07-09,81.11,82.25,81.11,82.16,2817400,81.65
2010-07-08,81.12,81.59,80.09,81.22,3975800,80.71
2010-07-07,78.44,80.58,77.93,80.52,4957900,80.02
2010-07-06,78.45,79.38,77.50,78.14,4012500,77.65
2010-07-02,78.80,79.00,77.04,77.67,3776900,77.19
2010-07-01,79.06,79.38,77.83,78.55,6811700,78.06
2010-06-30,78.21,80.22,78.21,78.99,6942900,78.50
2010-06-29,78.72,79.04,76.85,78.49,8545400,78.00
2010-06-28,78.95,79.73,78.29,78.98,3094000,78.49
2010-06-25,78.53,79.09,77.88,78.90,4339900,78.41
2010-06-24,79.81,79.84,77.87,78.18,4340100,77.69
2010-06-23,80.23,80.64,79.45,80.12,3567100,79.62
2010-06-22,81.71,81.87,79.88,80.03,3116800,79.53
2010-06-21,81.96,83.00,81.07,81.47,4064000,80.96
2010-06-18,80.84,81.38,80.38,81.18,5255800,80.67
2010-06-17,81.34,81.37,79.90,81.03,3976400,80.52
2010-06-16,79.28,81.00,78.99,80.88,5359800,80.38
2010-06-15,79.09,79.86,78.74,79.77,3233200,79.27
