Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,26.21,26.22,26.00,26.11,10021900,26.11
2010-11-04,25.93,26.15,25.83,26.15,13091800,26.15
2010-11-03,25.59,25.79,25.57,25.76,9819200,25.76
2010-11-02,25.47,25.69,25.44,25.57,9304200,25.57
2010-11-01,25.54,25.60,25.23,25.37,13214700,25.37
2010-10-29,25.28,25.42,25.24,25.42,12018700,25.42
2010-10-28,25.36,25.40,25.18,25.34,9245500,25.34
2010-10-27,25.11,25.12,24.90,25.11,9547000,25.11
2010-10-26,25.01,25.21,25.01,25.20,7836000,25.20
2010-10-25,25.01,25.23,24.98,25.06,12163700,25.06
2010-10-22,24.97,24.98,24.87,24.92,7631600,24.92
2010-10-21,24.93,25.00,24.86,24.95,10660100,24.95
2010-10-20,24.83,24.97,24.68,24.92,13046900,24.92
2010-10-19,24.84,24.91,24.61,24.75,12133100,24.75
2010-10-18,24.90,24.96,24.85,24.90,11042500,24.90
2010-10-15,24.89,25.00,24.82,24.88,20664500,24.88
2010-10-14,24.66,24.85,24.63,24.80,8171400,24.80
2010-10-13,24.66,24.81,24.60,24.62,11199800,24.62
2010-10-12,24.41,24.61,24.31,24.54,12558200,24.54
2010-10-11,24.49,24.52,24.27,24.35,9462600,24.35
2010-10-08,24.61,24.75,24.49,24.51,10119800,24.51
2010-10-07,24.54,24.70,24.50,24.57,12685200,24.57
2010-10-06,24.28,24.53,24.28,24.43,14491600,24.43
2010-10-05,24.00,24.31,23.96,24.25,23718900,24.25
2010-10-04,23.78,23.96,23.75,23.83,8451400,23.83
2010-10-01,24.01,24.05,23.66,23.78,16443400,23.78
2010-09-30,24.10,24.39,23.88,24.02,13180900,24.02
2010-09-29,24.18,24.33,24.10,24.25,10708800,24.25
2010-09-28,24.08,24.21,23.95,24.20,12505300,24.20
2010-09-27,24.06,24.10,24.00,24.01,10999400,24.01
2010-09-24,23.74,24.02,23.69,24.00,15704400,24.00
2010-09-23,23.67,23.69,23.48,23.60,13253100,23.60
2010-09-22,23.87,23.98,23.83,23.87,10931400,23.87
2010-09-21,23.69,23.88,23.62,23.86,12173200,23.86
2010-09-20,23.60,23.76,23.45,23.71,9297000,23.71
2010-09-17,23.57,23.71,23.49,23.50,12473900,23.50
2010-09-16,23.64,23.66,23.43,23.47,14239300,23.47
2010-09-15,23.47,23.78,23.40,23.68,10596100,23.68
2010-09-14,23.39,23.65,23.26,23.51,10614300,23.51
2010-09-13,23.59,23.64,23.38,23.47,12172300,23.47
2010-09-10,23.74,23.94,23.70,23.84,13844400,23.46
2010-09-09,23.62,23.70,23.49,23.63,14073300,23.25
2010-09-08,23.21,23.54,23.11,23.45,39202300,23.08
2010-09-07,22.95,23.24,22.94,23.11,40207500,22.74
2010-09-03,22.91,22.98,22.75,22.91,13047300,22.54
2010-09-02,22.60,22.82,22.58,22.79,8807400,22.43
2010-09-01,22.60,22.82,22.45,22.66,15393200,22.30
2010-08-31,22.45,22.53,22.26,22.32,19897600,21.96
2010-08-30,22.64,22.68,22.51,22.52,12414400,22.16
2010-08-27,22.68,22.70,22.38,22.54,15787900,22.18
2010-08-26,22.88,22.89,22.45,22.61,12558100,22.25
2010-08-25,22.69,22.90,22.51,22.85,21610700,22.49
2010-08-24,22.60,22.86,22.37,22.79,15673100,22.43
2010-08-23,22.83,22.94,22.69,22.73,12292800,22.37
2010-08-20,22.64,22.81,22.62,22.71,11266500,22.35
2010-08-19,22.92,22.95,22.55,22.76,12577000,22.40
2010-08-18,22.86,22.98,22.76,22.93,15476400,22.56
2010-08-17,22.72,22.99,22.53,22.92,15193100,22.55
2010-08-16,22.34,22.60,22.15,22.60,9915200,22.24
2010-08-13,22.42,22.51,22.29,22.35,6405000,21.99
2010-08-12,22.27,22.52,22.15,22.45,9705500,22.09
2010-08-11,22.38,22.68,22.36,22.44,13636700,22.08
2010-08-10,22.49,22.78,22.44,22.63,8440400,22.27
2010-08-09,22.57,22.68,22.53,22.59,6818600,22.23
2010-08-06,22.25,22.55,22.17,22.54,10439800,22.18
2010-08-05,22.23,22.40,22.21,22.34,8511600,21.98
2010-08-04,22.15,22.43,22.11,22.35,11402100,21.99
2010-08-03,22.20,22.29,22.07,22.12,10325100,21.77
2010-08-02,22.38,22.40,22.21,22.25,13529300,21.90
2010-07-30,21.88,22.25,21.82,22.16,10513000,21.81
2010-07-29,22.14,22.25,21.95,22.02,13015600,21.67
2010-07-28,22.00,22.14,21.98,22.07,9606300,21.72
2010-07-27,22.06,22.15,21.94,22.05,11663200,21.70
2010-07-26,22.18,22.25,21.86,21.99,18641600,21.64
2010-07-23,21.77,22.23,21.77,22.12,20962800,21.77
2010-07-22,21.58,21.89,21.42,21.85,19861900,21.50
2010-07-21,21.70,21.70,21.26,21.41,13568400,21.07
2010-07-20,21.20,21.52,21.16,21.52,10672900,21.18
2010-07-19,21.37,21.49,21.30,21.38,10290600,21.04
2010-07-16,21.41,21.46,21.11,21.26,14095600,20.92
2010-07-15,21.34,21.49,21.28,21.46,10816900,21.12
2010-07-14,21.28,21.35,21.17,21.35,10893600,21.01
2010-07-13,21.38,21.45,21.22,21.34,12101400,21.00
2010-07-12,21.40,21.48,21.23,21.30,10710400,20.96
2010-07-09,21.42,21.48,21.16,21.30,15029400,20.96
2010-07-08,20.97,21.43,20.88,21.32,22149100,20.98
2010-07-07,20.59,20.90,20.48,20.89,17573900,20.56
2010-07-06,20.50,20.70,20.39,20.54,13047100,20.21
2010-07-02,20.21,20.40,20.05,20.31,11413700,19.99
2010-07-01,20.15,20.27,19.89,20.24,17864800,19.92
2010-06-30,20.00,20.25,19.91,20.04,19685700,19.72
2010-06-29,20.13,20.26,19.85,19.96,26881000,19.64
2010-06-28,19.69,20.89,19.69,20.34,47737100,20.02
2010-06-25,19.67,19.77,19.53,19.70,28483300,19.39
2010-06-24,19.73,19.87,19.59,19.62,17190500,19.31
2010-06-23,19.86,19.93,19.71,19.77,13894600,19.45
2010-06-22,20.05,20.15,19.78,19.85,12503000,19.53
2010-06-21,20.17,20.23,20.00,20.06,12676900,19.74
2010-06-18,20.01,20.08,19.95,20.02,14569000,19.70
2010-06-17,19.80,20.01,19.76,19.99,15916400,19.67
