Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,21.62,21.94,21.56,21.69,1031100,21.69
2010-11-04,21.29,21.58,21.17,21.54,1036600,21.54
2010-11-03,20.41,21.02,20.41,20.97,1551900,20.97
2010-11-02,20.44,20.63,20.30,20.42,881400,20.42
2010-11-01,20.44,20.50,20.03,20.18,817000,20.18
2010-10-29,20.21,20.42,20.05,20.30,1768000,20.30
2010-10-28,21.01,21.06,20.13,20.27,2801400,20.27
2010-10-27,21.00,21.06,20.56,20.82,4968400,20.82
2010-10-26,22.10,22.59,21.97,22.55,1663300,22.55
2010-10-25,22.03,22.59,22.00,22.27,1431100,22.27
2010-10-22,21.76,21.85,21.54,21.84,518000,21.84
2010-10-21,21.62,21.84,21.41,21.62,1507800,21.62
2010-10-20,21.36,21.68,21.31,21.50,902400,21.50
2010-10-19,21.33,21.55,21.11,21.32,922900,21.32
2010-10-18,21.73,21.87,21.61,21.70,728400,21.70
2010-10-15,21.95,21.95,21.63,21.77,941200,21.77
2010-10-14,21.57,21.75,21.40,21.71,1253900,21.71
2010-10-13,21.82,21.98,21.67,21.73,1452300,21.73
2010-10-12,21.55,21.73,21.28,21.63,969700,21.63
2010-10-11,21.62,21.66,21.41,21.54,480600,21.54
2010-10-08,21.48,21.65,21.29,21.59,826600,21.59
2010-10-07,21.66,21.71,21.33,21.47,1339200,21.47
2010-10-06,21.31,21.65,21.30,21.47,1403400,21.47
2010-10-05,20.99,21.39,20.82,21.36,941300,21.36
2010-10-04,21.00,21.02,20.54,20.69,1058700,20.69
2010-10-01,21.20,21.28,20.86,21.02,1316800,21.02
2010-09-30,21.14,21.33,20.85,20.93,1188900,20.93
2010-09-29,20.67,21.12,20.67,20.91,949000,20.91
2010-09-28,20.53,20.86,20.23,20.80,1709700,20.80
2010-09-27,21.02,21.02,20.43,20.67,1250200,20.52
2010-09-24,20.08,21.17,20.00,21.10,1564600,20.94
2010-09-23,19.56,19.96,19.31,19.75,1383600,19.60
2010-09-22,20.13,20.23,19.66,19.70,1097800,19.55
2010-09-21,20.20,20.45,20.07,20.18,1163200,20.03
2010-09-20,19.76,20.16,19.62,20.12,621500,19.97
2010-09-17,19.60,19.74,19.42,19.70,1339500,19.55
2010-09-16,19.54,19.58,19.33,19.43,732600,19.29
2010-09-15,19.45,19.61,19.22,19.57,728100,19.43
2010-09-14,19.06,19.55,18.92,19.48,1283700,19.34
2010-09-13,19.06,19.23,18.97,19.13,813800,18.99
2010-09-10,19.33,19.34,18.85,18.90,991700,18.76
2010-09-09,19.39,19.40,19.13,19.23,617600,19.09
2010-09-08,19.07,19.27,19.01,19.13,726200,18.99
2010-09-07,19.21,19.29,18.98,19.11,972200,18.97
2010-09-03,19.08,19.36,19.02,19.32,753700,19.18
2010-09-02,18.59,18.92,18.46,18.88,873800,18.74
2010-09-01,18.01,18.67,17.96,18.58,1065700,18.44
2010-08-31,17.78,18.00,17.60,17.65,1245700,17.52
2010-08-30,18.12,18.44,17.83,17.83,690600,17.70
2010-08-27,17.99,18.25,17.69,18.22,743700,18.09
2010-08-26,18.09,18.24,17.83,17.84,922400,17.71
2010-08-25,17.63,18.09,17.50,18.02,1149400,17.89
2010-08-24,17.95,18.06,17.61,17.84,1366100,17.71
2010-08-23,18.54,18.68,18.19,18.21,791700,18.08
2010-08-20,18.34,18.44,18.15,18.39,923500,18.25
2010-08-19,18.88,18.97,18.30,18.46,1067300,18.32
2010-08-18,18.86,19.08,18.70,19.02,924400,18.88
2010-08-17,18.74,19.05,18.64,18.90,808100,18.76
2010-08-16,18.51,18.70,18.38,18.55,1045200,18.41
2010-08-13,18.65,18.89,18.61,18.67,914900,18.53
2010-08-12,18.72,18.86,18.52,18.76,1114800,18.62
2010-08-11,19.71,19.75,19.06,19.09,936300,18.95
2010-08-10,20.22,20.28,19.89,20.11,1484000,19.96
2010-08-09,20.39,20.57,20.31,20.49,590300,20.34
2010-08-06,20.08,20.33,19.86,20.33,1465000,20.18
2010-08-05,20.05,20.35,19.89,20.23,1227100,20.08
2010-08-04,20.30,20.37,19.77,20.18,2026500,20.03
2010-08-03,20.21,20.39,20.05,20.09,1131400,19.94
2010-08-02,20.04,20.36,19.87,20.26,842200,20.11
2010-07-30,19.50,19.80,19.32,19.71,1018500,19.56
2010-07-29,19.97,20.20,19.56,19.79,1099600,19.64
2010-07-28,20.01,20.22,19.74,19.85,831900,19.70
2010-07-27,20.41,20.53,20.07,20.14,1035700,19.99
