Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,36.67,36.74,35.42,35.70,22486800,35.70
2010-11-04,36.86,36.95,36.44,36.65,11837800,36.65
2010-11-03,36.73,36.77,36.04,36.51,9510200,36.51
2010-11-02,36.57,36.86,36.51,36.61,9983600,36.61
2010-11-01,36.44,36.73,35.98,36.25,9656900,36.25
2010-10-29,36.73,36.74,36.02,36.31,15219100,36.31
2010-10-28,36.67,37.06,36.66,36.94,9856300,36.94
2010-10-27,36.88,36.88,36.13,36.46,12099900,36.46
2010-10-26,37.31,37.33,36.89,37.07,7103400,37.07
2010-10-25,37.30,37.68,37.29,37.42,10656000,37.42
2010-10-22,37.07,37.15,36.95,37.10,6330600,37.10
2010-10-21,37.10,37.15,36.58,37.10,10373000,37.10
2010-10-20,36.61,37.25,36.57,36.99,9669300,36.99
2010-10-19,37.00,37.05,36.31,36.52,10372100,36.52
2010-10-18,36.91,37.24,36.91,37.23,10601100,37.23
2010-10-15,37.27,37.44,36.76,36.95,15025400,36.95
2010-10-14,37.27,37.38,36.84,37.15,9544400,37.15
2010-10-13,36.86,37.39,36.78,37.16,9762300,37.16
2010-10-12,36.67,36.82,36.32,36.64,11040400,36.64
2010-10-11,36.86,37.00,36.67,36.86,5576200,36.86
2010-10-08,36.82,36.99,36.61,36.91,8680800,36.91
2010-10-07,37.35,37.39,36.63,36.71,13897800,36.71
2010-10-06,37.04,37.22,36.82,37.01,7541300,37.01
2010-10-05,36.86,37.15,36.70,37.02,10669200,37.02
2010-10-04,36.49,36.75,36.29,36.52,9234900,36.52
2010-10-01,36.76,36.84,36.35,36.60,11741900,36.60
2010-09-30,37.21,37.58,36.64,36.81,13696000,36.81
2010-09-29,37.10,37.26,36.86,37.12,9451200,37.12
2010-09-28,37.29,37.48,37.02,37.25,12722600,37.25
2010-09-27,37.41,37.48,37.13,37.13,11061800,37.13
2010-09-24,36.82,37.39,36.73,37.34,11636500,37.34
2010-09-23,36.67,36.99,36.52,36.66,10602600,36.66
2010-09-22,36.71,37.05,36.63,36.96,12397700,36.96
2010-09-21,36.54,36.94,36.37,36.72,12252900,36.72
2010-09-20,36.36,36.64,36.23,36.54,10523800,36.54
2010-09-17,36.50,36.84,36.16,36.33,16399400,36.33
2010-09-16,36.49,36.61,36.20,36.43,9089700,36.43
2010-09-15,36.52,36.87,36.24,36.51,11491300,36.51
2010-09-14,36.10,36.70,36.06,36.52,12851200,36.52
2010-09-13,36.62,36.62,36.00,36.22,10928600,36.22
2010-09-10,36.14,36.71,36.12,36.65,11222000,36.27
2010-09-09,35.99,36.23,35.79,36.08,11564500,35.71
2010-09-08,35.35,36.00,35.34,35.81,22144800,35.44
2010-09-07,35.77,35.77,35.41,35.46,25332300,35.09
2010-09-03,35.73,35.84,35.28,35.59,11498000,35.22
2010-09-02,35.69,35.77,34.52,35.35,11566300,34.98
2010-09-01,35.38,35.76,35.27,35.62,13057700,35.25
2010-08-31,34.66,35.36,34.51,35.16,16583200,34.80
2010-08-30,34.92,35.21,34.72,34.73,6774300,34.37
2010-08-27,34.63,35.11,34.32,35.00,9546100,34.64
2010-08-26,34.56,34.70,34.28,34.48,8495300,34.12
2010-08-25,34.42,34.72,34.02,34.54,10605800,34.18
2010-08-24,34.76,34.80,34.17,34.44,11259200,34.08
2010-08-23,34.70,35.22,34.56,34.97,9976600,34.61
2010-08-20,34.55,34.69,34.25,34.44,12197400,34.08
2010-08-19,35.30,35.34,34.50,34.71,11508900,34.35
2010-08-18,35.49,35.59,35.03,35.37,9132800,35.00
2010-08-17,35.19,35.62,34.94,35.54,10677000,35.17
2010-08-16,34.77,35.00,34.59,34.97,6886500,34.61
2010-08-13,34.80,35.15,34.65,35.00,8752200,34.64
2010-08-12,34.65,35.25,34.60,35.04,9157900,34.68
2010-08-11,35.31,35.50,34.82,34.89,12442100,34.53
2010-08-10,35.20,35.99,34.82,35.77,11864700,35.40
2010-08-09,35.06,35.44,35.06,35.36,10302000,34.99
2010-08-06,34.82,35.00,34.50,34.98,11658800,34.62
2010-08-05,35.00,35.16,34.70,35.07,10062700,34.71
2010-08-04,34.78,35.25,34.55,35.19,13133600,34.83
2010-08-03,35.10,35.25,34.48,34.82,14582200,34.46
2010-08-02,34.86,35.12,34.55,35.07,12106900,34.71
2010-07-30,34.35,34.63,33.82,34.46,21722000,34.10
2010-07-29,35.00,35.30,34.60,35.06,14571300,34.70
2010-07-28,35.14,35.41,34.62,34.74,9709800,34.38
2010-07-27,35.32,35.59,35.00,35.18,12677300,34.82
2010-07-26,35.00,35.30,34.81,35.27,9634500,34.90
2010-07-23,35.17,35.17,34.41,34.87,15679200,34.51
