Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,33.77,33.98,33.42,33.92,8854700,33.92
2010-11-04,33.35,34.00,33.15,33.83,10362500,33.83
2010-11-03,33.71,33.73,32.45,33.07,14527300,33.07
2010-11-02,34.19,34.72,33.52,33.61,17947000,33.61
2010-11-01,35.90,36.11,35.30,35.49,4292300,35.49
2010-10-29,35.09,35.63,35.09,35.57,3998200,35.57
2010-10-28,35.59,35.71,35.12,35.27,6604500,35.27
2010-10-27,35.29,35.50,34.99,35.29,4817000,35.29
2010-10-26,35.79,35.88,35.49,35.60,5955700,35.60
2010-10-25,36.07,36.43,35.84,35.89,4789200,35.89
2010-10-22,35.65,35.77,35.42,35.61,2768000,35.61
2010-10-21,35.60,35.85,35.18,35.55,4665600,35.55
2010-10-20,35.27,35.84,35.19,35.68,3685700,35.68
2010-10-19,35.40,35.42,34.77,35.10,7128100,35.10
2010-10-18,35.85,36.00,35.65,35.87,4311600,35.87
2010-10-15,35.73,35.93,35.34,35.75,5776600,35.75
2010-10-14,35.69,35.94,35.23,35.51,4420700,35.51
2010-10-13,35.43,35.95,35.37,35.69,4575200,35.69
2010-10-12,35.09,35.44,34.74,35.28,3675000,35.28
2010-10-11,35.31,35.52,35.12,35.26,4088100,35.26
2010-10-08,34.49,35.53,34.47,35.48,4853400,35.48
2010-10-07,35.28,35.28,34.53,34.85,4447200,34.85
2010-10-06,34.21,35.13,34.08,35.10,9812400,35.10
2010-10-05,33.76,34.50,33.61,34.32,8105100,34.32
2010-10-04,33.59,33.74,33.09,33.37,4927200,33.37
2010-10-01,33.43,33.90,33.33,33.81,6232300,33.81
2010-09-30,33.23,33.63,32.75,33.10,5958000,33.10
2010-09-29,32.39,33.26,32.26,33.01,6260200,33.01
2010-09-28,32.35,32.55,32.01,32.49,4660600,32.49
2010-09-27,32.36,32.49,32.18,32.19,3792900,32.19
2010-09-24,31.83,32.34,31.71,32.21,4449200,32.21
2010-09-23,31.73,31.81,31.32,31.46,5661400,31.46
2010-09-22,32.31,32.59,31.91,31.99,3733900,31.99
2010-09-21,32.65,32.66,32.01,32.26,5183700,32.26
2010-09-20,31.64,32.42,31.62,32.34,3907600,32.34
2010-09-17,32.24,32.25,31.58,31.61,5448100,31.61
2010-09-16,31.90,32.05,31.75,32.00,3314100,32.00
2010-09-15,31.85,32.15,31.67,32.11,4809200,32.11
2010-09-14,32.25,32.53,31.90,32.04,6040900,32.04
2010-09-13,32.63,32.68,32.05,32.25,4732300,32.25
2010-09-10,31.96,32.55,31.91,32.32,5832900,32.32
2010-09-09,32.24,32.56,31.54,31.77,3916800,31.77
2010-09-08,31.75,32.11,31.65,31.74,4048000,31.74
2010-09-07,31.81,31.99,31.52,31.74,3740400,31.74
2010-09-03,32.00,32.30,31.93,32.16,4123600,32.16
2010-09-02,31.57,31.88,31.43,31.87,4699900,31.87
2010-09-01,30.86,31.57,30.73,31.55,5440300,31.55
2010-08-31,30.42,30.65,30.20,30.49,5395800,30.49
2010-08-30,30.90,31.08,30.55,30.55,3783400,30.55
2010-08-27,30.38,31.02,30.04,30.94,5022600,30.94
2010-08-26,30.96,31.01,30.07,30.21,6210700,30.21
2010-08-25,31.04,31.05,30.29,30.77,7399500,30.77
2010-08-24,31.30,31.60,31.14,31.23,6157200,31.23
2010-08-23,31.51,31.92,31.51,31.66,4649300,31.66
2010-08-20,31.79,31.89,31.20,31.52,4802500,31.52
2010-08-19,32.41,32.47,31.92,32.00,4663400,32.00
2010-08-18,32.54,32.66,32.12,32.54,4347600,32.54
