Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,82.60,84.49,82.26,82.70,2729000,82.70
2010-11-04,81.74,83.20,80.58,82.49,2186800,82.49
2010-11-03,78.22,80.74,77.91,80.68,4020600,80.68
2010-11-02,78.25,78.25,76.85,77.65,2025100,77.65
2010-11-01,76.02,78.36,75.98,77.47,6236000,77.47
2010-10-29,74.37,74.82,73.49,74.75,1047300,74.75
2010-10-28,75.57,75.57,74.01,74.66,1031400,74.66
2010-10-27,74.62,76.12,74.55,74.95,1417100,74.95
2010-10-26,74.28,75.66,74.28,75.17,1195000,75.17
2010-10-25,74.63,74.98,73.89,74.58,1061400,74.58
2010-10-22,73.37,74.68,72.99,74.44,1674400,74.44
2010-10-21,74.73,74.73,72.03,72.96,2240100,72.96
2010-10-20,75.55,76.39,73.69,74.07,3343700,74.07
2010-10-19,75.93,77.18,75.43,75.73,1774100,75.73
2010-10-18,75.14,76.79,75.00,76.79,1553300,76.79
2010-10-15,76.43,76.43,73.51,75.22,2758000,75.22
2010-10-14,76.76,76.94,73.66,75.66,3750000,75.66
2010-10-13,78.04,78.18,76.58,76.78,2103700,76.78
2010-10-12,77.42,77.75,76.51,77.55,2250800,77.55
2010-10-11,76.82,77.83,76.71,77.22,2162700,77.22
2010-10-08,76.84,77.42,76.22,76.84,3610800,76.84
2010-10-07,78.58,78.94,76.16,76.87,16449400,76.87
2010-10-06,79.83,80.20,77.14,78.91,11228600,78.91
2010-10-05,83.34,85.26,82.35,83.09,1673400,83.09
2010-10-04,81.86,82.61,81.15,82.15,766900,82.15
2010-10-01,83.06,83.99,81.00,81.91,706300,81.91
2010-09-30,82.36,82.63,81.31,81.81,1094600,81.81
2010-09-29,81.88,82.71,81.28,81.81,880800,81.81
2010-09-28,83.96,84.38,81.08,82.50,1991100,82.50
2010-09-27,86.11,86.87,84.00,84.24,1921100,84.24
2010-09-24,89.62,90.67,87.78,90.62,1066300,90.62
2010-09-23,87.54,90.75,87.54,88.17,832600,88.17
2010-09-22,88.37,90.93,87.40,88.94,1000700,88.94
2010-09-21,91.30,92.19,88.59,88.69,1065000,88.69
2010-09-20,87.06,95.00,86.58,91.00,1996400,91.00
2010-09-17,87.37,87.83,86.50,86.70,754600,86.70
2010-09-16,87.22,87.22,86.07,86.92,319100,86.92
2010-09-15,87.50,87.71,86.20,87.40,629100,87.40
2010-09-14,88.30,88.44,86.50,87.90,488700,87.90
2010-09-13,88.28,88.49,87.12,88.39,596300,88.39
2010-09-10,87.92,87.92,85.69,86.57,399900,86.57
2010-09-09,86.99,88.40,86.43,87.21,650100,87.21
2010-09-08,84.72,86.99,84.72,85.46,614300,85.46
2010-09-07,88.09,88.40,84.67,84.70,808000,84.70
2010-09-03,88.34,88.94,87.68,88.93,479200,88.93
2010-09-02,88.08,88.29,86.90,87.28,677400,87.28
2010-09-01,86.15,87.88,86.09,87.49,748800,87.49
2010-08-31,84.81,86.53,84.38,85.64,721000,85.64
2010-08-30,87.16,87.16,84.95,84.95,468500,84.95
2010-08-27,87.15,88.05,85.98,87.78,438600,87.08
2010-08-26,87.04,88.44,86.45,86.65,459600,85.96
2010-08-25,87.00,87.86,85.64,86.81,620200,86.12
2010-08-24,87.49,88.40,87.03,87.37,609400,86.67
2010-08-23,89.71,90.90,88.71,88.78,485900,88.07
2010-08-20,88.47,89.90,88.05,89.76,672200,89.04
2010-08-19,90.12,90.32,88.07,89.31,996500,88.60
2010-08-18,90.00,91.15,88.93,90.05,1256900,89.33
2010-08-17,88.33,92.36,88.00,90.43,1913900,89.71
2010-08-16,84.94,85.65,84.49,85.45,617600,84.77
2010-08-13,85.38,86.08,84.81,85.35,865300,84.67
2010-08-12,83.49,85.61,83.37,85.19,953500,84.51
2010-08-11,86.57,86.65,84.39,84.39,787100,83.72
2010-08-10,87.09,88.60,86.41,87.91,449600,87.21
2010-08-09,87.60,88.38,86.61,87.95,436600,87.25
2010-08-06,86.89,87.04,85.01,86.88,609000,86.19
2010-08-05,87.50,88.04,86.50,87.67,432500,86.97
2010-08-04,88.88,88.89,87.50,88.60,584600,87.89
2010-08-03,89.49,89.78,87.86,87.99,436900,87.29
2010-08-02,88.78,90.32,88.24,89.56,645500,88.85
2010-07-30,86.35,88.65,85.60,87.34,735300,86.64
2010-07-29,88.50,88.98,85.52,87.00,1199000,86.31
2010-07-28,89.82,90.54,87.50,87.83,531600,87.13
2010-07-27,93.30,93.47,89.70,89.85,621700,89.13
2010-07-26,90.00,92.50,89.06,92.38,932700,91.64
2010-07-23,86.64,89.99,86.01,89.56,1111600,88.85
2010-07-22,84.72,87.33,84.34,86.68,906800,85.99
2010-07-21,87.32,89.25,82.85,83.50,1440700,82.83
2010-07-20,84.60,85.50,83.50,85.08,1387700,84.40
2010-07-19,86.50,86.69,84.78,86.08,628700,85.39
2010-07-16,87.56,87.95,85.50,85.73,1165000,85.05
2010-07-15,89.94,90.34,87.45,88.78,595800,88.07
2010-07-14,90.78,91.15,88.94,89.94,717000,89.22
2010-07-13,90.20,91.69,89.83,91.51,890400,90.78
2010-07-12,89.93,90.02,88.25,89.12,608900,88.41
2010-07-09,88.06,90.49,87.79,90.23,833200,89.51
2010-07-08,89.82,90.59,87.23,88.62,1100200,87.91
2010-07-07,86.51,89.43,86.15,89.23,1165800,88.52
2010-07-06,86.65,87.67,84.93,85.96,1100800,85.27
2010-07-02,88.04,88.04,84.34,84.89,892400,84.21
2010-07-01,84.95,87.79,84.20,87.20,1834300,86.50
2010-06-30,86.40,87.88,84.79,84.95,1003400,84.27
2010-06-29,87.94,89.05,85.89,86.29,1449700,85.60
2010-06-28,87.77,89.65,87.50,89.24,1143700,88.53
2010-06-25,87.46,89.42,87.25,88.37,1421900,87.67
2010-06-24,90.54,90.54,86.32,86.69,2199700,86.00
2010-06-23,94.03,94.75,90.50,91.02,2025000,90.29
2010-06-22,94.28,96.15,93.03,93.71,1836300,92.96
2010-06-21,90.31,95.98,90.28,94.45,3348100,93.70
2010-06-18,88.06,90.86,86.62,90.71,3728800,89.99
2010-06-17,82.98,90.99,82.77,89.34,5959000,88.63
2010-06-16,79.18,83.19,79.05,81.93,2532800,81.28
2010-06-15,78.44,79.60,77.73,79.36,1036200,78.73
2010-06-14,79.02,79.63,77.21,77.53,1117200,76.91
2010-06-11,77.82,78.49,76.66,78.39,770600,77.76
2010-06-10,76.96,78.78,76.85,78.64,1216200,78.01
2010-06-09,76.89,77.08,75.60,76.26,1894400,75.65
2010-06-08,74.50,76.81,74.11,76.59,1442600,75.98
2010-06-07,76.00,76.38,74.20,74.24,1280500,73.65
2010-06-04,77.55,77.83,75.14,75.36,1201900,74.76
2010-06-03,79.60,80.37,77.95,78.96,1194800,78.33
2010-06-02,78.19,79.72,77.65,79.67,1013000,79.03
2010-06-01,78.77,79.55,76.97,77.53,1448700,76.91
2010-05-28,81.54,81.86,78.87,79.24,1592100,78.61
2010-05-27,80.95,81.76,79.75,81.48,1745800,80.83
2010-05-26,81.89,82.52,80.11,80.32,1929600,78.99
2010-05-25,79.87,81.12,78.84,80.81,1866400,79.47
2010-05-24,84.10,84.10,81.26,81.40,1920500,80.05
2010-05-21,78.50,84.08,77.86,84.00,2559400,82.60
2010-05-20,82.00,82.53,79.68,79.70,1508800,78.38
2010-05-19,83.44,85.10,81.90,83.39,2046200,82.00
2010-05-18,88.49,88.57,83.14,83.61,2288700,82.22
2010-05-17,87.47,88.42,85.77,87.84,916700,86.38
2010-05-14,89.47,89.60,86.13,87.25,1133000,85.80
2010-05-13,90.36,91.47,89.93,90.22,693200,88.72
2010-05-12,89.42,90.80,88.81,90.69,813400,89.18
2010-05-11,86.81,90.00,86.81,88.77,1157300,87.29
2010-05-10,88.08,89.00,86.36,88.46,1570500,86.99
2010-05-07,85.08,86.77,83.60,84.07,2062900,82.67
2010-05-06,87.03,88.41,80.61,84.27,1699800,82.87
2010-05-05,86.54,88.52,85.65,87.41,720800,85.96
2010-05-04,87.99,88.36,86.64,87.12,1038500,85.67
2010-05-03,88.05,89.22,88.00,89.15,706800,87.67
2010-04-30,89.06,89.56,87.17,87.35,814800,85.90
2010-04-29,86.80,89.77,86.59,89.44,1579000,87.95
2010-04-28,84.65,86.78,84.65,85.43,1067000,84.01
2010-04-27,85.00,86.30,83.52,84.09,1328300,82.69
2010-04-26,88.19,88.66,85.25,85.45,797900,84.03
2010-04-23,87.83,88.73,86.88,88.49,609300,87.02
2010-04-22,85.93,88.00,85.31,87.82,758900,86.36
2010-04-21,85.33,87.50,85.09,86.28,1283400,84.85
2010-04-20,84.81,86.35,83.89,85.00,1323000,83.59
2010-04-19,84.41,86.84,82.72,84.10,2139400,82.70
2010-04-16,86.31,86.53,82.30,84.25,2127500,82.85
2010-04-15,87.62,87.62,86.05,86.14,694400,84.71
2010-04-14,85.41,87.00,85.35,86.79,571400,85.35
2010-04-13,85.31,85.37,83.91,84.92,471800,83.51
2010-04-12,85.35,85.67,84.41,85.31,475800,83.89
2010-04-09,84.22,85.45,83.95,85.34,740200,83.92
2010-04-08,83.29,84.43,82.89,84.13,812000,82.73
2010-04-07,84.32,84.99,82.71,83.35,1174100,81.96
2010-04-06,81.76,84.64,81.62,84.46,1411300,83.06
2010-04-05,79.91,81.83,79.41,81.61,741800,80.25
2010-04-01,79.86,80.00,78.74,79.57,561900,78.25
2010-03-31,79.52,80.13,78.75,79.38,1217400,78.06
2010-03-30,80.82,81.17,78.70,79.76,2020300,78.43
2010-03-29,81.03,81.46,79.72,80.95,658900,79.60
