Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,67.26,67.86,67.02,67.84,1396100,67.84
2010-11-04,65.30,67.89,64.75,67.26,3756300,67.26
2010-11-03,66.02,66.18,64.55,65.72,1822600,65.72
2010-11-02,65.88,66.06,65.50,65.85,929800,65.85
2010-11-01,65.71,66.24,64.80,65.26,1433400,65.26
2010-10-29,64.70,65.69,64.58,65.16,1167400,65.16
2010-10-28,65.40,65.50,64.73,64.98,1040900,64.98
2010-10-27,64.78,64.91,64.23,64.84,1505000,64.84
2010-10-26,65.25,65.62,64.96,65.21,1814300,65.21
2010-10-25,66.00,67.24,65.40,65.68,1459600,65.68
2010-10-22,65.52,65.52,64.57,65.39,1263800,65.39
2010-10-21,64.65,65.60,64.22,65.22,2378800,65.22
2010-10-20,63.37,64.62,63.37,64.49,1878200,64.49
2010-10-19,64.20,64.24,63.00,63.39,1817100,63.39
2010-10-18,65.34,65.55,64.60,65.24,2032400,65.24
2010-10-15,65.70,65.71,64.51,65.61,1350200,65.61
2010-10-14,65.43,65.95,64.29,65.05,1629000,65.05
2010-10-13,65.29,65.81,65.09,65.45,1333400,65.45
2010-10-12,64.57,65.16,63.74,64.96,1729900,64.96
2010-10-11,64.54,66.27,64.30,65.16,1652200,65.16
2010-10-08,63.48,64.64,62.88,64.40,2046900,64.40
2010-10-07,63.35,63.44,62.28,63.33,2307300,63.33
2010-10-06,62.60,63.15,62.00,62.81,1595600,62.81
2010-10-05,61.92,63.05,61.53,62.91,1960800,62.91
2010-10-04,62.10,62.54,60.56,61.01,2068500,61.01
2010-10-01,62.56,62.65,61.60,62.14,1975100,62.14
2010-09-30,61.71,62.38,60.97,61.92,2669800,61.92
2010-09-29,61.33,61.70,60.53,61.26,1746700,61.26
2010-09-28,60.54,61.74,59.76,61.54,2436200,61.54
2010-09-27,60.84,60.87,60.01,60.31,1312800,60.31
2010-09-24,60.03,60.92,59.67,60.92,1930600,60.92
2010-09-23,59.23,59.75,58.58,59.29,1379600,59.29
2010-09-22,60.06,60.86,59.73,59.87,1797600,59.87
2010-09-21,60.71,60.74,59.22,60.22,1799300,60.22
2010-09-20,59.27,61.14,58.97,60.74,2197200,60.74
2010-09-17,58.87,59.30,58.30,59.03,1342000,59.03
2010-09-16,58.99,59.30,58.43,58.80,1500700,58.80
2010-09-15,58.80,59.63,58.65,59.50,1377100,59.50
2010-09-14,59.33,59.87,59.00,59.26,2456100,59.26
2010-09-13,59.14,59.70,58.90,59.49,1822200,59.49
2010-09-10,57.53,58.60,57.48,58.38,1545900,58.38
2010-09-09,57.85,58.00,56.84,57.18,995200,57.18
2010-09-08,57.23,57.48,56.77,57.02,1233300,57.02
2010-09-07,57.07,57.57,56.63,57.09,1301000,57.09
2010-09-03,57.36,57.95,57.03,57.65,1033000,57.65
