Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,26.93,27.12,26.29,26.46,1597500,26.46
2010-11-04,26.14,26.84,26.12,26.83,979800,26.83
2010-11-03,25.93,25.93,25.35,25.84,994200,25.84
2010-11-02,25.92,26.20,25.74,25.78,742100,25.78
2010-11-01,25.99,26.21,25.43,25.61,822800,25.61
2010-10-29,25.60,25.93,25.52,25.73,1041100,25.73
2010-10-28,25.97,26.02,25.27,25.63,1175800,25.63
2010-10-27,26.82,26.82,25.41,25.77,2394700,25.77
2010-10-26,25.42,25.66,25.13,25.25,1149700,25.25
2010-10-25,25.45,25.78,25.41,25.55,1122900,25.55
2010-10-22,25.16,25.30,25.05,25.14,550700,25.14
2010-10-21,25.49,25.60,24.96,25.14,844600,25.14
2010-10-20,25.00,25.55,24.92,25.33,702400,25.33
2010-10-19,25.22,25.28,24.71,24.87,1152000,24.87
2010-10-18,25.33,25.65,25.22,25.60,2198400,25.60
2010-10-15,25.22,25.55,24.82,25.29,1206500,25.29
2010-10-14,25.16,25.21,24.62,24.86,911900,24.86
2010-10-13,24.98,25.54,24.87,25.19,855700,25.19
2010-10-12,24.71,24.87,24.38,24.84,852000,24.84
2010-10-11,24.79,24.85,24.57,24.72,435900,24.72
2010-10-08,24.60,24.94,24.48,24.81,1148500,24.81
2010-10-07,25.00,25.00,24.42,24.53,774900,24.53
2010-10-06,24.61,24.83,24.54,24.83,889400,24.83
2010-10-05,24.16,24.74,24.09,24.54,1455500,24.54
2010-10-04,24.48,24.63,23.74,23.82,1322300,23.82
2010-10-01,24.65,24.99,24.53,24.58,1410700,24.58
2010-09-30,24.64,24.75,24.10,24.38,1566900,24.38
2010-09-29,24.53,24.74,24.32,24.43,1094500,24.43
2010-09-28,24.63,24.71,24.00,24.67,970800,24.67
2010-09-27,24.76,24.77,24.42,24.49,695100,24.49
2010-09-24,24.16,24.89,24.16,24.70,1070400,24.70
2010-09-23,23.85,23.99,23.52,23.59,696600,23.59
2010-09-22,24.28,24.61,23.99,24.02,945400,24.02
2010-09-21,24.25,24.45,24.08,24.28,1680000,24.28
2010-09-20,24.22,24.23,23.49,24.21,1216300,24.21
2010-09-17,24.19,24.39,23.91,24.20,1162000,24.20
2010-09-16,23.75,24.02,23.70,23.99,1003100,23.99
2010-09-15,23.69,23.87,23.57,23.77,1367800,23.77
2010-09-14,23.90,24.14,23.69,23.86,916000,23.86
2010-09-13,23.80,23.98,23.75,23.92,1078400,23.92
2010-09-10,23.45,23.68,23.34,23.66,1278300,23.66
2010-09-09,23.49,23.64,23.24,23.46,1228000,23.46
2010-09-08,23.09,23.43,23.06,23.34,1211500,23.34
2010-09-07,23.12,23.34,22.98,23.06,1150900,23.06
2010-09-03,23.39,23.66,23.07,23.34,1197400,23.34
2010-09-02,22.80,23.23,22.70,23.16,1407100,23.16
2010-09-01,22.08,22.73,22.08,22.64,1613300,22.64
2010-08-31,21.42,22.03,21.39,21.76,1499200,21.76
2010-08-30,21.69,21.82,21.49,21.58,1346800,21.58
2010-08-27,21.67,21.85,21.13,21.83,2246200,21.83
2010-08-26,21.58,21.90,21.49,21.49,1844700,21.49
2010-08-25,21.07,21.58,20.81,21.48,1855400,21.48
2010-08-24,21.13,21.35,20.91,21.17,2235800,21.17
2010-08-23,22.02,22.10,21.26,21.30,1084000,21.30
2010-08-20,21.55,21.93,21.50,21.79,1423000,21.79
2010-08-19,21.93,22.05,21.31,21.48,934600,21.48
