Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,85.12,85.68,84.56,85.63,1380200,85.63
2010-11-04,84.19,85.41,83.79,85.16,1672900,85.16
2010-11-03,82.88,83.48,81.48,83.48,1554000,83.30
2010-11-02,81.65,82.68,81.23,82.39,939200,82.21
2010-11-01,82.12,82.47,80.28,80.80,1841600,80.63
2010-10-29,79.37,81.72,79.37,81.48,1776000,81.30
2010-10-28,79.49,81.15,78.00,79.60,3352200,79.43
2010-10-27,77.31,77.73,76.43,77.30,1200000,77.13
2010-10-26,77.96,78.15,77.31,78.03,786700,77.86
2010-10-25,78.76,79.37,78.16,78.33,1080200,78.16
2010-10-22,77.26,78.24,76.86,78.24,1214800,78.07
2010-10-21,76.81,78.01,76.55,77.00,1853500,76.83
2010-10-20,76.98,77.49,76.47,76.66,2285400,76.49
2010-10-19,77.40,77.89,76.36,76.89,1709400,76.72
2010-10-18,78.16,79.06,77.53,78.63,2166100,78.46
2010-10-15,77.87,78.70,77.26,78.00,2129800,77.83
2010-10-14,77.88,78.46,76.73,77.45,1107400,77.28
2010-10-13,77.45,78.28,77.26,77.94,1702100,77.77
2010-10-12,77.15,77.26,76.06,76.85,1254200,76.68
2010-10-11,77.47,78.38,77.17,77.54,1013200,77.37
2010-10-08,76.65,77.82,75.52,77.52,1274100,77.35
2010-10-07,77.23,77.49,76.10,76.46,958800,76.30
2010-10-06,76.87,77.44,76.58,76.74,1329900,76.57
2010-10-05,76.67,77.41,76.28,77.20,1662600,77.03
2010-10-04,75.80,76.59,75.27,75.74,1378700,75.58
2010-10-01,75.96,76.17,75.07,75.76,1332100,75.60
2010-09-30,76.04,76.56,73.91,75.09,1191200,74.93
2010-09-29,75.01,75.86,74.57,75.52,1035100,75.36
2010-09-28,75.52,75.52,73.64,75.21,755600,75.05
2010-09-27,75.54,75.80,74.97,74.97,702800,74.81
2010-09-24,74.61,75.80,74.39,75.45,1032900,75.29
2010-09-23,73.39,74.24,72.74,73.67,1098600,73.51
2010-09-22,75.22,75.99,74.12,74.26,1181400,74.10
2010-09-21,75.14,75.44,74.35,75.01,1274500,74.85
2010-09-20,73.97,75.27,73.72,75.02,1209300,74.86
2010-09-17,75.05,75.34,73.77,74.06,2998600,73.90
2010-09-16,76.81,76.85,75.25,75.60,2172600,75.44
2010-09-15,76.49,77.13,75.98,77.00,1481100,76.83
2010-09-14,76.66,77.63,76.43,77.09,1715400,76.92
2010-09-13,75.64,77.09,75.52,76.89,1626400,76.72
2010-09-10,74.86,75.50,74.38,75.18,1192600,75.02
2010-09-09,74.49,74.70,73.37,74.23,1810900,74.07
2010-09-08,73.32,73.94,72.93,73.19,1088000,73.03
2010-09-07,74.06,74.34,72.86,73.08,2115500,72.92
2010-09-03,72.67,74.50,72.67,74.39,1642300,74.23
2010-09-02,71.23,72.76,70.80,72.67,1803400,72.51
2010-09-01,71.30,71.61,70.50,71.18,2468700,71.03
2010-08-31,68.37,70.85,67.59,69.78,3163100,69.63
2010-08-30,68.62,70.64,68.32,68.56,3269100,68.41
2010-08-27,65.01,67.36,63.89,67.24,1606100,67.10
2010-08-26,65.55,65.55,64.03,64.54,2838500,64.40
2010-08-25,65.15,65.33,63.80,65.04,1219500,64.90
2010-08-24,65.98,66.33,65.27,65.49,1268100,65.35
2010-08-23,67.33,68.22,67.33,67.37,955400,67.22
2010-08-20,67.42,67.92,66.60,67.10,1042700,66.96
2010-08-19,68.59,68.64,67.57,67.99,1203400,67.84
2010-08-18,69.41,69.53,68.16,68.92,1422500,68.77
2010-08-17,67.47,70.13,67.19,69.60,2171900,69.45
2010-08-16,66.83,67.35,66.10,66.73,1695000,66.59
2010-08-13,66.07,67.51,65.96,67.15,1235300,67.01
2010-08-12,65.92,67.01,65.80,66.48,984000,66.34
2010-08-11,67.73,68.19,66.58,67.02,1581600,66.88
2010-08-10,68.85,69.24,68.15,69.00,1592000,68.85
2010-08-09,69.48,69.75,68.61,69.60,1268100,69.45
2010-08-06,68.73,69.62,67.98,69.00,1506800,68.85
2010-08-05,68.13,69.73,67.89,69.60,1408400,69.45
2010-08-04,68.93,69.48,68.26,68.89,1393900,68.56
2010-08-03,68.98,69.97,68.70,69.01,2297900,68.68
2010-08-02,68.11,69.12,67.39,68.94,1393900,68.61
2010-07-30,67.56,68.64,66.55,67.06,2270400,66.74
2010-07-29,69.20,69.84,67.36,68.15,1769200,67.83
