Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,54.73,55.04,54.36,54.73,1331200,54.73
2010-11-04,55.10,55.13,54.61,55.01,1552600,55.01
2010-11-03,54.57,54.82,54.05,54.63,1557500,54.63
2010-11-02,54.19,54.48,53.98,54.40,1237200,54.40
2010-11-01,55.23,55.23,53.34,53.92,2657600,53.92
2010-10-29,54.24,55.10,53.00,55.04,4266000,55.04
2010-10-28,55.00,55.36,54.58,55.05,2114600,55.05
2010-10-27,54.97,54.97,54.06,54.70,2395800,54.70
2010-10-26,54.72,55.25,54.54,55.24,2025800,55.24
2010-10-25,55.81,55.83,54.80,54.85,1859700,54.85
2010-10-22,55.70,55.83,55.18,55.45,1528900,55.45
2010-10-21,56.17,56.26,55.28,55.59,1850500,55.59
2010-10-20,55.74,56.22,55.33,56.03,1469300,56.03
2010-10-19,55.42,55.80,55.32,55.51,1752000,55.51
2010-10-18,55.32,55.85,55.16,55.82,1003700,55.82
2010-10-15,55.67,55.67,54.96,55.32,2014600,55.32
2010-10-14,55.47,55.55,55.08,55.34,2093700,55.34
2010-10-13,55.51,55.70,55.37,55.47,2475100,55.47
2010-10-12,54.92,55.35,54.60,55.24,2298700,55.24
2010-10-11,54.82,55.03,54.52,54.99,716400,54.99
2010-10-08,55.06,55.06,54.72,54.92,1110500,54.92
2010-10-07,54.83,55.04,54.75,54.90,1307900,54.90
2010-10-06,54.08,54.90,54.08,54.78,2662900,54.78
2010-10-05,54.19,54.55,53.99,54.40,2461600,54.40
2010-10-04,54.41,54.58,53.73,53.99,1881900,53.99
2010-10-01,54.08,54.51,53.94,54.41,2235500,54.41
2010-09-30,55.14,55.44,54.33,54.39,1920800,54.39
2010-09-29,54.75,54.85,54.23,54.67,1138500,54.67
2010-09-28,54.87,55.08,54.30,55.01,1303300,55.01
2010-09-27,54.60,54.90,54.41,54.67,1205800,54.67
2010-09-24,54.19,55.04,53.95,54.50,2054400,54.50
2010-09-23,54.04,54.19,53.50,53.55,1261600,53.55
2010-09-22,54.22,54.56,54.01,54.31,1881800,54.31
2010-09-21,54.36,54.74,53.93,54.09,1689100,54.09
2010-09-20,53.92,54.51,53.61,54.50,1229400,54.50
2010-09-17,54.10,54.12,53.65,53.76,1754900,53.76
2010-09-16,53.96,53.96,53.45,53.87,1988800,53.87
2010-09-15,53.80,54.10,53.37,53.75,4952600,53.75
2010-09-14,54.94,55.50,54.91,55.02,1165500,55.02
2010-09-13,55.57,55.98,55.25,55.45,2290200,55.45
2010-09-10,54.87,55.20,54.34,55.16,2015700,55.16
2010-09-09,54.71,54.91,54.54,54.61,2048300,54.61
2010-09-08,54.45,54.66,53.75,54.27,1859800,54.27
