Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,17.57,17.64,17.48,17.63,2026900,17.63
2010-11-04,17.44,17.59,17.35,17.52,1680500,17.52
2010-11-03,17.43,17.46,17.16,17.29,1423500,17.29
2010-11-02,17.31,17.46,17.31,17.37,1676400,17.37
2010-11-01,17.47,17.47,17.04,17.17,1875500,17.17
2010-10-29,17.37,17.37,17.17,17.31,2296100,17.31
2010-10-28,17.44,17.56,17.29,17.45,2860500,17.45
2010-10-27,17.30,17.38,17.15,17.31,2737900,17.31
2010-10-26,17.68,17.68,17.51,17.55,2358300,17.32
2010-10-25,17.73,17.92,17.69,17.71,5333400,17.48
2010-10-22,17.72,17.78,17.53,17.71,6804700,17.48
2010-10-21,17.91,17.96,17.63,17.69,5810300,17.46
2010-10-20,17.81,17.95,17.76,17.85,2152100,17.62
2010-10-19,17.70,17.93,17.64,17.73,2868200,17.50
2010-10-18,17.81,17.95,17.77,17.90,4310400,17.67
2010-10-15,17.91,17.93,17.66,17.78,2409800,17.55
2010-10-14,17.71,17.85,17.71,17.82,1984300,17.59
2010-10-13,17.76,17.85,17.59,17.70,2437800,17.47
2010-10-12,17.73,17.79,17.57,17.71,1424700,17.48
2010-10-11,17.75,17.85,17.70,17.77,997800,17.54
2010-10-08,17.67,17.78,17.56,17.75,1233600,17.52
2010-10-07,17.64,17.67,17.44,17.62,1933400,17.39
2010-10-06,17.70,17.73,17.43,17.55,2818700,17.32
2010-10-05,17.75,17.80,17.64,17.71,2942500,17.48
2010-10-04,17.51,17.72,17.41,17.59,3053100,17.36
2010-10-01,17.55,17.68,17.43,17.58,2253700,17.35
2010-09-30,17.60,17.64,17.28,17.40,3377200,17.17
2010-09-29,17.44,17.54,17.32,17.46,1829200,17.23
2010-09-28,17.43,17.50,17.20,17.49,2643600,17.26
2010-09-27,17.28,17.53,17.22,17.43,1825900,17.20
2010-09-24,17.22,17.35,17.14,17.34,2554600,17.11
2010-09-23,17.13,17.24,17.02,17.07,2721800,16.85
2010-09-22,17.08,17.35,17.06,17.23,2666000,17.00
2010-09-21,17.22,17.26,17.06,17.10,3296500,16.88
2010-09-20,16.94,17.27,16.86,17.26,2708500,17.03
2010-09-17,16.97,16.98,16.76,16.93,2590100,16.71
2010-09-16,16.95,17.02,16.77,16.87,2208100,16.65
2010-09-15,17.03,17.06,16.86,16.97,2045000,16.75
2010-09-14,17.17,17.23,17.03,17.05,2654000,16.83
2010-09-13,17.14,17.18,17.01,17.17,2787000,16.94
2010-09-10,17.00,17.09,16.90,17.04,3319200,16.82
2010-09-09,17.09,17.23,16.92,17.01,17229900,16.79
2010-09-08,17.32,17.38,16.90,16.93,7598800,16.71
2010-09-07,17.57,17.82,17.51,17.61,2670400,17.38
2010-09-03,17.73,17.91,17.72,17.91,2163200,17.68
2010-09-02,17.75,17.75,17.53,17.67,1828600,17.44
2010-09-01,17.52,17.75,17.47,17.70,6642900,17.47
2010-08-31,17.11,17.50,17.11,17.36,3388800,17.13
2010-08-30,17.45,17.53,17.34,17.34,3020800,17.11
2010-08-27,17.20,17.54,17.08,17.47,5129900,17.24
2010-08-26,16.92,17.16,16.92,17.11,5112000,16.89
2010-08-25,16.59,16.99,16.59,16.90,4306300,16.68
2010-08-24,16.41,16.79,16.35,16.68,3628800,16.46
2010-08-23,16.60,16.75,16.50,16.56,5499000,16.34
2010-08-20,16.52,16.58,16.34,16.50,1888800,16.28
2010-08-19,16.93,16.95,16.57,16.66,1958900,16.44
2010-08-18,16.87,17.04,16.75,16.96,3863900,16.74
2010-08-17,16.70,17.02,16.67,16.88,2218700,16.66
2010-08-16,16.49,16.58,16.34,16.57,1484400,16.35
2010-08-13,16.44,16.68,16.35,16.57,1706300,16.35
2010-08-12,16.39,16.56,16.32,16.50,1792600,16.28
2010-08-11,16.89,16.90,16.55,16.55,2400300,16.33
2010-08-10,16.88,17.15,16.80,17.12,3223100,16.90
2010-08-09,16.83,17.02,16.80,17.00,2215300,16.78
2010-08-06,16.68,16.81,16.46,16.80,2177600,16.58
2010-08-05,16.67,16.83,16.54,16.83,2234400,16.61
2010-08-04,16.55,16.73,16.43,16.72,2187900,16.50
2010-08-03,16.75,16.75,16.50,16.58,2365000,16.36
2010-08-02,16.74,16.83,16.56,16.72,2872800,16.50
2010-07-30,16.45,16.60,16.31,16.50,2730000,16.28
2010-07-29,16.75,16.90,16.41,16.53,2756600,16.31
2010-07-28,16.78,16.83,16.60,16.67,2392100,16.45
2010-07-27,16.78,16.98,16.70,16.97,2761600,16.52
2010-07-26,16.49,16.74,16.39,16.69,2928700,16.25
2010-07-23,16.29,16.50,16.15,16.49,1730200,16.05
2010-07-22,15.98,16.37,15.90,16.32,3175400,15.89
2010-07-21,16.12,16.12,15.71,15.83,3972500,15.41
2010-07-20,15.78,16.09,15.65,16.08,3112700,15.65
2010-07-19,15.64,15.99,15.64,15.93,3056000,15.51
2010-07-16,15.95,15.98,15.56,15.61,4128000,15.20
2010-07-15,15.86,16.10,15.70,16.02,8095100,15.60
2010-07-14,15.80,15.92,15.71,15.90,2669200,15.48
2010-07-13,15.98,16.00,15.80,15.86,2176800,15.44
2010-07-12,15.77,15.98,15.71,15.81,2628600,15.39
2010-07-09,15.65,15.85,15.57,15.84,2553300,15.42
2010-07-08,15.53,15.72,15.46,15.65,2916900,15.24
2010-07-07,14.95,15.51,14.90,15.50,3685300,15.09
2010-07-06,14.84,15.02,14.75,14.95,5502700,14.55
2010-07-02,14.60,14.79,14.46,14.69,3291400,14.30
2010-07-01,14.45,14.51,14.19,14.37,3228100,13.99
2010-06-30,14.63,14.82,14.45,14.50,3051200,14.12
2010-06-29,14.83,14.84,14.51,14.62,3270100,14.23
2010-06-28,14.90,15.05,14.78,14.98,1341500,14.58
2010-06-25,14.87,14.93,14.63,14.91,2236000,14.52
2010-06-24,14.91,15.05,14.80,14.82,2025300,14.43
2010-06-23,15.06,15.10,14.89,14.96,2371700,14.56
2010-06-22,15.53,15.57,15.04,15.08,2421900,14.68
2010-06-21,15.71,15.76,15.41,15.48,1821300,15.07
2010-06-18,15.58,15.58,15.43,15.54,1556500,15.13
2010-06-17,15.43,15.55,15.26,15.54,1892800,15.13
2010-06-16,15.21,15.42,15.18,15.36,1920600,14.95
2010-06-15,15.14,15.34,15.08,15.34,2333700,14.93
2010-06-14,15.14,15.18,15.01,15.03,2199200,14.63
2010-06-11,14.82,15.06,14.69,15.06,2584100,14.66
2010-06-10,14.64,14.97,14.61,14.96,2528200,14.56
2010-06-09,14.73,14.75,14.39,14.45,3390800,14.07
2010-06-08,14.49,14.68,14.32,14.66,4153300,14.27
2010-06-07,14.39,14.67,14.31,14.44,3707400,14.06
2010-06-04,14.79,14.79,14.30,14.35,3434300,13.97
2010-06-03,14.91,15.01,14.84,14.96,2386300,14.56
2010-06-02,14.63,14.91,14.58,14.91,2982300,14.52
2010-06-01,14.79,14.99,14.56,14.56,2826900,14.17
2010-05-28,14.95,15.13,14.92,14.96,2251800,14.56
2010-05-27,14.78,14.97,14.70,14.92,2597900,14.52
2010-05-26,14.49,14.81,14.33,14.55,4979100,14.16
2010-05-25,14.40,14.44,14.13,14.36,6006000,13.98
2010-05-24,14.83,15.07,14.65,14.74,2983500,14.35
2010-05-21,14.64,14.86,14.55,14.86,3105900,14.47
2010-05-20,15.02,15.19,14.78,14.80,3752100,14.41
2010-05-19,15.66,15.66,15.24,15.36,4510800,14.95
2010-05-18,15.94,16.08,15.57,15.65,3552600,15.24
2010-05-17,15.87,15.97,15.53,15.85,2250100,15.43
2010-05-14,15.92,15.96,15.67,15.80,2499200,15.38
2010-05-13,16.07,16.22,15.94,16.00,1912300,15.58
2010-05-12,15.88,16.19,15.80,16.11,2230200,15.68
2010-05-11,15.72,16.13,15.61,15.89,3408000,15.47
2010-05-10,15.88,16.12,15.65,15.84,4310000,15.42
2010-05-07,15.61,15.77,15.17,15.36,5498800,14.95
2010-05-06,16.12,16.16,14.46,15.58,5823500,15.17
2010-05-05,16.48,16.63,16.11,16.20,4260300,15.77
2010-05-04,16.46,16.73,16.41,16.60,3224400,16.16
2010-05-03,16.35,16.72,16.30,16.67,2875600,16.23
2010-04-30,16.30,16.60,16.30,16.30,2741200,15.87
2010-04-29,16.22,16.53,16.19,16.34,3207900,15.91
2010-04-28,16.11,16.28,15.99,16.17,3183900,15.74
2010-04-27,16.55,16.60,16.23,16.27,2717400,15.62
2010-04-26,16.74,16.80,16.59,16.60,1867100,15.93
2010-04-23,16.38,16.71,16.35,16.71,2104800,16.04
2010-04-22,16.33,16.45,16.21,16.41,1997200,15.75
2010-04-21,16.46,16.54,16.39,16.41,2745200,15.75
2010-04-20,16.48,16.56,16.38,16.46,2576900,15.80
2010-04-19,16.27,16.41,16.18,16.39,3595500,15.73
2010-04-16,16.33,16.46,16.25,16.32,3365700,15.66
2010-04-15,16.25,16.39,16.24,16.33,1370300,15.67
2010-04-14,16.27,16.37,16.19,16.35,2791000,15.69
2010-04-13,16.26,16.31,16.12,16.24,869800,15.59
2010-04-12,16.28,16.37,16.26,16.28,873800,15.62
2010-04-09,16.24,16.25,16.12,16.25,5631800,15.60
2010-04-08,16.28,16.29,16.12,16.20,1431500,15.55
2010-04-07,16.47,16.55,16.17,16.33,1999400,15.67
2010-04-06,16.22,16.48,16.19,16.45,1158800,15.79
2010-04-05,16.17,16.33,16.17,16.29,1690800,15.63
2010-04-01,15.86,16.17,15.86,16.16,1927000,15.51
2010-03-31,15.97,16.01,15.80,15.80,1890300,15.16
2010-03-30,15.99,16.03,15.93,15.99,1089800,15.35
2010-03-29,15.82,16.00,15.77,15.97,1357000,15.33
2010-03-26,15.66,15.92,15.65,15.78,5522700,15.14
2010-03-25,15.74,15.82,15.61,15.61,1254100,14.98
2010-03-24,15.78,15.85,15.67,15.70,1509700,15.07
2010-03-23,15.70,15.89,15.63,15.86,1504100,15.22
2010-03-22,15.64,15.72,15.57,15.70,1169600,15.07
2010-03-19,15.75,15.88,15.55,15.73,2457700,15.10
2010-03-18,15.81,15.82,15.66,15.76,1410700,15.13
2010-03-17,15.70,15.89,15.66,15.83,1607000,15.19
2010-03-16,15.50,15.68,15.45,15.68,1626700,15.05
2010-03-15,15.51,15.51,15.37,15.51,1321500,14.89
2010-03-12,15.64,15.67,15.43,15.49,1531600,14.87
2010-03-11,15.48,15.58,15.38,15.57,1442300,14.94
2010-03-10,15.47,15.55,15.38,15.55,1678000,14.92
2010-03-09,15.47,15.47,15.32,15.43,1243800,14.81
2010-03-08,15.35,15.45,15.34,15.44,1119300,14.82
2010-03-05,15.20,15.38,15.13,15.38,1450900,14.76
2010-03-04,15.20,15.24,15.00,15.14,1979300,14.53
2010-03-03,15.14,15.23,15.06,15.15,1762700,14.54
2010-03-02,15.21,15.27,14.86,15.14,2513800,14.53
2010-03-01,15.09,15.23,15.05,15.17,2046700,14.56
2010-02-26,15.03,15.17,14.94,15.02,9091500,14.42
2010-02-25,14.82,15.01,14.74,14.99,1804900,14.39
2010-02-24,15.04,15.11,14.82,15.01,2928200,14.41
2010-02-23,15.20,15.24,15.00,15.04,2412300,14.43
2010-02-22,15.25,15.29,15.15,15.21,2565500,14.60
2010-02-19,14.94,15.21,14.87,15.16,2462500,14.55
2010-02-18,14.92,15.13,14.91,15.00,3284000,14.40
2010-02-17,15.08,15.08,14.95,14.97,2057600,14.37
2010-02-16,14.81,15.01,14.73,15.01,3115000,14.41
2010-02-12,14.68,14.69,14.46,14.64,3789300,14.05
2010-02-11,14.60,14.81,14.50,14.79,2901600,14.19
2010-02-10,14.84,14.86,14.62,14.72,2394700,14.13
2010-02-09,14.71,15.01,14.66,14.81,3503800,14.21
2010-02-08,14.64,14.76,14.56,14.58,2253600,13.99
2010-02-05,14.71,14.76,14.43,14.68,2835400,14.09
2010-02-04,15.00,15.02,14.73,14.73,2412600,14.14
2010-02-03,14.99,15.20,14.99,15.11,2422200,14.50
2010-02-02,14.83,15.18,14.71,15.17,3443200,14.56
2010-02-01,14.32,14.99,14.25,14.85,5688400,14.25
2010-01-29,14.39,14.50,14.25,14.25,3474500,13.68
2010-01-28,14.48,14.56,14.24,14.31,3870800,13.73
2010-01-27,14.62,14.66,14.30,14.45,3532900,13.87
2010-01-26,14.68,14.88,14.59,14.81,2434200,13.99
2010-01-25,14.71,14.82,14.51,14.67,2987600,13.86
2010-01-22,14.86,15.00,14.56,14.58,4671000,13.78
2010-01-21,15.27,15.44,14.74,14.87,8910500,14.05
2010-01-20,15.43,15.46,15.27,15.46,1503400,14.61
2010-01-19,15.32,15.52,15.22,15.52,1159200,14.66
2010-01-15,15.43,15.48,15.11,15.29,2059000,14.45
2010-01-14,15.51,15.57,15.45,15.52,1279100,14.66
2010-01-13,15.38,15.52,15.23,15.50,2582600,14.65
2010-01-12,15.17,15.42,15.10,15.26,2560300,14.42
2010-01-11,15.04,15.24,14.95,15.21,3124600,14.37
2010-01-08,15.00,15.13,14.87,15.02,6184400,14.19
2010-01-07,15.25,15.30,15.01,15.10,2910500,14.27
2010-01-06,15.48,15.52,15.20,15.29,2900900,14.45
2010-01-05,15.55,15.63,15.32,15.47,3451600,14.62
2010-01-04,15.56,15.69,15.43,15.51,2713400,14.65
2009-12-31,15.72,15.72,15.38,15.38,1562500,14.53
2009-12-30,15.56,15.68,15.52,15.64,1154700,14.78
2009-12-29,15.61,15.73,15.60,15.66,903500,14.80
2009-12-28,15.65,15.72,15.55,15.64,1483600,14.78
2009-12-24,15.74,15.79,15.58,15.64,773300,14.78
2009-12-23,15.66,15.75,15.58,15.61,1191400,14.75
2009-12-22,15.73,15.82,15.57,15.65,1623000,14.79
2009-12-21,15.55,15.79,15.55,15.71,1737600,14.84
2009-12-18,15.50,15.70,15.42,15.46,3212900,14.61
2009-12-17,15.46,15.55,15.32,15.43,4467200,14.58
2009-12-16,15.53,15.66,15.48,15.53,2313000,14.67
2009-12-15,15.53,15.58,15.32,15.52,2118500,14.66
2009-12-14,15.55,15.63,15.44,15.55,1739800,14.69
