Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,83.24,84.11,83.24,84.11,2259800,84.11
2010-11-04,82.72,83.49,82.40,83.41,2469000,83.41
2010-11-03,81.73,82.17,80.96,81.83,1757200,81.83
2010-11-02,81.80,82.24,81.51,81.75,1779500,81.75
2010-11-01,81.88,82.00,80.59,81.10,1896000,81.10
2010-10-29,80.94,81.49,80.65,81.44,2013000,81.44
2010-10-28,81.31,81.70,80.57,81.11,1626500,81.11
2010-10-27,81.24,81.35,80.27,81.03,2242600,81.03
2010-10-26,81.64,82.22,81.26,81.82,2572500,81.82
2010-10-25,82.57,83.03,82.01,82.05,2220800,82.05
2010-10-22,82.11,82.53,81.71,81.92,1060200,81.92
2010-10-21,81.62,82.84,81.49,82.11,2897900,82.11
2010-10-20,81.04,81.67,80.85,81.24,1883400,81.24
2010-10-19,80.46,81.55,80.08,80.73,2704200,80.73
2010-10-18,82.00,82.12,81.50,81.66,1574500,81.66
2010-10-15,82.26,82.46,81.62,82.00,2069300,82.00
2010-10-14,81.72,82.27,81.34,81.77,2352600,81.77
2010-10-13,82.38,82.75,81.50,82.02,2622800,82.02
2010-10-12,83.00,83.40,81.80,81.89,5624400,81.89
2010-10-11,81.62,82.30,81.50,81.98,2475800,81.98
2010-10-08,80.94,82.60,80.90,82.04,4759500,82.04
2010-10-07,81.27,81.32,80.31,80.99,3046000,80.99
2010-10-06,81.03,81.31,80.82,81.31,2400900,81.31
2010-10-05,80.60,81.47,80.27,81.30,3367800,81.30
2010-10-04,79.92,80.26,79.04,79.88,2588400,79.88
2010-10-01,80.96,80.96,79.83,80.25,3541900,80.25
2010-09-30,80.01,80.80,79.51,80.14,3373200,80.14
2010-09-29,80.27,80.41,79.23,79.93,3643400,79.93
2010-09-28,79.07,80.82,78.57,80.64,5426900,80.64
2010-09-27,79.42,79.50,78.15,79.11,4693900,79.11
2010-09-24,81.35,81.70,79.48,79.57,8345600,79.57
2010-09-23,76.90,78.12,76.59,77.67,4421800,77.67
2010-09-22,77.47,77.99,76.70,77.31,2622300,77.31
2010-09-21,77.93,78.07,77.22,77.69,3317800,77.69
2010-09-20,77.30,79.04,77.29,78.37,3774900,78.37
2010-09-17,76.93,77.54,76.48,77.26,3036700,77.26
2010-09-16,76.30,76.87,75.92,76.64,2173300,76.64
2010-09-15,75.15,76.71,74.93,76.56,3953000,76.56
2010-09-14,74.47,75.88,74.37,75.27,2498900,75.27
2010-09-13,74.41,75.28,74.38,74.68,2464400,74.68
2010-09-10,74.15,74.85,73.67,73.75,2039900,73.75
2010-09-09,74.83,75.02,73.60,73.92,1751300,73.92
2010-09-08,74.24,74.71,73.90,74.14,2299600,74.14
2010-09-07,73.78,74.47,73.75,74.02,2025100,74.02
2010-09-03,73.74,74.44,73.25,74.25,3069600,74.25
2010-09-02,72.08,73.07,71.77,72.96,2408100,72.96
2010-09-01,71.13,72.22,70.82,72.13,3434200,71.86
2010-08-31,70.01,70.76,69.58,70.00,2985500,69.74
2010-08-30,70.72,71.40,69.96,70.36,2519200,70.10
2010-08-27,70.73,71.16,69.70,70.94,2656300,70.67
2010-08-26,70.65,71.72,70.34,70.39,3401200,70.13
2010-08-25,69.45,70.36,68.32,70.13,3149200,69.87
2010-08-24,70.03,70.73,69.41,70.05,2653600,69.79
2010-08-23,71.63,72.39,70.95,70.95,1964100,70.68
2010-08-20,70.73,71.41,70.49,71.26,1788000,70.99
2010-08-19,71.81,72.01,70.56,71.34,2470300,71.07
2010-08-18,71.69,72.71,70.94,72.24,2195600,71.97
2010-08-17,71.75,72.71,71.47,71.71,2531000,71.44
2010-08-16,70.11,71.47,69.77,71.06,2381500,70.79
2010-08-13,71.41,71.48,70.48,70.58,2198700,70.32
2010-08-12,70.99,71.79,70.70,71.52,2438100,71.25
2010-08-11,72.77,72.78,71.48,72.08,3035500,71.81
2010-08-10,73.42,74.39,72.80,73.91,2346700,73.63
2010-08-09,74.14,75.00,73.88,74.12,1973500,73.84
2010-08-06,73.42,74.09,72.78,73.96,1924800,73.68
2010-08-05,73.45,74.36,73.30,74.06,2016500,73.78
2010-08-04,73.18,74.37,73.13,74.00,3039500,73.72
2010-08-03,74.20,74.20,72.85,73.10,3181000,72.83
2010-08-02,74.39,74.97,73.94,74.32,2560100,74.04
2010-07-30,73.01,73.95,72.64,73.64,2175800,73.36
2010-07-29,73.65,74.11,72.68,73.53,2415800,73.25
2010-07-28,73.64,74.02,72.87,73.11,2105900,72.84
2010-07-27,73.70,73.85,72.84,73.68,2603200,73.40
2010-07-26,72.71,73.95,72.48,73.22,2623000,72.95
2010-07-23,71.50,73.16,71.16,72.74,2880100,72.47
2010-07-22,70.39,72.12,70.36,71.56,3382100,71.29
2010-07-21,70.13,71.07,69.31,69.65,3946900,69.39
2010-07-20,67.90,70.00,67.62,69.84,3701100,69.58
2010-07-19,69.14,69.47,68.19,68.61,2395100,68.35
2010-07-16,70.35,70.66,68.69,68.96,3426000,68.70
2010-07-15,70.34,70.80,69.35,70.65,3525700,70.39
2010-07-14,70.16,70.60,69.47,70.54,2914100,70.28
2010-07-13,70.40,70.92,70.02,70.47,3032500,70.21
2010-07-12,69.97,70.47,69.28,69.81,2222500,69.55
2010-07-09,70.16,70.21,69.52,70.15,2740700,69.89
2010-07-08,69.23,70.48,69.02,70.28,4450500,70.02
2010-07-07,67.47,68.59,67.01,68.56,4293000,68.30
2010-07-06,68.21,69.17,66.34,67.21,4218700,66.96
2010-07-02,68.19,68.94,67.43,67.86,2906800,67.61
2010-07-01,67.89,68.50,66.77,68.07,5120700,67.82
2010-06-30,67.94,69.14,67.30,67.55,4637900,67.30
2010-06-29,69.63,69.67,67.44,68.17,5829000,67.91
2010-06-28,70.50,70.87,69.63,70.50,3180200,70.24
2010-06-25,69.86,70.47,68.90,70.12,4522600,69.86
2010-06-24,70.01,70.67,69.20,69.63,9022200,69.37
2010-06-23,72.66,73.18,71.50,72.52,2910800,72.25
2010-06-22,74.44,75.00,72.17,72.46,2596900,72.19
2010-06-21,75.49,75.92,73.82,74.35,2795600,74.07
2010-06-18,74.80,75.23,74.47,74.94,2798900,74.66
2010-06-17,74.42,74.70,73.63,74.57,2950700,74.29
2010-06-16,73.37,74.50,73.08,73.83,3167800,73.55
2010-06-15,72.29,73.98,72.29,73.98,2174500,73.70
2010-06-14,72.49,72.95,71.91,72.22,2186700,71.95
2010-06-11,71.29,72.64,71.03,72.33,2202200,72.06
2010-06-10,71.19,72.55,71.14,71.75,2957900,71.48
2010-06-09,70.52,71.33,69.67,70.01,3225700,69.75
2010-06-08,69.59,70.43,68.65,70.26,3065900,70.00
2010-06-07,70.54,71.02,69.48,69.59,2756500,69.33
2010-06-04,72.36,72.47,70.16,70.77,3851000,70.51
2010-06-03,73.20,73.86,72.94,73.63,2839300,73.35
2010-06-02,71.31,73.06,71.31,73.00,3165300,72.46
2010-06-01,71.44,72.62,70.70,71.18,3666100,70.65
2010-05-28,73.62,73.86,71.96,72.38,3889300,71.84
2010-05-27,73.28,73.96,72.76,73.90,3686000,73.35
2010-05-26,73.52,73.62,71.92,72.52,4181900,71.98
2010-05-25,70.09,73.00,69.27,72.91,5290500,72.37
2010-05-24,71.17,71.91,70.71,71.34,5670200,70.81
2010-05-21,69.14,71.78,68.14,71.39,4265800,70.86
2010-05-20,70.53,71.59,69.57,70.31,6260500,69.79
2010-05-19,72.54,72.72,71.00,72.25,5869600,71.71
2010-05-18,74.16,75.01,72.70,72.93,4713900,72.39
2010-05-17,73.73,73.85,72.03,73.63,4236200,73.08
2010-05-14,74.63,75.00,73.18,73.74,4753600,73.19
2010-05-13,77.65,77.99,75.35,75.55,5244300,74.99
2010-05-12,76.71,77.98,76.01,77.85,2484600,77.27
2010-05-11,75.80,77.07,75.76,76.43,3438500,75.86
2010-05-10,73.89,76.77,73.74,76.65,6619100,76.08
2010-05-07,71.35,72.44,69.78,70.61,5369900,70.09
2010-05-06,74.55,75.99,66.99,72.30,6582600,71.76
2010-05-05,76.87,77.30,74.70,75.21,4327200,74.65
2010-05-04,78.02,78.55,77.10,77.35,3632700,76.78
2010-05-03,76.01,78.39,75.91,77.77,2107200,77.19
2010-04-30,77.45,77.88,75.89,75.91,2467100,75.35
2010-04-29,77.10,77.69,76.72,77.57,2261200,76.99
2010-04-28,76.94,78.03,76.14,76.44,2694100,75.87
2010-04-27,77.67,78.49,76.61,76.74,2748800,76.17
2010-04-26,77.91,78.47,77.78,78.02,1512700,77.44
2010-04-23,77.82,78.44,77.30,77.90,2537300,77.32
2010-04-22,76.29,78.53,76.21,78.23,3461100,77.65
2010-04-21,76.40,77.14,76.17,76.72,2700200,76.15
2010-04-20,76.02,76.58,75.90,76.36,2396200,75.79
2010-04-19,74.95,75.80,74.25,75.58,2195200,75.02
2010-04-16,75.59,76.00,74.98,75.17,3434700,74.61
2010-04-15,75.57,75.82,74.97,75.64,1750800,75.08
2010-04-14,75.61,75.86,75.00,75.80,1700300,75.24
2010-04-13,75.43,75.93,74.75,75.51,1756400,74.95
2010-04-12,75.29,75.95,75.20,75.53,2216900,74.97
2010-04-09,74.18,75.28,73.65,75.18,3125400,74.62
2010-04-08,73.46,74.28,73.06,73.99,2602700,73.44
