Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,65.22,65.59,65.11,65.34,943200,65.34
2010-11-04,64.73,65.46,64.35,65.27,2000000,65.27
2010-11-03,64.44,64.75,63.48,64.28,1444200,64.28
2010-11-02,64.01,64.68,64.01,64.59,1557700,64.59
2010-11-01,63.36,64.48,63.06,63.51,1568900,63.51
2010-10-29,62.35,63.23,62.21,63.22,1783100,63.22
2010-10-28,62.05,62.60,61.38,62.24,2205100,62.24
2010-10-27,61.41,61.59,60.74,61.38,2470700,61.38
2010-10-26,60.72,61.56,60.36,61.35,2399300,61.35
2010-10-25,62.14,62.23,60.85,60.91,2506900,60.91
2010-10-22,61.75,62.07,61.42,61.90,1158400,61.90
2010-10-21,61.38,62.30,61.30,61.72,1539900,61.72
2010-10-20,60.64,61.39,60.64,61.15,1793000,61.15
2010-10-19,60.79,61.44,60.11,60.43,2576400,60.43
2010-10-18,62.05,62.05,60.93,61.62,2117900,61.62
2010-10-15,62.58,62.84,61.66,61.87,1844200,61.87
2010-10-14,62.20,62.57,61.48,61.83,1635400,61.83
2010-10-13,62.15,62.54,61.78,62.19,1704400,62.19
2010-10-12,61.98,62.12,60.97,61.76,1696400,61.76
2010-10-11,62.25,62.40,61.92,62.01,1150900,62.01
2010-10-08,62.24,62.85,62.04,62.29,1553400,62.29
2010-10-07,62.60,62.67,61.71,62.14,2436000,62.14
2010-10-06,62.14,62.68,61.87,62.08,2507300,62.08
2010-10-05,60.76,62.31,60.76,62.05,2551600,62.05
2010-10-04,60.14,60.70,59.84,60.11,2151700,60.11
2010-10-01,61.25,61.50,60.20,60.33,2823400,60.33
2010-09-30,60.79,61.74,60.06,60.63,2569500,60.63
2010-09-29,60.17,60.66,59.88,60.20,2573400,60.20
2010-09-28,60.34,60.63,59.57,60.52,2281800,60.52
2010-09-27,60.29,60.61,60.20,60.27,2774500,60.27
2010-09-24,59.79,60.61,59.60,60.33,2221100,60.33
2010-09-23,58.66,59.81,58.60,59.05,1847600,59.05
2010-09-22,59.60,60.15,59.06,59.07,1457900,59.07
2010-09-21,59.60,60.07,59.39,59.58,1717600,59.58
2010-09-20,59.06,59.94,58.73,59.75,1941300,59.75
2010-09-17,58.24,59.27,58.00,58.91,2729000,58.91
2010-09-16,57.90,58.14,57.59,57.77,1481100,57.77
2010-09-15,58.19,58.58,57.80,57.99,2026000,57.99
2010-09-14,58.81,58.81,58.20,58.34,1502000,58.34
2010-09-13,59.61,59.97,58.69,58.81,2153800,58.81
2010-09-10,57.25,58.89,57.23,58.73,2490600,58.73
2010-09-09,57.66,57.67,56.76,57.09,1792600,57.09
2010-09-08,56.42,57.03,56.42,56.85,1796100,56.85
2010-09-07,57.24,57.41,56.52,56.54,2039800,56.54
2010-09-03,58.17,58.48,57.31,57.82,2039100,57.82
2010-09-02,56.79,57.68,56.65,57.67,2333200,57.67
2010-09-01,54.90,56.72,54.52,56.57,2559100,56.57
