Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,62.52,63.32,62.09,62.31,2779300,62.31
2010-11-04,62.83,63.64,62.41,62.72,4515100,62.72
2010-11-03,62.34,62.56,61.47,62.13,2118300,62.13
2010-11-02,62.22,62.57,61.59,62.38,2148300,62.02
2010-11-01,61.92,62.88,61.45,61.77,2760900,61.41
2010-10-29,60.76,61.97,60.38,61.49,2862800,61.14
2010-10-28,61.33,61.35,59.51,60.79,4376800,60.44
2010-10-27,61.62,61.67,60.42,61.35,3589700,61.00
2010-10-26,61.67,62.68,61.51,62.20,2163900,61.84
2010-10-25,62.48,63.18,61.94,61.97,1974700,61.61
2010-10-22,61.63,62.14,61.50,62.10,1137600,61.74
2010-10-21,61.74,61.90,60.75,61.56,2277900,61.20
2010-10-20,60.76,62.26,60.70,61.87,2160800,61.51
2010-10-19,60.59,61.25,59.91,60.54,2549300,60.19
2010-10-18,61.70,61.74,61.22,61.49,1503400,61.14
2010-10-15,62.17,62.27,61.05,61.51,2341700,61.16
2010-10-14,62.21,62.21,61.15,61.78,2537100,61.42
2010-10-13,60.65,62.71,60.59,62.21,4924200,61.85
2010-10-12,60.36,60.36,59.06,59.73,3614600,59.39
2010-10-11,60.50,61.15,60.00,60.66,1586300,60.31
2010-10-08,59.54,60.67,59.28,60.53,2389300,60.18
2010-10-07,59.95,59.99,58.95,59.63,3008200,59.29
2010-10-06,59.50,59.82,59.05,59.67,3312500,59.33
2010-10-05,59.10,59.82,58.86,59.51,4465600,59.17
2010-10-04,58.91,59.52,57.91,58.37,2186500,58.03
2010-10-01,59.09,59.45,58.40,59.02,2614400,58.68
2010-09-30,60.27,60.80,59.17,59.51,2409600,59.17
2010-09-29,59.35,60.46,58.98,59.77,3690100,59.43
2010-09-28,59.77,59.79,58.59,59.64,2947700,59.30
2010-09-27,59.95,60.09,59.54,59.57,3187600,59.23
2010-09-24,58.15,59.99,58.15,59.88,2981200,59.53
2010-09-23,58.26,58.90,57.81,57.99,2069800,57.66
2010-09-22,59.13,59.40,58.43,58.93,2957600,58.59
2010-09-21,59.09,60.00,58.92,59.36,2527800,59.02
2010-09-20,58.65,59.29,58.44,58.93,2502100,58.59
2010-09-17,58.75,58.90,58.06,58.45,3206300,58.11
2010-09-16,58.79,59.05,58.18,58.43,1768900,58.09
2010-09-15,58.59,59.28,58.40,58.99,2137600,58.65
2010-09-14,59.12,59.41,58.74,58.77,2283300,58.43
2010-09-13,59.54,59.64,58.95,59.19,2376100,58.85
2010-09-10,58.11,59.00,58.11,58.85,2440800,58.51
2010-09-09,58.98,59.03,57.59,57.92,1974900,57.59
2010-09-08,57.71,58.64,57.59,58.38,2612800,58.04
2010-09-07,57.62,58.13,57.18,57.66,2565000,57.33
2010-09-03,57.51,58.62,57.36,57.91,2272500,57.58
2010-09-02,56.00,57.13,55.94,57.13,2199200,56.80
2010-09-01,54.34,56.20,54.25,56.02,3483300,55.70
2010-08-31,53.23,54.47,53.07,53.68,3493200,53.37
2010-08-30,54.46,54.95,53.49,53.55,1770100,53.24
2010-08-27,53.54,54.64,53.00,54.55,2262100,54.24
2010-08-26,53.41,54.01,52.95,53.05,2270600,52.74
2010-08-25,52.16,53.34,51.71,53.03,3527400,52.72
2010-08-24,52.72,53.12,51.53,52.69,3787200,52.39
2010-08-23,54.81,54.81,53.29,53.46,2617600,53.15
2010-08-20,54.16,54.55,53.35,54.44,2560300,54.13
2010-08-19,55.86,55.88,53.73,54.56,3030600,54.25
2010-08-18,55.50,56.32,55.06,56.09,2021100,55.77
2010-08-17,55.28,56.19,55.12,55.48,2480900,55.16
2010-08-16,54.26,54.79,53.99,54.55,1795000,54.24
2010-08-13,54.64,55.25,54.50,54.68,1696600,54.36
2010-08-12,54.25,55.11,54.00,54.91,2176600,54.59
2010-08-11,56.45,56.78,54.84,55.26,3195400,54.94
2010-08-10,57.12,57.98,56.68,57.72,2350500,57.39
2010-08-09,57.45,58.00,57.08,57.92,1998600,57.59
2010-08-06,57.41,57.79,56.12,57.06,2817400,56.73
2010-08-05,57.27,58.00,57.13,57.92,2077500,57.59
2010-08-04,57.33,57.77,57.12,57.61,2491000,57.28
2010-08-03,57.18,57.79,56.62,57.43,1971800,56.74
2010-08-02,57.33,57.55,56.59,57.50,2526600,56.81
2010-07-30,55.33,56.53,54.99,56.27,2253500,55.59
2010-07-29,56.50,56.70,55.53,55.93,3149900,55.26
2010-07-28,54.57,56.13,54.34,56.03,5759600,55.36
2010-07-27,57.47,57.64,56.16,56.52,3961200,55.84
2010-07-26,56.75,57.87,56.45,57.16,4370800,56.47
2010-07-23,54.70,56.65,54.58,56.46,5270100,55.78
2010-07-22,54.13,55.61,54.11,54.72,3692100,54.06
2010-07-21,54.31,54.36,52.67,53.15,3321100,52.51
2010-07-20,51.90,54.08,51.71,53.99,4252900,53.34
2010-07-19,53.69,53.75,52.54,52.94,3672800,52.30
2010-07-16,54.51,54.69,53.14,53.36,4347600,52.72
2010-07-15,55.00,55.17,54.03,55.03,3085900,54.37
2010-07-14,54.86,55.68,54.49,55.00,3817800,54.34
2010-07-13,55.16,56.12,54.61,55.29,8167700,54.63
2010-07-12,53.73,54.28,53.20,54.19,4187100,53.54
2010-07-09,52.92,53.92,52.43,53.81,5546500,53.16
2010-07-08,52.41,52.50,51.56,51.96,8140800,51.34
2010-07-07,50.72,51.86,50.48,51.76,8498900,51.14
2010-07-06,51.57,51.86,50.03,50.50,5546400,49.89
2010-07-02,52.84,53.00,50.76,50.91,5808600,50.30
2010-07-01,53.11,53.91,52.02,52.70,5716100,52.07
2010-06-30,53.40,54.22,52.88,53.05,4090300,52.41
2010-06-29,55.60,55.60,52.97,53.44,5458300,52.80
2010-06-28,57.01,57.29,56.35,56.60,1773100,55.92
2010-06-25,56.31,57.01,55.89,56.68,3063100,56.00
2010-06-24,57.25,57.28,55.95,56.23,2428000,55.56
2010-06-23,57.51,57.73,56.47,57.47,2617000,56.78
2010-06-22,59.86,60.01,57.23,57.47,3363700,56.78
2010-06-21,59.93,60.84,59.50,59.97,4853000,59.25
2010-06-18,58.71,59.10,58.49,59.09,3610200,58.38
2010-06-17,58.30,58.79,57.25,58.66,3418500,57.96
2010-06-16,57.88,58.85,57.79,58.29,4798300,57.59
2010-06-15,56.75,58.52,56.75,58.46,2965900,57.76
2010-06-14,57.40,57.60,56.11,56.18,2220400,55.51
2010-06-11,55.46,56.91,55.36,56.80,2177900,56.12
2010-06-10,54.69,56.22,54.69,56.16,3581200,55.49
2010-06-09,53.82,55.48,53.34,53.60,2996200,52.96
2010-06-08,52.42,53.53,52.00,53.34,3002200,52.70
2010-06-07,53.51,53.87,52.16,52.19,3348700,51.56
2010-06-04,55.48,55.84,53.09,53.40,4303000,52.76
2010-06-03,57.01,57.41,56.08,56.80,2698200,56.12
2010-06-02,55.46,56.73,54.90,56.69,3437200,56.01
2010-06-01,55.96,57.29,54.97,55.03,6398700,54.37
2010-05-28,56.86,57.05,55.76,56.46,2747400,55.78
2010-05-27,55.64,56.79,55.05,56.72,2538000,56.04
2010-05-26,54.92,55.96,54.58,54.99,2795900,54.33
2010-05-25,52.87,54.36,52.50,54.31,2949900,53.66
2010-05-24,54.58,55.60,54.33,54.37,2252900,53.72
2010-05-21,52.42,55.33,52.07,54.81,3747700,54.15
2010-05-20,54.66,55.20,53.14,53.41,3468700,52.77
2010-05-19,56.90,57.66,54.95,55.98,3431500,55.31
2010-05-18,58.60,58.67,56.60,57.11,2748800,56.42
2010-05-17,58.31,58.88,56.55,58.13,2212500,57.43
2010-05-14,59.18,59.53,57.84,58.29,2287100,57.59
2010-05-13,60.44,60.76,59.60,59.79,1999400,59.07
2010-05-12,59.57,60.92,59.23,60.73,2121800,60.00
2010-05-11,58.02,59.69,58.02,59.15,2832700,58.44
2010-05-10,58.57,58.82,57.23,58.79,3508100,58.08
2010-05-07,56.27,56.83,54.49,55.22,4769300,54.56
2010-05-06,58.05,58.75,51.93,56.38,4866400,55.70
2010-05-05,58.28,59.20,57.92,58.34,3226600,57.64
2010-05-04,60.17,60.33,59.07,59.65,3007600,58.60
2010-05-03,59.78,61.59,59.75,61.15,3149900,60.07
2010-04-30,60.51,61.15,59.25,59.33,2971900,58.28
2010-04-29,59.59,60.88,59.41,60.51,4304700,59.44
2010-04-28,58.60,59.73,58.12,59.17,5057700,58.13
2010-04-27,60.84,61.09,59.52,59.65,2900400,58.60
2010-04-26,60.92,61.27,60.68,61.09,1973400,60.01
2010-04-23,60.23,60.90,59.92,60.88,2923900,59.81
2010-04-22,59.70,60.59,58.96,60.54,2448900,59.47
2010-04-21,60.20,60.33,59.68,60.19,2266900,59.13
2010-04-20,59.90,60.55,59.64,60.19,1695800,59.13
2010-04-19,59.31,59.53,58.64,59.39,1605000,58.34
2010-04-16,60.39,60.59,58.57,59.47,2910500,58.42
2010-04-15,60.01,60.77,59.77,60.61,2565600,59.54
2010-04-14,59.81,60.61,59.41,60.13,3401700,59.07
2010-04-13,58.37,59.28,57.87,59.17,2902900,58.13
2010-04-12,57.88,58.41,57.53,58.39,2503500,57.36
2010-04-09,58.46,58.62,57.30,57.91,2643900,56.89
2010-04-08,57.41,58.56,57.38,58.46,4164100,57.43
2010-04-07,57.45,57.91,56.90,57.68,3886500,56.66
2010-04-06,57.31,57.77,57.11,57.59,2509200,56.57
2010-04-05,57.16,57.81,56.58,57.56,2602200,56.54
2010-04-01,56.25,57.00,56.25,56.99,2853800,55.98
2010-03-31,55.78,56.09,55.41,55.89,1945800,54.90
2010-03-30,55.76,56.50,55.70,56.20,3059800,55.21
2010-03-29,55.17,55.93,54.96,55.81,1796200,54.83
2010-03-26,55.02,55.06,54.15,54.83,1909200,53.86
2010-03-25,55.06,55.80,54.60,54.70,2887700,53.74
2010-03-24,55.04,55.04,54.14,54.66,2841400,53.70
2010-03-23,55.57,55.82,54.46,55.24,2933700,54.27
2010-03-22,55.03,55.71,54.55,55.40,2811500,54.42
2010-03-19,55.71,56.17,55.01,55.33,3175700,54.35
2010-03-18,55.03,56.02,54.98,55.68,2248900,54.70
2010-03-17,55.21,55.55,54.99,55.28,1742900,54.31
2010-03-16,54.71,55.21,54.52,55.13,2142400,54.16
2010-03-15,54.35,54.68,53.99,54.56,1277700,53.60
2010-03-12,54.79,54.79,53.98,54.45,1272100,53.49
2010-03-11,53.95,54.55,53.87,54.36,1878900,53.40
2010-03-10,54.00,54.43,53.32,53.87,1979600,52.92
2010-03-09,52.95,54.04,52.89,53.74,2369400,52.79
2010-03-08,53.11,53.38,52.56,52.97,1839300,52.04
2010-03-05,52.79,53.15,52.60,52.97,2668300,52.04
2010-03-04,52.03,52.78,52.00,52.47,2614400,51.54
2010-03-03,52.73,53.00,52.14,52.22,1834400,51.30
2010-03-02,53.02,53.10,52.48,52.71,1423400,51.78
