Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,13.96,14.13,13.87,13.97,3203700,13.97
2010-11-04,13.77,14.05,13.65,13.96,3936900,13.96
2010-11-03,13.49,13.69,13.46,13.65,3485200,13.65
2010-11-02,13.49,13.57,13.31,13.47,3964200,13.47
2010-11-01,13.75,13.75,13.35,13.43,3578300,13.43
2010-10-29,13.52,13.75,13.48,13.70,3101800,13.70
2010-10-28,13.50,13.59,13.20,13.53,4317700,13.53
2010-10-27,12.93,13.46,12.93,13.43,3807000,13.43
2010-10-26,13.05,13.18,12.97,13.09,3215700,13.09
2010-10-25,13.25,13.41,13.15,13.15,3146500,13.15
2010-10-22,12.87,13.23,12.85,13.17,3369600,13.17
2010-10-21,13.01,13.02,12.68,12.83,4376000,12.83
2010-10-20,12.88,13.00,12.79,12.97,5121300,12.97
2010-10-19,12.79,12.98,12.62,12.82,6237600,12.82
2010-10-18,13.07,13.12,12.78,12.99,4294600,12.99
2010-10-15,13.25,13.31,13.01,13.04,7632400,13.04
2010-10-14,12.98,13.17,12.93,13.09,4716400,13.09
2010-10-13,13.15,13.15,12.86,12.99,3892500,12.99
2010-10-12,12.98,13.14,12.85,13.10,6011300,13.10
2010-10-11,13.01,13.24,12.91,13.00,5059200,13.00
2010-10-08,12.77,13.10,12.45,13.03,10380700,13.03
2010-10-07,12.79,12.85,12.63,12.78,3719400,12.78
2010-10-06,12.94,12.98,12.54,12.73,4720600,12.73
2010-10-05,12.70,12.99,12.65,12.96,7279400,12.96
2010-10-04,12.73,12.79,12.45,12.60,3838500,12.60
2010-10-01,12.90,13.00,12.67,12.80,5242400,12.80
2010-09-30,12.95,13.00,12.60,12.77,5667200,12.77
2010-09-29,12.80,12.98,12.73,12.87,3899800,12.87
2010-09-28,12.72,12.90,12.55,12.87,4862900,12.87
2010-09-27,12.72,12.79,12.61,12.62,2477000,12.62
2010-09-24,12.46,12.75,12.46,12.71,3498200,12.71
2010-09-23,12.16,12.54,12.00,12.34,5735400,12.34
2010-09-22,12.64,12.76,12.33,12.36,4363700,12.36
2010-09-21,12.63,12.74,12.57,12.65,5724200,12.65
2010-09-20,12.55,12.67,12.45,12.65,4725900,12.65
2010-09-17,12.47,12.54,12.32,12.52,4850200,12.52
2010-09-16,12.22,12.44,12.14,12.37,3123200,12.37
2010-09-15,12.37,12.43,12.19,12.32,4875700,12.22
2010-09-14,12.23,12.54,12.14,12.44,4554600,12.34
2010-09-13,12.11,12.30,12.09,12.27,6344000,12.17
2010-09-10,12.26,12.45,11.84,12.08,17411100,11.98
2010-09-09,13.15,13.16,12.81,12.90,6097600,12.80
2010-09-08,12.81,12.93,12.64,12.89,5237200,12.79
2010-09-07,13.12,13.19,12.74,12.76,8928600,12.66
2010-09-03,13.33,13.41,13.12,13.26,5399400,13.15
2010-09-02,12.92,13.19,12.87,13.19,5129100,13.08
2010-09-01,12.91,13.12,12.72,12.86,6814300,12.76
2010-08-31,12.67,12.90,12.50,12.61,5759600,12.51
2010-08-30,12.93,12.97,12.68,12.69,4049400,12.59
2010-08-27,12.79,13.08,12.41,13.00,6576600,12.89
2010-08-26,12.96,12.99,12.60,12.67,4627700,12.57
2010-08-25,12.70,12.89,12.69,12.87,7855300,12.77
2010-08-24,12.85,12.99,12.73,12.84,4250500,12.74
2010-08-23,13.41,13.41,13.01,13.07,3534200,12.96
2010-08-20,13.01,13.37,13.01,13.36,5375500,13.25
2010-08-19,13.28,13.39,13.07,13.08,2676300,12.97
2010-08-18,13.20,13.41,13.09,13.36,3699600,13.25
2010-08-17,13.10,13.33,13.02,13.18,3382700,13.07
2010-08-16,12.77,13.12,12.68,12.95,3708300,12.84
2010-08-13,12.86,13.09,12.82,12.83,1921300,12.73
2010-08-12,12.94,13.15,12.81,12.92,3934700,12.82
2010-08-11,13.30,13.34,13.01,13.15,3415000,13.04
2010-08-10,13.68,13.74,13.40,13.53,3578100,13.42
2010-08-09,13.93,13.93,13.68,13.87,2225800,13.76
2010-08-06,13.68,13.98,13.64,13.79,5170600,13.68
2010-08-05,13.86,14.07,13.82,13.85,2810100,13.74
2010-08-04,13.89,13.97,13.76,13.91,2873400,13.80
2010-08-03,13.95,13.96,13.68,13.83,2706800,13.72
2010-08-02,13.99,14.07,13.77,13.99,3507800,13.88
2010-07-30,13.69,13.89,13.51,13.80,4215600,13.69
2010-07-29,14.20,14.29,13.59,13.84,5874400,13.73
2010-07-28,14.39,14.51,14.08,14.14,4228600,14.03
2010-07-27,14.74,14.74,14.39,14.44,5645600,14.32
2010-07-26,14.49,14.62,14.23,14.62,2912500,14.50
2010-07-23,14.46,14.54,14.26,14.50,4537400,14.38
2010-07-22,14.31,14.61,14.23,14.49,4800500,14.37
2010-07-21,14.51,14.51,14.08,14.12,4458300,14.01
2010-07-20,14.08,14.41,13.77,14.39,5370600,14.27
2010-07-19,14.09,14.43,14.08,14.39,3161600,14.27
2010-07-16,14.37,14.39,14.01,14.07,3557000,13.96
2010-07-15,14.33,14.48,14.12,14.45,4449100,14.33
2010-07-14,14.74,14.80,14.27,14.38,5483300,14.26
2010-07-13,14.40,14.61,14.32,14.54,5819600,14.42
2010-07-12,14.11,14.31,14.04,14.24,5026100,14.12
2010-07-09,14.06,14.13,13.96,14.13,2855500,14.02
2010-07-08,14.22,14.24,13.80,14.07,5060800,13.96
2010-07-07,13.43,14.16,13.43,14.12,11966600,14.01
2010-07-06,13.84,13.84,13.35,13.53,7288400,13.42
2010-07-02,13.69,13.72,13.33,13.56,5327600,13.45
