Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,50.69,52.60,50.69,51.88,3127000,51.88
2010-11-04,51.00,51.64,50.68,51.63,1968800,51.63
2010-11-03,50.66,50.81,49.70,50.42,1580800,50.42
2010-11-02,49.79,50.86,49.60,50.61,2069600,50.61
2010-11-01,49.88,49.93,48.86,49.41,1575100,49.41
2010-10-29,49.68,49.92,49.35,49.63,1809800,49.63
2010-10-28,50.25,50.50,49.17,50.02,2497400,50.02
2010-10-27,50.15,50.56,49.13,50.31,3786400,50.31
2010-10-26,50.00,50.69,49.50,50.57,6643800,50.57
2010-10-25,48.05,48.37,47.88,48.02,2089000,48.02
2010-10-22,47.44,48.10,47.21,47.81,1713400,47.81
2010-10-21,47.90,48.55,47.02,47.41,3952000,47.41
2010-10-20,49.48,49.48,48.73,48.92,1993300,48.92
2010-10-19,49.46,50.05,49.12,49.29,2945000,49.29
2010-10-18,48.83,50.17,48.64,50.15,1672200,50.15
2010-10-15,49.60,49.60,48.44,48.74,2143300,48.74
2010-10-14,49.20,49.56,48.69,49.30,1878000,49.30
2010-10-13,49.42,49.66,48.73,49.48,1821400,49.48
2010-10-12,48.93,49.35,48.50,49.26,1445100,49.26
2010-10-11,48.35,49.11,48.11,48.95,1326200,48.95
2010-10-08,48.23,48.48,47.91,48.35,1156600,48.35
2010-10-07,48.91,49.00,47.89,48.22,1331800,48.22
2010-10-06,48.60,48.90,48.39,48.89,908000,48.89
2010-10-05,48.20,48.88,47.79,48.60,1869200,48.60
2010-10-04,48.47,48.51,47.44,47.67,1346000,47.67
2010-10-01,48.70,49.00,47.97,48.72,1400000,48.72
2010-09-30,48.31,49.20,48.00,48.24,1191900,48.24
2010-09-29,47.84,48.42,47.52,47.82,1395500,47.82
2010-09-28,48.00,48.20,47.23,48.10,1054300,48.10
2010-09-27,48.43,48.48,47.92,47.97,1845100,47.97
2010-09-24,47.54,48.67,47.32,48.64,1807200,48.64
2010-09-23,47.18,47.61,46.95,46.97,1733000,46.97
2010-09-22,48.47,48.65,47.50,47.54,1866000,47.54
2010-09-21,49.39,49.78,48.21,48.44,1542000,48.44
2010-09-20,49.26,49.58,48.50,49.48,2353100,49.48
2010-09-17,49.52,49.52,48.73,49.04,1863400,49.04
2010-09-16,49.04,49.62,48.67,49.25,2112000,49.25
2010-09-15,48.40,48.73,48.07,48.68,1272000,48.68
2010-09-14,48.93,48.93,48.16,48.61,1242900,48.61
2010-09-13,48.35,49.03,48.27,48.98,1698500,48.98
2010-09-10,48.05,48.30,47.59,47.70,1292400,47.70
2010-09-09,48.40,48.60,47.59,47.94,1113000,47.94
2010-09-08,47.64,48.31,47.43,47.83,1184800,47.83
2010-09-07,48.75,48.75,47.64,47.71,1353400,47.43
2010-09-03,47.63,49.01,47.63,48.86,2763100,48.57
2010-09-02,47.44,47.65,46.79,47.22,1633800,46.94
2010-09-01,46.67,47.45,46.37,47.40,1938500,47.12
2010-08-31,45.69,46.37,45.30,46.13,1519300,45.86
2010-08-30,46.77,46.88,45.80,45.84,1477100,45.57
2010-08-27,46.13,47.08,45.85,47.05,1700700,46.77
2010-08-26,46.58,46.85,45.71,45.86,1886900,45.59
2010-08-25,46.68,46.85,45.95,46.50,1968800,46.23
2010-08-24,47.37,47.47,46.88,46.94,1827600,46.66
2010-08-23,48.66,48.66,47.70,47.72,1498900,47.44
2010-08-20,48.28,48.45,47.77,48.31,2034000,48.03
2010-08-19,49.87,50.00,48.23,48.30,2453300,48.02
2010-08-18,50.41,50.74,49.78,49.81,2276100,49.52
2010-08-17,49.71,50.51,49.34,50.50,3104700,50.20
2010-08-16,49.85,50.13,48.46,49.63,3730000,49.34
2010-08-13,50.10,50.37,49.20,49.39,2314900,49.10
2010-08-12,48.72,50.85,48.72,50.19,4589600,49.90
2010-08-11,48.41,50.62,48.41,49.10,4138700,48.81
2010-08-10,48.67,49.66,48.50,49.14,1867700,48.85
2010-08-09,48.82,49.18,48.60,48.98,1416400,48.69
2010-08-06,48.75,49.04,47.73,48.57,1987300,48.28
2010-08-05,48.29,49.31,48.11,49.11,2079100,48.82
2010-08-04,48.63,48.70,48.10,48.51,1653600,48.23
2010-08-03,48.50,48.70,47.86,48.32,1562000,48.04
2010-08-02,47.57,48.78,47.48,48.52,1867100,48.24
2010-07-30,47.01,47.45,46.54,46.99,1220200,46.71
2010-07-29,48.21,48.70,47.24,47.49,1148200,47.21
2010-07-28,48.27,48.67,47.51,47.64,1071600,47.36
2010-07-27,48.46,49.06,48.02,48.26,1242000,47.98
2010-07-26,47.38,48.35,47.30,48.22,1561800,47.94
2010-07-23,47.03,47.65,46.81,47.51,1375800,47.23
2010-07-22,47.80,47.92,46.65,46.97,3279200,46.69
2010-07-21,49.96,50.18,46.98,47.16,3461000,46.88
2010-07-20,48.02,49.32,47.71,49.32,2893600,49.03
2010-07-19,48.52,48.77,47.97,48.56,1382800,48.28
2010-07-16,49.38,49.66,48.32,48.36,2215500,48.08
2010-07-15,49.60,49.96,49.13,49.73,1426500,49.44
2010-07-14,49.62,50.00,49.24,49.78,1552700,49.49
2010-07-13,49.43,50.36,49.41,50.14,2992100,49.85
2010-07-12,48.24,49.22,48.24,49.09,1980100,48.80
2010-07-09,47.90,48.73,47.59,48.53,1696600,48.25
2010-07-08,49.38,49.38,47.31,47.90,3434800,47.62
2010-07-07,47.02,49.32,46.91,49.14,4879800,48.85
2010-07-06,46.15,46.69,45.59,45.96,2119200,45.69
2010-07-02,46.74,46.78,45.45,45.81,3522300,45.54
2010-07-01,46.67,47.19,45.98,46.57,3188300,46.30
2010-06-30,47.13,47.75,46.60,46.70,2459300,46.43
2010-06-29,47.95,48.22,47.05,47.42,3380700,47.14
2010-06-28,48.48,48.85,47.97,48.30,1621200,48.02
2010-06-25,47.53,49.12,47.53,48.44,5659300,48.16
2010-06-24,48.14,48.47,47.33,47.44,2309600,47.16
2010-06-23,48.52,48.75,48.20,48.45,2018400,48.17
2010-06-22,49.49,49.73,48.55,48.61,1988300,48.32
2010-06-21,50.68,50.98,49.09,49.39,2384800,49.10
2010-06-18,50.88,51.00,50.02,50.30,2900600,50.00
2010-06-17,51.19,51.40,50.49,50.90,1842500,50.60
2010-06-16,50.59,51.52,50.41,51.32,1526200,51.02
2010-06-15,49.79,50.81,49.40,50.76,1312600,50.46
2010-06-14,50.04,50.34,49.28,49.34,1643700,49.05
2010-06-11,49.09,50.00,48.79,49.93,1583400,49.64
2010-06-10,49.61,49.61,48.97,49.50,1990900,49.21
2010-06-09,49.20,49.80,48.61,48.75,1611300,48.46
2010-06-08,48.30,49.16,47.74,49.06,1492300,48.77
2010-06-07,49.20,49.76,48.50,48.50,1458000,47.94
2010-06-04,49.78,50.15,48.92,49.02,2221300,48.45
2010-06-03,51.01,51.42,50.49,50.93,1247800,50.34
2010-06-02,50.19,51.14,49.83,51.11,1302900,50.52
2010-06-01,50.39,50.81,49.53,49.82,1842900,49.24
2010-05-28,52.20,52.27,50.60,50.81,2229900,50.22
2010-05-27,51.25,52.20,51.19,51.97,2115300,51.37
2010-05-26,51.12,51.90,50.26,50.48,1593500,49.89
2010-05-25,49.62,50.93,49.50,50.78,2604900,50.19
2010-05-24,52.19,52.24,50.64,50.65,1764000,50.06
2010-05-21,49.26,52.05,49.25,51.88,2701000,51.28
2010-05-20,51.28,51.61,50.09,50.10,1729000,49.52
2010-05-19,52.71,53.42,51.84,52.35,1582200,51.74
2010-05-18,54.14,54.33,52.50,52.79,1841000,52.18
2010-05-17,53.09,53.94,52.82,53.82,1575600,53.20
2010-05-14,54.01,54.16,52.91,53.18,2539000,52.56
2010-05-13,55.08,55.42,54.24,54.28,1431900,53.65
2010-05-12,54.71,55.44,54.16,55.34,2054700,54.70
2010-05-11,54.57,55.08,54.15,54.45,2038700,53.82
2010-05-10,53.59,55.50,53.35,55.11,2564800,54.47
2010-05-07,51.46,53.10,51.01,51.80,4539500,51.20
2010-05-06,53.87,54.16,49.93,51.67,2883200,51.07
2010-05-05,53.28,54.74,53.27,53.93,1581800,53.30
2010-05-04,54.50,54.78,53.61,53.92,1832600,53.29
2010-05-03,54.55,55.25,54.53,54.90,1619400,54.26
2010-04-30,55.50,56.13,54.83,54.98,2209100,54.34
2010-04-29,54.50,55.86,54.50,55.65,2226200,55.00
2010-04-28,54.65,55.04,54.01,54.37,1508900,53.74
2010-04-27,55.08,55.63,54.26,54.34,2372700,53.71
2010-04-26,56.34,56.35,55.30,55.31,1864300,54.67
2010-04-23,55.47,56.39,55.12,56.31,2231800,55.66
2010-04-22,54.63,55.73,53.88,55.63,3197400,54.98
2010-04-21,55.23,55.59,54.46,54.73,3544300,54.09
2010-04-20,55.23,56.01,54.75,55.37,7549000,54.73
2010-04-19,57.49,58.37,57.29,58.37,1672900,57.69
2010-04-16,58.67,58.87,56.76,57.39,3128400,56.72
2010-04-15,58.67,58.97,58.41,58.65,2093200,57.97
2010-04-14,59.12,59.36,57.94,58.96,3052500,58.28
2010-04-13,58.57,59.16,58.49,59.02,2128900,58.33
2010-04-12,58.32,58.84,58.12,58.77,1707000,58.09
2010-04-09,57.76,58.55,57.66,58.01,2082100,57.34
2010-04-08,57.00,58.01,56.63,57.82,2064700,57.15
2010-04-07,57.22,57.44,56.78,56.91,1563000,56.25
2010-04-06,56.83,57.47,56.62,57.45,1759000,56.78
2010-04-05,56.74,57.18,56.34,57.17,1515300,56.51
2010-04-01,55.42,56.75,55.25,56.64,1937300,55.98
2010-03-31,54.38,55.48,54.30,55.26,1870800,54.62
2010-03-30,55.11,55.19,54.45,54.65,1396700,54.02
2010-03-29,55.66,55.68,54.87,55.19,1641100,54.55
2010-03-26,55.82,55.99,55.16,55.35,1609900,54.71
2010-03-25,55.40,56.50,55.22,55.98,1799700,55.33
2010-03-24,55.43,55.68,55.05,55.16,954300,54.52
2010-03-23,55.93,55.93,55.28,55.79,944100,55.14
2010-03-22,55.30,55.87,55.10,55.63,1146300,54.98
2010-03-19,55.87,56.01,54.48,55.45,1922600,54.81
2010-03-18,55.89,55.97,55.26,55.62,1250600,54.97
2010-03-17,55.10,56.00,54.93,55.80,1584400,55.15
2010-03-16,54.25,54.86,54.17,54.81,1513400,54.17
2010-03-15,54.08,54.39,53.79,54.26,1936300,53.63
2010-03-12,54.30,54.55,53.89,53.97,1788700,53.34
2010-03-11,53.85,54.22,53.42,54.05,1776900,53.42
2010-03-10,54.74,54.99,53.70,54.03,2509600,53.40
2010-03-09,54.62,55.15,54.21,54.80,1225500,54.16
2010-03-08,54.47,55.00,54.37,54.90,1489200,54.26
