Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,39.36,40.81,39.36,40.40,4964700,40.40
2010-11-04,39.12,39.47,38.90,39.40,5102800,39.40
2010-11-03,38.97,38.97,37.90,38.54,3551900,38.54
2010-11-02,38.50,39.18,38.50,38.74,2788100,38.74
2010-11-01,38.39,38.82,37.96,38.20,2945900,38.20
2010-10-29,37.93,38.36,37.70,38.22,2297800,38.22
2010-10-28,37.80,38.10,37.66,37.96,2814700,37.96
2010-10-27,37.50,37.68,37.02,37.57,3291600,37.57
2010-10-26,37.64,38.07,37.38,37.88,2870000,37.88
2010-10-25,38.25,38.50,37.89,38.26,3553900,38.26
2010-10-22,38.15,38.25,37.70,37.88,3429000,37.88
2010-10-21,39.19,39.30,37.36,37.89,8099500,37.89
2010-10-20,38.67,39.49,38.67,39.38,3214100,39.38
2010-10-19,38.80,39.50,38.35,38.52,3867400,38.52
2010-10-18,39.02,39.57,38.81,39.51,2319100,39.51
2010-10-15,39.89,40.00,38.87,39.25,8579400,39.25
2010-10-14,40.15,40.25,39.27,39.64,3790200,39.64
2010-10-13,40.37,40.37,39.87,40.15,3586900,40.15
2010-10-12,39.89,40.18,39.53,39.88,3222400,39.88
2010-10-11,40.03,40.43,39.83,40.08,2239800,40.08
2010-10-08,38.92,40.05,38.92,39.92,3570300,39.92
2010-10-07,40.00,40.01,38.64,38.99,3896800,38.99
2010-10-06,39.55,40.32,39.50,39.83,3887900,39.83
2010-10-05,38.95,39.59,38.78,39.53,3699000,39.53
2010-10-04,38.64,38.79,38.25,38.55,3765800,38.55
2010-10-01,38.61,38.87,38.31,38.87,3526900,38.87
2010-09-30,38.57,38.80,38.03,38.20,3418600,38.20
2010-09-29,37.75,38.53,37.65,38.39,3750100,38.39
2010-09-28,37.40,38.08,36.97,38.02,4321700,38.02
2010-09-27,37.64,37.73,37.32,37.55,3056600,37.19
2010-09-24,37.49,37.78,37.22,37.64,3142800,37.28
2010-09-23,37.45,37.64,36.92,37.00,4822400,36.65
2010-09-22,38.03,38.69,37.72,37.84,4332900,37.48
2010-09-21,38.59,38.62,37.81,38.07,8789600,37.71
2010-09-20,38.36,38.82,38.09,38.76,3528800,38.39
2010-09-17,39.00,39.13,38.55,38.74,3206500,38.37
2010-09-16,39.01,39.53,38.89,38.95,3473300,38.58
2010-09-15,39.14,39.41,39.02,39.27,3623300,38.89
2010-09-14,39.30,40.05,38.05,39.41,6728600,39.03
