Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,17.85,17.93,17.31,17.47,6211000,17.47
2010-11-04,18.05,18.14,17.89,17.90,4623400,17.90
2010-11-03,17.83,17.94,17.57,17.87,2839200,17.87
2010-11-02,17.87,18.05,17.68,17.82,3180000,17.82
2010-11-01,17.72,18.04,17.60,17.78,4898800,17.78
2010-10-29,17.58,17.78,17.19,17.65,7308600,17.65
2010-10-28,18.06,18.13,17.68,17.80,3949200,17.80
2010-10-27,17.71,17.92,17.64,17.89,2448600,17.89
2010-10-26,18.01,18.09,17.89,17.96,3207800,17.96
2010-10-25,18.18,18.42,18.09,18.13,2776400,18.13
2010-10-22,17.96,18.15,17.94,18.07,2120800,18.07
2010-10-21,17.86,18.04,17.80,17.96,2755200,17.96
2010-10-20,17.67,17.93,17.62,17.82,3027000,17.82
2010-10-19,18.01,18.16,17.53,17.66,5513000,17.66
2010-10-18,18.09,18.26,17.98,18.23,1971300,18.23
2010-10-15,18.21,18.27,17.95,18.11,2903300,18.11
2010-10-14,18.13,18.35,18.10,18.14,3385600,18.14
2010-10-13,17.93,18.39,17.81,18.14,4098200,18.14
2010-10-12,18.10,18.14,17.61,17.81,5958200,17.81
2010-10-11,18.25,18.27,18.07,18.12,2263600,18.12
2010-10-08,18.14,18.38,18.14,18.28,3113900,18.28
2010-10-07,18.40,18.44,18.05,18.17,2797000,18.17
2010-10-06,18.38,18.47,18.16,18.27,9526300,18.27
2010-10-05,18.00,18.48,18.00,18.38,4686200,18.38
2010-10-04,17.97,18.09,17.72,17.87,2244800,17.87
2010-10-01,17.97,18.03,17.72,17.99,1887700,17.99
2010-09-30,18.02,18.17,17.78,17.81,2419000,17.81
2010-09-29,17.92,17.99,17.79,17.92,2267400,17.92
2010-09-28,17.76,18.11,17.68,18.07,3212500,18.07
2010-09-27,17.80,17.86,17.63,17.77,2991100,17.77
2010-09-24,17.48,17.89,17.43,17.87,2661100,17.87
2010-09-23,17.15,17.48,16.98,17.26,444200,17.26
2010-09-22,17.43,17.53,17.23,17.27,2584400,17.27
2010-09-21,17.77,17.85,17.34,17.50,4372000,17.50
2010-09-20,16.78,17.85,16.77,17.75,8133700,17.75
2010-09-17,16.87,16.94,16.62,16.74,4316800,16.74
2010-09-16,16.83,16.99,16.66,16.79,3133500,16.79
2010-09-15,16.89,16.98,16.64,16.89,2965200,16.89
2010-09-14,16.80,16.98,16.64,16.91,3855600,16.91
2010-09-13,17.00,17.25,16.95,17.11,3611600,17.11
2010-09-10,17.01,17.29,16.78,16.83,4082400,16.83
2010-09-09,16.40,16.77,16.30,16.73,4767800,16.73
2010-09-08,16.12,16.37,16.01,16.16,5076000,16.16
2010-09-07,16.05,16.19,16.00,16.10,4180400,16.10
2010-09-03,15.86,16.15,15.79,16.10,2945100,16.10
2010-09-02,15.52,15.78,15.44,15.73,2936400,15.73
2010-09-01,15.21,15.55,15.20,15.47,3451200,15.47
2010-08-31,14.90,15.16,14.86,15.01,2855300,15.01
2010-08-30,15.36,15.40,15.03,15.03,1632600,15.03
2010-08-27,15.18,15.41,14.94,15.40,675600,15.40
2010-08-26,15.37,15.47,15.08,15.16,4327300,15.11
2010-08-25,15.22,15.36,15.06,15.32,3458500,15.27
2010-08-24,15.00,15.43,14.98,15.33,4999900,15.28
2010-08-23,15.43,15.52,15.20,15.24,2749600,15.19
2010-08-20,15.40,15.54,15.19,15.34,3351100,15.29
2010-08-19,15.94,15.96,15.40,15.55,4140700,15.50
2010-08-18,15.88,16.07,15.79,16.00,4381300,15.95
2010-08-17,16.04,16.05,15.81,15.88,21662600,15.83
2010-08-16,15.87,16.16,15.78,16.05,1690400,16.00
2010-08-13,15.93,16.18,15.90,16.02,1691100,15.97
2010-08-12,15.86,16.04,15.77,16.00,2266300,15.95
2010-08-11,16.46,16.58,16.10,16.17,4526300,16.12
2010-08-10,16.39,16.85,16.34,16.74,4144700,16.68
2010-08-09,16.51,16.62,16.38,16.59,2792500,16.54
2010-08-06,16.31,16.40,16.02,16.37,1820300,16.32
2010-08-05,16.33,16.53,16.26,16.46,1772600,16.41
2010-08-04,16.44,16.57,16.38,16.48,2661200,16.43
2010-08-03,16.23,16.59,16.20,16.37,6797500,16.32
2010-08-02,15.76,16.18,15.72,16.02,10873200,15.97
2010-07-30,15.42,15.69,15.06,15.50,7945700,15.45
2010-07-29,15.78,15.95,15.39,15.58,3537500,15.53
2010-07-28,15.86,15.88,15.61,15.69,2578300,15.64
2010-07-27,16.03,16.06,15.78,15.86,2921500,15.81
2010-07-26,15.77,16.05,15.72,16.00,3049900,15.95
2010-07-23,15.44,15.83,15.44,15.77,2070400,15.72
2010-07-22,15.37,15.69,15.36,15.55,2703100,15.50
2010-07-21,15.32,15.50,15.11,15.18,2747600,15.13
2010-07-20,14.84,15.33,14.74,15.27,2555800,15.22
2010-07-19,14.99,15.12,14.78,15.08,2499100,15.03
2010-07-16,15.43,15.43,14.90,14.95,3282400,14.90
2010-07-15,15.46,15.55,15.18,15.52,3271000,15.47
2010-07-14,15.53,15.68,15.35,15.49,3700000,15.44
2010-07-13,15.32,15.65,15.28,15.53,3593600,15.48
2010-07-12,15.31,15.43,14.97,15.19,5475500,15.14
2010-07-09,15.22,15.46,15.11,15.39,2839700,15.34
2010-07-08,15.34,15.34,14.97,15.20,3396300,15.15
2010-07-07,14.29,14.87,14.28,14.84,3780300,14.79
2010-07-06,14.63,14.65,14.14,14.28,4240200,14.23
2010-07-02,14.57,14.63,14.18,14.28,3314700,14.23
2010-07-01,14.70,14.70,14.25,14.54,5810000,14.49
2010-06-30,14.87,14.97,14.55,14.64,6395600,14.59
2010-06-29,15.49,15.53,14.82,14.92,5570100,14.87
2010-06-28,15.94,16.05,15.67,15.74,3468400,15.69
2010-06-25,15.73,15.96,15.57,15.86,6300400,15.81
2010-06-24,16.01,16.09,15.64,15.71,6875400,15.66
2010-06-23,15.93,16.24,15.61,16.12,5538000,16.07
2010-06-22,16.44,16.60,15.92,15.97,5320600,15.92
2010-06-21,17.24,17.29,16.39,16.48,3577500,16.43
2010-06-18,16.84,17.09,16.83,16.99,3725600,16.93
2010-06-17,16.99,16.99,16.21,16.82,7205900,16.76
2010-06-16,16.77,17.00,16.71,16.89,5192600,16.83
2010-06-15,16.73,16.98,16.56,16.96,1777000,16.90
2010-06-14,16.77,16.95,16.51,16.63,2540200,16.58
2010-06-11,16.29,16.62,16.09,16.62,2932000,16.57
2010-06-10,16.58,16.76,16.36,16.50,4413700,16.45
2010-06-09,16.15,16.65,16.15,16.28,5890600,16.23
2010-06-08,15.93,16.17,15.75,16.12,9423500,16.07
2010-06-07,16.39,16.39,15.88,15.93,6284200,15.88
2010-06-04,16.64,16.71,16.30,16.37,5315900,16.32
2010-06-03,17.10,17.19,16.83,17.04,2763900,16.98
2010-06-02,16.73,17.05,16.50,17.04,6077800,16.98
2010-06-01,16.55,17.50,16.45,16.66,8528200,16.61
2010-05-28,16.83,16.99,16.48,16.66,3931300,16.61
2010-05-27,16.55,16.92,16.51,16.91,4991900,16.85
2010-05-26,16.24,16.55,16.15,16.23,6933100,16.18
2010-05-25,15.56,16.08,15.21,16.07,8586300,15.97
2010-05-24,15.70,16.10,15.64,15.87,5019900,15.77
2010-05-21,15.31,16.06,15.31,15.77,5352700,15.67
2010-05-20,15.89,16.08,15.64,15.70,7173300,15.60
2010-05-19,16.28,16.47,16.00,16.27,5826400,16.17
2010-05-18,16.89,16.96,16.35,16.40,4665600,16.30
2010-05-17,16.51,16.84,16.27,16.79,5734500,16.68
2010-05-14,16.58,16.65,16.19,16.49,6765900,16.38
2010-05-13,17.15,17.16,16.65,16.72,3759800,16.61
2010-05-12,16.78,17.17,16.67,17.11,4608800,17.00
2010-05-11,16.35,16.97,16.35,16.74,4525900,16.63
2010-05-10,16.35,16.86,16.35,16.63,4539400,16.52
2010-05-07,16.07,16.10,15.46,15.69,9296800,15.59
2010-05-06,16.49,16.89,15.12,16.03,8366300,15.93
