Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,8.65,9.13,8.65,8.92,3936200,8.92
2010-11-04,8.05,8.65,8.05,8.63,3846600,8.63
2010-11-03,7.63,7.99,7.59,7.97,2996900,7.97
2010-11-02,7.74,7.80,7.59,7.60,2234000,7.60
2010-11-01,7.78,7.79,7.59,7.69,2350800,7.69
2010-10-29,7.67,7.73,7.60,7.67,1500400,7.67
2010-10-28,7.69,7.76,7.58,7.71,1365100,7.71
2010-10-27,7.66,7.71,7.59,7.63,1567900,7.63
2010-10-26,7.67,7.85,7.57,7.73,2276900,7.73
2010-10-25,7.74,7.87,7.56,7.75,2356300,7.75
2010-10-22,7.69,7.73,7.51,7.68,1467100,7.68
2010-10-21,7.83,7.95,7.65,7.68,3083800,7.68
2010-10-20,7.81,7.84,7.53,7.63,2673700,7.63
2010-10-19,7.87,8.10,7.68,7.79,2935700,7.79
2010-10-18,8.30,8.38,8.00,8.04,2676700,8.04
2010-10-15,8.61,8.62,8.25,8.28,2495700,8.28
2010-10-14,8.58,8.64,8.39,8.49,1255900,8.49
2010-10-13,8.57,8.65,8.42,8.57,1478700,8.57
2010-10-12,8.56,8.73,8.32,8.47,2160300,8.47
2010-10-11,8.06,8.78,8.06,8.59,3716500,8.59
2010-10-08,7.63,8.16,7.58,8.02,3024600,8.02
2010-10-07,7.82,7.82,7.60,7.64,1633100,7.64
2010-10-06,7.83,7.89,7.64,7.77,1479300,7.77
2010-10-05,7.87,7.88,7.77,7.86,931100,7.86
2010-10-04,7.84,7.85,7.72,7.75,1384700,7.75
2010-10-01,7.86,7.99,7.80,7.85,946400,7.85
2010-09-30,7.92,8.00,7.73,7.74,1740600,7.74
2010-09-29,7.75,7.88,7.71,7.81,913500,7.81
2010-09-28,7.74,7.82,7.70,7.82,1310800,7.82
2010-09-27,7.87,7.87,7.72,7.76,2116100,7.76
2010-09-24,7.92,7.99,7.74,7.79,2235800,7.79
2010-09-23,7.35,7.79,7.35,7.77,2883800,7.77
2010-09-22,7.77,7.79,7.36,7.45,4001700,7.45
2010-09-21,8.35,8.35,7.87,7.97,2353300,7.97
2010-09-20,8.13,8.45,8.09,8.44,1531500,8.44
2010-09-17,8.11,8.18,7.99,8.04,1561300,8.04
2010-09-16,8.13,8.18,7.92,8.04,937100,8.04
2010-09-15,8.21,8.29,8.10,8.22,1322800,8.22
2010-09-14,8.40,8.43,8.20,8.29,787500,8.29
2010-09-13,8.29,8.43,8.25,8.41,1655700,8.41
2010-09-10,8.29,8.35,8.16,8.22,1314000,8.22
2010-09-09,8.37,8.41,8.11,8.23,2019800,8.23
2010-09-08,7.85,8.46,7.80,8.38,6089700,8.38
2010-09-07,8.01,8.11,7.73,7.76,1432000,7.76
2010-09-03,7.96,8.11,7.85,8.10,1584200,8.10
2010-09-02,7.61,7.77,7.44,7.77,1078800,7.77
2010-09-01,7.33,7.56,7.31,7.54,1278500,7.54
2010-08-31,7.21,7.22,7.06,7.18,2801900,7.18
2010-08-30,7.49,7.54,7.28,7.29,1240600,7.29
2010-08-27,7.68,7.75,7.42,7.51,1865400,7.51
2010-08-26,7.76,7.84,7.61,7.61,996300,7.61
2010-08-25,7.46,7.71,7.37,7.71,1375800,7.71
2010-08-24,7.50,7.62,7.28,7.55,1763000,7.55
2010-08-23,7.80,7.85,7.54,7.56,958200,7.56
2010-08-20,7.85,7.89,7.59,7.72,1147000,7.72
2010-08-19,8.25,8.30,7.90,7.95,1446800,7.95
2010-08-18,8.12,8.38,8.08,8.33,1472000,8.33
2010-08-17,7.90,8.22,7.78,8.10,1830900,8.10
2010-08-16,7.65,7.89,7.62,7.79,1193200,7.79
2010-08-13,7.83,7.98,7.67,7.71,1287500,7.71
2010-08-12,7.79,8.06,7.65,7.85,2057300,7.85
2010-08-11,8.26,8.44,8.00,8.03,1719800,8.03
2010-08-10,8.52,8.60,8.37,8.45,1825900,8.45
2010-08-09,8.80,8.97,8.67,8.71,723300,8.71
2010-08-06,8.85,8.91,8.60,8.73,1283000,8.73
2010-08-05,8.95,9.02,8.87,8.98,862700,8.98
2010-08-04,8.97,9.10,8.88,9.04,727600,9.04
2010-08-03,9.22,9.31,8.88,8.90,1298700,8.90
2010-08-02,8.96,9.38,8.88,9.32,1776200,9.32
2010-07-30,8.56,8.91,8.21,8.74,2592900,8.74
2010-07-29,9.05,9.24,8.60,8.71,2869600,8.71
2010-07-28,9.70,9.70,8.97,8.99,2545600,8.99
2010-07-27,9.85,9.90,9.61,9.76,1318400,9.76
2010-07-26,9.26,9.75,9.22,9.74,1915800,9.74
2010-07-23,9.11,9.31,8.94,9.25,1616300,9.25
2010-07-22,9.37,9.55,8.92,9.16,3229800,9.16
2010-07-21,9.41,9.54,8.98,9.05,1415500,9.05
2010-07-20,8.70,9.37,8.60,9.34,2522200,9.34
2010-07-19,8.82,9.20,8.62,8.88,1824300,8.88
2010-07-16,9.52,9.52,8.75,8.80,2344000,8.80
2010-07-15,9.58,9.65,9.30,9.58,1762400,9.58
2010-07-14,9.51,9.62,9.39,9.59,1472200,9.59
2010-07-13,9.54,9.58,9.34,9.52,1905200,9.52
2010-07-12,9.01,9.48,8.98,9.39,2448100,9.39
2010-07-09,8.90,9.07,8.77,9.01,1902200,9.01
2010-07-08,8.68,9.10,8.61,8.94,2352300,8.94
2010-07-07,8.55,8.67,8.42,8.54,3318200,8.54
2010-07-06,8.65,8.88,8.50,8.57,2083400,8.57
2010-07-02,8.69,8.75,8.43,8.50,1381200,8.50
2010-07-01,8.64,8.82,8.38,8.64,1665100,8.64
2010-06-30,8.95,9.18,8.59,8.65,1809800,8.65
2010-06-29,9.49,9.60,8.93,9.00,1413800,9.00
2010-06-28,9.50,9.88,9.41,9.74,2041400,9.74
2010-06-25,9.20,9.69,9.07,9.40,3947400,9.40
2010-06-24,9.52,9.61,9.17,9.18,1303800,9.18
2010-06-23,10.03,10.09,9.58,9.62,1660200,9.62
2010-06-22,10.16,10.27,10.00,10.04,1340400,10.04
2010-06-21,9.97,10.46,9.96,10.13,2654800,10.13
2010-06-18,9.90,10.00,9.71,9.78,2320500,9.78
2010-06-17,9.81,9.90,9.58,9.89,1518600,9.89
2010-06-16,9.64,9.81,9.46,9.68,2134900,9.68
2010-06-15,9.29,9.76,9.22,9.76,1623900,9.76
2010-06-14,9.42,9.44,9.10,9.14,2127600,9.14
2010-06-11,8.95,9.23,8.93,9.18,1006700,9.18
2010-06-10,8.58,9.10,8.57,9.09,1868500,9.09
2010-06-09,8.43,8.66,8.30,8.36,1593400,8.36
2010-06-08,8.41,8.43,8.21,8.35,1493400,8.35
2010-06-07,8.49,8.68,8.35,8.36,1704100,8.36
2010-06-04,8.68,8.87,8.43,8.50,2052400,8.50
2010-06-03,8.95,9.21,8.82,8.93,1811800,8.93
2010-06-02,8.80,9.15,8.79,9.02,2706900,9.02
2010-06-01,9.14,9.22,8.75,8.75,1752700,8.75
2010-05-28,9.29,9.46,9.16,9.28,1468200,9.28
2010-05-27,9.10,9.30,9.07,9.30,1281300,9.30
2010-05-26,9.04,9.13,8.77,8.85,2113500,8.85
2010-05-25,8.61,8.97,8.43,8.95,2305400,8.95
2010-05-24,8.91,9.16,8.86,8.94,1935800,8.94
2010-05-21,8.45,9.07,8.39,8.99,4005900,8.99
2010-05-20,8.79,8.85,8.47,8.65,4210000,8.65
2010-05-19,9.12,9.28,8.95,9.11,2131800,9.11
2010-05-18,9.33,9.56,9.18,9.18,2525400,9.18
