Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,29.30,29.50,28.98,29.25,28304800,29.25
2010-11-04,29.61,29.82,29.10,29.47,35708200,29.47
2010-11-03,29.55,29.57,28.99,29.20,29994900,29.20
2010-11-02,29.49,29.57,29.26,29.53,24187500,29.53
2010-11-01,29.52,29.55,28.94,29.13,21091200,29.13
2010-10-29,29.36,29.71,29.30,29.38,35072100,29.38
2010-10-28,28.82,29.48,28.50,29.36,35111300,29.36
2010-10-27,28.55,28.82,28.36,28.70,33882700,28.70
2010-10-26,28.71,28.84,28.54,28.63,28035800,28.63
2010-10-25,29.15,29.29,28.81,28.84,30650500,28.84
2010-10-22,28.84,29.03,28.73,28.99,16498800,28.99
2010-10-21,28.80,29.14,28.57,28.82,30178900,28.82
2010-10-20,29.01,29.18,28.60,28.64,39081800,28.64
2010-10-19,28.94,29.24,28.45,29.13,44673700,29.13
2010-10-18,28.73,29.23,28.58,29.23,35791500,29.23
2010-10-15,28.47,28.91,28.16,28.90,54775600,28.90
2010-10-14,28.66,28.70,28.11,28.33,38136100,28.33
2010-10-13,28.00,28.91,26.98,28.60,49145400,28.60
2010-10-12,27.75,28.00,27.41,27.95,27547200,27.95
2010-10-11,27.90,28.10,27.73,27.85,22641300,27.85
2010-10-08,27.59,28.08,27.31,28.00,33163000,28.00
2010-10-07,27.63,27.89,27.54,27.69,40611500,27.69
2010-10-06,27.30,27.86,27.24,27.58,50625400,27.58
2010-10-05,27.21,27.35,27.06,27.30,42520100,27.30
2010-10-04,27.02,27.36,26.89,26.90,36782500,26.90
2010-10-01,27.18,27.61,27.14,27.24,33690500,27.19
2010-09-30,27.28,27.41,26.81,26.85,42880000,26.80
2010-09-29,27.07,27.30,26.93,27.17,36624100,27.12
2010-09-28,27.06,27.40,26.79,27.19,43250800,27.14
2010-09-27,26.86,27.12,26.78,26.95,34143000,26.90
2010-09-24,27.44,27.50,26.74,26.96,58135200,26.91
2010-09-23,26.96,27.49,26.96,27.12,33122400,27.07
2010-09-22,26.66,27.33,26.64,27.20,51969100,27.15
2010-09-21,27.33,27.36,26.70,26.82,82201000,26.77
2010-09-20,27.35,27.57,27.03,27.49,49724300,27.44
2010-09-17,26.44,27.63,26.40,27.48,150976600,27.43
2010-09-16,25.68,25.71,25.21,25.36,52951100,25.31
2010-09-15,25.27,25.79,25.17,25.74,37562200,25.69
2010-09-14,25.04,25.58,25.04,25.38,31261900,25.33
2010-09-13,25.14,25.42,25.11,25.11,46812300,25.06
2010-09-10,24.42,25.15,24.38,25.05,44259400,25.00
2010-09-09,24.32,24.50,24.21,24.33,25963800,24.29
2010-09-08,24.07,24.23,23.88,24.14,54699600,24.10
2010-09-07,24.56,24.69,24.01,24.27,113824500,24.23
2010-09-03,22.79,22.94,22.57,22.92,21254100,22.88
2010-09-02,22.61,22.72,22.35,22.48,18057600,22.44
2010-09-01,22.15,22.65,22.10,22.62,29083300,22.58
2010-08-31,21.92,21.93,21.66,21.85,41712500,21.81
2010-08-30,22.34,22.62,22.00,22.02,23317500,21.98
2010-08-27,22.38,22.55,21.95,22.51,21375300,22.47
2010-08-26,22.54,22.73,22.19,22.25,18884600,22.21
2010-08-25,22.22,22.55,22.03,22.42,18686000,22.38
2010-08-24,22.61,22.79,22.38,22.41,23293200,22.37
2010-08-23,23.06,23.30,22.83,22.84,18249600,22.80
2010-08-20,22.95,23.08,22.77,23.02,21985500,22.98
2010-08-19,22.86,23.16,22.82,23.00,26754900,22.96
2010-08-18,22.91,23.25,22.80,23.09,18984300,23.05
2010-08-17,22.86,23.24,22.72,23.05,22481900,23.01
2010-08-16,22.51,23.00,22.35,22.72,19511700,22.68
