Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,84.23,84.87,83.50,84.23,3669400,84.23
2010-11-04,83.08,84.82,82.98,84.49,6359800,84.49
2010-11-03,81.98,82.42,80.08,81.72,4859500,81.72
2010-11-02,80.44,82.23,80.35,81.51,4581300,81.51
2010-11-01,79.76,80.73,79.54,79.83,4525700,79.83
2010-10-29,78.64,79.14,78.21,78.63,3409300,78.63
2010-10-28,80.08,80.12,78.78,78.87,3274000,78.87
2010-10-27,78.28,79.48,77.78,79.41,6658700,79.41
2010-10-26,79.53,79.61,78.72,79.04,6563000,79.04
2010-10-25,80.33,81.00,80.00,80.06,4365900,80.06
2010-10-22,79.32,79.85,78.65,79.58,4319800,79.58
2010-10-21,81.44,81.45,78.05,78.80,8711600,78.80
2010-10-20,81.16,81.45,79.59,80.97,7284200,80.97
2010-10-19,83.95,84.42,80.06,81.20,9478100,81.20
2010-10-18,84.78,85.92,84.44,85.45,3575900,85.45
2010-10-15,85.39,85.48,84.22,84.94,3638200,84.94
2010-10-14,84.35,85.50,84.14,84.91,4158700,84.91
2010-10-13,83.88,84.94,83.77,84.29,4152600,84.29
2010-10-12,83.45,84.00,82.10,83.23,4355600,83.23
2010-10-11,83.01,83.89,83.00,83.72,2575700,83.72
2010-10-08,82.67,83.39,81.99,83.18,2785000,83.18
2010-10-07,83.11,83.31,81.21,82.39,3753400,82.39
2010-10-06,82.30,83.41,82.22,82.93,3936200,82.93
2010-10-05,81.24,82.73,81.07,82.46,5954700,82.46
2010-10-04,80.12,81.72,80.12,80.59,4444400,80.59
2010-10-01,79.11,81.99,78.90,80.77,8803500,80.77
2010-09-30,77.26,78.71,77.13,78.30,7420900,78.30
2010-09-29,74.98,76.95,74.77,76.63,5741400,76.63
2010-09-28,75.13,75.69,73.86,75.51,5155300,75.51
2010-09-27,76.09,76.35,74.66,74.81,6656100,74.81
2010-09-24,75.18,76.44,74.77,76.30,6365500,76.30
2010-09-23,75.38,75.38,74.04,74.57,5425600,74.57
2010-09-22,77.01,77.94,75.71,75.94,4044100,75.94
2010-09-21,77.50,77.51,75.91,76.92,3510500,76.92
2010-09-20,76.37,77.60,76.23,77.23,3368600,77.23
2010-09-17,76.77,77.02,75.79,76.20,7114000,76.20
2010-09-16,77.97,78.25,76.08,76.45,5146500,76.45
2010-09-15,77.69,78.43,77.50,78.14,2650400,78.14
2010-09-14,78.62,79.16,78.05,78.37,2480100,78.37
2010-09-13,79.04,79.26,78.34,78.61,3226200,78.61
2010-09-10,77.77,79.13,77.77,78.20,3394400,78.20
2010-09-09,78.22,78.79,77.42,77.57,3180600,77.57
2010-09-08,76.02,77.30,76.02,77.22,3535000,77.22
2010-09-07,77.59,77.60,75.94,76.45,3839900,76.07
2010-09-03,78.34,78.92,77.48,78.32,3100200,77.93
2010-09-02,76.75,77.84,76.36,77.84,3298200,77.45
