Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,28.34,28.35,28.11,28.20,3498400,28.20
2010-11-04,28.47,28.53,28.16,28.27,4373700,28.27
2010-11-03,28.01,28.31,27.95,28.13,3470500,28.13
2010-11-02,27.97,28.13,27.80,28.02,3269400,28.02
2010-11-01,27.78,27.96,27.55,27.69,2430700,27.69
2010-10-29,27.69,27.75,27.54,27.74,1970700,27.74
2010-10-28,27.58,27.75,27.54,27.70,2982700,27.70
2010-10-27,27.85,27.89,27.63,27.80,4538700,27.49
2010-10-26,27.87,28.11,27.71,28.07,3261600,27.76
2010-10-25,28.20,28.25,28.01,28.04,5918500,27.73
2010-10-22,27.99,28.12,27.80,28.00,6237600,27.69
2010-10-21,27.90,28.29,27.75,27.92,6534800,27.61
2010-10-20,27.49,27.86,27.45,27.76,2917400,27.45
2010-10-19,27.51,27.67,27.22,27.39,3893900,27.08
2010-10-18,27.88,27.89,27.41,27.63,6298900,27.32
2010-10-15,27.75,27.89,27.50,27.61,3138000,27.30
2010-10-14,27.61,27.77,27.37,27.60,2510700,27.29
2010-10-13,27.46,27.85,27.33,27.63,4111500,27.32
2010-10-12,27.40,27.46,27.05,27.28,3509500,26.98
2010-10-11,27.43,27.61,27.31,27.40,1522800,27.09
2010-10-08,27.63,27.73,27.30,27.48,2304800,27.17
2010-10-07,27.67,27.80,27.45,27.58,3232900,27.27
2010-10-06,27.51,27.56,27.30,27.50,2459200,27.19
2010-10-05,27.59,27.80,27.49,27.59,3683400,27.28
2010-10-04,27.30,27.39,27.02,27.22,3873000,26.92
2010-10-01,27.54,27.98,27.21,27.26,3965700,26.96
2010-09-30,27.50,27.72,27.22,27.49,5976600,27.18
2010-09-29,27.08,27.27,26.91,27.25,4203400,26.95
2010-09-28,27.00,27.24,26.56,27.17,6044000,26.87
2010-09-27,27.10,27.19,26.88,26.93,5779300,26.63
2010-09-24,26.56,27.23,26.32,27.23,5792200,26.93
2010-09-23,26.35,26.64,26.16,26.25,2844600,25.96
2010-09-22,26.47,26.65,26.29,26.50,3423400,26.20
2010-09-21,26.74,26.75,26.26,26.35,3518300,26.06
2010-09-20,26.06,26.70,25.98,26.66,5721000,26.36
2010-09-17,25.99,26.03,25.88,25.95,3870900,25.66
2010-09-16,25.86,26.03,25.78,25.87,3407500,25.58
2010-09-15,25.85,25.98,25.77,25.87,3213200,25.58
2010-09-14,25.99,26.09,25.77,25.85,2622300,25.56
2010-09-13,26.17,26.17,25.91,25.98,2690700,25.69
2010-09-10,25.86,25.94,25.71,25.85,2623600,25.56
2010-09-09,26.03,26.07,25.68,25.79,2493900,25.50
2010-09-08,25.76,25.88,25.72,25.76,1845900,25.47
2010-09-07,26.16,26.28,25.68,25.70,1834300,25.41
2010-09-03,26.27,26.47,26.21,26.27,2614100,25.98
2010-09-02,25.54,26.01,25.39,26.00,2797600,25.71
2010-09-01,25.25,25.63,25.16,25.50,2762700,25.22
2010-08-31,24.90,25.22,24.75,24.89,4098600,24.61
2010-08-30,25.25,25.40,24.98,24.99,1867100,24.71
2010-08-27,25.33,25.46,24.98,25.37,2965000,25.09
2010-08-26,25.52,25.66,25.19,25.22,3132000,24.94
2010-08-25,24.85,25.30,24.78,25.20,2571600,24.92
2010-08-24,25.21,25.35,24.96,24.97,2729100,24.69
2010-08-23,25.53,25.69,25.31,25.38,6027700,25.10
2010-08-20,25.16,25.44,25.05,25.38,3108800,25.10
2010-08-19,25.40,25.43,24.94,25.26,2987100,24.98
2010-08-18,25.38,25.59,25.17,25.48,2184800,25.20
2010-08-17,25.26,25.67,25.10,25.48,3098000,25.20
2010-08-16,24.93,25.17,24.75,25.02,2438000,24.74
2010-08-13,24.79,25.05,24.66,24.97,2895200,24.69
2010-08-12,24.73,24.92,24.65,24.78,2846100,24.50
2010-08-11,25.32,25.36,24.93,24.97,3623100,24.69
2010-08-10,25.64,25.84,25.29,25.61,3196700,25.32
2010-08-09,25.73,25.86,25.65,25.75,2359500,25.46
2010-08-06,25.55,25.74,25.31,25.56,3515000,25.27
2010-08-05,25.85,25.91,25.62,25.81,4722600,25.52
2010-08-04,25.96,26.10,25.88,25.91,5189900,25.62
2010-08-03,26.09,26.17,25.85,25.95,4238100,25.66
2010-08-02,26.31,26.31,26.04,26.12,4447100,25.83
2010-07-30,25.83,26.07,25.81,25.99,6424700,25.70
2010-07-29,26.75,26.88,25.92,26.12,5395900,25.83
2010-07-28,27.00,27.24,26.92,26.93,4114200,26.32
2010-07-27,26.97,27.29,26.94,27.08,3914300,26.47
2010-07-26,26.61,26.93,26.52,26.93,2754100,26.32
2010-07-23,26.17,26.69,26.01,26.64,3353000,26.04
2010-07-22,25.93,26.54,25.93,26.32,2783400,25.73
2010-07-21,26.36,26.40,25.70,25.78,3865300,25.20
2010-07-20,25.62,26.35,25.50,26.32,3618100,25.73
2010-07-19,25.79,26.13,25.70,26.03,2985900,25.44
2010-07-16,26.34,26.53,25.67,25.67,4845800,25.09
2010-07-15,26.37,26.55,26.14,26.51,4286500,25.91
2010-07-14,26.04,26.39,25.92,26.36,5910200,25.77
2010-07-13,26.01,26.13,25.71,26.06,5584700,25.47
2010-07-12,25.97,26.23,25.56,25.75,6790600,25.17
2010-07-09,26.28,26.35,26.14,26.28,3085600,25.69
2010-07-08,26.09,26.27,25.84,26.24,3855500,25.65
2010-07-07,25.15,26.03,25.09,26.02,5957700,25.43
2010-07-06,25.64,25.74,24.89,25.16,10545900,24.59
2010-07-02,26.05,26.10,25.36,25.47,6288500,24.90
2010-07-01,25.85,26.07,25.56,25.99,8890800,25.40
2010-06-30,26.05,26.25,25.78,25.97,4845500,25.38
2010-06-29,26.39,26.41,25.83,26.00,6117500,25.41
2010-06-28,26.51,26.76,26.41,26.60,2718000,26.00
2010-06-25,26.72,26.89,26.35,26.51,4574500,25.91
2010-06-24,26.94,27.30,26.50,26.78,6566700,26.18
2010-06-23,27.75,27.94,27.33,27.42,5529800,26.80
2010-06-22,28.23,28.38,27.69,27.73,3902300,27.11
2010-06-21,28.51,28.87,28.00,28.15,3123500,27.52
2010-06-18,28.67,28.73,28.28,28.33,4658400,27.69
2010-06-17,28.97,28.97,28.40,28.67,3936000,28.02
2010-06-16,28.76,28.97,28.60,28.88,2250400,28.23
2010-06-15,28.34,28.98,28.26,28.97,2837700,28.32
2010-06-14,28.63,28.74,28.18,28.23,3450800,27.59
2010-06-11,28.20,28.44,27.93,28.36,4000500,27.72
2010-06-10,28.32,28.71,28.12,28.59,3399200,27.95
2010-06-09,27.99,28.44,27.90,27.95,2366400,27.32
2010-06-08,27.64,27.98,27.53,27.91,3419800,27.28
2010-06-07,27.98,28.17,27.59,27.62,3038500,27.00
2010-06-04,28.44,28.67,27.89,27.97,2884100,27.34
2010-06-03,29.02,29.14,28.75,29.07,2244800,28.41
2010-06-02,28.26,28.86,28.02,28.86,2383100,28.21
2010-06-01,28.39,28.80,28.16,28.22,2173500,27.58
2010-05-28,28.80,28.92,28.41,28.54,2785200,27.90
2010-05-27,28.71,28.92,28.57,28.80,3709100,28.15
2010-05-26,28.91,29.29,28.19,28.35,5507500,27.71
2010-05-25,28.56,28.80,28.33,28.80,6308500,28.15
2010-05-24,29.35,29.55,28.99,28.99,4726400,28.34
2010-05-21,28.67,29.48,28.50,29.45,7331900,28.79
2010-05-20,29.05,29.33,28.86,28.92,7666100,28.27
2010-05-19,29.75,30.03,29.47,29.60,4044300,28.93
2010-05-18,30.23,30.39,29.63,29.75,2397900,29.08
2010-05-17,29.64,30.07,29.52,29.99,3061700,29.31
2010-05-14,30.01,30.26,29.30,29.46,3324800,28.80
2010-05-13,30.48,30.68,30.08,30.10,2836400,29.42
2010-05-12,30.35,30.66,30.09,30.59,2429700,29.90
2010-05-11,30.16,30.64,30.07,30.25,3028000,29.57
2010-05-10,29.41,30.38,29.41,30.38,4394600,29.70
2010-05-07,29.17,29.45,28.65,28.95,7453500,28.30
2010-05-06,30.06,30.48,28.11,29.25,5675800,28.59
2010-05-05,30.40,30.79,30.00,30.16,2338600,29.48
2010-05-04,30.81,30.85,30.18,30.44,2976100,29.75
2010-05-03,30.60,30.98,30.46,30.95,2772400,30.25
2010-04-30,31.05,31.05,30.56,30.57,2919500,29.88
2010-04-29,30.81,30.92,30.56,30.89,3073900,30.19
