Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,23.06,23.39,22.99,23.38,4386600,23.38
2010-11-04,23.01,23.09,22.96,23.04,4824700,23.04
2010-11-03,22.26,22.98,22.26,22.86,4035800,22.86
2010-11-02,22.23,22.34,22.12,22.13,2292500,22.13
2010-11-01,22.07,22.15,21.90,22.06,1346500,22.06
2010-10-29,21.62,21.95,21.56,21.94,2827100,21.94
2010-10-28,21.61,21.79,21.44,21.60,1246700,21.60
2010-10-27,21.95,21.96,21.38,21.46,2500800,21.46
2010-10-26,22.12,22.19,21.91,22.01,1059800,22.01
2010-10-25,22.20,22.36,22.15,22.18,918500,22.18
2010-10-22,22.08,22.17,22.06,22.11,848600,22.11
2010-10-21,22.10,22.23,21.86,22.06,2408100,22.06
2010-10-20,21.62,22.08,21.62,22.02,1350000,22.02
2010-10-19,21.40,21.78,21.40,21.55,1838600,21.55
2010-10-18,21.90,21.95,21.51,21.56,4541900,21.56
2010-10-15,21.91,22.01,21.65,21.86,1604400,21.86
2010-10-14,22.31,22.31,21.71,21.77,2250800,21.77
2010-10-13,22.25,22.39,22.09,22.30,1612800,22.30
2010-10-12,22.00,22.07,21.82,22.07,1311300,22.07
2010-10-11,22.00,22.07,21.85,22.00,881100,22.00
2010-10-08,21.92,22.00,21.75,21.97,1590600,21.97
2010-10-07,22.03,22.09,21.80,21.87,1181300,21.87
2010-10-06,21.79,21.99,21.62,21.96,1452200,21.96
2010-10-05,21.50,21.84,21.46,21.78,1662100,21.78
2010-10-04,21.31,21.48,21.19,21.32,1624400,21.32
2010-10-01,21.44,21.45,21.21,21.40,1642900,21.40
2010-09-30,21.55,21.79,21.28,21.38,1822800,21.38
2010-09-29,21.30,21.49,21.00,21.46,1750400,21.46
2010-09-28,21.25,21.35,20.91,21.30,1670900,21.30
2010-09-27,21.05,21.22,20.97,21.15,2016400,21.15
2010-09-24,21.14,21.21,20.99,21.06,2767000,21.06
2010-09-23,20.92,21.17,20.83,20.93,1817000,20.93
2010-09-22,21.12,21.28,20.91,20.99,1969800,20.99
2010-09-21,21.35,21.40,21.07,21.11,2367400,21.11
2010-09-20,21.09,21.40,20.89,21.35,1511100,21.35
2010-09-17,20.90,21.09,20.81,20.98,1650400,20.98
2010-09-16,20.75,20.87,20.71,20.82,1343500,20.82
2010-09-15,20.45,20.83,20.27,20.82,1864800,20.82
2010-09-14,20.44,20.63,20.40,20.48,1701000,20.48
2010-09-13,20.32,20.49,20.24,20.43,1343800,20.43
2010-09-10,19.96,20.13,19.92,20.10,1185600,20.10
2010-09-09,19.97,19.97,19.75,19.90,1610400,19.90
2010-09-08,19.73,19.80,19.54,19.74,2181400,19.74
2010-09-07,19.94,19.99,19.64,19.71,1338300,19.71
2010-09-03,20.03,20.14,19.75,19.93,2062500,19.93
2010-09-02,19.70,19.92,19.61,19.81,1448400,19.81
2010-09-01,19.50,19.86,19.45,19.74,1968000,19.74
2010-08-31,19.09,19.31,19.06,19.24,2064000,19.24
2010-08-30,19.61,19.67,19.29,19.31,1002000,19.31
2010-08-27,19.50,19.65,19.20,19.61,1281200,19.61
2010-08-26,19.66,19.80,19.31,19.35,1813900,19.35
2010-08-25,19.36,19.64,19.20,19.56,1834500,19.56
