Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,55.18,55.48,54.95,55.25,2174800,55.25
2010-11-04,53.72,55.18,53.69,55.17,3576100,55.17
2010-11-03,53.22,53.22,51.91,52.83,1609800,52.83
2010-11-02,52.81,53.19,52.51,52.95,2354200,52.95
2010-11-01,51.96,52.91,51.53,52.01,2504200,52.01
2010-10-29,51.00,51.66,50.79,51.26,2226300,51.26
2010-10-28,51.40,51.40,50.65,51.20,2060200,51.20
2010-10-27,50.53,50.93,49.88,50.88,2900800,50.88
2010-10-26,49.50,51.31,48.37,50.79,4712700,50.79
2010-10-25,51.05,51.60,50.66,51.05,3253200,51.05
2010-10-22,50.99,50.99,50.38,50.77,2202800,50.77
2010-10-21,51.13,51.71,50.38,50.78,2887300,50.78
2010-10-20,49.76,51.27,49.76,50.80,2548000,50.80
2010-10-19,49.95,50.05,48.98,49.50,3080500,49.50
2010-10-18,50.30,50.51,49.96,50.43,1997200,50.43
2010-10-15,50.48,50.54,49.73,50.47,2848500,50.47
2010-10-14,50.62,50.95,49.89,50.16,2932900,50.16
2010-10-13,50.14,51.03,50.04,50.58,2886700,50.58
2010-10-12,50.19,50.21,49.10,49.86,2500000,49.86
2010-10-11,50.14,50.53,49.83,50.25,1525900,50.25
2010-10-08,49.33,50.50,48.96,50.25,2468400,50.25
2010-10-07,49.39,49.49,48.73,49.23,1985300,49.23
2010-10-06,49.42,49.99,49.02,49.16,2678800,49.16
2010-10-05,48.32,50.00,47.91,49.65,3867400,49.65
2010-10-04,48.14,48.40,47.14,47.57,2105200,47.57
2010-10-01,48.68,49.07,48.05,48.28,2615200,48.28
2010-09-30,48.15,48.56,47.47,48.15,3682600,48.15
2010-09-29,47.13,47.69,46.87,47.60,2687400,47.60
2010-09-28,47.03,47.62,46.14,47.47,2577200,47.47
2010-09-27,47.42,47.42,46.60,46.92,2977800,46.92
2010-09-24,47.15,47.72,46.83,47.69,2884400,47.69
2010-09-23,46.24,46.87,45.86,46.35,1952000,46.35
2010-09-22,46.72,47.15,46.40,46.72,1739700,46.72
2010-09-21,46.84,47.15,46.56,46.85,2578100,46.85
2010-09-20,45.88,47.10,45.60,46.99,4102000,46.99
2010-09-17,45.53,45.72,44.93,45.50,4602000,45.50
2010-09-16,45.32,45.60,45.12,45.30,1810600,45.30
2010-09-15,45.16,45.51,44.67,45.37,2131000,45.37
2010-09-14,45.19,45.69,44.87,45.44,1889000,45.44
2010-09-13,45.44,45.95,45.17,45.44,2091300,45.44
2010-09-10,44.47,45.46,44.07,44.93,2184700,44.93
2010-09-09,45.34,45.43,44.13,44.33,1980100,44.33
2010-09-08,44.29,45.00,44.22,44.74,2474200,44.74
2010-09-07,45.04,45.26,44.12,44.23,1706700,44.23
2010-09-03,44.97,45.68,44.95,45.30,2271800,45.30
2010-09-02,43.41,44.43,43.36,44.40,2671000,44.40
2010-09-01,41.76,43.51,41.61,43.43,4092300,43.43
2010-08-31,40.56,41.40,40.21,40.98,2616700,40.98
2010-08-30,41.95,42.07,40.92,40.93,2112400,40.93
2010-08-27,41.07,42.37,40.23,42.09,2940200,42.09
2010-08-26,41.16,41.89,40.76,40.81,2579800,40.81
